mogert,	মগের্ট,	মোজার্ট,	
swatantrata,	স্বাতন্ত্রতা,	স্বতন্ত্রতা,	
selinar,	সেলিনার,	সেলিনার,	
uindoo,	উইন্ডো,	উইন্ডো,	
maryir,	মারির,	ম্যারির,	
lettar,	লেটার,	লেটার,	
sajanor,	সাজননোর,	সাজানোর,	
ekoghoore,	একঘুরে,	একঘরে,	
dweepkey,	দ্বিপে,	দ্বীপকে,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
palbongsher,	পালবংশের,	পালবংশের,	
nagarikera,	নাগরিকারা,	নাগরিকেরা,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
bhabaaponno,	ভবাপন্ন,	ভাবাপন্ন,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
elaakaate,	এলাকাতে,	এলাকাতে,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
jyesttha,	জ্যেস্ঠ্য,	জ্যেষ্ঠা,	
niropekkhotaar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
sikarer,	শিকারের,	শিকারের,	
nir,	নির,	নির,	
bayshorkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
qyanela,	ক্যানেল,	ক্যানেল,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
talgachh,	তলগগছ,	তালগাছ,	
tiunara,	টিউনার,	টিউনার,	
ghesa,	ঘেস,	ঘেঁষা,	
folok,	ফলক,	ফলক,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
saddhi,	সদ্ধি,	সাধ্বী,	
palestinea,	পলেস্টিনে,	প্যালেস্টাইনে,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
varshon,	ভয়ারসন,	ভারশন,	
soomee,	সুমি,	সুমি,	
thetcher,	টেচেচার,	থ্যাচার,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
dorji,	দর্জি,	দরজি,	
sinake,	সিনাকে,	সিনাকে,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
maudeling,	মডিলিং,	মডেলিং,	
somaazer,	সমাজের,	সমাজের,	
machder,	মাছদের,	মাছদের,	
selim,	সেলিম,	সেলিম,	
rooby,	রবি,	রুবি,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
metropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
abortey,	আবর্তে,	আবর্তে,	
reejur,	রিজুর,	রিজুর,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
bohubar,	বহুবার,	বহুবার,	
anano,	আনানো,	আনানো,	
coda,	কোড,	কোডা,	
schedule,	স্কেডুলে,	শিডিউল,	
soleel,	সলীল,	সলিল,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
dhikrita,	ধিকরিতা,	ধিকৃত,	
chhathke,	ছাটকে,	ছাতকে,	
goore,	গুরে,	গোর,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
qings,	কিংস,	কিংস,	
shoodhooi,	শুধুই,	শুধুই,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
jhalkathi,	ঝালকাঠি,	ঝালকাঠী,	
udbodhane,	উদ্বধানে,	উদ্বোধনে,	
volt,	ভোল্ট,	ভল্ট,	
sahabikey,	সাহাবীকে,	সাহাবীকে,	
potocheetrer,	পতচিত্রের,	পটচিত্রের,	
kutir,	কুটির,	কুটির,	
gatre,	গাত্রে,	গাত্রে,	
atok,	অটক,	আটক,	
dharavahikti,	ধারাভাকিতি,	ধারাবাহিকটি,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
naazee,	নাজি,	নাত্সি,	
caramiks,	কারেমিক্স,	সিরামিকস,	
bolatkar,	বলাটার,	বলাৎকার,	
bhange,	ভাঙে,	ভাঙ্গে,	
beshirbhaageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
gujob,	গুজব,	গুজব,	
bafal,	বাফল,	বিফল,	
platey,	প্লেটে,	প্লেটে,	
patigoniter,	পতিগণিতের,	পাটিগণিতের,	
