laisensim,	লেইসেং্সিং,	লাইসেন্সিং,	
muhammadi,	মুহাম্মাদী,	মুহাম্মদী,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
itastato,	ইতাস্ট,	ইতস্ততঃ,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
gaj,	গজ,	গেজ,	
karmapantha,	কর্মপন্থা,	কর্মপন্থা,	
nagorikra,	নাগরিকরা,	নাগরিকরা,	
doloo,	ডল,	ডলু,	
diaraesa,	ডায়রেস,	ডিআরএস,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
thakte,	থাকতে,	থাকতে,	
baaik,	বাইক,	বাইক,	
rajpur,	রাজপুর,	রাজপুর,	
chaaktir,	চাকটির,	চাকতির,	
nischitorupey,	নিশ্চিতারে,	নিশ্চিতরূপে,	
meeting,	মেটিং,	মিটিং,	
karka,	কর্ক,	কার্ক,	
chhaai,	ছাই,	ছাই,	
pooding,	পুদিং,	পুডিং,	
bhezano,	ভেজানো,	ভেজানো,	
meetropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
injil,	এঞ্জেল,	ইঞ্জিল,	
sbaajaner,	স্বজনের,	স্বজনের,	
chhootochhuti,	ছুটোটি,	ছুটোছুটি,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
stanehenge,	স্ট্যানেহেগে,	স্টোনহেঞ্জ,	
nations,	নটিয়ান্স,	নেশনস,	
shrishree,	শ্রীশরী,	শ্রীশ্রী,	
goora,	গুর,	গোর,	
ispreedshit,	ইস্প্রেডসিট,	স্প্রেডশীট,	
tookror,	টুকরার,	টুকরোর,	
safin,	সফিন,	সাফিন,	
hool,	হোল,	হুল,	
pathachari,	পাঠারই,	পথচারী,	
nishad,	নিশদদ,	নিষাদ,	
prottokhovabe,	প্রত্যক্ভাবে,	প্রত্যক্ষভাবে,	
ajijur,	অজিজুর,	আজিজুর,	
imarjinsi,	এমার্জেন্সি,	এমার্জেন্সি,	
bhabuk,	ভাবুক,	ভাবুক,	
sharoker,	স্বরকের,	স্মারকের,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
khalid,	খলিদ,	খালিদ,	
osommotite,	অসম্মিতে,	অসম্মতি,	
beekargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
cholochchitrake,	চলচিত্রকে,	চলচ্চিত্রকে,	
jarusalem,	জরুসোলাম,	জেরুসালেম,	
ketechilo,	কেটেছিল,	কেটেছিল,	
zealand,	জিল্যান্ড,	জিল্যান্ড,	
guzober,	গুজবের,	গুজবের,	
dighal,	দিঘল,	দীঘল,	
bonoshri,	বনস্রী,	বনশ্রী,	
rifleksa,	রাইফেল্ক্স,	রিফ্লেক্স,	
sinakey,	সিনকে,	সিনাকে,	
spreadshiit,	স্প্রাডসীট,	স্প্রেডশীট,	
baasake,	বাসাকে,	বাসাকে,	
ujbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
bhushito,	ভূষিত,	ভূষিত,	
uzobekeestaan,	উযবেকিষ্তান,	উজবেকিস্তান,	
dokaneyi,	ডোকানেই,	দোকানেই,	
arakaner,	আরকণের,	আরাকানের,	
brinde,	ব্রিন্ডে,	বৃন্দ,	
sooraarop,	সুরারোপ,	সুরারোপ,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
taiwan,	টাইয়ান,	তাইওয়ান,	
samudrotate,	সমুদ্রতারে,	সমুদ্রতটে,	
ganoporibahaner,	গণপরিবহণের,	গণপরিবহনের,	
jeerusaleema,	জেরুসালিম,	জেরুসালেম,	
remacry,	রেমক্রি,	রেমাক্রী,	
agrodoot,	অগ্রদুত,	অগ্রদূত,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
dwipgulo,	দ্বীপগুলো,	দ্বীপগুলো,	
shikarer,	শিকারের,	শিকারের,	
akib,	একীব,	আকিব,	
olympiker,	অলিম্পিকের,	অলিম্পিকের,	
charjara,	চার্ার,	চার্জার,	
ishahak,	ইসহাকক,	ইসাহাক,	
uindoo,	উইন্ডো,	উইন্ডো,	
madhobi,	মাধবী,	মাধবী,	
hebhi,	হেই,	হেভি,	
sotteo,	সত্বেও,	সত্ত্বেও,	
ovishongshon,	অভিশংসন,	অভিশংসন,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
auncholo,	অঞ্চলো,	অঞ্চলও,	
kuery,	কুরি,	কোয়েরি,	
sainyo,	সৈন্য,	সৈন্য,	
bhagini,	ভাগিনী,	ভগিনী,	
firoze,	ফিরোজ,	ফিরোজ,	
nama,	নাম,	নমো,	
swarnali,	স্বর্ণালী,	স্বর্ণালী,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
ispreedshiit,	ইস্প্রেডশিট,	স্প্রেডশীট,	
mukhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
ganakantha,	গণকণ্ঠ,	গণকণ্ঠ,	
paree,	পারী,	পাড়ে,	
naraphoqa,	নরফোকা,	নরফোক,	
starc,	স্টার্ক,	স্টার্ক,	
parkasha,	পর্কশ,	পার্কস,	
brekethru,	ব্রেক্রুডু,	ব্রেকথ্রু,	
abahan,	আবহান,	আবাহন,	
trayte,	ট্রেট,	ট্রেতে,	
venkotesh,	ভেনকটেস,	ভেঙ্কটেশ,	
hossne,	হোস্নে,	হোসনে,	
baharamporer,	বহরমপরের,	বহরমপুরের,	
gardeena,	গার্ডিন,	গার্ডেন,	
abhidhaaner,	অভিধানের,	অভিধানের,	
chorchita,	চর্চিত,	চর্চিত,	
yucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
kreedita,	ক্রিডিট,	ক্রেডিট,	
geans,	জিনস,	জিন্স,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
naazee,	নাজি,	নাত্সি,	
fuda,	ফুড,	ফুড,	
aagost,	আগস্ট,	আগষ্ট,	
lagche,	লাগছে,	লাগছে,	
naneer,	নানীর,	নানীর,	
teter,	তেয়ার,	টেটের,	
abheegomon,	অভিগোমন,	অভিগমন,	
beshirbhagei,	বেশীরভাগই,	বেশিরভাগেই,	
khalidke,	খলিদকে,	খালিদকে,	
groth,	গ্রথ,	গ্রোথ,	
iukyaliptasa,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
alauler,	অলাউলের,	আলাওলের,	
dhhaalur,	ঢালুর,	ঢালুর,	
udbodhonee,	উদ্বধনী,	উদ্বোধনী,	
valobasakey,	ভালবাসাকে,	ভালোবাসাকে,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
omarendro,	অমরেন্দ্র,	অমরেন্দ্র,	
blacker,	ব্লেকার,	ব্ল্যাকের,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
paare,	পারে,	পাড়ে,	
asantos,	অসান্তস,	অসন্তোষ,	
kanflikt,	কাফললিক্ট,	কনফ্লিক্ট,	
nevate,	নেভাতে,	নেভাতে,	
nickel,	নিক্লেল,	নিকেল,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
sahazlabhbhatar,	সহজালভ্ভাতার,	সহজলভ্যতার,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
arik,	এরিক,	আরিক,	
bijito,	বিজিত,	বিজিত,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
kormosompadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
anti,	অ্যান্টি,	আন্টি,	
superheiroo,	সুপারেরও,	সুপারহিরো,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
badhano,	বাঁধন,	বাঁধানো,	
bhyatikaaner,	ভ্যাতিকাণের,	ভ্যাটিকানের,	
kutir,	কুটির,	কুটির,	
niketan,	নিকেতন,	নিকেতন,	
khappor,	খাপপর,	খপ্পর,	
horas,	হরাস,	হোরাস,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
ashshociatesh,	অ্যাসোসিয়েটেস,	এসোসিয়েটস,	
kaansaat,	কাঁসাত,	কানসাট,	
annorup,	অন্যরূপ,	অন্যরূপ,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
parijaner,	পরিজনের,	পরিজনের,	
hillser,	হিলসের,	হিলসের,	
robot,	রোবট,	রোবোট,	
sukkha,	সূক্ষ্ম,	সুক্ষ্ম,	
zzonite,	যোনিতে,	যোনীতে,	
seemons,	সীমন্স,	সিমন্স,	
daap,	ডাপ,	ড্যাপ,	
hori,	হরি,	হরি,	
byaboharkareei,	ব্যাহারকারিই,	ব্যবহারকারীই,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
rajoshri,	রাজশ্রী,	রাজশ্রী,	
madeling,	ম্যাডেলিং,	মডেলিং,	
mozlishpoor,	মজিলশুপুর,	মজলিশপুর,	
aksharke,	এক্ষরকে,	অক্ষরকে,	
dharabahikeo,	ধারাবাহীকে,	ধারাবাহিকেও,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
sayid,	সাঈদ,	সাইদ,	
letterey,	লেটারে,	লেটারে,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
dhikrita,	ধীকৃত,	ধিকৃত,	
harrisoner,	হারিসনের,	হ্যারিসনের,	
goori,	গুরি,	গোরি,	
lotharan,	লথারান,	লুথেরান,	
wagadada,	ভাগাদা,	বাগদাদ,	
prothakey,	প্রথাকে,	প্রথাকে,	
antarctikar,	অ্যান্টারটিকার,	অ্যান্টার্কটিকার,	
jyesthaa,	জ্যেষ্ঠা,	জ্যেষ্ঠা,	
bim,	বীম,	বিম,	
eutey,	ইউটে,	ইইউতে,	
vaabnar,	ভাবনার,	ভাবনার,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
akla,	একলা,	একলা,	
evar,	ইভার,	এভার,	
lagic,	লাগিক,	লজিক,	
chironton,	চিরন্তন,	চিরন্তন,	
mulor,	মুলর,	মুলোর,	
gatee,	গেট,	গ্যেটে,	
uparjaner,	উপার্জনের,	উপার্জনের,	
bodhirata,	বধিরতা,	বধিরতা,	
soourse,	সোর্সে,	সোর্স,	
jeevjontu,	জিভন্নুত,	জীবজন্তু,	
birder,	বীরদের,	বার্ডের,	
karmer,	কর্মের,	কর্মের,	
madhumati,	মধুমতি,	মধুমতী,	
piora,	পিয়ার,	পিওর,	
byomkes,	ব্যম্কেস,	ব্যোমকেশ,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
manhputo,	মাহপুত,	মনঃপুত,	
otorkeitey,	অটর্কিটে,	অতর্কিতে,	
ingrejra,	ইংরেজরা,	ইংরেজরা,	
chhutite,	ছুটিতে,	ছুটিতে,	
chalachchitratike,	চলচ্চিত্রকে,	চলচ্চিত্রটিকে,	
vip,	ভিপ,	ভিআইপি,	
bholapuka,	ভোলাপুকা,	ভোলাপুক,	
monjhostho,	মঞ্চস্থ,	মঞ্চস্থ,	
probhur,	প্রভূর,	প্রভুর,	
sangkulaan,	সংকুলন,	সংকুলান,	
jathaartho,	যথার্থ,	যথার্থ,	
mathews,	ম্যাথেস,	ম্যাথিউস,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
aastikota,	অস্তিকতা,	আস্তিকতা,	
radhanagar,	রধানগর,	রাধানগর,	
seatey,	সিটে,	সিটে,	
wishnu,	উষ্ণু,	বিষ্ণু,	
udvabaker,	উদ্ভবকের,	উদ্ভাবকের,	
pooroheetder,	পুরোহিদদের,	পুরোহিতদের,	
kana,	কানা,	কণা,	
riphleeksa,	রাইফেল্ক্স,	রিফ্লেক্স,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
fuzz,	ফুজজ,	ফাজ,	
zackson,	য্যাকসন,	জ্যাকসন,	
noitikatavodh,	নৈতিক্যবোধ,	নৈতিকতাবোধ,	
ispreedsheet,	ইস্প্রেডেস,	স্প্রেডশীট,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
madaul,	মাদাউল,	মাদল,	
sangbadmadhyome,	সংবাদধম্যমে,	সংবাদমাধ্যমে,	
basaa,	বসা,	বাসা,	
faad,	ফাঁদ,	ফুড,	
canservatian,	কনযার্ভেশেশন,	কনসারভেশন,	
kheley,	খেলেই,	খেলে,	
laesensh,	লেসেন্স,	লাইসেন্স,	
cinematographer,	সিনোমেগ্রাফের,	সিনেমাটোগ্রাফার,	
varma,	ভার্মা,	ভার্মা,	
jolaatonko,	জলতাঙ্ক,	জলাতঙ্ক,	
oindrila,	ঐন্ড্রিল,	ঐন্দ্রিলা,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
venkatesh,	ভেঁকটেস,	ভেঙ্কটেশ,	
nagarikra,	নাগরিকরা,	নাগরিকরা,	
chapol,	চাপল,	চপল,	
ches,	চেজ,	চেস,	
jolorong,	জলোরং,	জলরঙ,	
achis,	অচিশ,	আছিস,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
enginears,	ইঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
santani,	সন্তানী,	সনাতনী,	
mohammadi,	মহাম্মদী,	মুহাম্মদী,	
nirapekkhotar,	নিরপ্ক্ষতার,	নিরপেক্ষতার,	
ishton,	স্টট,	স্টোন,	
vushi,	ভুষি,	ভুষি,	
lakkheryo,	লক্ষেরও,	লক্ষেরও,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
bagichar,	বাগিচর,	বাগিচার,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
spenser,	স্পেনসের,	স্পেন্সার,	
sheekar,	শিকার,	শিকার,	
chhathke,	ছাঁকে,	ছাতকে,	
assastikar,	অস্বস্তিকর,	অস্বস্তিকর,	
pathkramer,	পথক্রমের,	পাঠক্রমের,	
gaje,	গেজ,	গেজ,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
majhari,	মাঝারি,	মাঝারী,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
sangasthaner,	সংগ্ষস্থানের,	সংস্থানের,	
qarqa,	কর্ক,	কার্ক,	
totokshon,	ততক্ষণ,	ততক্ষন,	
duplex,	ডুপলেক্স,	ডুপ্লে,	
nagoriker,	নাগরিকের,	নাগরিকের,	
nodigulo,	নদীগুলো,	নদীগুলো,	
roktokshoroney,	রক্তক্ষণের,	রক্তক্ষরণে,	
heepatitis,	হেপাাটিটিস,	হেপাটাইটিস,	
korkat,	করকাত,	কর্কট,	
janate,	জানাতে,	জানাতে,	
ranadip,	রণদীপ,	রণদীপ,	
osamarik,	অসামারিক,	অসামরিক,	
suresh,	সুরেশ,	সুরেশ,	
dubaate,	দুবাতে,	ডুবাতে,	
shomostike,	সমস্টিকে,	সমষ্টিকে,	
zubokera,	যুবকেরা,	যুবকেরা,	
robotic,	রোবটিক,	রোবোটিক,	
sinematographar,	সিনোমগ্যাগফরর,	সিনেমাটোগ্রাফার,	
ganohatyar,	গণহত্যার,	গণহত্যার,	
carlas,	কার্লস,	কার্লোস,	
bachai,	বাঁচাই,	বাছাই,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
bolbo,	বলবো,	বলবো,	
muhammada,	মুহাম্মাদ,	মুহাম্মদ,	
shajanor,	শাজানোর,	সাজানোর,	
musolmanra,	মুসলমন্র,	মুসলমানরা,	
gafilati,	গফিলাটি,	গাফিলতি,	
ucchosito,	উচ্চশিত,	উচ্ছসিত,	
roy,	রই,	রায়,	
kunti,	কুন্তি,	কুন্তী,	
patochitra,	পতচিত্র,	পটচিত্র,	
gadha,	গাধা,	গাধা,	
brindo,	ব্রিন্দো,	বৃন্দ,	
venuser,	ভেনাসের,	ভেনাসের,	
prokolpogulor,	প্রকোলপুলোর,	প্রকল্পগুলোর,	
chabir,	ছবির,	চাবির,	
dala,	ডল,	দলা,	
baet,	ব্যাট,	বাইট,	
bolechi,	বলেছি,	বলেছি,	
kanshat,	কাঁসাত,	কানসাট,	
bandra,	বন্দ্রা,	বন্দীরা,	
taale,	টেল,	তালে,	
arop,	অরপ,	আরোপ,	
dhan,	ধন,	ধ্যান,	
lutharen,	লুথারেন,	লুথেরান,	
pratiyogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
naabbota,	নাব্যতা,	নাব্যতা,	
gonocheener,	গণচিনের,	গণচীনের,	
serveray,	সার্ভরে,	সার্ভারে,	
mukkho,	মুক্ষ,	মুখ্য,	
qinsa,	কিনস,	কিংস,	
lutheereen,	লুঠিরীন,	লুথেরান,	
dokan,	ডোকান,	দোকান,	
jatinke,	যতিনকে,	যতীনকে,	
jubokra,	যুবকরা,	যুবকরা,	
deezni,	ডিজনি,	ডিজনী,	
aminul,	আমিনাইল,	আমিনুল,	
laicense,	লাইসেন্স,	লাইসেন্স,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
bonnypran,	বন্যীপ্রণ,	বন্যপ্রাণ,	
totenhamer,	তোটিহামের,	টটেনহামের,	
manikya,	মাণিক্য,	মানিক্য,	
chetona,	চেতনা,	চেতনা,	
carzer,	কার্জের,	চার্জের,	
soource,	সোর্স,	সোর্স,	
eucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
pulse,	পুলসে,	পালস,	
siramikasa,	সিরামিকাসা,	সিরামিকস,	
crete,	ক্রেতে,	ক্রীট,	
danob,	দানব,	দানব,	
tiunara,	টিউনার,	টিউনার,	
taalgachh,	তালগাছ,	তালগাছ,	
shektor,	সেক্টর,	সেক্টর,	
melborne,	মেলবর্ণে,	মেলবোর্নে,	
ekatto,	একাত্ম,	একাত্ব,	
basaalt,	বসলেট,	ব্যাসল্ট,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
wenice,	ভিনিস,	ভেনিস,	
daeel,	ডেল,	ডেইল,	
nazad,	নজদ,	নজদ,	
bayshorkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
mitroyo,	মিট্রো,	মিত্রও,	
sherup,	শেরুপ,	সেরূপ,	
jakkher,	যক্ষের,	যক্ষের,	
shiniyara,	সিনিয়ার,	সিনিয়র,	
ghumato,	ঘুমত,	ঘুমাতো,	
porikhar,	পরীকর,	পরিখার,	
mododpusto,	মদদপস্ত,	মদদপুষ্ট,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
satarkobhabe,	সতর্কভাবে,	সতর্কভাবে,	
mahakabi,	মহাকাবী,	মহাকবি,	
danaqana,	ডানাকানা,	ডানকান,	
oparogota,	অপরাগত,	অপারগতা,	
ghatir,	ঘাটির,	ঘাটির,	
kommppito,	কম্পিত,	কম্পিত,	
nuhas,	নুহস,	নুহাশ,	
chopal,	ছোপাল,	চপল,	
pashaner,	পাষণের,	পাষাণের,	
rifleks,	রাইফেল্ক্স,	রিফ্লেক্স,	
banijyikvittey,	বানিজ্যিক্ত্বে,	বাণিজ্যিকভিত্তিতে,	
ministar,	মিনিস্টার,	মিনিস্টার,	
bafar,	বফফার,	বাফার,	
asif,	আসিফ,	আসিফ,	
proman,	প্রমাণ,	প্রমান,	
oodoore,	অডুরে,	অদুরে,	
ralapha,	রলফ,	রালফ,	
laeshesh,	লেইসেস,	লাইসেন্স,	
quoota,	কোউট,	কোটা,	
udeechee,	উদিছি,	উদীচী,	
phising,	ফিশিং,	ফিসিং,	
elakaatir,	এলাকাটির,	এলাকাটির,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
madhyekar,	মধ্যকের,	মধ্যেকার,	
soshej,	সসেজ,	সসেজ,	
thelyanda,	থেল্যান্ড,	থাইল্যান্ড,	
jotinke,	যতিনকে,	যতীনকে,	
chai,	চাই,	ছাই,	
