vedke,	ভেদকে,	বেদকে,	
jolrang,	জল্রাং,	জলরঙ,	
bo,	বো,	বু,	
torabgunj,	তররগঞ্জ,	তোরাবগঞ্জ,	
itastata,	ইতাস্টত,	ইতস্ততঃ,	
jerusalemer,	জেরুসলেমের,	জেরুজালেমের,	
kuley,	কুলে,	কুলে,	
nirapattamulak,	নিরপততমূলক,	নিরাপত্তামূলক,	
machgulo,	মাছগুলো,	মাছগুলো,	
mmeloborrne,	মেলবর্নে,	মেলবোর্নে,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
jubokder,	যুবদকের,	যুবকদের,	
laisensim,	লেইসেন্সিং,	লাইসেন্সিং,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
udbhabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
siddhantogulo,	সিদ্ধানগুলো,	সিদ্ধান্তগুলো,	
veenus,	ভেনাস,	ভেনাস,	
diphinishion,	ডিফিনেশন,	ডেফিনেশন,	
ganana,	গানানা,	গণনা,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
engrejra,	ইংরেজ্রা,	ইংরেজরা,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
nederlander,	নেদারল্যান্ডের,	নেদারল্যান্ডের,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
seebiai,	সেইিয়ে,	সিবিআই,	
beshirbhaagei,	বেশিরভাগেই,	বেশিরভাগেই,	
talgach,	তালাছ,	তালগাছ,	
bhittiteo,	ভিত্তিওেও,	ভিত্তিতেও,	
nagarikderkey,	নাগরীকদরকে,	নাগরিকদেরকে,	
mukherji,	মুখার্জি,	মুখার্জী,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
muhammad,	মুহাম্মাদ,	মুহাম্মদ,	
serverti,	সার্ভরটি,	সার্ভারটি,	
sbatantrata,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
vandar,	ভান্ডার,	ভাণ্ডার,	
pyore,	পিয়রে,	পিওর,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
oholya,	অহল্য,	অহল্যা,	
baffer,	বাফের,	বাফার,	
dhabi,	ঢাবি,	ঢাবি,	
poorohitke,	পুরহিতকে,	পুরোহিতকে,	
janmato,	জন্মত,	জন্মাত,	
