zete,	জেতে,	যেতে,	
cira,	কিরা,	চিরা,	
bashi,	বাশি,	বাঁশি,	
obhineta,	অভিনেতা,	অভিনেতা,	
sklerosisa,	স্ক্রেরসিস,	স্ক্লেরোসিস,	
navojaan,	নবজান,	নভোযান,	
ponjeekaa,	পঞ্জিকা,	পঞ্জিকা,	
kromorasoman,	ক্রোমোরাসম,	ক্রমহ্রাসমান,	
prokashitobbo,	প্রকাশিত্ব,	প্রকাশিতব্য,	
phakharey,	ফাখারে,	ফখরে,	
prakashana,	প্রোকশন,	প্রকাশনা,	
maheenda,	মহেন্দা,	মাহিন্দা,	
muphtir,	মুফতির,	মুফতির,	
charja,	চার্জা,	চার্জ,	
daayitte,	দাইতে,	দায়িত্বে,	
dubury,	ডাবুরি,	ডুবুরি,	
durge,	দার্জে,	দুর্গে,	
sure,	সারে,	সুরে,	
chalchhen,	চলছেন,	চলছেন,	
kibler,	কিবললের,	কিবলার,	
tahir,	তাহির,	তাহির,	
sedike,	সেদিকে,	সেদিকে,	
adbhutbhabe,	আধভুতভাবে,	অদ্ভুতভাবে,	
monzoorer,	মঞ্জরের,	মঞ্জুরের,	
osommoto,	অসম্মত,	অসম্মত,	
porishromay,	পরিশ্রমা,	পরিশ্রমে,	
mastara,	মস্তরা,	মাস্টার,	
cholochchitraee,	চলচিত্রা,	চলচ্চিত্রে,	
collageen,	কলেজেন,	কোলাজেন,	
poos,	পুশ,	পিউস,	
saifara,	সাইফার,	সাইফার,	
naitrojena,	নাইট্রোজেন,	নাইট্রোজেন,	
dangar,	ডাঙার,	দাঙ্গার,	
prasashonik,	প্রশাসনিক,	প্রসাশনিক,	
mechanical,	মেচানিক্যাল,	মেকানিকাল,	
spaken,	স্পোকেন,	স্পোকেন,	
bishrinkhalar,	বিশৃংখালার,	বিশৃঙ্খলার,	
mrittika,	মৃত্তিকা,	মৃত্তিকা,	
prosthey,	প্রস্থে,	প্রস্থে,	
mousumi,	মৌসুমি,	মৌসুমি,	
chhaanagulo,	ছানাগুলো,	ছানাগুলো,	
karmakander,	কর্মকান্ডের,	কর্মকাণ্ডের,	
nirangkush,	নিরংকুষ,	নিরঙ্কুশ,	
jems,	জেএম,	জেমস,	
ayadaministreeshana,	অ্যাডামিনিস্টেশন,	অ্যাডমিনিস্ট্রেশন,	
dokkhin,	দক্ষিন,	দক্ষিন,	
danald,	ডানাল্ড,	ডোনাল্ড,	
elakaagulor,	এলাকাগুলোর,	এলাকাগুলোর,	
topur,	তপুর,	তপুর,	
islamik,	ইসলামিক,	ইসলামীক,	
shaalem,	সালেম,	সালেম,	
ashore,	আসরে,	আসরে,	
notesh,	নোেশ,	নোটস,	
soocieti,	সুচিয়েটি,	সোসাইটি,	
kosova,	কোশভা,	কসোভো,	
rajatte,	রাজাত্যে,	রাজত্বে,	
amerikasoho,	আমেরিকাসহ,	আমেরিকাসহ,	
surakar,	সুরাকার,	সুরকার,	
laka,	লোকা,	লক,	
kafer,	কাফের,	কাফের,	
kabutor,	কবুটর,	কবুতর,	
saainyoke,	সাইন্যকে,	সৈন্যকে,	
methu,	মেথু,	ম্যাথু,	
dibya,	দিব্য,	দিব্য,	
ebadur,	এবাদুর,	এবাদুর,	
sosta,	সস্তা,	সস্তা,	
parinito,	পরিনিত,	পরিণীত,	
janaley,	জানালে,	জানালে,	
daataabej,	ডাটাবেজ,	ডাটাবেজ,	
nodiiyi,	নদীয়ী,	নদীই,	
oitijhyao,	ঐতিহ্যাও,	ঐতিহ্যও,	
shikkhamulak,	শিক্ষামুলক,	শিক্ষামূলক,	
jagadish,	জগদিশ,	জগদীশ,	
bojhen,	বোজেন,	বোঝেন,	
categary,	ক্যাটেগারি,	ক্যাটাগরি,	
phalasa,	ফলস,	ফলস,	
chorit,	চরিত,	চরিত,	
eu,	ইউ,	ইইউ,	
anchalgulor,	অঞ্চলগুলোর,	অঞ্চলগুলোর,	
guineatey,	গুইনেটে,	গিনিতে,	
falito,	ফলতিত,	ফলিত,	
abhidhanti,	অভিধানটি,	অভিধানটি,	
pio,	পিও,	পিও,	
aatmasammanbodh,	আত্মসম্মধ,	আত্মসম্মানবোধ,	
storyir,	স্তরীর,	স্টোরির,	
ranjeet,	রঞ্জিত,	রণজিৎ,	
khaalaasee,	খালাসী,	খালাসী,	
phookor,	ফুকর,	ফুকোর,	
sardarer,	সর্দারের,	সরদারের,	
boudhara,	বৌদধারা,	বৌদ্ধরা,	
oak,	ওক,	ওক,	
samajikbhabey,	সামাজিকভাবে,	সামাজিকভাবে,	
byatikramo,	ব্যাতিক্রম,	ব্যতিক্রমও,	
serwer,	সার্ভের,	সার্ভার,	
circush,	সার্কাস,	সার্কাস,	
melastona,	মেলস্টন,	মাইলস্টোন,	
karavog,	কারাভোগ,	কারাভোগ,	
chowdhry,	চৌধ্রী,	চৌধুরী,	
trackbal,	ট্রাকবাল,	ট্র্যাকবল,	
ashlilatar,	অসলিলতার,	অশ্লীলতার,	
jonaardon,	জনারদন,	জনার্দন,	
winslet,	ভাইনসলেট,	উইন্সলেট,	
piqe,	পিকে,	পাইক,	
nobobibahito,	নববিবিত,	নববিবাহিত,	
janosangjoger,	জনসংগের,	জনসংযোগের,	
raver,	রাভের,	রোভার,	
encryptian,	এনক্রিপ্ন,	এনক্রিপশন,	
divakar,	দিবাকার,	দিবাকর,	
nootepad,	নোটেপদ,	নোটপ্যাড,	
sarj,	সার্জ,	সার্জ,	
form,	ফোর্ম,	ফর্ম,	
bedera,	বেদেরা,	বেদেরা,	
niraanondo,	নিরানন্দ,	নিরানন্দ,	
baksaler,	বাকসালের,	বাকশালের,	
charj,	চার্জ,	চার্জ,	
barelvi,	ব্যারেলভি,	বেরলভী,	
moneesha,	মনিশা,	মণীষা,	
phebruyari,	ফেযববায়ারি,	ফেব্রুয়ারী,	
rajotter,	রাজত্বের,	রাজত্বের,	
shipan,	শিপন,	শিপন,	
khelaro,	খেলারও,	খেলারও,	
roshid,	রশিদ,	রসিদ,	
belphast,	বেলফাস্ট,	বেলফাস্ট,	
thakena,	থাকেন,	থাকেনা,	
teksuse,	টেকসাসে,	টেক্সাসে,	
sharja,	সার্জ,	সার্জ,	
lewant,	লিভান্ট,	লেভান্ট,	
gajir,	গাজির,	গাজির,	
nikati,	নিকটি,	নিকটই,	
chhotook,	ছোটুক,	ছটকু,	
godamghor,	গোদামগর,	গুদামঘর,	
matritter,	মাতৃত্বের,	মাতৃত্বের,	
moosafir,	মুসাফির,	মুসাফির,	
ancholtir,	আঞ্চলটির,	অঞ্চলটির,	
shangsthar,	সংস্থর,	সংস্থার,	
dreak,	ড্রিক,	ড্রেক,	
anchal,	আঞ্চল,	অঞ্চল,	
otbir,	ওত্বীর,	অটবির,	
protipad,	প্রতিপাদ,	প্রতিপদ,	
qnowledge,	কাউলেজ,	নলেজ,	
mathew,	মথে,	ম্যাথু,	
bolteyi,	বলতেই,	বলতেই,	
upacharjer,	উপাচার্যের,	উপাচার্যের,	
oncoler,	অঙ্কলের,	অঞ্চলের,	
ibharista,	ইভারিষ্ট,	এভারেস্ট,	
elakakay,	এলাকা,	এলাকাকে,	
bhyaatikaane,	ভ্যাতিকানে,	ভ্যাটিকানে,	
baankaano,	বাঁকানো,	বাঁকানো,	
johorul,	জহরুল,	জহরুল,	
irankay,	আরানকে,	ইরানকে,	
janmadag,	জন্মদা,	জন্মদাগ,	
vabnao,	ভবনাও,	ভাবনাও,	
dehomone,	ডিহমনে,	দেহমন,	
icchemoto,	ইচ্ছেমত,	ইচ্ছেমত,	
talgachher,	তালগাছের,	তালগাছের,	
porisodhito,	পরিসোধিত,	পরিশোধিত,	
chaturdosh,	চতুর্দশ,	চতুর্দশ,	
rural,	রারাল,	রুরাল,	
mul,	মুল,	মূল,	
digridhari,	দিগ্রিধারি,	ডিগ্রিধারী,	
norener,	নরেনের,	নরেনের,	
