santoshe,	সান্ত্ষে,	সন্তোষে,	
taitela,	টাইটেল,	টাইটেল,	
governorer,	গভর্নরের,	গভর্ণরের,	
patzat,	পাতজাত,	পাটজাত,	
amarjito,	অমর্জিত,	অমার্জিত,	
shhkolashtic,	স্কোল্ট্টিক,	স্কলাস্টিক,	
chaalaabi,	চালাবি,	চালাবে,	
sofie,	সফি,	সোফি,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
rakhtokkharone,	রক্তকক্ষণে,	রক্তক্ষরণে,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
kamij,	কমিজ,	কামিজ,	
kunty,	কুন্টি,	কুন্তী,	
nirabota,	নীরবতা,	নিরবতা,	
cbi,	এসিি,	সিবিআই,	
sansthatir,	সংস্থাতির,	সংস্থাটির,	
bizepi,	বিজেপি,	বিজেপি,	
jerujalemer,	জেরুজালের,	জেরুজালেমের,	
gyandas,	জ্যান্ডাস,	জ্ঞানদাস,	
texaser,	টেকাসের,	টেক্সাসের,	
horidar,	হরিদার,	হরিদ্বার,	
chalochchitratike,	চলচ্চিত্রকিতে,	চলচ্চিত্রটিকে,	
teamothi,	টিমোথি,	টিমোথি,	
dip,	ডিপ,	দীপ,	
ched,	ছেদ,	ছেদ,	
shitey,	শিটে,	শীতে,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
utkhater,	উৎকাতের,	উৎখাতের,	
foxcon,	ফক্শন,	ফক্সকন,	
asamanyo,	অসমান্য,	অসামান্য,	
anodhikar,	অনোধিকার,	অনধিকার,	
cocaine,	কোকেন,	কোকেইন,	
stana,	স্তন,	স্টোন,	
danckan,	ডাঁকান,	ডানকান,	
sanstha,	সংস্থ,	সংস্থা,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
sibraj,	শিবরাজ,	শিবরাজ,	
birishiritey,	বিরিসিতে,	বিরিশিরিতে,	
juktarashtreo,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রেও,	
akshor,	অকশর,	একশোর,	
rubeta,	রুবেট,	রাবেতা,	
cilahati,	চিলাহাটি,	চিলাহাটি,	
alpa,	আল্প,	অল্প,	
bodhir,	বধির,	বধির,	
uparjaner,	উপারজানের,	উপার্জনের,	
heart,	হার্ট,	হার্ট,	
torun,	তরুন,	তরুন,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
anti,	অ্যান্টি,	আন্টি,	
capsul,	ক্যাসসুল,	ক্যাপসুল,	
eekbaler,	একবালের,	ইকবালের,	
brindabone,	ব্রিদ্ববননে,	বৃন্দাবনে,	
dhormi,	ধর্মী,	ধর্মী,	
pachhen,	পাছেন,	পাচ্ছেন,	
vobani,	ভবানী,	ভবানী,	
artherer,	অর্থারের,	আর্থারের,	
jatak,	যতক,	জাতক,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
shrichaitanyadeb,	শ্রীচৈতন্যবেব,	শ্রীচৈতন্যদেব,	
shaswata,	শাস্বত,	শাশ্বত,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
doorotaumo,	দূরতৌম,	দূরতম,	
kaale,	কালে,	কালে,	
akten,	আঁততেন,	অকটেন,	
daktikiter,	দাকটিকির,	ডাকটিকিটের,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
rinatmok,	ঋণাত্মক,	ঋনাত্মক,	
mirakel,	মিরাকেল,	মিরাকেল,	
baaraak,	ব্যারাক,	বারাক,	
gej,	গেজ,	গেজ,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
madhookori,	মাধকরী,	মাধুকরী,	
nojod,	নজদ,	নজদ,	
sten,	স্টেন,	স্টেন,	
rutina,	রুটিন,	রুটিন,	
gonona,	গণনা,	গননা,	
priimo,	প্রিমও,	প্রিমো,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
jolaatanko,	জলাতাঙ্ক,	জলাতঙ্ক,	
waal,	ওয়াল,	উল,	
sainyasoho,	সৈন্যাসস,	সৈন্যসহ,	
marier,	মেরির,	ম্যারির,	
sina,	সিনা,	সিনা,	
edipass,	এডিপাস,	ইডিপাস,	
lokkheryo,	লক্ষ্রেও,	লক্ষেরও,	
tongaa,	তঙ্গা,	টোঙ্গা,	
jibanta,	জীবন্ত,	জীবন্ত,	
eidin,	আইডিন,	এইদিন,	
huqar,	হুকার,	হুকার,	
jaater,	যাতের,	জাতের,	
mesenjarer,	মিসেঞ্জারের,	মেসেঞ্জারের,	
kanagulo,	কানাগুলো,	কণাগুলো,	
utsaahe,	উত্সাহে,	উৎসাহে,	
ajimpur,	আজিমপুর,	আজিমপুর,	
vabuk,	ভাবুক,	ভাবুক,	
ikbaler,	ইকবালের,	ইকবালের,	
ragkey,	রাগকে,	রাগকে,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
uthhe,	উঠে,	উঠে,	
sathikata,	সথিকতা,	সঠিকতা,	
istoon,	ইস্টুন,	স্টোন,	
horipoor,	হরিপুর,	হরিপুর,	
saseja,	সাজজ,	সসেজ,	
mayili,	মেইলি,	মাইলি,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
keo,	কিও,	কেও,	
bhange,	ভাঙে,	ভাঙ্গে,	
dumaa,	ডুমা,	দুমা,	
gare,	গেয়ার,	গোর,	
pretty,	প্রেতি,	প্রিটি,	
okritokarjo,	অকৃতকার্য,	অকৃতকার্য,	
shaajaanor,	শাজানোর,	সাজানোর,	
panni,	পানি,	পন্নী,	
upbasher,	উপ্বাসের,	উপবাসের,	
naazii,	নাজি,	নাত্সি,	
gabeshana,	গবেষণা,	গবেষনা,	
kyapasula,	ক্যাপসুল,	ক্যাপসুল,	
agamane,	অগামেন,	আগমনে,	
juktarashtrosaha,	যুক্তরাস্টস্র,	যুক্তরাষ্ট্রসহ,	
dhormee,	ধর্মী,	ধর্মী,	
otyacharito,	অত্যচাতিত,	অত্যাচারিত,	
ddheke,	ঢেকে,	ঢেকে,	
naabbota,	নাব্যতা,	নাব্যতা,	
ship,	শিপ,	শিপ,	
haak,	হ্যাক,	হুক,	
rites,	রিটস,	রিতেশ,	
elakaao,	এলাকাও,	এলাকাও,	
nikate,	নিকতে,	নিকটে,	
beshirvagei,	বেশীরভাগইই,	বেশিরভাগেই,	
dharmee,	ধর্মী,	ধর্মী,	
shhcholashtic,	স্কল্যাস্টিক,	স্কলাস্টিক,	
imarjinsi,	এমার্জিন্সি,	এমার্জেন্সি,	
muktoome,	মুক্তমে,	মাকতুম,	
hydra,	হাইড্রা,	হাইড্রা,	
dola,	দলা,	দলা,	
nirantar,	নিরান্তর,	নিরন্তর,	
charrjer,	চার্যের,	চার্জের,	
armeniyana,	আর্মেনিয়ান,	আর্মেনিয়ান,	
thake,	থকে,	থাকে,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
toubar,	টাউবার,	তওবার,	
vabna,	ভাবনা,	ভাবনা,	
koner,	কোনের,	কনের,	
dharabahiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
sikkhokbreendo,	শিক্ষববৃন্ড,	শিক্ষকবৃন্দ,	
mujibur,	মুজিবর,	মুজিবুর,	
jokkho,	জক্ষ,	যক্ষ,	
babna,	বাঁনা,	বাবনা,	
phokskon,	ফক্সন,	ফক্সকন,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
bu,	বু,	বু,	
hossain,	হোসাইন,	হোসেইন,	
amorendro,	আমরেন্দ্র,	অমরেন্দ্র,	
saoum,	সাউম,	সাওম,	
bharadwaj,	ভারাদ্যাজ,	ভরদ্বাজ,	
enginiiring,	এঞ্জিনিং,	ইঞ্জিনিয়ারিং,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
annorup,	অন্যরূপ,	অন্যরূপ,	
sangkalaner,	সংকলনের,	সংকলনের,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
banijyikvittite,	বানিজ্যিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
jerushalem,	জেরুশলেল,	জেরুসালেম,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
dadaa,	ডাদা,	দাদা,	
brek,	ব্রেক,	ব্রেক,	
leder,	লেডের,	লিডার,	
manushtike,	মানুস্টিকে,	মানুষটিকে,	
shoccer,	শক্সের,	সকার,	
tovnship,	তবন্শিপ,	টাউনশিপ,	
tecnocrat,	টেকনোক্রাট,	টেকনোক্র্যাট,	
shikkharrthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
bhabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
roomantik,	রুম্যান্টিক,	রোমান্টিক,	
motamoto,	মোতামত,	মতামতও,	
hattey,	হাতে,	হাঁটতে,	
srisri,	শ্রীশ্রি,	শ্রীশ্রী,	
bossonto,	বসন্ত,	বসন্ত,	
superheira,	সুপারহাইরা,	সুপারহিরো,	
sanyal,	স্যান্যাল,	সান্যাল,	
ooipokar,	উইপকর,	উইপোকার,	
ddheela,	ঢিলা,	ঢিলা,	
trans,	ট্রান্স,	ট্রান্স,	
tookrote,	টুকরিট,	টুকরোতে,	
dai,	দাই,	দিই,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
bi,	বি,	বি,	
markeeting,	মার্কিটিং,	মার্কেটিং,	
skolastic,	স্কোল্ট্টিক,	স্কলাস্টিক,	
tyunar,	টিউনার,	টিউনার,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
narsari,	নার্সারী,	নার্সারি,	
tekno,	টেকনো,	টেকনো,	
taoonsheep,	তাউন্পীপ,	টাউনশিপ,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
roopa,	রূপা,	রুপা,	
khodeza,	খোদেজা,	খোদেজা,	
kaande,	কান্ডে,	কাণ্ডে,	
bhashik,	ভাষিক,	ভাষিক,	
kanflict,	কানফিল্ট,	কনফ্লিক্ট,	
craze,	ক্রেজ,	ক্রেজ,	
kalengga,	কলেঞ্গ,	কালেঙ্গা,	
swarnali,	স্বার্নলী,	স্বর্ণালী,	
lidars,	লিডার্স,	লিডার্স,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
peterke,	পেটারকে,	পিটারকে,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
kyashpar,	ক্যাসপার,	ক্যাসপার,	
bachaikrito,	বাচাইকৃত,	বাছাইকৃত,	
difinishian,	ডিফিনিশন,	ডেফিনেশন,	
pachhi,	পাছছি,	পাচ্ছি,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
moshjid,	মস্জিদ,	মসজিদ,	
expressian,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ashok,	অশোক,	আশোক,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
taki,	টকি,	তকি,	
vaider,	ওয়েডার,	ভাইদের,	
nirarthok,	নীরার্থক,	নিরর্থক,	
chamke,	চামকে,	চমকে,	
naji,	নাজি,	নাত্সি,	
maudeley,	মাউডেলে,	মডেলে,	
ghumachche,	ঘুমাচ্যে,	ঘুমাচ্ছে,	
culing,	কুলিং,	কুলিং,	
shotokei,	শতকেই,	শতকেই,	
bagdadi,	বাগদদি,	বাগদাদী,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
bojhe,	বোঝে,	বোঝে,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
rubi,	রুবি,	রুবি,	
madrasar,	মাদরাসার,	মাদ্রাসার,	
orthonitite,	অর্থনিতিতে,	অর্থনীতিতে,	
swatantrata,	স্বাতন্ত্রত,	স্বতন্ত্রতা,	
uul,	উল,	উল,	
ghatla,	ঘাতলা,	ঘটল,	
batsmaner,	বাতসমনের,	ব্যাটসম্যানের,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
recondishon,	রেকন্ডিশন,	রিকন্ডিশন,	
aminar,	আমিনার,	আমিনার,	
barack,	ব্যার,	বারাক,	
gononanatyo,	গণনাাত্য,	গণনাট্য,	
swostir,	স্বস্তির,	স্বস্তির,	
mette,	মেতে,	ম্যাট,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
lutharan,	লুথরণ,	লুথেরান,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
mosjidsaho,	মস্জিদসহ,	মসজিদসহ,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
sharif,	শেরিফ,	শরিফ,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
akpashe,	একপাশে,	একপাশে,	
horiddare,	হরিদদারে,	হরিদ্বারে,	
aholar,	আহলার,	অহল্যার,	
chase,	চাষে,	চেস,	
gitikobitar,	গিতিকিতির,	গীতিকবিতার,	
degreer,	ডিগ্রির,	ডিগ্রির,	
kakhanyoba,	কখন্যবা,	কখনওবা,	
teestar,	টিস্টার,	তিস্তার,	
jotota,	জতটা,	যতোটা,	
mekon,	মেকন,	মেকং,	
plator,	প্লেটর,	প্লেটোর,	
velcome,	ভেলকমে,	ওয়েলকাম,	
faskari,	ফাসকারী,	ফাঁসকারী,	
horidware,	হরিদ্যারে,	হরিদ্বারে,	
pouchute,	পৌছছতে,	পৌঁছুতে,	
oshamorik,	ওসামারিক,	অসামরিক,	
poscime,	পশ্চিমে,	পশ্চিমে,	
through,	থ্রাও,	থ্রু,	
