sahosikotar,	সহসিকতার,	সাহসিকতার,	
biseshyo,	বিশেষ্য,	বিশেষ্য,	
nortokike,	নর্তকিকে,	নর্তকীকে,	
deembakreeti,	দিম্বাক্রী,	ডিম্বাকৃতি,	
dhyana,	ধ্যানা,	ধ্যান,	
palestiner,	পালসসিটের,	প্যালেস্টাইনের,	
cannel,	ক্যানেল,	ক্যানেল,	
kaalengaa,	কালেঞ্গা,	কালেঙ্গা,	
atak,	আটাক,	আটক,	
venicer,	ভেনিসের,	ভেনিসের,	
phood,	ফোড,	ফুড,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
nondolaal,	নন্দলাল,	নন্দলাল,	
gaddaafee,	গড্াাাফি,	গাদ্দাফী,	
karecho,	করেচ,	করেছো,	
uindoos,	উইন্ডস,	উইন্ডোস,	
rajnoiteek,	রাজনীতিক,	রাজনৈতীক,	
thar,	থার,	থর,	
olpoi,	অল্পই,	অল্পই,	
teemplatee,	টিম্পললি,	টেম্পলেট,	
dubaate,	দুবাতে,	ডুবাতে,	
deefinition,	ডিফিনিন,	ডেফিনেশন,	
mogert,	মগের্ট,	মোজার্ট,	
jemy,	জেমি,	জেমি,	
halloween,	হালাইন,	হ্যালোইন,	
santose,	সন্তাসে,	সন্তোষে,	
besooro,	বেশরু,	বেসুর,	
apachesta,	অপসেচ্ট,	অপচেষ্টা,	
shrishree,	শৃষ্রী,	শ্রীশ্রী,	
akmato,	একমাত,	একমত,	
bahati,	বাহাতি,	বাহাতি,	
dhyanostho,	ধ্যানস্থ,	ধ্যানস্থ,	
sanaktokaraner,	সনাক্তনকরের,	সনাক্তকরণের,	
ekghore,	একোরে,	একঘরে,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
dhrubak,	ধ্রাবক,	ধ্রুবক,	
maarmader,	মারমাদের,	মারমাদের,	
poromartho,	পরমর্থ,	পরমার্থ,	
japaanira,	জাপানির,	জাপানিরা,	
ajijer,	আজিজের,	আজিজের,	
pleto,	প্লেট,	প্লেটো,	
upanishad,	উপনিসন,	উপনিষদ,	
behramporer,	বেহরপমরের,	বহরমপুরের,	
karmasampadon,	কর্মসামন্ন,	কর্মসম্পাদন,	
mesenzarer,	মেসেন্জের,	মেসেঞ্জারের,	
