phulkapi,	ফুলকাপি,	ফুলকপি,	
ooipokar,	উইপকার,	উইপোকার,	
ganosachetanata,	গণসচ্তনত,	গণসচেতনতা,	
ssahosikotar,	সাহসিকতার,	সাহসিকতার,	
ovishangsan,	অভিসংসন,	অভিশংসন,	
ghensha,	ঘেন্স,	ঘেঁষা,	
gaddaphii,	গাদ্যাফী,	গাদ্দাফী,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
eshoshiyetasha,	এসোবিয়েটস,	এসোসিয়েটস,	
dibya,	দিব্য,	দিব্যা,	
digri,	ডিগ্রী,	ডিগ্রি,	
tarani,	তরণণী,	তরণী,	
konagulo,	কোনগুলো,	কণাগুলো,	
nirmaankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
phimela,	ফিমেল,	ফিমেল,	
techno,	তেছনো,	টেকনো,	
maaktume,	মাক্তুম,	মাকতুম,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
mojlish,	মজলিস,	মজলিশ,	
morathee,	মরাথী,	মরাঠি,	
astheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
ojowno,	অযৌন,	অযৌন,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
pachhi,	পাঁচি,	পাচ্ছি,	
dargah,	দরগাহ,	দরগাহ,	
sabchey,	সবচে,	সবচে,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
rejidence,	রেজিডেন্স,	রেসিডেন্স,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
koilas,	কৈলাশ,	কৈলাস,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
khalidke,	খলিদকে,	খালিদকে,	
bidrohiderke,	বিদ্রোহীদেরকে,	বিদ্রোহীদেরকে,	
dheke,	ঢেঁকি,	ঢেকে,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
tanight,	টানাইট,	টুনাইট,	
kkomatei,	কমাতেই,	কমাতেই,	
cuti,	কুটি,	কিউটি,	
shaushage,	সৌশগে,	সসেজ,	
thar,	থার,	থর,	
uthhaane,	উঠানে,	উঠানে,	
horeedware,	হরিদ্বরে,	হরিদ্বারে,	
monjhostho,	মাঝহস্থ,	মঞ্চস্থ,	
snaipara,	স্নাইপার,	স্নাইপার,	
kulim,	কুলিম,	কুলিং,	
indro,	ইন্দ্রো,	ইন্দ্র,	
starcer,	স্টার্সের,	স্টার্কের,	
pettern,	পিটার্ন,	প্যাটার্ন,	
parinati,	পরিনতি,	পরিণতি,	
pattern,	পটার্ন,	প্যাটার্ন,	
tyap,	ট্যাপ,	ট্যাপ,	
jatee,	জাতি,	যাতি,	
uzbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
totenhaamer,	ততেনহ্মামের,	টটেনহামের,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
prasadhani,	প্রসাধনী,	প্রসাধনী,	
juktarashtrasaha,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
phutonta,	ফুটন্ত,	ফুটন্ত,	
sikkhakke,	শিক্ষাক্যে,	শিক্ষককে,	
kooshumba,	কুুম্ব,	কুশুম্বা,	
kakhnoba,	কখ্নবা,	কখনওবা,	
bikargrasta,	বিকর্গ্রস্ত,	বিকারগ্রস্ত,	
rubol,	রুবল,	রুবল,	
sheekare,	শিকারে,	শিকারে,	
bolechiley,	বলেছিলে,	বলেছিলে,	
krej,	ক্রেজ,	ক্রেজ,	
seo,	সিও,	সেও,	
ralafa,	রোলা,	রালফ,	
somraatder,	সম্রাত্দের,	সম্রাটদের,	
dong,	ডন,	ডং,	
bai,	বাই,	বাঈ,	
procharonamulok,	প্রচারণামূলক,	প্রচারণামূলক,	
inashtyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
tafsirer,	তাফসীরের,	তাফসীরের,	
ispredsit,	এস্প্রেডসিট,	স্প্রেডশীট,	
rubi,	রুবি,	রুবি,	
nartana,	নর্তন,	নর্টন,	
phutbolarder,	ফুটবলরদের,	ফুটবলারদের,	
koomari,	কুমারী,	কুমারী,	
jarusalem,	জরুসলেম,	জেরুসালেম,	
nations,	নেটনশ,	নেশনস,	
sourse,	সার্সে,	সোর্স,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
seektara,	সেক্টার,	সেক্টর,	
moshzidtir,	মসজীিটির,	মসজিদটির,	
brekathru,	ব্রেকা্রু,	ব্রেকথ্রু,	
onkeeta,	অঙ্কিত,	অঙ্কিতা,	
sovanetri,	সভানেত্রী,	সভানেত্রী,	
kark,	কার্ক,	কার্ক,	
udbodhani,	উদ্বোধনী,	উদ্বোধনী,	
orthat,	অর্থাত,	অর্থাৎ,	
beatleser,	বিটলসের,	বিটলসের,	
maailey,	মাইলে,	মাইলে,	
siite,	শীটে,	শীতে,	
khilaphat,	খিলাফাত,	খিলাফত,	
chaalkee,	চালকে,	চালকে,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
ester,	এস্টের,	ইস্টার,	
raeets,	রাইটস,	রাইটস,	
stonahenza,	স্তনাহেন্য,	স্টোনহেঞ্জ,	
monzooshree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
koode,	কোড,	কোড,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
ralf,	রল,	রালফ,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
jemske,	জেমস্কে,	জেমসকে,	
beshirvagei,	বেশিরভাগইই,	বেশিরভাগেই,	
militarir,	মিলিটারীর,	মিলিটারির,	
engrejer,	ইংরেজের,	ইংরেজের,	
guzober,	গুজবের,	গুজবের,	
panero,	পানেরো,	পনের,	
urur,	উরুর,	উরুর,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
panchbar,	পাঁচবার,	পাঁচবার,	
jaruri,	জরুরী,	জরূরী,	
aarcie,	আর্কি,	আরসিএ,	
shomraatder,	সম্রাত্দের,	সম্রাটদের,	
naubihar,	নবিহর,	নৌবিহার,	
zinsa,	জিনস,	জিন্স,	
samajikotar,	সামাজিকিকতার,	সামাজিকতার,	
forider,	ফরীদের,	ফরিদের,	
lisens,	লিসেন্স,	লাইসেন্স,	
dep,	ডীপ,	ডেপ,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
raktaksharaney,	রক্তক্ষরণে,	রক্তক্ষরণে,	
dweepgulo,	দ্বীপগুলো,	দ্বীপগুলো,	
nirikha,	নিরিখা,	নিরিখ,	
osamanno,	অসমান্য,	অসামান্য,	
zyakasana,	জ্যাকসন,	জ্যাকসন,	
bhabanir,	ভবনীর,	ভবানীর,	
nirmaankaj,	নির্মাণকাজ,	নির্মাণকাজ,	
toki,	টকি,	তকি,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
basakey,	বাসাকে,	বাসাকে,	
ardasho,	অর্দশ,	আর্দশ,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
neerbahe,	নির্বাহে,	নির্বাহে,	
nischitorupey,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
bhittie,	ভিত্তি,	ভিত্তিই,	
puroheetder,	পূরোহিতদের,	পুরোহিতদের,	
vogirath,	ভগগীরথ,	ভগীরথ,	
hugh,	হুউ,	হিউজ,	
daaktikit,	ডাক্তিকিত,	ডাকটিকিট,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
argho,	অর্ঘ,	অর্ঘ্য,	
groowth,	গ্রুথ,	গ্রোথ,	
sharok,	শরকক,	স্মারক,	
shaswata,	শাস্বত,	শাশ্বত,	
de,	দে,	ডে,	
anadhikar,	অনধিকা,	অনধিকার,	
kodguli,	কদগুলি,	কোডগুলি,	
dece,	ডেস,	ডেকে,	
monohor,	মনোহর,	মনোহর,	
ganona,	গণনা,	গননা,	
nationsh,	নেটনশ,	নেশনস,	
doobate,	দুবাতে,	ডুবাতে,	
thaken,	থাকেন,	থাকেন,	
motabolombira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
mauhajote,	মহাজতে,	মহাজোট,	
boikalya,	বৈকল্য,	বৈকল্য,	
kunty,	কুন্তি,	কুন্তী,	
gabeshanar,	গবেষণার,	গবেষনার,	
jibnagar,	জীবনাগর,	জীবননগর,	
talgachh,	তালগাছ,	তালগাছ,	
shelina,	সেলিন,	সেলিনা,	
somoshti,	সমস্তি,	সমষ্টি,	
garjon,	গা্জন,	গর্জন,	
siramiks,	সিরামিক্স,	সিরামিকস,	
ddheela,	ঢেলা,	ঢিলা,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
donaat,	দোনাত,	ডোনাট,	
shoccer,	সক্সের,	সকার,	
voolapuk,	ভুলাপুক,	ভোলাপুক,	
naraphooka,	নারফুক,	নরফোক,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
naitik,	নৈতিক,	নৈতিক,	
jees,	জেস,	জেস,	
vejjanno,	ভেজান্য,	ভেজানো,	
