chhatogalpe,	ছটটোগল্পে,	ছোটগল্পে,	
asar,	আসার,	আসর,	
rakhtokkharoner,	রক্তকরণণের,	রক্তক্ষরণের,	
bota,	বোট,	বটা,	
muchir,	মুচির,	মুচির,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
cloud,	ক্লদ,	ক্লাউড,	
brindaboner,	ব্রিন্ডবেনের,	বৃন্দাবনের,	
santa,	সান্ত,	সান্তা,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
khargoser,	খর্ষসের,	খরগোসের,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
joubanboti,	যৌবন্তী,	যৌবনবতী,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
harano,	হারানো,	হারান,	
nondolaal,	নন্দলাল,	নন্দলাল,	
snipar,	স্নীপার,	স্নাইপার,	
maney,	মানে,	মানে,	
prrajanankaal,	প্রজ্যানক্,	প্রজননকাল,	
larshon,	লার্সন,	লারসন,	
vvejaano,	ভেজানো,	ভেজানো,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
hajjarer,	হাজ্জারের,	হাজারের,	
bosonte,	বসন্তে,	বসন্তে,	
ramantika,	রামান্টিক,	রোমান্টিক,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
graambashi,	গ্রামবাসী,	গ্রামবাসী,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
choudhooreeke,	চৌধুরীকে,	চৌধুরীকে,	
olympik,	অলিম্পিক,	অলিম্পিক,	
tooni,	তুনি,	টুনি,	
beem,	বীম,	বিম,	
qulim,	কুলিং,	কুলিং,	
jeevjontu,	জীভ্নতু,	জীবজন্তু,	
byaboharkareer,	ব্যবহারককারীর,	ব্যবহারকারীর,	
osamanno,	অসমান্ন,	অসামান্য,	
chyeta,	চ্যাত,	চ্যাট,	
shikshakbrindo,	শিক্ষাবৃর্ণ,	শিক্ষকবৃন্দ,	
shantaa,	শান্ত,	সান্তা,	
hunayn,	হুনেন,	হুনাইন,	
rizur,	রিজুর,	রিজুর,	
yuroo,	ইউরো,	ইউরো,	
gitikabitar,	গীতিকাবিতার,	গীতিকবিতার,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
sansthaner,	সংস্থানের,	সংস্থানের,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
dhila,	ঢিলা,	ঢিলা,	
mosjid,	মজ্জীদ,	মসজিদ,	
timothi,	তিমোথী,	টিমোথি,	
abdoone,	আবদুনে,	আবদুন,	
pujita,	পুজিত,	পূজিতা,	
chhutite,	ছুটিতে,	ছুটিতে,	
dokangoolote,	দাকানগুলোতে,	দোকানগুলোতে,	
silabhara,	সিলভার,	সিলভার,	
munsi,	মুনসী,	মুন্সি,	
prakalpagulor,	প্রকললপুলোর,	প্রকল্পগুলোর,	
tigar,	টিগার,	টাইগার,	
loha,	লোহ,	লোহা,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
alkatra,	আলকাত্র,	আলকাতরা,	
oitijhye,	ঐতিহ্যে,	ঐতিহ্যে,	
koilash,	কৈলাশ,	কৈলাস,	
bhabaponno,	ভববাপন্ন,	ভাবাপন্ন,	
shikar,	শিকার,	শিকার,	
bbs,	বিএসএস,	বিবিএস,	
prakalpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
chatoke,	চটকে,	ছাতকে,	
sarbhaare,	সর্ভরে,	সার্ভারে,	
suresh,	সুরেশ,	সুরেশ,	
judhahato,	যুদ্ধহত,	যুদ্ধাহত,	
taitela,	টাইটেল,	টাইটেল,	
mohibur,	মহিবুর,	মহিবুর,	
besinay,	বেশিনে,	বেসিনে,	
prachurzer,	প্রচুর্যের,	প্রাচুর্যের,	
jarmaniteo,	জার্মানিতে,	জার্মানিতেও,	
shamijir,	সামীজীর,	স্বামীজীর,	
bbosonto,	বসন্ত,	বসন্ত,	
patjato,	পাজ্যত,	পাটজাত,	
ancholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
jomkaalo,	জম্কাল,	জমকালো,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
shcholastiq,	স্কোলাস্টিক,	স্কলাস্টিক,	
eevil,	এইভিল,	ইভিল,	
alexandar,	আলেক্সান্ডার,	আলেকজান্ডার,	
ishan,	আইসন,	ঈশান,	
naubotom,	নৌবতত,	নবতম,	
gazipur,	গাজীপুর,	গাজিপুর,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
eutey,	ইউটে,	ইইউতে,	
ropto,	রপ্ত,	রপ্ত,	
letter,	লেটার,	লেটার,	
dakten,	ডাকতেন,	ডাকতেন,	
shangkulaan,	সংক্লুলন,	সংকুলান,	
amanisha,	অ্যানিস,	অমানিশা,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
venkatesh,	ভেঙ্কাটেস,	ভেঙ্কটেশ,	
borana,	বরানা,	বোরন,	
plato,	প্লত,	প্লেটো,	
engrezder,	ইংরেজদের,	ইংরেজদের,	
shringgey,	শ্রীঙ্গে,	শৃঙ্গে,	
anish,	আনিশ,	আনিস,	
koordider,	কুর্দীদের,	কুর্দিদের,	
mosjidtikey,	মুজজিদটিকে,	মসজিদটিকে,	
rajatta,	রাজত্ব,	রাজত্ব,	
mishal,	মিসাল,	মিশাল,	
shtena,	স্টেন,	স্টেন,	
mandander,	মানদন্দের,	মানদণ্ডের,	
khalid,	খলিদ,	খালিদ,	
dokangulotey,	দাকানগুলোতে,	দোকানগুলোতে,	
seqtara,	সেক্টর,	সেক্টর,	
smarok,	স্মারক,	স্মারক,	
taaler,	তালের,	তালের,	
gaaddafee,	গাদ্ডাফী,	গাদ্দাফী,	
vabnar,	ভাবনার,	ভাবনার,	
neshhanasha,	নেশানস,	নেশনস,	
cholo,	চলল,	চলো,	
telakucha,	টেলাকুচা,	তেলাকুচা,	
mautke,	মটকে,	মতকে,	
gezetted,	জেজেটেড,	গেজেটেড,	
antarctikar,	অন্তর্কিটিকর,	অ্যান্টার্কটিকার,	
laiceensee,	লেসনেস্স,	লাইসেন্স,	
meghachonno,	মেঘাচন্ন,	মেঘাচ্ছন্ন,	
codeguli,	কদেগুলি,	কোডগুলি,	
bedey,	বেদে,	বেদে,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
daankaan,	ডানকান,	ডানকান,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
expose,	এক্সপোজ,	এক্সপোজ,	
madhobi,	মাধবী,	মাধবীর,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
