tukror,	টুকরার,	টুকরোর,	
bhittie,	ভিত্ি,	ভিত্তিই,	
shkalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
ebham,	ইভাম,	ইভিএম,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
hachchilo,	হচ্ছিল,	হচ্ছিলো,	
deeputy,	দিপুটি,	ডেপুটি,	
korley,	করলে,	করলে,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
mojlish,	মজলিস,	মজলিশ,	
evil,	এভিল,	ইভিল,	
jaistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
muladee,	মুলাদী,	মুলাদি,	
cyanide,	স্যানিদে,	সায়ানাইড,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
macbeth,	ম্যাবকেট,	ম্যাকবেথ,	
dooborira,	দুবরীরা,	ডুবুরিরা,	
upanishad,	উপনিষাদ,	উপনিষদ,	
shhepha,	সেফ,	শেফ,	
gaichey,	গাইছে,	গাইছে,	
fixin,	ফিজিন,	ফিক্সিং,	
taurist,	টুরিস্ট,	টুরিস্ট,	
booth,	বুঠ,	বুথ,	
artilery,	আর্টিলিরি,	আর্টিলারি,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
pratimar,	প্রতিমার,	প্রতিমার,	
jens,	জেনস,	জিন্স,	
juktarashtrosaha,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
shoya,	শোয়া,	সোয়া,	
somratder,	সমরদাদের,	সম্রাটদের,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
wenice,	ভেনিস,	ভেনিস,	
voter,	ভোটের,	ভোটার,	
dheke,	ঢেঁকি,	ঢেকে,	
taali,	টালি,	তালি,	
piora,	পিয়ার,	পিওর,	
behramporer,	বাহারাম্পরের,	বহরমপুরের,	
cheef,	চীফ,	শেফ,	
surarop,	সুরারোপ,	সুরারোপ,	
donut,	দুনত,	ডোনাট,	
canflikt,	কনফাল্ক্ট,	কনফ্লিক্ট,	
hajartee,	হজরতি,	হাজারটি,	
jack,	জ্যাক,	জ্যাক,	
candy,	কন্ডি,	ক্যান্ডি,	
samanyai,	সামান্যই,	সামান্যই,	
potocheetrer,	পতচিত্রের,	পটচিত্রের,	
baarbadoj,	বার্বাডোজ,	বার্বাডোজ,	
graambaseeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
sahapatheekey,	সহপাঠীকে,	সহপাঠীকে,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
dighal,	দিঘল,	দীঘল,	
prokolpou,	প্রকল্পু,	প্রকল্পও,	
horeedwar,	হরিদ্বর,	হরিদ্বার,	
teknokrat,	টেকনোক্র,	টেকনোক্র্যাট,	
motabolombira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
elaakao,	এলাকাও,	এলাকাও,	
bidghute,	বিদঘুতে,	বিদঘুটে,	
shoccer,	সক্চার,	সকার,	
motion,	মতিন,	মোশন,	
nartaki,	নারতাকি,	নর্তকী,	
pachhi,	পাঁচি,	পাচ্ছি,	
samanwitobhabe,	সামান্তীতভাবে,	সমন্বিতভাবে,	
manush,	মানুস,	মানুষ,	
obharabhiu,	অভারভী,	ওভারভিউ,	
kash,	কাশ,	কাস,	
bibek,	বিবেক,	বিবেক,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
parshwey,	পারস্যে,	পার্শ্বে,	
rahh,	রাহ,	রঃ,	
planea,	প্লেনে,	প্লেনে,	
kaale,	কালে,	কালে,	
seo,	সিও,	সেও,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
birishirite,	বিরীশিরিতে,	বিরিশিরিতে,	
saras,	সারস,	সরস,	
turki,	টার্কি,	তুর্কি,	
rigthter,	রিগ্থের,	রাইটের,	
sheo,	সেই,	সেও,	
krantikale,	ক্রন্টিকালে,	ক্রান্তিকালে,	
jameser,	জ্মাসের,	জেমসের,	
