chalachchitrei,	চলচচচত্রে,	চলচ্চিত্রেই,	
gosti,	গোসটট,	গোষ্ঠী,	
kormosongsthan,	কর্মসসস্তা,	কর্মসংস্থান,	
haze,	হাজে,	হেজ,	
udbodhani,	উদ্বধানী,	উদ্বোধনী,	
kona,	কোন,	কণা,	
cruce,	ক্রাস,	ক্রুশ,	
azizur,	আজিজুর,	আজিজুর,	
sunagorik,	সুনাগরিক,	সুনাগরিক,	
maddhuri,	মধধধরর,	মাধুরী,	
shrabosty,	শ্রববস্ত,	শ্রাবস্তী,	
jolatonko,	জলাাক্,	জলাতঙ্ক,	
ekshor,	একসরর,	একশোর,	
upobashee,	উপবাসী,	উপবাসী,	
varpur,	ভারপুর,	ভরপুর,	
eling,	এলিং,	ইলিং,	
sangrahok,	সংগ্রহহ,	সংগ্রাহক,	
aairese,	আইরসেে,	আইরেসে,	
laaisheesh,	লাইসে,	লাইসেন্স,	
aborto,	আবর্ত,	আবর্ত,	
prokolpogulor,	প্রকপপপপলরর,	প্রকল্পগুলোর,	
bodna,	বদনা,	বদনা,	
ssumi,	সুমি,	সুমি,	
mirakela,	মিরককেে,	মিরাকেল,	
poschime,	পশ্চিমে,	পশ্চিমে,	
daaktikit,	দাক্িিিত,	ডাকটিকিট,	
gudamjato,	গুদজাত,	গুদামজাত,	
gripa,	গ্রিপ,	গ্রিপ,	
bim,	বিম,	বিম,	
jonomukhee,	জনমুখী,	জনমুখী,	
projanankal,	প্রজনজকলল,	প্রজননকাল,	
porikkhateo,	পরিক্ষাতে,	পরীক্ষাতেও,	
roy,	রো,	রায়,	
madraser,	মাদ্রসের,	মাদ্রাজের,	
naitikatabodh,	নৈতিকাবাবো,	নৈতিকতাবোধ,	
uposhthit,	উপস্থিত,	উপস্থিত,	
jwolbe,	জ্ববে,	জ্বলবে,	
akpashe,	আকপাশে,	একপাশে,	
soholovyotar,	সহভভভযতার,	সহজলভ্যতার,	
ieub,	আউব,	আইইউবি,	
becha,	বেচা,	বেচা,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
janate,	জানাত,	জানাতে,	
elaakaa,	এলাকা,	এলাকা,	
shrabosti,	শ্রবব্তত,	শ্রাবস্তী,	
muhammod,	মুহাম্দ,	মুহম্মদ,	
dhoorer,	ধুরের,	ধরের,	
ajij,	আজিজ,	আজিজ,	
loukeekotaa,	লৌকিকতা,	লৌকিকতা,	
lutharana,	লুঠাা,	লুথেরান,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
tali,	তাল,	তালি,	
manob,	মাব,	মানব,	
byaaran,	ব্যার,	ব্যারন,	
pooroheetder,	পুরহিতদের,	পুরোহিতদের,	
randeep,	রণ্ডিপ,	রণদীপ,	
pacchen,	পাচছছে,	পাচ্ছেন,	
bhortuky,	ভোর্টকক,	ভর্তুকি,	
rubi,	রুবি,	রুবি,	
bhalobasen,	ভালভাসেন,	ভালোবাসেন,	
peterkay,	পেটারকে,	পিটারকে,	
dakshinangsha,	দক্ষিণিশা,	দক্ষিণাংশ,	
batsmaner,	বাৎসানের,	ব্যাটসম্যানের,	
expressian,	এক্সপ্ররেশ,	এক্সপ্রেশন,	
bahati,	বহহতি,	বাহাতি,	
chhayi,	ছাই,	ছাই,	
kiuti,	কিউটি,	কিউটি,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
dibate,	দিবাতে,	ডিবেট,	
korleyi,	করলেই,	করলেই,	
hamburg,	হ্যাব্বর্্,	হামবুর্গ,	
barnis,	বার্নিস,	বার্নিশ,	
tale,	তলল,	তালে,	
shattoki,	সত্যকক,	সাত্যকি,	
conphlikt,	কনফ্লিক্,	কনফ্লিক্ট,	
boudhher,	বৌদ্ধের,	বৌদ্ধের,	
jommu,	জম্মু,	জম্মু,	
mirakeela,	মিরককেল,	মিরাকেল,	
harbar,	হাববা,	হারবার,	
shomrat,	সম্র,	সম্রাট,	
somosto,	সমস্ত,	সমস্ত,	
dologuloo,	দলগুলো,	দলগুলোও,	
khambaa,	খা্বব,	খাম্বা,	
haraten,	হারাতে,	হারাতেন,	
jyaka,	জ্যাক,	জ্যাক,	
messenger,	মেসেঞেগের,	মেসেঞ্জার,	
shangsthati,	সংস্থাটি,	সংস্থাটি,	
aminool,	আমিনুল,	আমিনুল,	
jacqsan,	জাকাস,	জ্যাকসন,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
setitey,	সেতিতে,	সেটিতে,	
markeetim,	মার্কিটিট,	মার্কেটিং,	
shasankorta,	শাসককর্ত,	শাসনকর্তা,	
bhaisaho,	ভৈসসহ,	ভাইসহ,	
sofier,	সফিয়,	সোফির,	
anyarup,	অন্যারপ,	অন্যরূপ,	
saccer,	স্কারের,	সকার,	
tatira,	ততিিরা,	তাঁতিরা,	
megher,	মেঘের,	মেঘের,	
creesceent,	ক্রেস্নেে্,	ক্রিসেন্ট,	
hamburgey,	হাযাব্রর্গ,	হামবুর্গে,	
zojjyota,	যোয্যত,	যোজ্যতা,	
batikromi,	ব্যাকির্রী,	ব্যতিক্রমী,	
dokaneyi,	দোকানেই,	দোকানেই,	
arthanitite,	অর্থনিততত,	অর্থনীতিতে,	
ekpaashe,	একপাশে,	একপাশে,	
samaveshti,	সমভেষেি,	সমাবেশটি,	
hoole,	হুলে,	হোল,	
armstronj,	আর্মস্রর্্,	আর্মস্ট্রং,	
nirobota,	নিরবত,	নিরবতা,	
eenjil,	এঞ্জিল,	ইঞ্জিল,	
bharadwaja,	ভারা্বজজ,	ভরদ্বাজ,	
orthonitikey,	অর্থনিতকেে,	অর্থনীতিকে,	
gaichey,	গাইছ,	গাইছে,	
maniktola,	মানকক্াা,	মানিকতলা,	
recondition,	রেকন্ডিনন,	রিকন্ডিশন,	
bikargrasto,	বিকর্রাস্ত,	বিকারগ্রস্ত,	
suporichita,	সুপররিত,	সুপরিচিত,	
eporjonto,	এপর্যন্,	এপর্যন্ত,	
longhaner,	লং্ঘাের,	লংঘনের,	
jibanto,	জীবন্ত,	জীবন্ত,	
murad,	মুরা,	মুরাদ,	
ganonatto,	গণত্্,	গণনাট্য,	
gazipur,	গাজিপর,	গাজীপুর,	
chorban,	চর্বা,	চর্বন,	
somaazeri,	সমাজেরী,	সমাজেরই,	
sachetanatamulak,	সচেতাততালকক,	সচেতনতামূলক,	
sansthatike,	সংস্থািিকে,	সংস্থাটিকে,	
sachetanotamulak,	সচেতানতাালক,	সচেতনতামূলক,	
basaa,	বাস,	বাসা,	
drishyogulote,	দৃশ্যগুলোে,	দৃশ্যগুলোতে,	
sahochorjo,	সহরর্,	সাহচর্য,	
pest,	পেস্ট,	পেষ্ট,	
ovinetar,	অভিনেতার,	অভিনেতার,	
jibanjapon,	জীবনজজপন,	জীবনযাপন,	
kaando,	কান্ড,	কাণ্ড,	
vushito,	ভূষিত,	ভূষিত,	
chironton,	চিরন্ত,	চিরন্তন,	
timoothy,	তিমুিি,	টিমোথি,	
mohasova,	মোহসাা,	মহাসভা,	
torcarir,	তরককাররর,	তরকারীর,	
horidare,	হরিদার,	হরিদ্বারে,	
bonsho,	বংস,	বংশ,	
kamla,	কমলল,	কামলা,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
kanasarabhesana,	কনসরররেে,	কনসারভেশন,	
paikgacha,	পাইগাছ,	পাইকগাছা,	
bujhleo,	বুঝলেও,	বুঝলেও,	
oncholo,	অঞ্লো,	অঞ্চলও,	
chaaltaa,	চালতা,	চালতা,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
shotokey,	সতকক,	শতকে,	
jestha,	যেষ্ঠা,	জ্যেষ্ঠা,	
pana,	পান,	পানা,	
itastato,	ইতসস্তত,	ইতস্ততঃ,	
daakteekit,	ডাক্তিকি,	ডাকটিকিট,	
chutir,	চুতির,	ছুটির,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
dael,	ডাল,	ডেইল,	
manahputa,	মনহপুপা,	মনঃপুত,	
eqsapreshana,	এক্্প্ররেশ,	এক্সপ্রেশন,	
prokolpoguli,	প্রকুলপুলি,	প্রকল্পগুলি,	
kaanaai,	কানাই,	কানাই,	
purohitke,	পুরহিতকে,	পুরোহিতকে,	
myathious,	ম্যাথিযা,	ম্যাথিউস,	
shapod,	সাপদ,	শ্বাপদ,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
footballerer,	ফুটলললের,	ফুটবলারের,	
sonatani,	সোনাতা,	সনাতনী,	
manab,	মাাব,	মানব,	
sikh,	সিখ,	শিখ,	
joistha,	যৈষ্ঠ,	জ্যৈষ্ঠ,	
navel,	নভভেল,	নভেল,	
protijogiitamulok,	প্রতিযাতামামূক,	প্রতিযোগীতামূলক,	
jhalkathi,	ঝলককাি,	ঝালকাঠী,	
dalu,	দালু,	ডালু,	
qor,	কো,	কর,	
pratisthanikvabey,	প্রতিষ্ঠাভাভাবে,	প্রাতিষ্ঠানিকভাবে,	
eekbalke,	একবলকে,	ইকবালকে,	
baharampoorer,	বহরররপুপররর,	বহরমপুরের,	
tiner,	টিনের,	তিনের,	
chetna,	ছেটন,	চেতনা,	
inasiyinta,	এনসিসনন্ট,	এনসিয়েন্ট,	
kibord,	কিবোর্ড,	কীবোর্ড,	
mag,	মাগ,	এমএজি,	
lesensim,	লেসেস্ংং,	লাইসেন্সিং,	
korlei,	করলেই,	করলেই,	
khude,	খুদে,	ক্ষুদে,	
peengnaa,	পিং্া,	পিংনা,	
bayshorkarikarone,	বৈসরররররকণণ,	বেসরকারিকরণ,	
pallar,	পললার,	পাল্লার,	
homeske,	হমেস্কে,	হোমসকে,	
govornorer,	গভর্রের,	গভর্ণরের,	
jokkho,	যক্ষ,	যক্ষ,	
paira,	পাইর,	পাইরা,	
grootha,	গ্রুথ,	গ্রোথ,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
directorate,	ডিরেক্টােেে,	ডিরেক্টরেট,	
lokhindorer,	লকিন্দোরের,	লখিন্দরের,	
bboponer,	ববপনের,	বপনের,	
pretti,	প্রেটি,	প্রিটি,	
bimaataa,	বিমাতা,	বিমাতা,	
vabanipur,	ভবাণপপর,	ভবানীপুর,	
baet,	বেয,	বাইট,	
nirbaha,	নির্বাহ,	নির্বাহ,	
zerusaleme,	জেরুসামাে,	জেরুসালেমে,	
shreeshree,	শ্রীশরী,	শ্রীশ্রী,	
jaksa,	জককস,	যক্ষ,	
ulcer,	উল্কের,	আলসার,	
naarsari,	নারসসরর,	নার্সারি,	
rajashri,	রাজশ্রী,	রাজশ্রী,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
moshjidshoho,	মসসজিসহহ,	মসজিদসহ,	
ghursen,	ঘুর্েন,	ঘুরেছেন,	
durgatir,	দুর্গতির,	দুর্গটির,	
naditir,	নািিির,	নদীটির,	
zonsa,	জনসস,	জোন্স,	
pancbaar,	পাঁচবর,	পাঁচবার,	
