poshchater,	পশচাতের,	পশ্চাতের,	
zyaka,	জ্যাক,	জ্যাক,	
upobashee,	উপবাসী,	উপবাসী,	
blagarara,	ব্লাগারার,	ব্লগাররা,	
nariikeyi,	নারীকেই,	নারীকেই,	
lokeshon,	লোকেশন,	লোকেশন,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
tobe,	তবে,	টবে,	
segulor,	সেগুলোর,	সেগুলোর,	
napper,	নাপের,	ন্যাপের,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
cross,	ক্রস,	ক্রুশ,	
gonona,	গণনা,	গননা,	
selina,	সেলিনা,	সেলিনা,	
fern,	ফার্ন,	ফার্ন,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
osocheton,	অসচ্তন,	অসচেতন,	
uporostho,	উপরস্থ,	উপরস্থ,	
phirati,	ফিরাটি,	ফিরতি,	
capshule,	ক্যাফাল,	ক্যাপসুল,	
sorsa,	সর্স,	সোর্স,	
yukeliptash,	ইউকিলপ্তাস,	ইউক্যালিপ্টাস,	
kibord,	কিবোর্ড,	কীবোর্ড,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
samudrotate,	সমুদ্রতাতে,	সমুদ্রতটে,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
onkar,	অঙ্কার,	ওঙ্কার,	
elaakatite,	এলাকাতিতে,	এলাকাটিকে,	
turista,	তুরিষ্ট,	টুরিস্ট,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
leta,	লেট,	ল্যাটা,	
dimbacriti,	ডিম্বলকৃতি,	ডিম্বাকৃতি,	
orthonitikey,	অর্থনীতিকে,	অর্থনীতিকে,	
moushumti,	মৌশুমটি,	মৌসুমটি,	
asovya,	অসভ্য,	অসভ্য,	
nodiitir,	নদীতীর,	নদীটির,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
byaboharkarikey,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
akkharkey,	অক্ষররকে,	অক্ষরকে,	
shangkalone,	সংকলানে,	সংকলনে,	
mail,	মেল,	মাইল,	
parshwey,	পারস্বে,	পার্শ্বে,	
epiela,	এপিল,	আইপিএল,	
bhezano,	ভেজানো,	ভেজানো,	
rupdan,	রূপনদ,	রুপদান,	
baharamapurer,	বহহারাুপুরের,	বহরমপুরের,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
nandolal,	নান্ডললল,	নন্দলাল,	
maner,	মানের,	মানে,	
scholastik,	স্কলাসসিক,	স্কলাস্টিক,	
progresh,	প্রগগ্রস,	প্রগ্রেস,	
license,	লিকেন্স,	লাইসেন্স,	
sanbadmadhyame,	সংশ্বদমধধামে,	সংবাদমাধ্যমে,	
sofir,	সফীর,	সোফির,	
jatota,	যততা,	যতোটা,	
bocchon,	বক্ছন,	বচ্চন,	
miley,	মিলে,	মাইলে,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
ahollar,	আহলার,	অহল্যার,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
biswashwo,	বিশ্বস্ব,	বিশ্বাসও,	
shangkulaan,	শংকুলুন,	সংকুলান,	
samosto,	সমস্ত,	সমস্ত,	
sanbadmadhyamgulote,	সংশ্বমযানকূলতে,	সংবাদমাধ্যমগুলোতে,	
battery,	ব্যাটারি,	ব্যাটারী,	
sooya,	সোয়া,	সোয়া,	
superheror,	সুপারেররর,	সুপারহিরোর,	
pothnatok,	পথ্যাতক,	পথনাটক,	
prokolpow,	প্রকল্পো,	প্রকল্পও,	
uruu,	উরু,	উরু,	
saccer,	সক্সের,	সকার,	
talal,	তালাল,	তালাল,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
stoona,	স্তননা,	স্টোন,	
melborner,	মেলবর্ণের,	মেলবোর্নের,	
zesa,	জেস,	জেস,	
pragreesa,	প্রগগ্রেস,	প্রগ্রেস,	
superheroo,	সুপারেররও,	সুপারহিরো,	
madhuree,	মধুরী,	মাধুরী,	
milekhaanek,	মিলেখানাকে,	মাইলখানেক,	
prasadhani,	প্রসাধানী,	প্রসাধনী,	
porishkaran,	পরিষ্করণ,	পরিষ্করণ,	
shiropa,	শিরপা,	শিরোপা,	
ceema,	সিম,	সীমা,	
karmake,	কর্মকে,	কর্মকে,	
beem,	বিম,	বিম,	
adhattikotar,	আধ্যাতভিকতার,	আধ্যাত্মিকতার,	
parishrami,	পরিশ্রমী,	পরিশ্রমী,	
elaakate,	এলাকাতে,	এলাকাতে,	
mahey,	মহে,	মাহে,	
bi,	বি,	বি,	
nironjon,	নিরোজ্জন,	নিরঞ্জন,	
maila,	মেল,	মাইল,	
nutan,	নুটান,	নূতন,	
orbeet,	অর্বিত,	অরবিট,	
fooloo,	ফুলো,	পোলো,	
samashtigata,	সমস্তিতুত,	সমষ্টিগত,	
mosleh,	মসলে,	মোসলেহ,	
emgee,	এমগি,	এমজি,	
horipoor,	হরিপুর,	হরিপুর,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
alsaar,	আলসার,	আলসার,	
jwaluk,	জ্বলুক,	জ্বলুক,	
ishton,	ইস্টন,	স্টোন,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
fokshkon,	ফক্ষকণ,	ফক্সকন,	
haluder,	হালুদের,	হলুদের,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
adbhanced,	অ্যাডভান্সে,	অ্যাডভান্সড,	
santoshe,	সন্তদে,	সন্তোষে,	
plane,	প্লেন,	প্লেন,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
farider,	ফরিদের,	ফরিদের,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
shoshar,	শোসর,	সকার,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
elaakaatir,	এলাকাতির,	এলাকাটির,	
sikare,	শিকরে,	শিকারে,	
prokalpao,	প্রকল্পাও,	প্রকল্পও,	
qanaphliqta,	কনফাল্ক্ট,	কনফ্লিক্ট,	
sahoocorzo,	সহচকর্য,	সাহচর্য,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
asamarik,	আসামারিক,	অসামরিক,	
jomkaalo,	জম্কালো,	জমকালো,	
thailandshoho,	থাইলননস্য,	থাইল্যান্ডসহ,	
dayraa,	দৈরা,	ডেরা,	
bon,	বন,	বন,	
marketim,	মার্কটিং,	মার্কেটিং,	
hondooras,	হন্ডুরাস,	হন্ডুরাস,	
gagee,	গেগী,	গেজ,	
mumtaj,	মুমতজ,	মুমতাজ,	
jonoika,	জননিকা,	জনৈকা,	
porishongkhyanbid,	পরিসংখ্যাসিত,	পরিসংখ্যানবিদ,	
transfarm,	ট্রান্সপোর্ম,	ট্রান্সফর্ম,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
azaadeer,	আজাদীর,	আজাদীর,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
aaireshe,	আইরেশে,	আইরেসে,	
lohar,	লোহার,	লোহার,	
samanya,	সামনযা,	সামান্য,	
astikra,	অস্তিকরা,	আস্তিকতা,	
chalachchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
serup,	শেরুপ,	সেরূপ,	
amarika,	আমরিক,	আমেরিকা,	
padee,	পদি,	পাড়ে,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
matthews,	ম্যাথেফ,	ম্যাথিউস,	
vugorvey,	ভূগর্ভে,	ভূগর্ভে,	
gasthigulo,	গাষ্থিগুলো,	গোষ্ঠীগুলো,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
morodeho,	মরদদেহ,	মরদেহ,	
mohisho,	মহীষ,	মহিষ,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
tottorat,	তত্তরতা,	তওরাত,	
aarik,	আরিক,	আরিক,	
atyacarito,	অত্মাকারিত,	অত্যাচারিত,	
iyanqi,	ই্যাঙ্কি,	ইয়াংকি,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
debating,	ডেবেটিং,	ডিবেটিং,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
rahi,	রহি,	রাহি,	
protizogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
zommoo,	জম্ম,	জম্মু,	
koro,	কোরো,	করো,	
aansarir,	আনসারির,	আনসারীর,	
bhenna,	ভেন্না,	ভেন্না,	
devolopar,	ডেভলপার,	ডেভলপার,	
parqa,	পারকা,	পার্ক,	
kooda,	কোড,	কোডা,	
rights,	রাইটস,	রাইটস,	
avatara,	অভারত,	অবতার,	
lutherana,	লুটরান,	লুথেরান,	
birishirite,	বিরিশীরিতে,	বিরিশিরিতে,	
seo,	সিও,	সেও,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
songostha,	সংস্থা,	সংস্থা,	
bishnuke,	বিষণুুকে,	বিষ্ণুকে,	
sherup,	শেরূপ,	সেরূপ,	
shudden,	সুদদেন,	সাডেন,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
bhenisa,	ভেনিস,	ভেনিস,	
joneser,	জনসের,	জোন্সের,	
samle,	সমলে,	সামলে,	
gandhiyo,	গানধীও,	গান্ধীও,	
modele,	মোদেলে,	মডেলে,	
machhti,	মাছটি,	মাছটি,	
aboshorer,	অবশরের,	অবসরের,	
dibate,	দিবাতে,	ডিবেট,	
booroon,	বুরুণ,	বোরন,	
khelafate,	খেলাফতে,	খেলাফতে,	
diaraesha,	ডিয়ারেস,	ডিআরএস,	
heelser,	হিলসের,	হিলসের,	
balabhadra,	বালোবদ্র,	বলভদ্র,	
ottacharer,	অত্তচচারের,	অত্যাচারের,	
siit,	সীত,	শীত,	
risort,	রিসর্ট,	রিসোর্ট,	
categoryer,	ক্যাগোরের,	ক্যাটাগরির,	
woter,	ওয়েটার,	ভোটার,	
spenser,	স্পেন্সের,	স্পেন্সার,	
prithibir,	পৃথিবীর,	পৃথবীর,	
soccer,	সক্সের,	সকার,	
phiqsa,	ফিক্স,	ফিক্স,	
shhooter,	শুটের,	শ্যুটার,	
brindo,	বৃণ্ণ,	বৃন্দ,	
dhaanche,	ধাঁচে,	ধাঁচে,	
sayanaida,	সায়ানাইড,	সায়ানাইড,	
bondi,	বন্দি,	বন্দী,	
pudinn,	পুদিন,	পুডিং,	
dovar,	ডভার,	ডোভার,	
hugheske,	হাগহেসকে,	হিউজকে,	
indr,	ইন্ড্র,	ইন্দ্র,	
bodhirota,	বধীরতা,	বধিরতা,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
panjikar,	পানজিকার,	পঞ্জিকার,	
harris,	হ্যারিস,	হ্যারিস,	
paree,	প্যারি,	পাড়ে,	
bardhitaanas,	বর্ধীতানশ,	বর্ধিতাংশ,	
chetana,	চেটন,	চেতনা,	
karmokarer,	কর্মকারের,	কর্মকারের,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
gabeshanar,	গবেষণার,	গবেষনার,	
vabani,	ভবানী,	ভবানী,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
randeep,	রণ্ডীপ,	রণদীপ,	
rightsh,	রাইটস,	রাইটস,	
petrol,	পিট্রোল,	পেট্রোল,	
nationsh,	ন্যাশনন,	নেশনস,	
krok,	ক্রক,	ক্রোক,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
hepataitisha,	হেযপটটেট,	হেপাটাইটিস,	
kara,	কার,	কারো,	
stationey,	স্টেশনে,	ষ্টেশনে,	
conistho,	চনিষ্ঠ,	কনিষ্ঠ,	
tookoo,	টোকু,	টুকু,	
gitikabita,	গীতিকাবিতা,	গীতিকবিতা,	
roza,	রোজা,	রোযা,	
sharif,	শরীফ,	শরিফ,	
udbhabane,	উদ্ভবনে,	উদ্ভাবনে,	
jacqsan,	জক্সন,	জ্যাকসন,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
jaanachhe,	জানাচেছে,	জানাচ্ছে,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
thaakeni,	থাকানি,	থাকেনি,	
thakte,	থককতে,	থাকতে,	
baire,	বেরে,	বাইরে,	
veenis,	ভেনিস,	ভেনিস,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
ebhara,	ইভার,	এভার,	
hames,	হেমেস,	হোমস,	
nanir,	নানির,	নানীর,	
dibeta,	দিবেত,	ডিবেট,	
sasharire,	সাসারীরে,	সশরীরে,	
iuroo,	ইউরো,	ইউরো,	
enashiyenta,	এনসিয়েন্ট,	এনসিয়েন্ট,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
yaaq,	যাক,	ইয়াক,	
prastutkarok,	প্রস্তুতকরক,	প্রস্তুতকারক,	
bunat,	বুনত,	বুনট,	
jatak,	যতক,	জাতক,	
metroopalitana,	মেট্রোপলিতা,	মেট্রোপলিটন,	
superheiroo,	সুপারেররও,	সুপারহিরো,	
nabatamo,	নবতম,	নবতম,	
cherechhe,	চেরেছে,	ছেড়েছে,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
danob,	দানব,	দানব,	
ingrezra,	ইংরেজ্র,	ইংরেজরা,	
protimar,	প্রতিমার,	প্রতিমার,	
taronee,	তারণী,	তরণী,	
fax,	ফ্যাক্স,	ফক্স,	
gronthotikey,	গ্রন্থিতকে,	গ্রন্থটিকে,	
bethik,	ব্যথিক,	বেঠিক,	
shkarta,	স্কার্ট,	স্কার্ট,	
naditir,	নদীতীর,	নদীটির,	
lazika,	লাজিকা,	লজিক,	
pooshteer,	পুষ্টির,	পুষ্টির,	
utpotti,	উৎপত্তি,	উতপত্তি,	
vor,	ভোর,	ভর,	
granthotike,	গ্রন্থিতকে,	গ্রন্থটিকে,	
faltu,	ফল্ট,	ফালতু,	
jaroori,	জরুরি,	জরূরী,	
hafej,	হাফেজ,	হাফেয,	
ivaner,	ইভানের,	ইভানের,	
iispredsheet,	ইক্সপ্রেসিত,	স্প্রেডশীট,	
drishyagulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
starcer,	স্টার্কের,	স্টার্কের,	
varma,	ভার্ম,	ভার্মা,	
karleo,	করলেও,	করলেও,	
kaferderkey,	কাফারদেরকে,	কাফেরদেরকে,	
asantosh,	আসন্তঃস,	অসন্তোষ,	
bhangle,	ভাঙলে,	ভাঙলে,	
chalachchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
inasiyinta,	ইনসিয়েন্ট,	এনসিয়েন্ট,	
bhittiteo,	ভিত্তেবেও,	ভিত্তিতেও,	
himi,	হিমি,	হিমি,	
brindaboner,	বৃন্দাবনের,	বৃন্দাবনের,	
ministara,	মিনিস্টর,	মিনিস্টার,	
veniser,	ভেনিসের,	ভেনিসের,	
nongra,	নংগরা,	নোংরা,	
benis,	বেনিস,	ভেনিস,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
avishangsan,	অভিসংসন,	অভিশংসন,	
machhe,	মাছে,	মাছে,	
jaksa,	জক্স,	যক্ষ,	
elaakao,	এলাকাও,	এলাকাও,	
shayetana,	সয়েতন,	শয়তান,	
vejjanno,	ভেজজন্য,	ভেজানো,	
salim,	সালিম,	সেলিম,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
turbiner,	টার্বিনের,	টারবাইনের,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
mahajote,	মহাজততে,	মহাজোট,	
sinakey,	সিনাকে,	সিনাকে,	
otiiteo,	অতিতেও,	অতীতেও,	
pray,	প্রে,	প্রায়,	
doobhara,	দুভার,	ডোভার,	
zerusalema,	জেরুশালেম,	জেরুসালেম,	
dupleex,	ডাপলিক,	ডুপ্লে,	
sow,	স,	শো,	
dipke,	ডিপকে,	দ্বীপকে,	
narider,	নারীদের,	নারীদের,	
tunaita,	টুনাইত,	টুনাইট,	
