tokei,	তোকেই,	ত্বকেই,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
vaibonera,	ভাইনেরা,	ভাইবোনেরা,	
nischay,	নিশ্চে,	নিশ্চয়,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
tat,	তৎ,	তাত,	
istoniya,	ইস্টেনিয়া,	এস্তোনিয়া,	
atitkaale,	অতীতকালে,	অতীতকালে,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
krej,	ক্রেজ,	ক্রেজ,	
horeener,	হরিনের,	হরিণের,	
pooroheetder,	পুরোহিদের,	পুরোহিতদের,	
ansarir,	আনসারির,	আনসারীর,	
mekong,	মেকাং,	মেকং,	
dakten,	ডাকতেন,	ডাকতেন,	
atto,	আত্ম,	আত্ম,	
alankorana,	আলঙ্করণা,	অলঙ্করণ,	
dorgaaho,	দরগাহ,	দরগাহ,	
oindreela,	ইন্ড্রেল,	ঐন্দ্রিলা,	
admiral,	অ্যাডমিরাল,	এডমিরাল,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
railliner,	রেলিনের,	রেললাইনের,	
rothin,	রথিন,	রথীন,	
juktorashtreo,	যুক্তরাস্টেরও,	যুক্তরাষ্ট্রেও,	
heelser,	হিলসের,	হিলসের,	
instant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
juktorastroshoho,	যুক্তরস্তোসহ,	যুক্তরাষ্ট্রসহ,	
sangbadmadhyome,	সংবাদদ্ধমে,	সংবাদমাধ্যমে,	
thelyanda,	থেলল্যান্ড,	থাইল্যান্ড,	
tooni,	টুনি,	টুনি,	
kalniir,	কালনীর,	কালনীর,	
orbeet,	অর্বিত,	অরবিট,	
vimshen,	ভীমেন,	ভীমসেন,	
siddhantei,	সিদ্ধন্তেই,	সিদ্ধান্তেই,	
steitt,	স্টেইট,	স্টেইট,	
bhagini,	ভাগিনী,	ভগিনী,	
aaeerese,	আইরেশে,	আইরেসে,	
huk,	হাক,	হুক,	
pothnirdeshona,	পথিন্দ্রশন,	পথনির্দেশনা,	
karmokandeo,	কর্মকান্দেও,	কর্মকাণ্ডেও,	
sombhobonaow,	সম্ভাবনাও,	সম্ভবনাও,	
bisshasyi,	বিশ্বাসি,	বিশ্বাসই,	
bhittiteo,	ভিতিতেও,	ভিত্তিতেও,	
oholla,	অহলা,	অহল্যা,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
turkider,	তুর্কীদের,	তুর্কিদের,	
stoone,	স্তোনে,	স্টোন,	
