ghumato,	ঘুমত,	ঘুমাতো,	
eshiyetika,	এসেটিকিক,	এশিয়াটিক,	
oteeteo,	অতিতেও,	অতীতেও,	
karmapantha,	কর্মপন্থ,	কর্মপন্থা,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
qrita,	ক্রিট,	ক্রীট,	
aakkaas,	আকাাস,	আককাস,	
ekghore,	একঘরে,	একঘরে,	
engrejra,	ইংরেজ্র,	ইংরেজরা,	
mandape,	মন্ডপে,	মন্ডপে,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
ssosha,	শোষা,	শশা,	
sporsher,	স্পোর্সের,	স্পর্শের,	
degreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
peerry,	পেরী,	পেরি,	
deembakreeti,	ডিম্বরকৃতি,	ডিম্বাকৃতি,	
udvabone,	উদ্ভবনে,	উদ্ভাবনে,	
sampadonkari,	সম্পাদকানকীর,	সম্পাদনকারী,	
taitela,	টাইটেল,	টাইটেল,	
bondi,	বন্দি,	বন্দী,	
sulfete,	সালফেট,	সালফেট,	
ekmot,	একমত,	একমত,	
ayadabhanshada,	অ্যাডভানসড,	অ্যাডভান্সড,	
parq,	পার্ক,	পার্ক,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
pooroheetke,	পুরোহিতে,	পুরোহিতকে,	
vabani,	ভবনী,	ভবানী,	
troup,	ট্রুপ,	ট্রুপ,	
metropolitan,	মেট্রোপিলটান,	মেট্রোপলিটন,	
sayaneda,	সায়ন্ডেন,	সায়ানাইড,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
daakteekiter,	দাকটিকিতের,	ডাকটিকিটের,	
abhijojan,	অভিযোজন,	অভিযোজন,	
dai,	দাই,	দিই,	
taunasipa,	তাউনিস,	টাউনশিপ,	
machhti,	মাছটি,	মাছটি,	
pituni,	পিতুনি,	পিটুনি,	
byatikramdharmi,	ব্যতিককারম্ধ্রমী,	ব্যতিক্রমধর্মী,	
beeseshyer,	বিশেষ্যের,	বিশেষ্যের,	
timesh,	টিমসেস,	টাইমস্,	
