nirarthak,	নিরর্থ,	নিরর্থক,	
bhezano,	ভেজন,	ভেজানো,	
bissashii,	বিশ্বাই,	বিশ্বাসী,	
taalaal,	টালল,	তালাল,	
pooloo,	পুলো,	পোলো,	
noditi,	নদিতি,	নদীটি,	
madla,	মাল্,	মাদলা,	
poschimae,	পশ্চিমে,	পশ্চিমে,	
bhaandaar,	ভান্দার,	ভাণ্ডার,	
chalake,	চলাকে,	চালকে,	
bisheshshyer,	বিশেষ্যের,	বিশেষ্যের,	
nirapottamulak,	নির্পাত্মূলক,	নিরাপত্তামূলক,	
elaakaai,	এলাকাই,	এলাকাই,	
patzat,	পা্জত,	পাটজাত,	
gandhiyo,	গণ্ধিয়,	গান্ধীও,	
ajeeboner,	অজীবনের,	আজীবনের,	
siramiks,	সিরামিক,	সিরামিকস,	
nickeel,	নিক্সিল,	নিকেল,	
mathieu,	মাঠিও,	ম্যাথিউ,	
hights,	হিটস,	হাইটস,	
barnish,	বার্নিস,	বার্নিশ,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
deebating,	ডিবাটিং,	ডিবেটিং,	
saamaanyai,	সমমান্যাই,	সামান্যই,	
qindama,	কিন্ডম,	কিংডম,	
juddhahato,	যুদ্ধাহত,	যুদ্ধাহত,	
jya,	জ্যা,	জ্যা,	
alsaar,	আলসার,	আলসার,	
mesenjjar,	মেসেজ্জ্জ,	মেসেঞ্জার,	
goolen,	গুলেন,	গুলেন,	
utsaha,	উৎসাহ,	উৎসাহ,	
conflict,	কন্লিক্ট,	কনফ্লিক্ট,	
sardar,	সর্ডার,	সরদার,	
nanir,	নানির,	নানীর,	
kanai,	কানাই,	কানাই,	
kommatei,	কমমাতেই,	কমাতেই,	
daawn,	ডান,	ডাউন,	
stonaheenja,	স্তাহহেন্জ্,	স্টোনহেঞ্জ,	
uchchotara,	উচ্চতার,	উচ্চতর,	
ojowno,	অজ্যন,	অযৌন,	
ghomtaa,	ঘোম্ত,	ঘোমটা,	
duncan,	ডুন্ন,	ডানকান,	
orthoniti,	অর্থনিতি,	অর্থনীতির,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
depooti,	দেপটি,	ডেপুটি,	
asamanno,	আসমান্ন,	অসামান্য,	
eparjonta,	এপর্জন্ত,	এপর্যন্ত,	
hisabke,	হিসবকে,	হিসাবকে,	
chashe,	চাষে,	চেস,	
mukhyo,	মুখ্য,	মুখ্য,	
addabaaj,	আদ্দাবজ,	আড্ডাবাজ,	
jerusalem,	জারুসলেম,	জেরুসালেম,	
rubidiyaam,	রুবিদিয়া,	রুবিডিয়াম,	
bikaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
hijrii,	হিজ্রী,	হিজরী,	
seat,	সিত,	সিট,	
asovya,	অসভ্য,	অসভ্য,	
notikotar,	নতিকতার,	নৈতিকতার,	
postkay,	পস্্কা,	পোস্টকে,	
alimpiqa,	আলিমপিক,	অলিম্পিক,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
zozyota,	জজ্যাত,	যোজ্যতা,	
mukhmondol,	মুখ্মন্ড,	মুখমণ্ডল,	
zess,	জেস্স,	জেস,	
pratisthanikbhabe,	প্রতিষ্ঠিনভাবে,	প্রাতিষ্ঠানিকভাবে,	
lagic,	লাগিক,	লজিক,	
bhaider,	ভাইদের,	ভাইদের,	
bhaibonder,	ভাবন্দের,	ভাইবোনদের,	
pashaner,	পাশনের,	পাষাণের,	
thyachara,	থ্যাচার,	থ্যাচার,	
bipojjanak,	বিপজজজনক,	বিপজ্জনক,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
mmeloborrne,	মেমলবর্রণে,	মেলবোর্নে,	
novel,	নভেল,	নভেল,	
hotelti,	হটেলটি,	হোটেলটি,	
animated,	অনিমাতেড,	এনিমেটেড,	
sombhobonao,	সম্ভভান,	সম্ভবনাও,	
udbodhony,	উদ্বধনি,	উদ্বোধনী,	
maney,	মানে,	মানে,	
choity,	চৈটি,	চৈতি,	
osamanno,	অসমান্ন,	অসামান্য,	
mandope,	মা্ডপে,	মন্ডপে,	
samanwitobhabe,	সমান্তিভভাবে,	সমন্বিতভাবে,	
songosthagulo,	সংস্গাহুলো,	সংস্থাগুলো,	
madhyekar,	মধ্যাকের,	মধ্যেকার,	
byatikromi,	ব্যাত্করিমী,	ব্যতিক্রমী,	
fimel,	ফিমেল,	ফিমেল,	
dologuloo,	দলগুলো,	দলগুলোও,	
cholochchitra,	চলচচ্ত্র,	চলচ্চিত্র,	
deeputi,	দিপূতি,	ডেপুটি,	
qoda,	কোড,	কোডা,	
chondrima,	চন্দ্রিম,	চন্দ্রিমা,	
thailyanda,	থালয়্যান্ড,	থাইল্যান্ড,	
nesanasa,	নেসনাস,	নেশনস,	
elgoridom,	এলগরিমদ,	এলগরিদম,	
ashok,	আশক,	আশোক,	
bopoon,	বপুন,	বপন,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
gavaskar,	গোবাসকার,	গাভাস্কার,	
prachandota,	প্রচান্দত,	প্রচণ্ডতা,	
estaniya,	এস্টানিয়া,	এস্তোনিয়া,	
addabaz,	আদ্যাবজ,	আড্ডাবাজ,	
dinifition,	ডিনিফিন,	ডেফিনেশন,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
janaganonar,	জনাগনার,	জনগণনার,	
