keke,	কেক,	কেকে,	
maricha,	মরিকা,	মরিচা,	
bhenisa,	ভেনিস,	ভেনিস,	
naazii,	নাজী,	নাত্সি,	
garur,	গারুর,	গরুর,	
sorting,	সর্টিং,	সর্টিং,	
ghumachchila,	ঘুমাচ্ছলি,	ঘুমাচ্ছিল,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
iura,	ইউর,	ইউরো,	
pana,	পান,	পানা,	
suiti,	সুইটি,	সুইটি,	
kaas,	কাস,	কাস,	
utsahomulak,	উৎস্তামূলক,	উৎসাহমূলক,	
aachees,	আচিশ,	আছিস,	
oiteejyo,	ঐতিজ্য,	ঐতিহ্য,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
noveel,	নভেল,	নভেল,	
hocker,	হকার,	হুকার,	
loha,	লোহা,	লোহা,	
bagicha,	বগিচা,	বাগিচা,	
ganaporibahan,	গণপরিবহণ,	গণপরিবহন,	
eporjanta,	অপর্যান্ট,	এপর্যন্ত,	
ishiyatika,	এসিযাটিক,	এশিয়াটিক,	
concert,	কনসার্ট,	কানসাট,	
projanankaal,	প্রজননকাল,	প্রজননকাল,	
shaleha,	সালেহ,	সালেহা,	
byatikrami,	ব্যতিক্রামী,	ব্যতিক্রমী,	
dharati,	ধারতি,	ধারাটি,	
ashammatite,	অসম্মাতিতে,	অসম্মতি,	
pleta,	প্লেট,	প্লেট,	
vaibon,	ভাইবন,	ভাইবোন,	
koruna,	করুনা,	করুণা,	
hartz,	হার্ট,	হার্জ,	
salil,	শালি,	সলিল,	
nirapattamulok,	নিরাত্মূলক,	নিরাপত্তামূলক,	
kemone,	কেমনে,	কেমনে,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
sanatani,	স্যানটননি,	সনাতনী,	
builder,	বিল্ডার,	বিল্ডার,	
temonti,	টেমনটি,	তেমনটি,	
gunjey,	গুঞ্জে,	গুঁজে,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
oppohoron,	অপহরণ,	অপহরন,	
gobeshona,	গবেষণা,	গবেষনা,	
kyamone,	ক্যামোনে,	কেমনে,	
eskol,	এসকল,	এসকল,	
sangbadmadhyomgulote,	সংবাম্যদগুলোতে,	সংবাদমাধ্যমগুলোতে,	
flask,	ফ্লাসক,	ফ্লাস্ক,	
mohasova,	মহাসভা,	মহাসভা,	
nevatey,	নেভাতে,	নেভাতে,	
mukhomaundoler,	মুখমমন্ডলের,	মুখমণ্ডলের,	
chetana,	চেতন,	চেতনা,	
ponero,	পনেরো,	পনের,	
engrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
deaubande,	দিউবন্দে,	দেওবন্দে,	
ekoghore,	একঘরে,	একঘরে,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
santoshpore,	সন্ত্ষপুরে,	সন্তোষপুর,	
tokey,	টোকে,	ত্বকেই,	
charzara,	চারজার,	চার্জার,	
akhandota,	আখন্দতা,	অখণ্ডতা,	
madrasakey,	মদ্রশাকে,	মাদ্রাসাকে,	
apargota,	অপর্গত,	অপারগতা,	
ishpredshheet,	ইস্প্রেসেট,	স্প্রেডশীট,	
ayantarqatiqa,	অ্যান্টরোকটিক,	অ্যান্টার্কটিকা,	
silvee,	সিলভি,	সিলভি,	
touraat,	টুরাট,	তওরাত,	
superheror,	সুপারেহর,	সুপারহিরোর,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
panera,	পানের,	পনের,	
creshcent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
dharmi,	ধর্মী,	ধর্মী,	
bosonte,	বসন্তে,	বসন্তে,	
catholicder,	ক্থালিকের,	ক্যাথলিকদের,	
shakara,	সাকার,	সাকার,	
rooplal,	রূপলাল,	রূপলাল,	
gabeshana,	গবেষণা,	গবেষনা,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
paaree,	পারি,	পাড়ে,	
krusher,	ক্রুশের,	ক্রুশের,	
teunar,	টিউনার,	টিউনার,	
kaaferderke,	কাফেরদেকে,	কাফেরদেরকে,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
upobashii,	উপবাসী,	উপবাসী,	
modelke,	মোডেলকে,	মডেলকে,	
pachchen,	পাচ্ছেন,	পাচ্ছেন,	
muphti,	মুফতি,	মুফতি,	
soteciety,	সটেচিয়ে,	সোসাইটিতে,	
machti,	মাছটি,	মাছটি,	
akar,	আকার,	একার,	
amorendra,	আমরেন্দর,	অমরেন্দ্র,	
anurbor,	অনুর্বর,	অনুর্বর,	
romantiq,	রোমান্তিক,	রোমান্টিক,	
black,	ব্লক,	ব্ল্যাক,	
antarktikar,	অন্তর্ক্তিকার,	অ্যান্টার্কটিকার,	
durgandha,	দুর্গান্ড,	দুর্গন্ধ,	
bamnii,	ব্যান্নী,	বামনী,	
karadonder,	কারাদন্দের,	কারাদণ্ডের,	
institutioner,	ইন্সিটিউটিশনের,	ইনস্টিটিউশনের,	
daqten,	ডাকতেন,	ডাকতেন,	
sthaponagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
khambaa,	ক্ষম্বা,	খাম্বা,	
dharabahiktir,	ধারাবকিত্তির,	ধারাবাহিকটির,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
jakkher,	যক্ষের,	যক্ষের,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
eenjil,	এঞ্জিল,	ইঞ্জিল,	
bim,	বিম,	বিম,	
mitra,	মিট্র,	মিত্র,	
annorup,	অন্যূরূপ,	অন্যরূপ,	
jakkha,	যক্ষা,	যক্ষ,	
machder,	মাচদের,	মাছদের,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
samabesh,	সমবেশ,	সমাবেশ,	
plaiin,	প্লাইন,	প্লেন,	
shfingtar,	স্ফিংটার,	স্ফিংটার,	
ingrezra,	ইংরেজরা,	ইংরেজরা,	
partho,	পার্থ,	পার্থ,	
natniike,	নাটনীকে,	নাতনীকে,	
saida,	সাইড,	সাইদা,	
padee,	পদি,	পাড়ে,	
zyaka,	য্যাক,	জ্যাক,	
chaber,	ছবের,	চাবির,	
vins,	ভিন্স,	ভিন্স,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
antarvuktimulok,	অন্ত্র্তূমূতিকক,	অন্তর্ভুক্তিমূলক,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
badna,	বদনা,	বদনা,	
madhyekar,	মধ্যকের,	মধ্যেকার,	
jokkher,	যক্ষের,	যক্ষের,	
barbadoz,	বার্বাদো,	বার্বাডোজ,	
spredshiit,	স্প্রেসট,	স্প্রেডশীট,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
pooroheetra,	পুরহেত্রা,	পুরোহিতরা,	
vobtarini,	ভব্তরিনী,	ভবতারিণী,	
duckten,	ডাকতেন,	ডাকতেন,	
query,	কায়ারি,	কোয়েরি,	
unsareer,	উনসারীর,	আনসারীর,	
oteeteo,	অতিতেও,	অতীতেও,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
namo,	নামো,	নমো,	
ashamarthita,	অসমর্থিত,	অসমর্থিত,	
shikh,	শিখ,	শিখ,	
tekno,	টেকনো,	টেকনো,	
jyeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
nisad,	নিষদ,	নিষাদ,	
ghese,	ঘেষে,	ঘেঁষে,	
oswasteekor,	অস্ব্সতিকর,	অস্বস্তিকর,	
bomkesh,	বোমকেশ,	ব্যোমকেশ,	
ciima,	সিম,	সীমা,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
metroopalitana,	মেট্রোপলিন,	মেট্রোপলিটন,	
themekey,	থেমেকে,	থিমকে,	
teoyana,	টেওয়ান,	তাইওয়ান,	
daacktickete,	ডাক্টিকেতে,	ডাকটিকিটে,	
ajauno,	অযৌন,	অযৌন,	
jacqson,	যাকসন,	জ্যাকসন,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
palestinea,	পেলেস্টিনে,	প্যালেস্টাইনে,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
ancholke,	অঞ্চলকে,	অঞ্চলকে,	
argho,	অর্ঘ,	অর্ঘ্য,	
mishal,	মিশাল,	মিশাল,	
yoneetey,	যোনিতে,	যোনীতে,	
kaaru,	কারু,	কারু,	
byasalt,	ব্যাসলট,	ব্যাসল্ট,	
batsmanyi,	বাৎসানী,	ব্যাটসম্যানই,	
beeru,	বিরু,	বীরু,	
