sofir,	শফীর,	সোফির,	
valobasake,	ভালবাসাকে,	ভালোবাসাকে,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
koda,	কোড,	কোড,	
indraa,	ইন্ড্রা,	ইন্দ্র,	
porizoner,	পরিজনের,	পরিজনের,	
hitokar,	হিতকার,	হিতকর,	
jansha,	জাংস,	জন্স,	
aper,	এপের,	আপের,	
meghke,	মেঘকে,	মেঘকে,	
deembakreeti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
gonosakkhorota,	গণসক্ষরত,	গণসাক্ষরতা,	
kruser,	ক্রুসের,	ক্রুশের,	
sahazlabhbhotar,	সহজাভভাতার,	সহজলভ্যতার,	
shombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
baarder,	বার্ডার,	বার্ডের,	
jeteo,	জেতেও,	যেতেও,	
bivonno,	বিভন্ন,	বিভন্ন,	
moushumti,	মুসম্তি,	মৌসুমটি,	
bunat,	বুনাট,	বুনট,	
kiuti,	কিউটি,	কিউটি,	
shaannaal,	সান্নাল,	সান্যাল,	
hajirhat,	হজিরহাট,	হাজিরহাট,	
karo,	কারও,	করো,	
chitronatyakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
sampadankari,	সম্পাদকারী,	সম্পাদনকারী,	
ganochiner,	গণনচিনের,	গণচীনের,	
lampat,	ল্যামপত,	লম্পট,	
dovar,	দভার,	ডোভার,	
taigara,	টাইগার,	টাইগার,	
aazaadeer,	অজাদীর,	আজাদীর,	
cholochchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
sima,	সিম,	সীমা,	
rubol,	রুবল,	রুবল,	
bhumija,	ভূমিজা,	ভূমিজ,	
governerer,	গভর্নরের,	গভর্ণরের,	
cheess,	চেজ,	চেস,	
dule,	ডুলে,	ডালে,	
rajatta,	রাজত্ব,	রাজত্ব,	
prasadhaner,	প্রসাধানের,	প্রসাধনের,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
tigre,	টাইগের,	টাইগার,	
nations,	নেটশন,	নেশনস,	
templet,	টেমপ্লেট,	টেম্পলেট,	
niro,	নিরো,	নির,	
boudhher,	বৌদ্ধের,	বৌদ্ধের,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
gage,	গাগে,	গেজ,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
joruri,	জরুরী,	জরূরী,	
jesh,	জেস,	জেস,	
vogiroth,	ভগিরথথ,	ভগীরথ,	
zerusalemer,	জেরাসিলেমের,	জেরুজালেমের,	
pirujali,	পিরুজালী,	পিরুজালী,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
sahokari,	সহকারি,	সহকারী,	
pravur,	প্রভূর,	প্রভুর,	
chereche,	চেরেছে,	ছেড়েছে,	
amarjita,	আমর্জিত,	অমার্জিত,	
modelti,	মোডেলটি,	মডেলটি,	
mousumer,	মৌসমের,	মৌসুমের,	
jammu,	জমম,	জম্মু,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
average,	অ্যাভারেজ,	এভারেজ,	
omeettrakkhor,	অমীতাক্ষর,	অমিত্রাক্ষর,	
ekpaashe,	একপাশে,	একপাশে,	
durgotsab,	দুর্গতসা,	দুর্গোৎসব,	
brek,	ব্র্যাক,	ব্রেক,	
machhe,	মাছে,	মাছে,	
fanser,	ফাঁসের,	ফাঁসের,	
dhoorer,	ধরের,	ধরের,	
prokalpagulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
chyeta,	চেত্,	চ্যাট,	
eksathei,	একসাথেই,	একসাথেই,	
huge,	হুগে,	হিউজ,	
karlasa,	কর্লস,	কার্লোস,	
tachnach,	তাচনাচ,	তছনছ,	
opadan,	ওপদান,	অপাদান,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
bossonto,	বসন্ত,	বসন্ত,	
mukhmondol,	মুখনন্ডল,	মুখমণ্ডল,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
risorte,	রিসোর্টে,	রিসোর্টে,	
dhauto,	ধূউট,	ধৌত,	
kaaferder,	কফফারদের,	কাফেরদের,	
prakalpoguli,	প্রকালগুলি,	প্রকল্পগুলি,	
stanahenja,	স্টাযানহন্জ,	স্টোনহেঞ্জ,	
anchalke,	আঞ্চলকে,	অঞ্চলকে,	
jeellool,	জিল্লুল,	জিল্লুল,	
siddhantoo,	সিদ্নান্তু,	সিদ্ধান্তও,	
onkita,	অংকিতা,	অঙ্কিতা,	
shalapheta,	সালফাইট,	সালফেট,	
aashor,	আসর,	আসর,	
sayeed,	সায়েদ,	সাইদ,	
mayily,	মেলি,	মাইলি,	
dubaate,	দুবাতে,	ডুবাতে,	
shookna,	শুকনা,	শুকনা,	
venush,	ভেনাস,	ভেনাস,	
ispredshit,	ইস্পরেেশিট,	স্প্রেডশীট,	
ispreedshiit,	ইস্পরশেদিত,	স্প্রেডশীট,	
hossain,	হোসাইন,	হোসেইন,	
ancholsaha,	আঞ্চলসহ,	অঞ্চলসহ,	
shomraatder,	সম্রাত্দের,	সম্রাটদের,	
satjon,	সৎজন,	সাতজন,	
cheerokoomari,	চিরকারী,	চিরকুমারী,	
akshoti,	একশতটি,	একশোটি,	
liseensee,	লিসেস্স,	লাইসেন্স,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
kunty,	কান্তি,	কুন্তী,	
firozaa,	ফিরজা,	ফিরোজা,	
ezenda,	এজেন্ড,	এজেন্ডা,	
nirbaho,	নির্বাহ,	নির্বাহ,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
kulim,	কুলিং,	কুলিং,	
bhushi,	ভুষী,	ভুষি,	
shomser,	শমসের,	সমশের,	
mahakabi,	মহাকাবি,	মহাকবি,	
shayetana,	সয়াটন,	শয়তান,	
alaoul,	অলাউল,	আলাওল,	
bike,	বিকে,	বাইক,	
malish,	মলিস,	মালিশ,	
aalkaatraa,	আলকাত্র,	আলকাতরা,	
footbalarder,	ফুটবালেরদের,	ফুটবলারদের,	
hertj,	হার্জ,	হার্জ,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
thailandsaho,	থাললনসহ,	থাইল্যান্ডসহ,	
utshahe,	উত্সাহে,	উৎসাহে,	
hijritey,	হিজরিতে,	হিজরীতে,	
shhcholashtik,	স্কলশাস্তিক,	স্কলাস্টিক,	
anodhikar,	অন্ধিকার,	অনধিকার,	
kuery,	কুউরি,	কোয়েরি,	
dokaanei,	দোকানেই,	দোকানেই,	
pratimar,	প্রতিমার,	প্রতিমার,	
jwor,	জোর,	জ্বর,	
baiqa,	বাইকা,	বাইক,	
oitijjhe,	ঐতিহে,	ঐতিহ্যে,	
janasamaj,	জনসমাজ,	জনসমাজ,	
bojhaao,	বোঝাও,	বোঝাও,	
jokrito,	যকৃত,	যকৃৎ,	
pathkramer,	পাঠকরমের,	পাঠক্রমের,	
rapto,	রপ্ত,	রপ্ত,	
jalrong,	জলযারোং,	জলরঙ,	
celinar,	কেলিনার,	সেলিনার,	
bee,	বি,	বি,	
esoosiyetasa,	অসোসিসেটস,	এসোসিয়েটস,	
karleo,	করলেও,	করলেও,	
mukherji,	মুখার্জি,	মুখার্জী,	
kaanaai,	কানাই,	কানাই,	
fand,	ফাঁদ,	ফান্ড,	
phixing,	ফিকিং,	ফিক্সিং,	
kirkuk,	কিরকুক,	কিরকুক,	
reefleex,	রিফলেক্স,	রিফ্লেক্স,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
adhyattik,	আধ্যাতিক,	আধ্যাত্মিক,	
