hitaishi,	হিটাইসই,	হিতৈষী,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
dinnar,	দিন্নর,	ডিনার,	
zansa,	জনস,	জন্স,	
nobom,	নবম,	নবম,	
sollalaho,	সল্লাল্লাহ,	সল্লাল্লাহু,	
valobasen,	ভালবাসেন,	ভালোবাসেন,	
khappar,	ক্ষাপার,	খপ্পর,	
barakpur,	ব্যারাকপুর,	বারাকপুর,	
tanteera,	তানটিরা,	তাঁতিরা,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
planee,	প্লেন,	প্লেন,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
embi,	এমবি,	এমবি,	
nathibhookta,	নথিভুক্ত,	নথিভুক্ত,	
uru,	ঊরু,	উরু,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
aaeereshe,	আইরেশে,	আইরেসে,	
uuipokar,	উইপাকার,	উইপোকার,	
land,	ল্যান্ড,	ল্যান্ড,	
maahe,	মাহে,	মাহে,	
daaktikite,	ডাক্িটিকে,	ডাকটিকিটে,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
motabolombiira,	মতাাবলম্বীরা,	মতাবলম্বীরা,	
gadha,	গাধা,	গাধা,	
mit,	মিট,	এমআইটি,	
makang,	ম্যাকাং,	মেকং,	
aairese,	আইরেশে,	আইরেসে,	
anupater,	অনুপতের,	অনুপাতের,	
chitronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
potchitrer,	পতচিত্রের,	পটচিত্রের,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
pitth,	পিঠ,	পীঠ,	
shajano,	সাজানো,	সাজানো,	
sadhwi,	সাধ্যী,	সাধ্বী,	
torokareer,	তরকারির,	তরকারীর,	
gandhiyo,	গন্ধিয়,	গান্ধীও,	
marqeting,	মার্কেটিং,	মার্কেটিং,	
ovishangsan,	অভিসং্যন,	অভিশংসন,	
nirikha,	নিরিখ্,	নিরিখ,	
morathee,	মারাঠী,	মরাঠি,	
emiretus,	এমারিটাস,	এমিরেটাস,	
gabeshakgon,	গবেষকাগণ,	গবেষকগণ,	
komti,	কমটি,	কমতি,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
quari,	কুয়ারি,	কোয়েরি,	
debeting,	ডিবেটিং,	ডিবেটিং,	
nathibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
sahopatheeke,	সহপাঠিকে,	সহপাঠীকে,	
kaale,	কালে,	কালে,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
enginears,	এঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
bang,	বঙ্গ,	ব্যাং,	
goojober,	গুজবের,	গুজবের,	
angurer,	আঙুরের,	আঙ্গুরের,	
aviyojan,	অভিযোজন,	অভিযোজন,	
jeeni,	জিনি,	যিনি,	
nabam,	নবাম,	নবম,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
moshjidke,	মশ্িদদকে,	মসজিদকে,	
modhumotii,	মধুমতি,	মধুমতী,	
octane,	অক্তনে,	অকটেন,	
jerusalem,	জিরুসালম,	জেরুসালেম,	
panjikar,	পঞ্জিকার,	পঞ্জিকার,	
besarkarikaran,	বেসরকারিকরণ,	বেসরকারিকরণ,	
janoikaa,	জনৈকয়া,	জনৈকা,	
gaze,	গজে,	গেজ,	
damodar,	দামোদর,	দামদর,	
suraarop,	সুরারোপ,	সুরারোপ,	
mausumer,	মৌসুমের,	মৌসুমের,	
songkolonti,	সংকলোনটি,	সংকলনটি,	
kutir,	কুটির,	কুটির,	
swajaner,	স্বজনের,	স্বজনের,	
biswashwo,	বিশ্বা্য,	বিশ্বাসও,	
chakti,	চক্তি,	চাকতি,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
batikromshali,	ব্যাতিরক্ষমালী,	ব্যতিক্রমধর্মী,	
jakkho,	যক্ষ,	যক্ষ,	
bhenkates,	ভেন্কাতেস,	ভেঙ্কটেশ,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
postke,	পোষ্টকে,	পোস্টকে,	
ekhate,	এখাতে,	একহাতে,	
siropadharii,	শিরোপাাধারই,	শিরোপাধারী,	
hozot,	হজত,	হজত,	
buth,	বুথ,	বুথ,	
taimas,	তাইমাস,	টাইমস্,	
landing,	ল্যানডিং,	ল্যান্ডিং,	
omarjito,	অমর্জিত,	অমার্জিত,	
udbodhoni,	উদ্ধবনী,	উদ্বোধনী,	
zoonite,	যোনিতে,	যোনীতে,	
saarbharer,	সারভারের,	সার্ভারের,	
hoshein,	হোসিন,	হোসেইন,	
logic,	লোগিক,	লজিক,	
texuser,	টেকাসের,	টেক্সাসের,	
kormi,	কর্মী,	কর্মই,	
kooyeri,	কোয়ারি,	কোয়েরি,	
nirvaha,	নির্বাহ,	নির্বাহ,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
jyestthotar,	জ্যেষ্ঠতার,	জ্যেষ্ঠতার,	
haris,	হরিস,	হ্যারিস,	
shommotir,	সম্মতির,	সম্মতির,	
tolemi,	টলেমি,	টলেমির,	
janamukhi,	জনমুখী,	জনমুখী,	
engineering,	ইঞ্জারনারিং,	ইঞ্জিনিয়ারিং,	
digree,	ডিগ্রী,	ডিগ্রি,	
conphlikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
zackson,	জকসন,	জ্যাকসন,	
purohitra,	পুরুহিত্রা,	পুরোহিতরা,	
pade,	পদে,	পাড়ে,	
abhidhaner,	অভিধানের,	অভিধানের,	
silwer,	শিল্ভের,	সিলভার,	
porijon,	পরিজন,	পরিজন,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
ballroom,	বললুম,	বলরুম,	
gronthatike,	গ্রন্থটাকে,	গ্রন্থটিকে,	
serup,	সিরূপ,	সেরুপ,	
alonkaran,	অলঙ্করণ,	অলঙ্করণ,	
ispredseet,	স্প্রেসড্রেট,	স্প্রেডশীট,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
mile,	মিলে,	মাইল,	
kaner,	কানের,	কনের,	
keuyi,	কিউই,	কেউই,	
khilafat,	খিলাফাত,	খিলাফত,	
unsareer,	উনসারের,	আনসারীর,	
emerjency,	এমার্জেন্সি,	এমার্জেন্সি,	
harbar,	হারবার,	হারবার,	
gheshe,	ঘেসে,	ঘেঁষে,	
phoksher,	ফক্ষের,	ফক্সের,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
maudeley,	মাদলে,	মডেলে,	
jibjontu,	জীবন্তু,	জীবজন্তু,	
chaka,	চককা,	চাকা,	
plack,	প্লক,	প্ল্যাক,	
chai,	চাই,	ছাই,	
boikollyo,	বৈকল্য,	বৈকল্য,	
gyandaas,	জ্যান্ডাস,	জ্ঞানদাস,	
rohosyer,	রহস্যের,	রহস্যের,	
prabhur,	প্রভূর,	প্রভুর,	
pletoo,	প্লট,	প্লেটো,	
prostutkarok,	প্রস্তুতাকারক,	প্রস্তুতকারক,	
informetion,	ইনফারমেশন,	ইনফরমেশন,	
upobasee,	উপবাসী,	উপবাসী,	
phokskon,	ফক্সক,	ফক্সকন,	
aparogata,	অপরগগত,	অপারগতা,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
heeja,	হেজ,	হেজ,	
chhuteer,	ছুটির,	ছুটির,	
obeekol,	অবিকল,	অবিকল,	
manur,	মানুর,	মনুর,	
saajano,	সাজানো,	সাজানো,	
batikromshalee,	ব্যাতিরক্ষমালী,	ব্যতিক্রমধর্মী,	
arakdal,	আর্কদল,	আরেকদল,	
ghurte,	ঘুরতে,	ঘুরতে,	
gazetted,	গাজেটেট,	গেজেটেড,	
shrabastee,	শ্রববাটটি,	শ্রাবস্তী,	
modeley,	মোদলে,	মডেলে,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
vagadada,	ভাগাদা,	বাগদাদ,	
shotodha,	শতাধা,	শতধা,	
vumija,	ভুমিজা,	ভূমিজ,	
udar,	উদার,	উদর,	
uporostho,	উপরুষ্ট,	উপরস্থ,	
taaler,	তালের,	তালের,	
sangasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
swarther,	স্বর্থের,	স্বার্থের,	
soholovyotar,	সহলভ্যতার,	সহজলভ্যতার,	
cn,	সিনন,	সিএন,	
mmadhobbir,	মাধবীর,	মাধবীর,	
ancieent,	এনযায়েন্ট,	এনসিয়েন্ট,	
sten,	স্টেন,	স্টেন,	
bongshoke,	বংশকে,	বংশকে,	
chorchita,	চর্চিতা,	চর্চিত,	
emarzensi,	এমার্জেন্সি,	এমার্জেন্সি,	
janagananar,	জনগণনার,	জনগণনার,	
siddhantake,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
tigre,	টিগ্রে,	টাইগার,	
groowth,	গ্রুথ,	গ্রোথ,	
armshtronj,	আর্মস্ট্রোঞ্জ,	আর্মস্ট্রং,	
romantika,	রোমান্টিক,	রোমান্টিক,	
hiushtoner,	হিস্তনের,	হিউস্টনের,	
firoza,	ফিরজা,	ফিরোজা,	
koro,	কররও,	করো,	
nirikhe,	নিরিখে,	নিরিখ,	
byatasamyan,	ব্যাটাসম্যান,	ব্যাটসম্যান,	
ekjoge,	একযোগে,	একযোগে,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
skoora,	স্কুর,	স্কোর,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
blogarra,	ব্লগাররা,	ব্লগাররা,	
bede,	বেড,	বেদে,	
salim,	সালিম,	সেলিম,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
talal,	তলল,	তালাল,	
ajijur,	আজিজুর,	আজিজুর,	
jameske,	জামেস্কে,	জেমসকে,	
bashitey,	বাসিতে,	বাঁশিতে,	
asar,	আসার,	আসর,	
starc,	স্টার্ক,	স্টার্ক,	
adhyatmik,	অধ্যাত্মিক,	আধ্যাত্মিক,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
aairees,	আইরিশ,	আইরিস,	
euror,	ইউরোর,	ইউরোর,	
cruce,	ক্রুস,	ক্রুশ,	
qaferder,	কাফেরদের,	কাফেরদের,	
tukroti,	টুক্রটি,	টুকরোটি,	
kuery,	কেরি,	কোয়েরি,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
meetropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
susamo,	সুসম,	সুসম,	
maadhoori,	মাধুরি,	মাধুরী,	
chanje,	চাঁজে,	চেঞ্জ,	
dii,	ডি,	দিই,	
shilpojato,	শিল্পজাত,	শিল্পজাত,	
hertz,	হার্টস,	হার্জ,	
asovya,	অসহ্য,	অসভ্য,	
dibet,	দিবিত,	ডিবেট,	
gunoman,	গুণমান,	গুণমান,	
bhogni,	ভগ্নী,	ভগ্নী,	
spreedashita,	স্প্রদাশিত,	স্প্রেডশীট,	
opadan,	ওপাডান,	অপাদান,	
juktarashtrasaha,	যুক্তরাস্তস,	যুক্তরাষ্ট্রসহ,	
sohingsotar,	সহিংসতার,	সহিংসতার,	
debholopar,	ডেভলপার,	ডেভলপার,	
juktarashtrosaha,	যুক্তরাস্তস,	যুক্তরাষ্ট্রসহ,	
shitey,	সিটে,	শীতে,	
somabesh,	সমবেশ,	সমাবেশ,	
basate,	বসাতে,	বাসাতে,	
jahora,	জাহরা,	যাহরা,	
muhammader,	মুহাম্মদদের,	মুহম্মদের,	
aanis,	আনিশ,	আনিস,	
spencer,	স্পেন্সের,	স্পেন্সার,	
dhaanche,	ঢাঁচে,	ধাঁচে,	
anchalei,	আঞ্চলেই,	অঞ্চলেই,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
ajeej,	আজিজ,	আজিজ,	
gafeeloti,	গ্যাফিলটি,	গাফিলতি,	
mesenzarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
rubyo,	রাবিও,	রুবিও,	
kaalki,	কালকি,	কালকি,	
hisabke,	হিসাবকে,	হিসাবকে,	
jockei,	জকেই,	জকি,	
bizit,	বিজিত,	বিজিত,	
gitikobita,	গীতিকাবিত,	গীতিকবিতা,	
cheesa,	চেস,	চেস,	
muhurtoti,	মুহূর্তটি,	মুহুর্তটি,	
neelkuthir,	নিলকুঠির,	নীলকুঠির,	
manir,	মনির,	মনির,	
duckticket,	ডাক্তিকেত,	ডাকটিকিট,	
muhit,	মুহিত,	মুহিত,	
maryir,	মেরির,	ম্যারির,	
location,	লোকেশন,	লোকেশন,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
shahabike,	সাহাবীকে,	সাহাবীকে,	
firoz,	ফিরজ,	ফিরোজ,	
alsaar,	আলসার,	আলসার,	
ponchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
modelti,	মদেলটি,	মডেলটি,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
bolokarak,	বলকারক,	বলকারক,	
ibhila,	ইভিল,	ইভিল,	
laeshesh,	লেইস,	লাইসেন্স,	
sniper,	স্নিপের,	স্নাইপার,	
faster,	ফসস্টের,	ফস্টার,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
prachuryer,	প্রচুরীর,	প্রাচুর্যের,	
toroonraa,	তররুণরা,	তরুণরা,	
jathartha,	যথার্থ,	যথার্থ,	
decke,	ডেকে,	ডেকে,	
tongaa,	তঙ্গা,	টোঙ্গা,	
patterne,	পটার্ন,	প্যাটার্নে,	
qarpeta,	কার্পটে,	কার্পেট,	
azizur,	আজিজুর,	আজিজুর,	
beeswasoo,	বিশ্বাস্য,	বিশ্বাসও,	
