aatto,	আত্ত্ব,	আত্ম,	
ingrezeeteo,	ইংরেজিতে,	ইংরেজিতেও,	
maley,	মালে,	মালে,	
enimeted,	ইনিমেটদে,	এনিমেটেড,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
jonite,	যোনিতে,	যোনীতে,	
dhyanostha,	ধ্যান্থ,	ধ্যানস্থ,	
chhon,	ছন,	ছোঁ,	
zeans,	জিন্স,	জিন্স,	
ghoorsen,	ঘুর্সন,	ঘুরেছেন,	
hajeerhat,	হাজীরহাট,	হাজিরহাট,	
liseensee,	লিসনিস,	লাইসেন্স,	
fooloo,	ফোলো,	পোলো,	
akar,	একার,	একার,	
sangbadmadhyomgulote,	সংবাদ্য্াধিলতা,	সংবাদমাধ্যমগুলোতে,	
moushum,	মৌসূম,	মৌসুম,	
aakkaas,	আকাকাশ,	আককাস,	
suparichita,	সুপারিকিত,	সুপরিচিত,	
maniktala,	ম্নিক্যাল,	মানিকতলা,	
thar,	দার,	থর,	
kkunti,	কাউন্টি,	কুন্তী,	
pacchi,	পাঁচি,	পাচ্ছি,	
hosheyin,	হোসাইন,	হোসেইন,	
purbancoler,	পূর্বাংকললের,	পূর্বাঞ্চলের,	
jaistho,	জেস্ঠ্য,	জ্যৈষ্ঠ,	
pravu,	প্রভূ,	প্রভু,	
tonu,	তনু,	তনু,	
sorajur,	সরাজুর,	সরযূর,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
anyarup,	অন্যরাপু,	অন্যরূপ,	
anchalti,	অঞ্চলতি,	অঞ্চলটি,	
gaichey,	গেছে,	গাইছে,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
alaol,	আলল,	আলাওল,	
mododpusto,	মদদাু্ত,	মদদপুষ্ট,	
maniktola,	মনিক্তলা,	মানিকতলা,	
basaake,	বসাকে,	বাসাকে,	
notikotar,	নটিকতার,	নৈতিকতার,	
shaartho,	সার্থ,	স্বার্থ,	
ancholke,	অঞ্চলেকে,	অঞ্চলকে,	
debete,	দেবেতে,	ডিবেট,	
aakaabaar,	আকাবার,	আকাবার,	
licensedharii,	লিকেন্সারি,	লাইসেন্সধারী,	
gronthowo,	গ্রন্থা,	গ্রন্থও,	
shangkulan,	সংকগলন,	সংকুলান,	
poojito,	পুজিত,	পুজিত,	
zacksan,	যাক্ষন,	জ্যাকসন,	
jworer,	জোরের,	জ্বরের,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
obiyi,	অবিই,	ওবিই,	
daaktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
kanthar,	কন্ঠার,	কাঁথার,	
fimel,	ফাইমেল,	ফিমেল,	
abheedhaanik,	অভিধানকি,	অভিধানিক,	
shahabah,	শাহাবা,	সাহাবাহ,	
rajtantrey,	রাজ্তা্ত্রে,	রাজতন্ত্রে,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
shaarther,	সার্থের,	স্বার্থের,	
nirorthok,	নিরর্থ,	নিরর্থক,	
vault,	ভা্যাট,	ভল্ট,	
plaiin,	প্লেয়ন,	প্লেন,	
moshleh,	মসলে,	মোসলেহ,	
cho,	চো,	ছোঁ,	
ispreedshit,	ইস্পৃরেশ্,	স্প্রেডশীট,	
mit,	মিত,	এমআইটি,	
bibechya,	বিবেচ্যা,	বিবেচ্য,	
setite,	সেটিতে,	সেটিতে,	
gorib,	গরীব,	গরিব,	
diznee,	ডিজনি,	ডিজনী,	
gaandas,	গান্দাস,	জ্ঞানদাস,	
bandhuderke,	বাঁধুদ্রকে,	বন্ধুদেরকে,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
byaboharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
soros,	সরস,	সরস,	
bhabatarini,	ভাবাতরীী,	ভবতারিণী,	
goore,	গুরে,	গোর,	
objarvar,	অব্যর্ভার,	অবজার্ভার,	
chamoski,	চমক্তি,	চমস্কি,	
liceensee,	লিসনেস,	লাইসেন্স,	
harir,	হ্যারির,	হরির,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
transphorm,	ট্রান্সম্র্ম,	ট্রান্সফর্ম,	
ooindo,	উইন্ড,	উইন্ডো,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
pratisthasaho,	প্রতিষ্ঠাস,	প্রতিষ্ঠাসহ,	
ujobekeestaner,	উজবেকিস্তরনের,	উজবেকিস্তানের,	
ekla,	একলা,	একলা,	
upacharjo,	উপছার্য,	উপাচার্য,	
baharamapurer,	বাহামপুরের,	বহরমপুরের,	
haridware,	হারিদ্যারে,	হরিদ্বারে,	
laicenshe,	লাইকেন্স,	লাইসেন্স,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
byaaran,	ব্যারন,	ব্যারন,	
janatey,	জনতে,	জানাতে,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
salapheta,	সালফেত,	সালফেট,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
ba,	বা,	বু,	
preti,	প্রেতি,	প্রিটি,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
antarcticar,	অন্তর্ক্তিকার,	অ্যান্টার্কটিকার,	
naarsari,	নার্সারী,	নার্সারি,	
taat,	তাট,	তাত,	
fansi,	ফাঁসি,	ফাঁসী,	
aameenaar,	আমিনার,	আমিনার,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
khilafat,	খিলাফাত,	খিলাফত,	
oshovyo,	অসভ্য,	অসভ্য,	
agamane,	আগমানে,	আগমনে,	
mitra,	মিত্রা,	মিত্র,	
sithilotar,	সিথিলতর,	শিথিলতার,	
sealvi,	সিলভি,	সিলভি,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
peengnaa,	পিঙ্গন,	পিংনা,	
nadike,	নাদকেকে,	নদীকে,	
jandrel,	জন্দ্রেল,	জাঁদরেল,	
kutir,	কুটির,	কুটির,	
ghaghot,	ঘাঘাত,	ঘাঘট,	
ashocheton,	অসচেতন,	অসচেতন,	
bhogno,	ভগ্্ন,	ভগ্ন,	
setio,	সেতিও,	সেটিও,	
dooborira,	দুবরিরা,	ডুবুরিরা,	
bisnoo,	বিষ্ণ,	বিষ্ণু,	
bhartuky,	ভারতক্,	ভর্তুকি,	
dharabahikvabey,	ধারাবিক্ষবে,	ধারাবাহিকটি,	
anodhikar,	অনধধিকর,	অনধিকার,	
houstoner,	হাসটানের,	হিউস্টনের,	
kooda,	কোদ,	কোডা,	
patrol,	পাত্রল,	পেট্রোল,	
uindos,	উইন্ডাস,	উইন্ডোস,	
lokkhero,	লক্ষেরও,	লক্ষেরও,	
shahocharje,	শাহাচর্যে,	সাহচর্যে,	
projanankaal,	প্রজননক্লা,	প্রজননকাল,	
fand,	ফাঁদ,	ফান্ড,	
sooya,	সোয়া,	সোয়া,	
shomostike,	সমত্যিকে,	সমষ্টিকে,	
wishnu,	ভিসন,	বিষ্ণু,	
shansthatir,	সংস্থাটির,	সংস্থাটির,	
macho,	মাচ্,	মাছও,	
ja,	যা,	জ্যা,	
nathibhookteer,	নথিকভূতির,	নথিভুক্তির,	
romjaner,	রমজানের,	রমযানের,	
ansarir,	অন্সরির,	আনসারীর,	
dollu,	দল্লু,	ডলু,	
rubeta,	রুবেত,	রাবেতা,	
tyap,	ট্যাপ,	ট্যাপ,	
poschime,	পশ্চিমে,	পশ্চিমে,	
ganonatyo,	গণনন্ত,	গণনাট্য,	
besinay,	বেশিনে,	বেসিনে,	
sookkho,	সুক্ষ্,	সুক্ষ্ম,	
vaider,	ভাইডের,	ভাইদের,	
somraatra,	সম্দত্র,	সম্রাটরা,	
addhattikota,	অধ্যাতিকাত,	আধ্যাত্মিকতা,	
nagoriker,	নাগরিকের,	নাগরিকের,	
omarjeeto,	অমার্তিত,	অমার্জিত,	
loukikata,	লৌকিকাা,	লৌকিকতা,	
mooldoova,	মুল্ডভা,	মলদোভা,	
kartona,	কর্তন,	করতনা,	
tirmijii,	তিরমিযী,	তিরমিজি,	
nowel,	নোভেল,	নভেল,	
dargah,	দর্গা,	দরগাহ,	
adhyattikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
pack,	প্যাক,	প্ল্যাক,	
elakatikey,	এলাকাতিকে,	এলাকাটিকে,	
aachees,	আছিষ,	আছিস,	
shector,	সেক্টর,	সেক্টর,	
noitikvabe,	নৈতিভাকে,	নৈতিকভাবে,	
romantika,	রোম্যান্তিক,	রোমান্টিক,	
poroborti,	পরবর্তী,	পরর্বতী,	
planeti,	প্লানেটি,	প্লেনটি,	
shhepha,	শেফ,	শেফ,	
basakey,	বসাকে,	বাসাকে,	
durotomm,	দূরত্ম,	দূরতম,	
barnish,	বার্নিস,	বার্নিশ,	
rupa,	রূপ,	রুপা,	
karmojog,	কর্মযজ,	কর্মযোগ,	
tennish,	টেনিস,	টেনিস,	
bane,	বানে,	বনে,	
deepan,	ডিপন,	দীপন,	
ved,	ভেদ,	বেদ,	
samabeshke,	সমানবেসকে,	সমাবেশকে,	
naran,	নরন,	নরেন,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
osthisandhi,	অস্থিসঙ্ধি,	অস্থিসন্ধি,	
gobeshakgon,	গবেষণামা,	গবেষকগণ,	
obolokon,	অবলাকন,	অবলোকন,	
dwipei,	দ্বীপেই,	দ্বীপেই,	
prrajanankaal,	প্রান্নকাল,	প্রজননকাল,	
artillery,	অর্টিলারি,	আর্টিলারি,	
durgotsabe,	দুর্গত্বাবে,	দুর্গোৎসবে,	
volapuk,	ভলাপলক,	ভোলাপুক,	
ghumato,	ঘুমাত,	ঘুমাতো,	
tat,	তৎ,	তাত,	
godabori,	গদাবরি,	গোদাবরী,	
turkey,	তার্কে,	তুর্কি,	
keengdom,	কিঙ্ডম,	কিংডম,	
romancha,	রোমাঞ্চা,	রোমাঞ্চ,	
prokolpogulo,	প্রকল্যগললো,	প্রকল্পগুলো,	
potcheetrer,	পথিচততর,	পটচিত্রের,	
tukroti,	তুক্রতি,	টুকরোটি,	
drishi,	দৃষী,	দৃশ্যই,	
samratder,	সম্পর্দের,	সম্রাটদের,	
kyethalika,	ক্যাথালিক,	ক্যাথলিক,	
monzooshree,	মন্জস্রি,	মঞ্জুশ্রী,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
joneetey,	জননীতে,	যোনীতে,	
santoshe,	সন্তর্ে,	সন্তোষে,	
boother,	বুঠের,	বুথের,	
quarter,	কার্টার,	কোয়ার্টার,	
oitijjer,	ঐতিহ্যের,	ঐতিহ্যের,	
musalmanke,	মুসলামনকে,	মুসলমানকে,	
sikar,	শিকার,	শিকার,	
shtonehenge,	স্টেযানেগ,	স্টোনহেঞ্জ,	
yankee,	যাঁকি,	ইয়াংকি,	
