nesnos,	নেন্নস,	নেশনস,	
amerikar,	অ্যামেরিকার,	আমেরিকার,	
laaishensh,	লাইসেন্স,	লাইসেন্স,	
sothikota,	সথিকতা,	সঠিকতা,	
durgatsober,	দুর্গততভবের,	দুর্গোৎসবে,	
metrapalitan,	মেত্রাপলিটান,	মেট্রোপলিটন,	
domonmoolok,	দমমনূলক,	দমনমূলক,	
madeling,	ম্যাডেলিং,	মডেলিং,	
oboshore,	অবশরে,	অবসরে,	
netherlandey,	নেডারল্যান্ডে,	নেদারল্যান্ডে,	
monjushree,	মঞ্জুস্ীরী,	মঞ্জুশ্রী,	
shringge,	শ্রীঙ্গে,	শৃঙ্গে,	
roopa,	রূপা,	রুপা,	
pratool,	প্রতুল,	প্রতুল,	
canservatian,	ক্যান্সরভেশন,	কনসারভেশন,	
amar,	আমার,	আমর,	
format,	ফরমাট,	ফরম্যাট,	
modhumoti,	মধুমতি,	মধুমতী,	
mela,	মেলা,	মাইল,	
floodliter,	ফ্লুদলিটের,	ফ্লাডলাইটের,	
adorso,	আদর্শ,	আর্দশ,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
eokee,	একোক,	এওকি,	
bishesyer,	বিশেষ্যের,	বিশেষ্যের,	
hamburgey,	হ্যামবার্গে,	হামবুর্গে,	
gosthii,	গষ্ঠী,	গোষ্ঠীই,	
digreeo,	ডিগ্রীও,	ডিগ্রিও,	
phikshim,	ফিক্সিম,	ফিক্সিং,	
turista,	তিরিষ্ট,	টুরিস্ট,	
kirk,	কার্ক,	কার্ক,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
qarlosa,	কার্লস,	কার্লোস,	
jesh,	জেস,	জেস,	
uthane,	উঠানে,	উঠানে,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
bojhe,	বজঝে,	বোঝে,	
lutheren,	লুঠারেন,	লুথেরান,	
shomoshto,	সমস্ত,	সমস্ত,	
prasadhaner,	প্রশাধনের,	প্রসাধনের,	
gor,	গর,	গোর,	
kampita,	কম্পিট,	কম্পিত,	
achish,	আচিশ,	আছিস,	
dooborira,	দুবরীরা,	ডুবুরিরা,	
horipur,	হরিপুর,	হরিপুর,	
parbottyo,	পার্বত্য,	পার্বত্য,	
pathkromer,	পাঠক্রমের,	পাঠক্রমের,	
cheerkut,	চারকিট,	চিরকুট,	
ingrezraa,	ইংরেজারা,	ইংরেজরা,	
uponeesoder,	উপনীশদের,	উপনিষদের,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
boikollyo,	বৈকল্য,	বৈকল্য,	
inasiyinta,	এনসিয়েন্ট,	এনসিয়েন্ট,	
jonsa,	জনসা,	জোন্স,	
gaddafee,	গাদ্ফাফী,	গাদ্দাফী,	
turkamena,	টার্কমেনা,	তুর্কমেন,	
sofyr,	সফীর,	সোফির,	
shilabhara,	সিলভরা,	সিলভার,	
bhiktara,	ভিক্তরা,	ভিক্টর,	
manbey,	মানবে,	মানবে,	
nowel,	নওয়েল,	নভেল,	
arekdol,	আরেকদল,	আরেকদল,	
changee,	চঙ্গ,	চেঞ্জ,	
mitro,	মিট্রো,	মিত্রও,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
karmakarke,	কর্মকরকে,	কর্মকারকে,	
karecho,	করেছো,	করেছো,	
dipei,	দিপেই,	দ্বীপেই,	
anodhikaar,	অনোধিকার,	অনধিকার,	
akmot,	একমত,	একমত,	
nicqel,	নিকেল,	নিকেল,	
tennys,	টেনিস,	টেনিস,	
prokalpaguli,	প্রকালগুলি,	প্রকল্পগুলি,	
soolke,	সূলকে,	শুল্কে,	
turkmeen,	তার্কমীন,	তুর্কমেন,	
maddhukkori,	মধ্যুককারী,	মাধুকরী,	
fol,	ফল,	ফল,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
mozdoor,	মজুর,	মজদুর,	
upobashee,	উপবাসী,	উপবাসী,	
keuoi,	কিউই,	কেউই,	
ramjaner,	রমজানের,	রমযানের,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
diznee,	ডিজনি,	ডিজনী,	
shoodhooi,	সুধুই,	শুধুই,	
pactar,	প্যাক্টার,	পাঁচটার,	
ponthaar,	পন্থার,	পন্থার,	
stanahenja,	স্ট্যাহেঞ্জা,	স্টোনহেঞ্জ,	
dinifitian,	ডিনিফিউশন,	ডেফিনেশন,	
boopon,	বূপন,	বপন,	
chaka,	চাক,	চাকা,	
mugdal,	মুগল,	মুগডাল,	
ojouno,	অজুন,	অযৌন,	
komti,	কমটি,	কমতি,	
shrabasti,	শ্রবসটি,	শ্রাবস্তী,	
deyl,	ডেল,	ডেইল,	
kemone,	কেমনে,	কেমনে,	
daalu,	ডালু,	ডালু,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
lutheereen,	লুঠারীন,	লুথেরান,	
timothi,	তিমথি,	টিমোথি,	
moushumei,	মাসুমেই,	মৌসুমেই,	
post,	পোস্ট,	পোষ্ট,	
joubanbotii,	যৌবনবতী,	যৌবনবতী,	
durgotsob,	দুর্গসতব,	দুর্গোৎসব,	
bandra,	বন্দ্রা,	বন্দীরা,	
rupantar,	রূপান্তর,	রুপান্তর,	
teemothi,	তিমথি,	টিমোথি,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
qoda,	কোডা,	কোডা,	
qindama,	কিন্ডমম,	কিংডম,	
fokshkon,	ফক্ষ্কন,	ফক্সকন,	
ssumita,	সুমিতা,	সুমিতা,	
tintikey,	তিনটিকে,	তিনটিকে,	
nagalyand,	নাগল্যান্ড,	নাগাল্যান্ড,	
obosan,	অবসান,	অবসান,	
obosorer,	অবসরের,	অবসরের,	
toder,	তোদের,	তদের,	
everest,	এভেরেস্ট,	এভারেস্টে,	
shatjoner,	সতজনের,	সাতজনের,	
tuni,	তুনি,	টুনি,	
bharatey,	ভারতে,	ভারতে,	
plato,	প্লত,	প্লেটো,	
aashtikota,	আস্টিকতা,	আস্তিকতা,	
obosane,	অবসানে,	অবসানে,	
fax,	ফ্যাক্স,	ফক্স,	
sikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
zeebonjapon,	জীবনজাপন,	জীবনযাপন,	
dobhaar,	দভার,	ডোভার,	
lakkheryo,	লাক্ষেরও,	লক্ষেরও,	
annorup,	অন্যরূপ,	অন্যরূপ,	
elgoridom,	এল্গরদিমম,	এলগরিদম,	
karechi,	করেছি,	করেছি,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
soholovyotar,	সহলভূত্যার,	সহজলভ্যতার,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
spostotoi,	স্পস্তততই,	স্পষ্টতই,	
nathivookteer,	নথিবুক্তির,	নথিভুক্তির,	
neurologi,	নিউরোলজি,	নিউরোলজি,	
tat,	তাত,	তাত,	
karim,	করিম,	করিম,	
koommandar,	কমান্ডার,	কমাণ্ডার,	
utkhaat,	উৎখাট,	উত্খাত,	
gabhaaskaar,	গভাসকার,	গাভাস্কার,	
dhnoka,	ঢ্ঁকা,	ধোঁকা,	
ooipokar,	উইপকার,	উইপোকার,	
bikretader,	বিক্রেতের,	বিক্রেতাদের,	
sammatitey,	সম্মাটিতে,	সম্মতিতে,	
messenger,	মেসেেজের,	মেসেঞ্জার,	
sarbhaarti,	সর্ভরটি,	সার্ভারটি,	
avetara,	অভাতরা,	অবতার,	
asiatic,	অশায়টিক,	এশিয়াটিক,	
sahapatheekey,	সহপাঠীকে,	সহপাঠীকে,	
phemale,	ফেমলে,	ফিমেল,	
khalid,	খালিদ,	খালিদ,	
pratiyogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
tochnoch,	তচনোচ,	তছনছ,	
jahns,	জাহনস,	জন্স,	
economeeks,	ইকোনমেক্স,	ইকোনমিকস,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
jaroori,	জরুরী,	জরূরী,	
vogirath,	ভগীরথ,	ভগীরথ,	
elaakatir,	এলাকাটির,	এলাকাটির,	
felto,	ফেল্টো,	ফেলত,	
pothnirdeshona,	পথিরর্দেশনা,	পথনির্দেশনা,	
aiisa,	আইস,	আইএএস,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
emargency,	এমার্জেন্জি,	এমার্জেন্সি,	
damone,	দমনে,	দমনে,	
sarsa,	সর্স,	সোর্স,	
sotorko,	সতর্ক,	সতর্ক,	
raagee,	রাগী,	রাগী,	
hoomes,	হুমেশ,	হোমস,	
utsaho,	উত্সাহ,	উৎসাহ,	
antarctikar,	অন্টার্টিকার,	অ্যান্টার্কটিকার,	
codee,	কোড,	কোডে,	
mukhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
hiranee,	হিরণে,	হিরানি,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
dephineshana,	ডেফিনেশন,	ডেফিনেশন,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
sarollo,	সরলো,	সারল্য,	
sloker,	স্লকের,	শ্লোকের,	
chhanake,	ছানাকে,	ছানাকে,	
graambasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
expressian,	এক্সপ্রেশন,	এক্সপ্রেশন,	
vejaano,	ভেজানো,	ভেজানো,	
licenshe,	লিসেন্স,	লাইসেন্স,	
plen,	প্লেন,	প্লেন,	
korkat,	করকত,	কর্কট,	
jothon,	যথন,	যথন,	
nobotom,	নবতম,	নবতম,	
kaalaam,	কালাম,	কালাম,	
tuku,	টুকু,	টুকু,	
chaalaabi,	চালাবি,	চালাবে,	
attacharito,	আত্মাচারিত,	অত্যাচারিত,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
keyboard,	কিবোর্ড,	কীবোর্ড,	
chitronattakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
naran,	নরন,	নরেন,	
bisshasi,	বিশ্বাসি,	বিশ্বাসী,	
charukola,	চারুকোলা,	চারুকলা,	
pade,	পেদ,	পাড়ে,	
fiksim,	ফিক্সিম,	ফিক্সিং,	
kunty,	কানটি,	কুন্তী,	
chidropothe,	চিদ্রপপথে,	ছিদ্রপথে,	
mawdel,	ম্যাডেল,	মডেল,	
nadigulo,	নাদিগুলো,	নদীগুলো,	
kaas,	কাস,	কাস,	
sahabah,	সাহাব,	সাহাবাহ,	
bagdader,	বাগদাদের,	বাগদাদের,	
puncho,	পুঁচ,	পুঞ্চ,	
ashanka,	আশঙ্কা,	আশংকা,	
nagorikera,	নাগরিকেরা,	নাগরিকেরা,	
beda,	বেদা,	বেদ,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
lisens,	লিসেন্স,	লাইসেন্স,	
anchaleo,	আঁচলেও,	অঞ্চলেও,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
dhwajbhanga,	ধ্বজভাঙ্গ,	ধ্বজভঙ্গ,	
ekaatto,	একাত্ব,	একাত্ব,	
chalochchitraeeo,	চালচিচ্যত্রেও,	চলচ্চিত্রেও,	
cholochchitroi,	চালচচ্ত্র,	চলচ্চিত্রই,	
chocchitrei,	চকচ্িত্রেই,	চলচ্চিত্রেই,	
khaambaa,	খামবা,	খাম্বা,	
piora,	পিয়ার,	পিওর,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
brinde,	ব্রিন্ডে,	বৃন্দ,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
rajtantre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
jinsha,	জিন্স,	জিন্স,	
samaveshke,	সমাভেশকে,	সমাবেশকে,	
zockey,	জকে,	জকি,	
rachonakal,	রচনাকল,	রচনাকাল,	
grootha,	গ্রুথ,	গ্রোথ,	
krantikale,	ক্রানটিকালে,	ক্রান্তিকালে,	
bashite,	ব্যাসিতে,	বাঁশিতে,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
shhyutara,	স্যুটার,	শ্যুটার,	
soptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
shaluk,	শালুক,	শালুক,	
shringe,	শ্রীঙ্গ,	শৃঙ্গে,	
jibonto,	জীবন্ত,	জীবন্ত,	
bhejano,	ভেজানো,	ভেজানো,	
ekhate,	এখাতে,	একহাতে,	
suresh,	সুরেশ,	সুরেশ,	
forex,	ফরেক্স,	ফরেক্স,	
objarvar,	অব্যরভার,	অবজার্ভার,	
bloggerra,	ব্লগেরা,	ব্লগাররা,	
nishchitrupe,	নিশ্চিত্রপেপে,	নিশ্চিতরূপে,	
shorif,	শরীফ,	শরিফ,	
bohoodin,	বহুদীন,	বহুদিন,	
aarcia,	আর্কিয়া,	আরসিএ,	
advansed,	অদ্ভানশে,	অ্যাডভান্সড,	
ateetkale,	অতীতকালে,	অতীতকালে,	
soinyo,	সৈন্য,	সৈন্য,	
breakthraugh,	বৃক্তরাঘ,	ব্রেকথ্রু,	
ancholeo,	আঞচলেও,	অঞ্চলেও,	
alaa,	আলা,	আলা,	
mukhyo,	মূখ্য,	মুখ্য,	
jeesa,	জেস,	জেস,	
cholocchitroi,	চালচচ্যত্র,	চলচ্চিত্রই,	
eporjonto,	এপর্যন্ত,	এপর্যন্ত,	
kalnir,	কলনীর,	কালনীর,	
falah,	ফালাহ,	ফালাহ,	
zommoo,	জম্মু,	জম্মু,	
kortaa,	কোর্টা,	করতা,	
surke,	সার্ক,	সুরকে,	
abarta,	আবর্ত,	আবর্ত,	
dekhbaar,	দেখবার,	দেখবার,	
udiichii,	উদিচিছি,	উদীচী,	
ameerika,	অ্যামেরিকা,	আমেরিকা,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
esosiyetasa,	এসোসিয়েটস,	এসোসিয়েটস,	
lesense,	লেসেন্স,	লাইসেন্স,	
koilaash,	কৈলাশ,	কৈলাস,	
osthisondhi,	অস্থিনন্ধি,	অস্থিসন্ধি,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
arthanitir,	অর্থনিটির,	অর্থনীতির,	
digrio,	ডিগ্রীও,	ডিগ্রিও,	
coolin,	কুলিন,	কুলিং,	
krusher,	ক্রাউসের,	ক্রুশের,	
teta,	টেটা,	টেটা,	
ayadabhansada,	অ্যাডভানশড,	অ্যাডভান্সড,	
korim,	করিম,	করিম,	
peterke,	পেটারকে,	পিটারকে,	
qaferderke,	কফফেরদেরকে,	কাফেরদেরকে,	
ssahocorzo,	সাহকর্য,	সাহচর্য,	
pitthey,	পিঠে,	পীঠে,	
bage,	ব্যাগে,	বাগে,	
swalpa,	স্বল্পা,	স্বল্প,	
queery,	কুয়ারি,	কোয়েরি,	
pushtir,	পুষ্টির,	পুষ্টির,	
scoore,	স্কোর,	স্কোর,	
dong,	ডং,	ডং,	
taunship,	টাউনসিপ,	টাউনশিপ,	
roopdan,	রূপদান,	রুপদান,	
chalochchitrogulor,	চলচিত্রগিলোর,	চলচ্চিত্রগুলোর,	
dormitoree,	ডরমেটরি,	ডরমিটরি,	
sahakari,	সহকারি,	সহকারী,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
annimated,	অনিমাটেড,	এনিমেটেড,	
daun,	ডাউন,	ডাউন,	
kutir,	কুটির,	কুটির,	
salphat,	সালফাট,	সালফেট,	
elaakaasoho,	এলাকাশহ,	এলাকাসহ,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
shlok,	শ্লক,	শ্লোক,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
orohan,	ওরহহন,	ওরহান,	
hola,	হলা,	হোল,	
towraat,	তওরাট,	তওরাত,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
qingdom,	কিংদম,	কিংডম,	
niropekshtar,	নিরপেক্তর,	নিরপেক্ষতার,	
khamba,	খম্বা,	খাম্বা,	
koro,	কররো,	কর,	
robotic,	রোবটিক,	রোবোটিক,	
sikarder,	সিকারদের,	শিকারদের,	
gandagol,	গণ্ডাগল,	গন্ডগোল,	
shloker,	শ্লকের,	শ্লোকের,	
cal,	কাল,	চাল,	
kanayi,	কানই,	কানাই,	
baman,	বামান,	বামন,	
raunanganey,	রঙাঙ্গনে,	রণাঙ্গনে,	
neelfamarir,	নেলফামারীর,	নীলফামারীর,	
shreemoti,	শ্রীমতি,	শ্রীমতি,	
jack,	জ্যাক,	জ্যাক,	
paaree,	পারি,	পাড়ে,	
source,	সোর্স,	সোর্স,	
folokti,	ফলকটি,	ফলকটি,	
neelabh,	নিলভ,	নীলাভ,	
paakshenara,	পাক্সেনার,	পাকসেনারা,	
aholyar,	আহলযার,	অহল্যার,	
suparheiro,	সুপারেহারও,	সুপারহিরো,	
phimela,	ফিমেল,	ফিমেল,	
swastir,	স্বশ্তির,	স্বস্তির,	
shahocharjo,	শাহচর্য,	সাহচর্য,	
bosontey,	বসন্তে,	বসন্তে,	
somonwitobhabey,	সম্নীতভাবে,	সমন্বিতভাবে,	
baasate,	বাসাতে,	বাসাতে,	
nirupito,	নিরূপিত,	নিরূপিত,	
sector,	সেক্টর,	সেক্টর,	
sangbadmadhyomgulote,	সংবাদমযুগলোতে,	সংবাদমাধ্যমগুলোতে,	
jolatonko,	জলাতঙ্ক,	জলাতঙ্ক,	
norpholk,	নরফফলক,	নরফোক,	
loha,	লোহা,	লোহা,	
noteti,	নতটি,	নোটটি,	
mokhmoley,	মোখমলে,	মখমলে,	
mousumei,	মাসুমেই,	মৌসুমেই,	
