suiti,	স্যুটি,	সুইটি,	
dharavassokar,	ধারাভাস্যকর,	ধারাভাষ্যকার,	
pat,	পট,	পেত,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
baasake,	বাসাকে,	বাসাকে,	
ukeliptash,	উপেকলিপ্টাস,	ইউক্যালিপ্টাস,	
gyandas,	জ্যান্ডস,	জ্ঞানদাস,	
score,	স্কোর,	স্কোর,	
uzobekeestaan,	উজবেকিস্তান,	উজবেকিস্তান,	
aaeereshe,	আইরেশে,	আইরেসে,	
shucre,	সাক্র,	সাকার,	
santa,	সান্ত,	সান্তা,	
geans,	জিনস,	জিন্স,	
sane,	সেন,	সনে,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
aaminaar,	আমিনার,	আমিনার,	
dhaleshorii,	ধলেশরী,	ধলেশ্বরী,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
shithilotar,	সিথিলতার,	শিথিলতার,	
praapokke,	প্রাপকে,	প্রাপককে,	
uuipoka,	উইপককা,	উইপোকা,	
bidrohiderke,	বিদ্রীহীদকের,	বিদ্রোহীদেরকে,	
ileeing,	ইলিং,	ইলিং,	
landing,	লন্ডিং,	ল্যান্ডিং,	
erina,	এরিন,	এরিনা,	
daun,	দাউন,	ডাউন,	
objarvar,	অব্যর্ভর,	অবজার্ভার,	
pest,	পেস্ট,	পেষ্ট,	
kkompito,	কম্পিত,	কম্পিত,	
jaunatar,	যৌনতার,	যৌনতার,	
suhasini,	সুহসিনি,	সুহাসিনী,	
maithili,	মাইথিলি,	মৈথিলি,	
shreemoti,	শ্রীমতি,	শ্রীমতি,	
huge,	হুগে,	হিউজ,	
byabaharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
pradeep,	প্রাদীপ,	প্রদীপ,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
jaksa,	যক্ষ,	যক্ষ,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
laicenshe,	লাইকেন্সে,	লাইসেন্স,	
sojja,	সজ্জা,	সজ্জা,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
ameerika,	অ্যামেরিক,	আমেরিকা,	
kyanela,	ক্যানেল,	ক্যানেল,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
noteti,	নটটটি,	নোটটি,	
peto,	পেত,	পেত,	
byboshthar,	বিবস্থার,	ব্যাবস্থার,	
keuyi,	কিউই,	কেউই,	
sajano,	সাজানো,	সাজানো,	
taunsheep,	টান্সীপ,	টাউনশিপ,	
priimo,	প্রীম,	প্রিমো,	
leader,	লিডের,	লিডার,	
agomonke,	আগমনকে,	আগমনকে,	
moushum,	মৌসম,	মৌসুম,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
kas,	কাস,	কাস,	
windo,	উইন্ড,	উইন্ডো,	
tonu,	টনু,	তনু,	
laaisens,	লাইসেন্স,	লাইসেন্স,	
choudhureeke,	চৌধিরকে,	চৌধুরীকে,	
asthishondhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
pitthe,	পিঠে,	পীঠে,	
associetes,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
kemone,	কেমনে,	কেমনে,	
saurce,	সার্স,	সোর্স,	
maroofer,	মারুের,	মারুফের,	
kakhonyoba,	কখনোবা,	কখনওবা,	
marmara,	মার্মার,	মারমারা,	
shikara,	সিকর,	শিকার,	
jakkho,	যক্ষ্ম,	যক্ষ,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
naubotom,	নবোতম,	নবতম,	
phastara,	ফাস্টার,	ফস্টার,	
machder,	মাছদের,	মাছদের,	
uposthit,	উপস্থিত,	উপস্থিত,	
prakalpao,	প্রকল্প,	প্রকল্পও,	
bedkey,	বেদকে,	বেদকে,	
kande,	কাঁদে,	কাণ্ডে,	
samajeek,	সামাজিক,	সামাজিক,	
kasper,	কাপ্ের,	ক্যাসপার,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
pachhi,	পাচি,	পাচ্ছি,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
candi,	ক্যান্ডি,	ক্যান্ডি,	
