nagarikderkey,	নগরীকদ্রে,	নাগরিকদেরকে,	
granthati,	গ্রন্থটি,	গ্রন্থটি,	
brindaa,	ব্রিন্ডা,	বৃন্দা,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
zubokshoho,	যুবক্ষ,	যুবকসহ,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
bigepi,	বিজেপি,	বিজেপি,	
suraaropeeto,	সুরারুপ্ত,	সুরারোপিত,	
fanser,	ফাঁসের,	ফাঁসের,	
baaik,	বাইক,	বাইক,	
samanno,	সামান্ন,	সামান্য,	
sanghorsheek,	সংংর্ষিক,	সাংঘর্ষিক,	
smarak,	স্মরক,	স্মারক,	
utsahe,	উত্সাহে,	উৎসাহে,	
hedje,	হেড,	হেজ,	
aagera,	আগেরা,	আগোরা,	
tuso,	টুসো,	তুসো,	
dekhbar,	দেখবার,	দেখবার,	
di,	দি,	দিই,	
thailandsoho,	থাইল্যান্সস,	থাইল্যান্ডসহ,	
shhikha,	শিখা,	শিখ,	
feemalee,	ফেমালী,	ফিমেল,	
udbodhone,	উদ্ধোধনে,	উদ্বোধনে,	
shrichaitanyadev,	শ্রীচৈতন্যভেদ,	শ্রীচৈতন্যদেব,	
relance,	রিলন্স,	রিলায়েন্স,	
bhittow,	ভিত্ব,	ভিত্তিও,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
hitakar,	হিতাকার,	হিতকর,	
lokkhero,	লক্ষেমর,	লক্ষেরও,	
kraim,	ক্রেইম,	ক্রাইম,	
shattoki,	সাত্তকী,	সাত্যকি,	
chirkut,	চিরকুট,	চিরকুট,	
daloo,	দালু,	ডালু,	
transformaarer,	ট্রান্সমার্াারের,	ট্রান্সফরমারের,	
jeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
alkatra,	আলকাত্র,	আলকাতরা,	
abhijojan,	অভিযোজন,	অভিযোজন,	
madrasake,	মাদ্রশাকে,	মাদ্রাসাকে,	
asiph,	আসিফ,	আসিফ,	
murader,	মুরাদের,	মুরাদের,	
crime,	ক্রিম,	ক্রাইম,	
ssikkharthirao,	শিক্ষার্থীর্,	শিক্ষার্থীরাও,	
raiialati,	রাইলেটি,	রয়্যালটি,	
dayna,	ডাইন,	ডায়না,	
kiuti,	কিউটি,	কিউটি,	
motion,	মটিন,	মোশন,	
gabeshana,	গবেষণা,	গবেষনা,	
ponthar,	পোঁঠার,	পন্থার,	
sbajan,	স্বজন,	স্বজন,	
asovo,	অসভ,	অসভ্য,	
chhooti,	ছুটি,	ছুটি,	
khagen,	খাগেন,	খগেন,	
servere,	সার্ভার,	সার্ভারে,	
allahabadey,	আল্লাবাদে,	এলাহাবাদে,	
ovarviu,	ওভারভিব,	ওভারভিউ,	
groowth,	গ্রুভ,	গ্রোথ,	
gazee,	গেজ,	গেজ,	
dharabahikti,	ধারাবাহ্ত্তি,	ধারাবাহিকটি,	
aalkaatraa,	আলকাত্র,	আলকাতরা,	
shamijir,	সামিজীর,	স্বামীজীর,	
jarusalema,	জারুসাইম,	জেরুসালেম,	
monohorpur,	মনোহরুর,	মনোহরপুর,	
ajija,	আজিজা,	আজিজা,	
phixing,	ফিকিং,	ফিক্সিং,	
elakaai,	এলাকাই,	এলাকাই,	
goonoman,	গুণমান,	গুণমান,	
juktorashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
udvaboni,	উদ্ভাবনি,	উদ্ভাবনী,	
parpel,	পার্পল,	পার্পেল,	
abikaul,	অবিকল,	অবিকল,	
nyaper,	ম্যাপের,	ন্যাপের,	
byepass,	ব্যাপসস,	বাইপাস,	
jatak,	যতক,	জাতক,	
bagdhara,	বাগধারা,	বাগধারা,	
phimeela,	ফিমিলা,	ফিমেল,	
soomee,	সুমি,	সুমি,	
indro,	ইন্দ্রো,	ইন্দ্র,	
motke,	মোটকে,	মতকে,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
pravura,	প্রভূর,	প্রভুরা,	
nikoter,	নিকটের,	নিকটের,	
fooloo,	ফুলো,	পোলো,	
makhmoley,	মাখকেলে,	মখমলে,	
romantika,	রোমান্ক্টিক,	রোমান্টিক,	
nirikha,	নিরিখ্ষা,	নিরিখ,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
thaakte,	থাকতে,	থাকতে,	
nikater,	নিকটের,	নিকটের,	
gorer,	গরের,	গোরের,	
obotar,	অবতর,	অবতার,	
neelkuthir,	নীলকুঠির,	নীলকুঠির,	
gronthotyke,	গ্রন্থাতকে,	গ্রন্থটিকে,	
bohal,	বহল,	বহাল,	
nikate,	নিকটে,	নিকটে,	
byatari,	ব্যতারী,	ব্যাটারী,	
siddhantokey,	সিদ্ধননতকে,	সিদ্ধান্তকে,	
licensin,	লিসনেসিন,	লাইসেন্সিং,	
gafiloti,	গফিলটি,	গাফিলতি,	
bronje,	ব্রোঞ্জে,	ব্রোঞ্জ,	
mohiboor,	মহিবুর,	মহিবুর,	
cheenja,	চিঞ্জা,	চেঞ্জ,	
saurce,	সার্স,	সোর্স,	
madhabike,	মাধবীকে,	মাধবীকে,	
gujab,	গুজব,	গুজব,	
preety,	প্রীতি,	প্রিটি,	
teentir,	টিনটির,	তিনটির,	
uthhe,	উঠে,	উঠে,	
battery,	ব্যাটারি,	ব্যাটারী,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
samle,	সমমে,	সামলে,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
hamburge,	হাম্বর্গে,	হামবুর্গে,	
elakaa,	এলাকা,	এলাকা,	
dharavassokar,	ধারাভাস্কাত,	ধারাভাষ্যকার,	
mozlishpur,	মজলিস্পুর,	মজলিশপুর,	
chanoo,	চানো,	চানু,	
bhittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
palestinea,	প্যালেস্টিনে,	প্যালেস্টাইনে,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
probhritike,	প্রভূতিকে,	প্রভৃতিকে,	
antorvuktimulak,	অন্তর্ভূত্চুকুক,	অন্তর্ভুক্তিমূলক,	
bollov,	বললো,	বল্লভ,	
karpeeta,	কর্পিট,	কার্পেট,	
nodiiteyi,	নদীতেই,	নদীতেই,	
nandolal,	নন্দলাল,	নন্দলাল,	
kinsha,	কিংস,	কিংস,	
roopdan,	রূপদান,	রুপদান,	
shikhechi,	শিখেছি,	শিখেছি,	
soptahokal,	সপ্তাহালক,	সপ্তাহকাল,	
tikto,	টিক্ো,	তিক্ত,	
soras,	সরাস,	সরস,	
ekaatto,	একাত্ত,	একাত্ব,	
sikhechi,	শিখেছি,	শিখেছি,	
konruup,	কনরুর,	কোনরূপ,	
kyapasula,	ক্যাপোসুল,	ক্যাপসুল,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
stoona,	স্টুন,	স্টোন,	
parkasa,	পার্কশ,	পার্কস,	
satarkabhabey,	সতরতকভাবে,	সতর্কভাবে,	
meeting,	মেটিং,	মিটিং,	
taateo,	তাতেও,	তাতেও,	
sarboporee,	সর্বপপরি,	সর্বোপরী,	
nathivookta,	নথিভুক্ত,	নথিভুক্ত,	
uponisod,	উপনিশদ,	উপনিষদ,	
durgatsabe,	দুর্গতভাবে,	দুর্গোৎসবে,	
vabatarini,	ভাবতীরিণী,	ভবতারিণী,	
futbolarra,	ফুটবললার,	ফুটবলাররা,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
jyestha,	জ্য্ষ্ঠ,	জ্যেষ্ঠা,	
raiter,	রাইটের,	রাইটের,	
mosjidsoho,	মসসিদসহ,	মসজিদসহ,	
shift,	সিফট,	শিফট,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
kolahal,	কলাহাল,	কোলাহল,	
bede,	বেদে,	বেদে,	
aholar,	আহলার,	অহল্যার,	
heeja,	হেজ,	হেজ,	
evaner,	ইভানের,	ইভানের,	
utshahi,	উত্সাহী,	উৎসাহী,	
jotota,	যতটা,	যতোটা,	
asar,	আসার,	আসর,	
jalatanko,	জলতান্ক,	জলাতঙ্ক,	
konisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
shelina,	সেলিন,	সেলিনা,	
everest,	ইভের্সট,	এভারেস্টে,	
cheerota,	চিরতা,	চিরতা,	
musalmani,	মুসলামনী,	মুসলমানই,	
jeebonnogor,	জীবনগর,	জীবননগর,	
adbhut,	অ্যাডভুত,	অদ্ভুত,	
shhipa,	শিপা,	শিপ,	
bihar,	বিহার,	বিহার,	
vasturyi,	বাস্তুরি,	বস্তুরই,	
khargosher,	খার্ঘসের,	খরগোসের,	
naubotom,	নবটম,	নবতম,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
woter,	ওটের,	ভোটার,	
prakalpao,	প্রকলপপ,	প্রকল্পও,	
kanshat,	কানসাত,	কানসাট,	
kartam,	করত্ম,	করতাম,	
tarkareer,	তরকারীর,	তরকারীর,	
abortey,	আবর্তে,	আবর্তে,	
orgho,	অর্ঘ,	অর্ঘ্য,	
mozdur,	মজদুর,	মজদুর,	
kyatagorir,	ক্যাতোগারির,	ক্যাটাগরির,	
kormi,	কর্মী,	কর্মই,	
jolook,	জলুুক,	জ্বলুক,	
balokarak,	বালকরক,	বলকারক,	
abheegomon,	অভিগোমন,	অভিগমন,	
abarta,	আবর্ত,	আবর্ত,	
somraatder,	সম্রাত্যের,	সম্রাটদের,	
expose,	এক্সপোজে,	এক্সপোজ,	
akhandota,	আখন্দততা,	অখণ্ডতা,	
tookrotey,	টুকরতে,	টুকরোতে,	
harisoner,	হারিসনের,	হ্যারিসনের,	
ved,	ভেদ,	বেদ,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
haze,	হাজ,	হেজ,	
ispredseet,	ইস্প্রেডিট,	স্প্রেডশীট,	
dana,	ডানা,	ডায়না,	
dharavahikeo,	ধারাবাহিতে,	ধারাবাহিকেও,	
yatharthabhabe,	যথারথভাবে,	যথার্থভাবে,	
meeseenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
cakee,	কেক,	কেকে,	
ronodeep,	রণদীপ,	রণদীপ,	
jeten,	যেতেন,	যেতেন,	
grambaashio,	গ্রামবাশিও,	গ্রামবাসীও,	
ikbaaler,	ইকবালের,	ইকবালের,	
ahong,	আহং,	অহং,	
gunman,	গুণমান,	গুণমান,	
kanai,	কানাই,	কানাই,	
dipei,	ডিপেই,	দ্বীপেই,	
sphincter,	স্ফিন্টের,	স্ফিংটার,	
abarto,	আবর্ত,	আবর্ত,	
chhanee,	ছানি,	ছানি,	
gyandaas,	গ্ঞান্ডস,	জ্ঞানদাস,	
ikbalke,	ইকবালকে,	ইকবালকে,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
kortona,	কর্তনা,	করতনা,	
bibhonno,	বিভন্ন,	বিভন্ন,	
ashor,	আসর,	আসর,	
kobutorer,	কবূতরের,	কবুতরের,	
orthat,	অর্থাত,	অর্থাৎ,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
gosthiti,	গোস্থিতি,	গোষ্ঠীটি,	
artilery,	আর্টিলি,	আর্টিলারি,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
tetela,	ট্যেটেল,	টাইটেল,	
byaboharkariderkey,	ব্যবহারক্রাদিকে,	ব্যবহারকারীদেরকে,	
anchalti,	আঞ্চলটি,	অঞ্চলটি,	
okritokarjo,	অক্ততরক্য,	অকৃতকার্য,	
potchitro,	পথ্ছিত্র,	পটচিত্র,	
kaareer,	কারির,	কারীর,	
paree,	পারী,	পাড়ে,	
avereste,	অভেরবেস্টে,	এভারেস্টে,	
shcholastiq,	স্কলাশটিক,	স্কলাস্টিক,	
shilbar,	শিলবার,	সিলভার,	
ray,	রে,	রায়,	
model,	মদেল,	মডেল,	
reno,	রেন,	রেনো,	
prothar,	প্রথার,	প্রথার,	
jerokom,	জিরকম,	যেরকম,	
tokei,	টোকেই,	ত্বকেই,	
deebatee,	দিবতী,	ডিবেট,	
lokkheryo,	লক্ষ্যের্য,	লক্ষেরও,	
licenshe,	লিইন্সে,	লাইসেন্স,	
sharther,	সার্থের,	স্বার্থের,	
towraat,	টোররাত,	তওরাত,	
bronze,	ব্রোঞ্জে,	ব্রোঞ্জ,	
nathibhookto,	নথিভুক্ত,	নথিভুক্ত,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
joistho,	জৈ্ষ্ঠ,	জ্যৈষ্ঠ,	
uqeliptas,	উউকেলিটটাস,	ইউক্যালিপ্টাস,	
rajnaitik,	রাজনৈতিক,	রাজনৈতীক,	
aakkaas,	আককাস,	আককাস,	
jonomukhi,	জনমুখী,	জনমুখী,	
kommppito,	কম্পিিট,	কম্পিত,	
danobder,	দাবন্দের,	দানবদের,	
osamarik,	অসামেরিক,	অসামরিক,	
bohudin,	বহুদিন,	বহুদিন,	
alsar,	আলসার,	আলসার,	
bea,	বি,	বি,	
ghatkey,	ঘাটকে,	ঘাটকে,	
taoonship,	টাউন্সিপ,	টাউনশিপ,	
holdim,	হল্্ডিং,	হোল্ডিং,	
jar,	যার,	জ্বর,	
crescenter,	ক্রিসেন্টার,	ক্রিসেন্টের,	
hiiragana,	হিরাগান,	হিরাগানা,	
kunntee,	কুন্তি,	কুন্তী,	
charrjito,	চারজিত,	চার্জিত,	
hajjirhat,	হজজিরহাট,	হাজিরহাট,	
jyesttha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
ponthaar,	পোন্থার,	পন্থার,	
daltyagi,	দলত্যাগি,	দলত্যাগী,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
aashok,	আশোক,	আশোক,	
blagarara,	ব্লগারার,	ব্লগাররা,	
ghateer,	ঘটির,	ঘাটির,	
natnikey,	নাটনীকে,	নাতনীকে,	
olimpicer,	অলিম্পিলের,	অলিম্পিকের,	
bii,	বি,	বি,	
prakar,	প্রকার,	প্রকার,	
potocheetrer,	পতচ্ছিত্রের,	পটচিত্রের,	
qulim,	কুলিম,	কুলিং,	
porishongkhanbid,	পরিসংখ্বানিদ,	পরিসংখ্যানবিদ,	
coolin,	কুলিন,	কুলিং,	
culing,	কুলিং,	কুলিং,	
eshokol,	এসকল,	এসকল,	
shefa,	সেফ,	শেফ,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
madaspushto,	মাদসশুষ্ট,	মদদপুষ্ট,	
teuning,	টিউনিং,	টিউনিং,	
technocrat,	টেকন্টের্ট,	টেকনোক্র্যাট,	
starcer,	স্টার্সের,	স্টার্কের,	
qanaphliqta,	কনফালিক্ট,	কনফ্লিক্ট,	
meghke,	মাঘকে,	মেঘকে,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
welcome,	ওয়েলকাম,	ওয়েলকাম,	
marier,	মেরির,	ম্যারির,	
firoja,	ফিরোজ,	ফিরোজা,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
bhalapuka,	ভালাপুকা,	ভোলাপুক,	
mahajote,	মহাজতে,	মহাজোট,	
garden,	গার্ডেন,	গার্ডেন,	
balatkar,	বলতকার,	বলাৎকার,	
zerusalem,	জেরোসামে,	জেরুসালেম,	
aazaadeer,	আজাদির,	আজাদীর,	
oshamorik,	অসামোরিক,	অসামরিক,	
tofat,	টফাট,	তফাৎ,	
pathachari,	পথাচারী,	পথচারী,	
nabyata,	নব্যতা,	নাব্যতা,	
tateo,	তাটেও,	তাতেও,	
oiteejyer,	ঐতিয্যের,	ঐতিহ্যের,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
shomsti,	সম্ত্তি,	সমষ্টি,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
madhabi,	মাধবী,	মাধবী,	
alpakichudin,	অল্পকিছিদিন,	অল্পকিছুদিন,	
khoja,	খোজ,	খোজা,	
bolbo,	বলব,	বলবো,	
siddhantei,	সিদ্ধনেতেই,	সিদ্ধান্তেই,	
sthapanagulor,	স্থাপানগুগোর,	স্থাপনাগুলোর,	
samabeshti,	সমবেশ্তি,	সমাবেশটি,	
bhalta,	ভল্টা,	ভল্ট,	
avishangsan,	অভিশংসান,	অভিশংসন,	
shikha,	শিখা,	শিখ,	
boney,	বনে,	বনে,	
paite,	পাইটে,	পাইতে,	
notikotar,	নটীকটার,	নৈতিকতার,	
chhanake,	ছানকে,	ছানাকে,	
gonosochetonota,	গণস্বাচনতত,	গণসচেতনতা,	
hundayi,	হান্ডে,	হুন্দাই,	
chatoke,	চটটকে,	ছাতকে,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
chidropothe,	চিদ্রপপথে,	ছিদ্রপথে,	
turbine,	টার্বিনে,	টারবাইন,	
mugdhata,	মুগধ্তা,	মুগ্ধতা,	
shakar,	সকর,	সকার,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
telakoocha,	টেলাকুচ,	তেলাকুচা,	
nariikeyi,	নারীকেই,	নারীকেই,	
otiteo,	অতিতেও,	অতীতেও,	
sukna,	শুকনা,	শুকনা,	
saqara,	সাকার,	সকার,	
asaborno,	অসবর্ন,	অসবর্ণ,	
harano,	হারানো,	হারান,	
natians,	নটটান্স,	নেশনস,	
bosante,	বসন্তে,	বসন্তে,	
chalochchitrotike,	চলচ্চিত্রকিকে,	চলচ্চিত্রটিকে,	
musolmanra,	মুসমল্ন্র,	মুসলমানরা,	
pingna,	পিঙ্গ,	পিংনা,	
progreess,	প্রগ্রেস,	প্রগ্রেস,	
somonnitobhabe,	সম্ন্যিতভাবে,	সমন্বিতভাবে,	
tunar,	টুনার,	টিউনার,	
siramiker,	শিরামিকের,	সিরামিকের,	
sosharire,	সশরিরে,	সশরীরে,	
siddhantey,	সিদ্ধনতে,	সিদ্ধান্তে,	
mishal,	মিশাল,	মিশাল,	
daqten,	ডাকতেন,	ডাকতেন,	
nisad,	নিশদ,	নিষাদ,	
bhaskor,	ভাষ্কর,	ভাস্কর,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
chalta,	চলত,	চালতা,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
ghosito,	ঘষিত,	ঘোষিত,	
santani,	সান্তনী,	সনাতনী,	
jwoluk,	জ্বুলক,	জ্বলুক,	
mookhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
jerusalem,	জেরোসামে,	জেরুজালেম,	
nodimatrik,	নদীমত্র্ক,	নদীমাতৃক,	
byakkhabyatito,	ব্যকস্বা্যিত,	ব্যাখ্যাতীত,	
naji,	নাজি,	নাত্সি,	
abodamaner,	অবদামনের,	অবদমনের,	
horus,	হোরাস,	হোরাস,	
valobasa,	ভালবাসা,	ভালোবাসা,	
basakey,	বাসকে,	বাসাকে,	
pisach,	পিশাচ,	পিশাচ,	
ojowno,	অযোনন,	অযৌন,	
obosorer,	অবসরের,	অবসরের,	
ujbekistaner,	উজ্জেকিস্তনের,	উজবেকিস্তানের,	
ivam,	ইভাম,	ইভিএম,	
phokskon,	ফক্সক,	ফক্সকন,	
utsahamulak,	উত্সমূমূলক,	উৎসাহমূলক,	
baasaake,	বাসাকে,	বাসাকে,	
sina,	সিন,	সিনা,	
jotinke,	জ্যোতিককে,	যতীনকে,	
plainti,	প্লেন্টি,	প্লেনটি,	
onurbar,	অনুরবর,	অনুর্বর,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
cheerokoomari,	চিরকমাইরি,	চিরকুমারী,	
landey,	লন্ডে,	ল্যান্ডে,	
tekno,	টেকন,	টেকনো,	
aziza,	আজিজ,	আজিজা,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
sudrishya,	সুদ্রিশ্য,	সুদৃশ্য,	
institutione,	ইন্স্টিটশনে,	ইনস্টিটিউশনে,	
sharoker,	সরককর,	স্মারকের,	
cinematographar,	সিনেমগ্রের্চর,	সিনেমাটোগ্রাফার,	
khude,	ক্ষুদে,	ক্ষুদে,	
infarmatian,	ইনফ্র্মেশন,	ইনফরমেশন,	
engreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
bachchan,	বাচ্চান,	বচ্চন,	
qonflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
damane,	ডমমেন,	দমনে,	
swosti,	স্বস্তি,	স্বস্তি,	
franko,	ফ্রাঙক,	ফ্রাঙ্কো,	
eporjonta,	এপর্জন্ত,	এপর্যন্ত,	
ispredsheet,	ইস্প্রেশিট,	স্প্রেডশীট,	
somraat,	সম্রাত,	সম্রাট,	
simons,	সিমন্স,	সিমন্স,	
everage,	এভেরাজ,	এভারেজ,	
nirmankaz,	নির্মাঙ্জক,	নির্মাণকাজ,	
shhashtra,	সাস্ত্র,	শাস্ত্র,	
shtonehenge,	স্ট্যানেং,	স্টোনহেঞ্জ,	
footbalarra,	ফুটবললার,	ফুটবলাররা,	
hijriite,	হিজরিতে,	হিজরীতে,	
satyaki,	সত্যকি,	সাত্যকি,	
dhabi,	ধববি,	ঢাবি,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
hitaishi,	হিতাশী,	হিতৈষী,	
hugeke,	হুগেকে,	হিউজকে,	
beetloser,	বিটলসের,	বিটলসের,	
alsaara,	আলসারা,	আলসার,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
palbangser,	পালবাংশের,	পালবংশের,	
asamorik,	অসামরিক,	অসামরিক,	
abosan,	অবসান,	অবসান,	
bachaikrito,	বাচাইকৃত,	বাছাইকৃত,	
dwipei,	দ্বীপেই,	দ্বীপেই,	
muchi,	মুচি,	মুচি,	
sonaktokaraner,	সনাক্তককাণের,	সনাক্তকরণের,	
torunderke,	তরুণ্ডকে,	তরুণদেরকে,	
ooindos,	উইন্ডোস,	উইন্ডোস,	
ishpredshhit,	ইস্পর্দেসিত,	স্প্রেডশীট,	
avijojan,	অভিযোজন,	অভিযোজন,	
prokolpogulo,	প্রকলপপুলো,	প্রকল্পগুলো,	
snepara,	স্নেপার,	স্নাইপার,	
gotihin,	গতিহীন,	গতিহীন,	
chootite,	চুটিতে,	ছুটিতে,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
chintaikaree,	চিনতাইকারী,	ছিনতাইকারী,	
teta,	টট,	টেটা,	
madrasakey,	মাদ্রশাকে,	মাদ্রাসাকে,	
kokeyin,	কোকেইন,	কোকেইন,	
olimpik,	আলিম্পিক,	অলিম্পিক,	
concert,	কনসার্ট,	কানসাট,	
sangbadmadhyame,	সংবাদধা্ধমে,	সংবাদমাধ্যমে,	
bopoon,	বপুন,	বপন,	
doobate,	দুবাতে,	ডুবাতে,	
juktorashtrasaha,	যুক্তরাস্রসস,	যুক্তরাষ্ট্রসহ,	
dilam,	ডিলাম,	দিলাম,	
resort,	রিসর্ট,	রিসোর্ট,	
bandra,	বন্দ্র,	বন্দীরা,	
palashir,	পলশির,	পলাশীর,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
toufeek,	তৌফিক,	তৌফিক,	
armeenian,	আর্মিনিয়ান,	আর্মেনিয়ান,	
phutanto,	ফুটান্ত,	ফুটন্ত,	
brindabone,	ব্র্নবাদনে,	বৃন্দাবনে,	
gatibege,	গতিবেগে,	গতিবেগে,	
mukhya,	মুখ্য,	মুখ্য,	
themeke,	থেমমেকে,	থিমকে,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
saarbhaare,	সার্ভারে,	সার্ভারে,	
asantos,	অসান্তস,	অসন্তোষ,	
sausage,	সাউগেজ,	সসেজ,	
prottokkhovabe,	প্রত্যক্ষকভাবে,	প্রত্যক্ষভাবে,	
ched,	চেদ,	ছেদ,	
ottacharer,	অত্চাচারের,	অত্যাচারের,	
jaj,	যজ,	জাজ,	
nariikei,	নারীকেই,	নারীকেই,	
krantee,	ক্রেন্টি,	ক্রান্তি,	
mandape,	মন্ডপে,	মন্ডপে,	
krechi,	ক্রেছি,	করেছি,	
mg,	এম,	এমজি,	
nirvahi,	নির্বাহী,	নির্বাহি,	
marpit,	মারপিট,	মারপিট,	
eideen,	এইদিন,	এইদিন,	
elakayi,	এলাকাই,	এলাকাই,	
suhasini,	সুহসিনী,	সুহাসিনী,	
ahalya,	আহল্য,	অহল্যা,	
dolgulo,	দলগুলো,	দলগুলোও,	
veedanta,	বীদন্ত,	বেদান্ত,	
mitroyo,	মিত্রও,	মিত্রও,	
engrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
banshite,	বাংশীতে,	বাঁশিতে,	
orthanitike,	অর্থনিতিকে,	অর্থনীতিকে,	
