alauler,	আলালের,	আলাওলের,	
shadena,	সাদেনা,	সাডেন,	
kloj,	ক্লোজ,	ক্লজ,	
phutonto,	ফুটন্ত,	ফুটন্ত,	
srisri,	স্রিস্রী,	শ্রীশ্রী,	
nikataner,	নিকাটনের,	নিকেতনের,	
nathibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
panchbar,	পাঁচবার,	পাঁচবার,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
bulan,	বুলান,	বুলান,	
songkulan,	সংকুলন,	সংকুলান,	
tolemi,	তলেমি,	টলেমির,	
raiialati,	রেইলাটি,	রয়্যালটি,	
rikondison,	রিকন্ডিশন,	রিকন্ডিশন,	
tukrote,	তুকরতে,	টুকরোতে,	
shomraat,	সম্রাত,	সম্রাট,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
steeit,	স্টেইট,	স্টেইট,	
shtena,	স্টেন,	স্টেন,	
marjito,	মার্জিত,	মার্জিত,	
bisnuke,	বিষ্নুকে,	বিষ্ণুকে,	
siramikasa,	সিরামিকাস,	সিরামিকস,	
soource,	সার্স,	সোর্স,	
disni,	দিশনি,	ডিজনী,	
tatey,	টাটে,	তাতে,	
somratra,	সম্রাত্র,	সম্রাটরা,	
eucalyptush,	এউকেলপ্টিস,	ইউক্যালিপ্টাস,	
kaathhmaandute,	কান্সমব্গে,	কাঠমান্ডুতে,	
bohudin,	বহুদিন,	বহুদিন,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
enginiirs,	এন্ািনির,	ইঞ্জিনিয়ার্স,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
muhurtati,	মুহুরতিত,	মুহুর্তটি,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
maadhookori,	মাধকররী,	মাধুকরী,	
sanghorshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
shucre,	স্চ্রা,	সাকার,	
sompadon,	সম্পাদন,	সম্পাদন,	
sainyader,	সাইন্যদের,	সৈন্যদের,	
chaudhuriyo,	চৌধুরিয়,	চৌধুরীও,	
