estoniya,	এস্টনিয়া,	এস্তোনিয়া,	
baipass,	বাইপাস,	বাইপাস,	
monjooshree,	মন্জুরী,	মঞ্জুশ্রী,	
gatee,	গেট,	গ্যেটে,	
muktume,	মুকতমে,	মাকতুম,	
eevil,	এভিল,	ইভিল,	
laiseensa,	লাইস্স,	লাইসেন্স,	
shithilotar,	শিথিলতার,	শিথিলতার,	
tarani,	তারণী,	তরণী,	
reesideensa,	রেসিডেন্স,	রেসিডেন্স,	
sanstha,	সংস্থা,	সংস্থা,	
arbit,	আরবিট,	অরবিট,	
sahab,	সাহাব,	সাহাব,	
sastra,	শোস্ত্র,	শাস্ত্র,	
sabaner,	সাবনের,	সাবানের,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
nebhatey,	নেভাতে,	নেভাতে,	
aashtikota,	আস্তিকতা,	আস্তিকতা,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
jubokera,	যুবকেরা,	যুবকেরা,	
fulkopi,	ফুলকোপি,	ফুলকপি,	
mosjidtir,	মুবিদিট্রি,	মসজিদটির,	
goora,	গুর,	গোর,	
debaag,	দেবাগ,	ডিবাগ,	
moshjidti,	মোশজিদ্তি,	মসজিদটি,	
assaciates,	অ্যাস্সিসেয়েস,	এসোসিয়েটস,	
juboke,	যুবকে,	যুবকে,	
grip,	গ্রীপ,	গ্রিপ,	
choddo,	ছোদ্য,	চোদ্দো,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
aachees,	আচেষ,	আছিস,	
licenshing,	লিসেন্সিং,	লাইসেন্সিং,	
bhogni,	ভোগ্নী,	ভগ্নী,	
caaling,	কালিং,	কুলিং,	
dinesh,	ডিনেস,	দীনেশ,	
daakteekit,	ডাক্তিক,	ডাকটিকিট,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
seema,	সিমা,	সীমা,	
aarke,	আরকে,	আরকে,	
azaan,	আজান,	আজান,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
ddheela,	ঢেলা,	ঢিলা,	
shartho,	শার্থ,	স্বার্থ,	
bhalapuka,	ভালাপুকা,	ভোলাপুক,	
adwanced,	অ্যাডভান্ডেড,	অ্যাডভান্সড,	
spredasita,	স্প্রেসেসিত,	স্প্রেডশীট,	
noiteekotabodh,	নৈতিকাবাদ,	নৈতিকতাবোধ,	
mitar,	মিতার,	মিত্র,	
majuter,	মজুতের,	মজুতের,	
dhanchey,	ধাঁচে,	ধাঁচে,	
asamanjashapurna,	অসমানবন্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
uul,	উউল,	উল,	
dibaag,	দিবাগ,	ডিবাগ,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
thelyanda,	থেলযান্ড,	থাইল্যান্ড,	
dharavahikbhabe,	ধারাভাকিভাবে,	ধারাবাহিকভাবে,	
aoki,	আকি,	এওকি,	
bhardwaj,	ভার্ডজো,	ভরদ্বাজ,	
ganachiner,	গণচিনের,	গণচীনের,	
engineering,	ইনজিরিং,	ইঞ্জিনিয়ারিং,	
kyashpar,	ক্যাস্পার,	ক্যাসপার,	
jaank,	জানক,	জাঁক,	
stona,	স্তোন,	স্টোন,	
faltir,	ফলটির,	ফলটির,	
mawdel,	মাউডেল,	মডেল,	
