shashoto,	শাসত,	শাশ্বত,	
udvaboni,	উদ্ভবনী,	উদ্ভাবনী,	
dhalur,	ঢালুর,	ঢালুর,	
spreeadsheet,	স্প্রিডসেট,	স্প্রেডশীট,	
vabna,	ভাবা,	ভাবনা,	
melbourney,	মেলবোর্ণে,	মেলবোর্নে,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
salapheta,	সালফেট,	সালফেট,	
dakticket,	ডক্টিকেট,	ডাকটিকিট,	
nothibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
barnis,	বার্নিস,	বার্নিশ,	
jacksonke,	যকস্ককে,	জ্যাকসনকে,	
proo,	প্রু,	প্রো,	
fol,	ফল,	ফল,	
saqara,	সকর,	সাকার,	
tegara,	টেগর,	টাইগার,	
ekshotee,	একশটি,	একশোটি,	
hool,	হোল,	হুল,	
gostigoolo,	গস্তিগুলো,	গোষ্ঠীগুলো,	
asovyo,	অসভ্য,	অসভ্য,	
bonobhumi,	বনভূমি,	বনভূমি,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
charjer,	চার্জার,	চার্জার,	
vabanir,	ভবনীর,	ভবানীর,	
aashor,	আশোর,	আসর,	
chittronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
surti,	সূর্তি,	সুরটি,	
qiuti,	কিউটি,	কিউটি,	
taivan,	টাইভান,	তাইওয়ান,	
shoo,	সো,	শো,	
bai,	বাই,	বাঈ,	
bishashke,	বিশ্বকে,	বিশ্বাসকে,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
gonoporeebohoner,	গণপরিবহণের,	গণপরিবহনের,	
hoomes,	হোমেস,	হোমস,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
cada,	কা,	কোডা,	
inamila,	ইনামিল,	এনামেল,	
daloo,	দালু,	ডালু,	
asirbad,	আশীর্বাদ,	আশির্বাদ,	
shcholashtic,	স্কলস্টিক,	স্কলাস্টিক,	
daaraa,	দারা,	দারা,	
tarunderke,	তারুন্দেরকে,	তরুণদেরকে,	
utkhat,	উৎকাত,	উত্খাত,	
judge,	জজ,	জাজ,	
prabhur,	প্রভূর,	প্রভুর,	
heje,	হেজে,	হেজ,	
venishh,	ভেনিস,	ভেনিস,	
manikyo,	মণিকক্য,	মানিক্য,	
bhushito,	ভূষিত,	ভূষিত,	
peeth,	পিথ,	পীঠ,	
lagche,	লাগছে,	লাগছে,	
dhan,	ধান,	ধ্যান,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
jamjamat,	জামজাাত,	জমজমাট,	
saamaanya,	সামান্য,	সামান্য,	
jaanar,	জানার,	জানার,	
akshor,	অক্ষর,	একশোর,	
breqathru,	ব্রেকারু,	ব্রেকথ্রু,	
enginears,	এঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
shipa,	শিপা,	শিপ,	
jonee,	জোন,	জনি,	
nirarthok,	নিরর্থক,	নিরর্থক,	
modelder,	মোদেলদের,	মডেলদের,	
puncho,	পুঁছ,	পুঞ্চ,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
digri,	ডিগ্রী,	ডিগ্রি,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
inamil,	ইনামিল,	এনামেল,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
elakaate,	এলাকাতে,	এলাকাতে,	
chiraharit,	চিরহরত,	চিরহরিৎ,	
skalastik,	স্কলস্তিক,	স্কলাস্টিক,	
pachok,	পছক,	পাচক,	
mascat,	মাসকাট,	মাস্কাট,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
janaalo,	জানালো,	জানালো,	
parishrom,	পরিস্রম,	পরিশ্রম,	
prosadhaner,	প্রসাধানের,	প্রসাধনের,	
joqy,	জ্যাকি,	জকি,	
stonaheenja,	স্টাহাহিং্যা,	স্টোনহেঞ্জ,	
mousumeo,	মসুমেও,	মৌসুমেও,	
durger,	দার্গের,	দুর্গের,	
samratder,	সাম্রাদ্যের,	সম্রাটদের,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
sumoo,	সুমু,	সুমো,	
venuser,	বেনাসের,	ভেনাসের,	
dayitto,	দৈত্য,	দায়িত্ব,	
jokrito,	যকৃত,	যকৃৎ,	
ponchaashjon,	পঞ্চাশন,	পঞ্চাশজন,	
chhatogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
chhatogalper,	ছোটোগল্পের,	ছোটগল্পের,	
prozononkal,	প্রজননক্লাল,	প্রজননকাল,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
ganonanatto,	গণনান্ত্,	গণনাট্য,	
reejideencee,	রেজিডেন্স,	রেসিডেন্স,	
gorib,	গরীব,	গরিব,	
adbhut,	অধীট,	অদ্ভুত,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
ghomtaa,	ঘটমা,	ঘোমটা,	
bedke,	বেদকে,	বেদকে,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
baraak,	বারক,	বারাক,	
nesanasa,	নেশনস,	নেশনস,	
pretii,	প্রেটি,	প্রিটি,	
avishangsan,	অভিসাংসন,	অভিশংসন,	
nesans,	নেযা্স,	নেশনস,	
ipl,	ইইপল,	আইপিএল,	
mirakel,	ম্যারাকেল,	মিরাকেল,	
kriita,	ক্রীতা,	ক্রীট,	
stona,	স্টন,	স্টোন,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
bangyer,	বঙ্গের,	ব্যাঙের,	
bade,	বেড,	বাদে,	
baireyo,	বৈরেও,	বাইরেও,	
kinsha,	কিংস,	কিংস,	
anciint,	এনসাইন্ট,	এনসিয়েন্ট,	
iyutha,	ইউথ্য,	ইয়ুথ,	
yaaq,	ইক,	ইয়াক,	
lishenshe,	লিসেন্স,	লাইসেন্স,	
bollov,	বললভ,	বল্লভ,	
liseensee,	লিসেন্স,	লাইসেন্স,	
shomrat,	সম্রাত,	সম্রাট,	
santoshpur,	সন্তঃপপুর,	সন্তোষপুর,	
kemoney,	কেমনে,	কেমনে,	
madeling,	ম্যাডলিং,	মডেলিং,	
dharabahikbhabey,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
horiddare,	হরিদরে,	হরিদ্বারে,	
pratista,	প্রতিষ্ট,	প্রতিষ্টা,	
azimke,	আজিমকে,	আজিমকে,	
konader,	কোনদের,	কণাদের,	
set,	সেট,	সিট,	
asamorthito,	অসমর্থিত,	অসমর্থিত,	
charukola,	চ্রুকোলা,	চারুকলা,	
gasthigulo,	গাস্তিগুলো,	গোষ্ঠীগুলো,	
tukrote,	টুক্রটে,	টুকরোতে,	
maney,	মানে,	মানে,	
suddeen,	সুদদিন,	সাডেন,	
messenjer,	মেজেঞ্জের,	মেসেঞ্জার,	
bodh,	বধ,	বোধ,	
code,	কোড,	কোড,	
deily,	ডেলি,	ডেইলি,	
ashocheton,	অস্বচেতন,	অসচেতন,	
moofti,	মুফতি,	মুফতি,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
falashrutite,	ফলস্রুটিতে,	ফলশ্রুতিতে,	
cena,	চেনা,	সিনা,	
asamonjoshopurno,	অসমাস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
falakti,	ফালকটি,	ফলকটি,	
nitikotha,	নীতিকথা,	নীতিকথা,	
akatwa,	একা্ত,	একাত্ব,	
bhuushito,	ভূষিত,	ভূষিত,	
khatgosher,	খাটগোষের,	খরগোসের,	
durgotsab,	দুর্গত্বব,	দুর্গোৎসব,	
porishongkhanbid,	পরিসংখান্বিদ,	পরিসংখ্যানবিদ,	
kaale,	কালে,	কালে,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
udbodhoner,	উদ্ববনের,	উদ্বোধনের,	
jalatanko,	জলাত্ক,	জলাতঙ্ক,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
chaalabi,	চালাবি,	চালাবে,	
aalaaoler,	আলালের,	আলাওলের,	
laaz,	লাজ,	লাজ,	
queery,	কুয়েরি,	কোয়েরি,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
protjogiita,	প্রত্যোগিতা,	প্রতিযোগীতা,	
vabatarini,	ভববাটিরিণী,	ভবতারিণী,	
valobase,	ভালবাসে,	ভালোবাসে,	
chalochchitreeo,	চলচিত্রির,	চলচ্চিত্রেও,	
dhila,	ঢিলা,	ঢিলা,	
johor,	জহহর,	জহর,	
netherlandey,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
sutir,	সুটির,	সুতির,	
pchok,	পছ্ক,	পাচক,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
mojlishpoor,	মজলিশপুর,	মজলিশপুর,	
kamti,	কমটি,	কমতি,	
beshirbhaageyi,	বেশীরভাগই,	বেশিরভাগেই,	
probhur,	প্রভূর,	প্রভুর,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
dibidh,	দিবিধ,	দ্বিবিধ,	
janasangjog,	জনসাযোগঞ,	জনসংযোগ,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
doula,	দাওলা,	দৌলা,	
besharkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
gor,	গর,	গোর,	
adhyatmikata,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
shyooter,	শ্যুতের,	শ্যুটার,	
braqe,	ব্র্য,	ব্রেক,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
chhanake,	ছানকে,	ছানাকে,	
khur,	খুর,	ক্ষুর,	
hosheyin,	হোসেন,	হোসেইন,	
dweegulotey,	দ্বীগুলোতে,	দ্বীপগুলোতে,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
khaambaa,	খাম্বা,	খাম্বা,	
dharabahikbhabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
horipur,	হরিপুর,	হরিপুর,	
phixing,	ফিকিস,	ফিক্সিং,	
uponeeshoder,	উপনিষদের,	উপনিষদের,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
kampito,	কম্পিত,	কম্পিত,	
laaj,	লাজ,	লাজ,	
iraner,	ইরারনের,	ইরানের,	
abasarer,	অবসরের,	অবসরের,	
aaloteo,	আলোতেও,	আলোতেও,	
siropa,	শিরপা,	শিরোপা,	
thaii,	থাই,	থাই,	
auncholo,	আঞ্চল,	অঞ্চলও,	
modelke,	মডেলকে,	মডেলকে,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
protijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
idaning,	এডািনিং,	ইদানীং,	
kanayi,	কানাই,	কানাই,	
ekooghore,	একঘোরে,	একঘরে,	
odurey,	অদূরে,	অদুরে,	
masey,	মাসে,	মাসে,	
daroda,	দারদা,	দারদা,	
aansarir,	আনসারির,	আনসারীর,	
debodebi,	দেবদেবী,	দেবদেবী,	
chaudhurike,	চৌধুরিকে,	চৌধুরীকে,	
laishenshim,	লেইসেস্স,	লাইসেন্সিং,	
arina,	এরিনা,	এরিনা,	
jeteo,	জেতেও,	যেতেও,	
bongshokey,	বংশকে,	বংশকে,	
manushsaho,	মনুসহ,	মানুষসহ,	
eemarjeensi,	এমাইর্সেন্সি,	এমার্জেন্সি,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
gobeshakgon,	গবেষকগণ,	গবেষকগণ,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
bondiike,	বন্দিকে,	বন্দীকে,	
nirmankaaj,	নির্মাণকা,	নির্মাণকাজ,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
danobder,	দানবের,	দানবদের,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
telakoocha,	তেলাকাচা,	তেলাকুচা,	
suporichito,	সুপরিচিতিত,	সুপরিচিত,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
bolechile,	বলেছিলে,	বলেছিলে,	
thatchar,	থাচার,	থ্যাচার,	
avijojan,	অভিযোজন,	অভিযোজন,	
jeten,	জেতেন,	যেতেন,	
gajee,	গাজী,	গেজ,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
andamana,	আন্ডমানা,	আন্দামান,	
dazjo,	দজজ,	দাহ্য,	
ongkita,	অংকিতা,	অঙ্কিতা,	
korlei,	করলেই,	করলেই,	
coolin,	কলিন,	কুলিং,	
