chherechhe,	ছেরেছে,	ছেড়েছে,	
birishiritey,	বিরিশীরিতে,	বিরিশিরিতে,	
aminool,	অ্যামিনুল,	আমিনুল,	
quartar,	কার্টার,	কোয়ার্টার,	
ivam,	ইভাম,	ইভিএম,	
blagaarara,	ব্লেগার,	ব্লগাররা,	
alexandar,	আলেক্সান্ডার,	আলেকজান্ডার,	
deeares,	ডায়েরস,	ডিআরএস,	
maudeler,	মাউনেলের,	মডেলের,	
eenjil,	ইঞ্জেল,	ইঞ্জিল,	
ongkita,	অংকিত,	অঙ্কিতা,	
kaalniir,	কালনীর,	কালনীর,	
pooding,	পুদিং,	পুডিং,	
vaisaha,	বৈহস,	ভাইসহ,	
chintai,	চিন্তাই,	ছিনতাই,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
tarasa,	তারাশা,	টেরেসা,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
benis,	বেনিস,	ভেনিস,	
zubokder,	যুবকদের,	যুবকদের,	
eksathe,	একস্থে,	একসাথে,	
aunty,	অ্যান্টি,	আন্টি,	
shikhar,	শিখার,	শিকার,	
obheegomon,	অভিগোমন,	অভিগমন,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
silvee,	সিলভে,	সিলভি,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
skart,	স্কার্ট,	স্কার্ট,	
ashshociatesh,	অ্যাসোোয়েটিয়াস,	এসোসিয়েটস,	
bojhe,	বহে,	বোঝে,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
narafoka,	নারফকা,	নরফোক,	
soorti,	সূর্তি,	সুরটি,	
ispredsit,	এস্প্রেডিস,	স্প্রেডশীট,	
deezni,	ডিজনি,	ডিজনী,	
chhuteete,	ছুটিতে,	ছুটিতে,	
plasse,	প্লেস,	প্লাসে,	
carpeet,	কার্পেট,	কার্পেট,	
chirohorit,	চিরহরিত,	চিরহরিৎ,	
ekpaase,	একপাশে,	একপাশে,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
militarir,	মিলিটারির,	মিলিটারির,	
arena,	অরেন,	এরিনা,	
potthon,	পঠঠন,	পঠন,	
sachetonvabe,	সচ্যনতভাবে,	সচেতনভাবে,	
suparheiro,	সুপারহাইও,	সুপারহিরো,	
shkolastic,	স্কলস্টিক,	স্কলাস্টিক,	
jaksa,	জক্স,	যক্ষ,	
zackson,	জাকসন,	জ্যাকসন,	
porizoner,	পরিজনের,	পরিজনের,	
songastha,	সংস্থা,	সংস্থা,	
evaner,	ইভানের,	ইভানের,	
deenesh,	দাইনেস,	দীনেশ,	
mondope,	মন্ডপে,	মন্ডপে,	
jerushalem,	জেরুশালেম,	জেরুসালেম,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
culing,	কুলিং,	কুলিং,	
bossonte,	বসন্তে,	বসন্তে,	
protishtan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
taunship,	টান্সিপ,	টাউনশিপ,	
nojoder,	নজদের,	নজদের,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
catholicder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
brinda,	ব্রিন্ড,	বৃন্দা,	
siddhantao,	সিদ্বান্তও,	সিদ্ধান্তও,	
safiin,	সফিন,	সাফিন,	
tenys,	টেনিস,	টেনিস,	
jommoo,	জম্ম,	জম্মু,	
militaryte,	মিলিটারিতে,	মিলিটারিতে,	
dokangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
rooplal,	রুপ্লাল,	রূপলাল,	
biharey,	বিহারে,	বিহারে,	
paltechhey,	প্লাটেেে,	পাল্টেছে,	
sollallhu,	সল্লাল্লুহ,	সল্লাল্লাহু,	
sathikata,	সথিকতা,	সঠিকতা,	
amstrong,	অম্সট্রোং,	আর্মস্ট্রং,	
kheley,	খেলে,	খেলে,	
ooipokar,	উপোকার,	উইপোকার,	
jins,	জিনস,	জিন্স,	
emergenci,	এমের্জিনিি,	এমার্জেন্সি,	
phutonto,	ফুটন্ট,	ফুটন্ত,	
hock,	হক,	হুক,	
chesa,	চেসা,	চেস,	
nederlander,	নেদারল্যান্ডের,	নেদারল্যান্ডের,	
vageri,	ভাগেরি,	ভাগেরই,	
kormokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
transhform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
istan,	ইস্টান,	স্টোন,	
blaker,	ব্লকের,	ব্ল্যাকের,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
sithilota,	সিথীলতা,	শিথিলতা,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
obdi,	অব্দি,	অব্দি,	
tinej,	টিনেজ,	টিনেজ,	
