siitei,	সিতেই,	শীতেই,	
uttor,	উটটর,	উওর,	
zubokder,	যুবকদের,	যুবকদের,	
ramachandranke,	রামাচন্দ্রনকে,	রামাচন্দ্রনকে,	
sangbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
harasta,	হারাস্তা,	হারাস্তা,	
orgho,	অর্ঘ,	অর্ঘ্য,	
danaqana,	ডানাকানা,	ডানকান,	
sinaake,	সিনাকে,	সিনাকে,	
manatmulak,	মননতমূলক,	মানতমূলক,	
ateetkale,	আতিতকালে,	অতীতকালে,	
bharpur,	ভারপুর,	ভরপুর,	
trabuco,	ট্র্যাবিকো,	ট্র্যাবুকো,	
gostigulo,	গোস্তিগুলো,	গোষ্ঠীগুলো,	
elakayi,	এলাকাই,	এলাকাই,	
senabahinio,	সেনাবাহিনীও,	সেনাবাহিনীও,	
vaibon,	ভাইবন,	ভাইবোন,	
chowdhuryke,	চৌধ্রীকে,	চৌধুরীকে,	
saifai,	সাইফাই,	সাইফাই,	
panchashjon,	পঞ্চাশ্যন,	পঞ্চাশজন,	
naagaalyand,	নওগ্লাযান্ড,	নাগাল্যান্ড,	
arashie,	আরাশী,	আরসিএ,	
daebug,	দাইবুগ,	ডিবাগ,	
summer,	সামার,	সামার,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
bharatey,	ভারতে,	ভারতে,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
torkareer,	তর্কারীর,	তরকারীর,	
kaalaam,	কালাম,	কালাম,	
laishenshim,	লৈশিনশিম,	লাইসেন্সিং,	
gunje,	গুঞ্জে,	গুঁজে,	
kichutei,	কিছুটেই,	কিছুতেই,	
pooshteer,	পুষ্টির,	পুষ্টির,	
bangulzai,	বাঙ্গুজলাই,	বঙ্গুলিজাই,	
wishnu,	উইষ্ণু,	বিষ্ণু,	
chenza,	চেনজা,	চেঞ্জ,	
bahubar,	বাহুবার,	বহুবার,	
unitgulo,	ইউনিটগুলো,	ইউনিটগুলো,	
windos,	উইন্ডস,	উইন্ডোস,	
monzooshree,	মঞ্জশ্রী,	মঞ্জুশ্রী,	
bayshorkarikarone,	বাযশারকরণিকারণে,	বেসরকারিকরণ,	
aniyantrita,	অনিযনন্ত্রিত,	অনিয়ন্ত্রিত,	
promothesh,	প্রমথেষ,	প্রমথেশ,	
