shucharita,	শুচারিতা,	সুচরিতা,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
stonehenje,	স্তনহেনজজজ,	স্টোনহেঞ্জ,	
daacktickete,	ডাযক্টিকেটে,	ডাকটিকিটে,	
ghoshito,	ঘোষিত,	ঘোষিত,	
indro,	ইন্দ্রো,	ইন্দ্র,	
jaaygata,	যায়গাতা,	জায়গাটা,	
mukharji,	মুখর্জি,	মুখার্জী,	
drissotir,	দৃষ্টতির,	দৃশ্যটির,	
duuma,	দুউমা,	দুমা,	
nathivookto,	নাথিভূক্ত,	নথিভুক্ত,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
foloshrutite,	ফলশ্রুটিতে,	ফলশ্রুতিতে,	
samanwitovabe,	সমান্তিভাবাবে,	সমন্বিতভাবে,	
benojir,	বেনজির,	বেনজীর,	
rajbandir,	রাজবন্দির,	রাজবন্দীর,	
panda,	পান্ডা,	পান্ডে,	
chhintayikari,	ছিন্তায়কারীর,	ছিনতাইকারী,	
furio,	ফুরিও,	ফুরিও,	
tasminer,	তস্মিনের,	তাসমিনের,	
steen,	স্টিন,	স্টেন,	
masto,	মাস্তো,	মাস্ত,	
samajikatar,	সমজিকতার,	সামাজিকতার,	
moushumei,	মৌশুমেই,	মৌসুমেই,	
procharjontrogulo,	প্রচার্যর্ত্রগুলো,	প্রচারযন্ত্রগুলো,	
spancer,	স্পান্সার,	স্পেন্সার,	
sanstha,	সা্্স্থ,	সংস্থা,	
tarunra,	তারুনরা,	তরুণরা,	
qarpeta,	কারপেটা,	কার্পেট,	
metropalitana,	মেট্রোপালিটাল,	মেট্রোপলিটন,	
dadapur,	দাদাপুর,	দাদাপুর,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
foxcon,	ফক্সকন,	ফক্সকন,	
jeebanjapon,	জীবনজাপন,	জীবনযাপন,	
yura,	যুররা,	ইউরো,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
duio,	দুওয়,	দুইও,	
vault,	ভাউল্ট,	ভল্ট,	
baaiq,	বাইক,	বাইক,	
itastata,	ইটাস্টা,	ইতস্তত,	
koreempoor,	করিমপুর,	করিমপুর,	
angsogrohone,	অংসগ্রহণে,	অংশগ্রহনের,	
