pragreesa,	প্রোগ্রীসা,	প্রগ্রেস,	
cholochchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
groth,	গ্রোথ,	গ্রোথ,	
adhyatmikata,	অধ্যাতমিকতা,	আধ্যাত্মিকতা,	
abadamoner,	আবাদামনের,	অবদমনের,	
pooshteer,	পুষ্টীর,	পুষ্টির,	
jatata,	জাতাটা,	যতোটা,	
dii,	দী,	দিই,	
drissoke,	দৃষ্যকে,	দৃশ্যকে,	
devolapar,	দেভলাপার,	ডেভলপার,	
kod,	কোড,	কোড,	
samratra,	সম্রাত্র,	সম্রাটরা,	
upobashii,	উপবাসী,	উপবাসী,	
kharar,	খারার,	খরার,	
seeramiks,	সেরারিমিকস,	সিরামিকস,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
upobasher,	উপবাশের,	উপবাসের,	
sohokari,	সহকারী,	সহকারী,	
beshakbar,	বেশকবার,	বেশকবার,	
capsule,	ক্যাপসুলে,	ক্যাপ্সুল,	
hul,	হুল,	হুল,	
favorite,	ফাভোরিতে,	ফেভারিট,	
bandi,	বান্ডি,	বন্দী,	
baait,	বাইত,	বাইট,	
quota,	কোওটা,	কোটা,	
bikargrasta,	বিকারগ্রস্তা,	বিকারগ্রস্ত,	
jewellery,	জিউয়েলারি,	জুয়েলারির,	
shansthaner,	শান্থসানের,	সংস্থানের,	
pouchute,	পৌছুতে,	পৌঁছুতে,	
goora,	গুরা,	গোর,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
teenisa,	তীনিসা,	টেনিস,	
chhadura,	ছাদুরা,	ছাদুরা,	
mataram,	মাতারাম,	মাতরম,	
audiotike,	অডিওটিকে,	অডিওটিকে,	
hilser,	হিলসের,	হিলসের,	
anchalo,	আঞ্চলো,	অঞ্চলও,	
jani,	জানি,	জনি,	
saralya,	সরলা,	সারল্য,	
licensin,	লাইসেন্সিন,	লাইসেন্সিং,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
janmat,	জন্মত,	জন্মাত,	
graambasio,	গ্রামবাসিও,	গ্রামবাসীও,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
domone,	ডমনে,	দমনে,	
bhabarlaler,	ভবরলালের,	ভবরলালের,	
bakhyateet,	বাখ্যাতত,	ব্যাখ্যাতীত,	
comoros,	কমোোরস,	কোমোরোস,	
oojbekistan,	অজবেকিস্তান,	উজবেকিস্তান,	
