cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
timathi,	তিমথী,	টিমোথি,	
poorohitder,	পুরহীতদের,	পুরোহিতদের,	
oyebjin,	ওয়েবজীন,	ওয়েবজিন,	
bsnleu,	বিএসএনএলইউ,	বিএসএনএলইইউ,	
antarbhutto,	অন্তর্ভূত্ত,	অন্তর্ভুক্ত,	
shootar,	শূতার,	শ্যুটার,	
roopdaan,	রূপদান,	রুপদান,	
ap,	এপ,	আপ,	
oiteejye,	ঐতিয্যে,	ঐতিহ্যে,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
brittakar,	বৃত্তকার,	বৃত্তাকার,	
protinito,	প্রতিনিত,	প্রতিনিত,	
naubom,	নবম,	নবম,	
omanisa,	ওমানিসা,	অমানিশা,	
spenser,	স্পেন্সের,	স্পেন্সার,	
ostad,	ওস্তাদ,	ওস্তাদ,	
dighol,	দিঘল,	দীঘল,	
husni,	হুসনি,	হুসনি,	
hariken,	হারিকেন,	হ্যারিকেন,	
ritesh,	রিটেস,	রিতেশ,	
ashonkai,	অশঙ্কাই,	আশঙ্কাই,	
carzar,	ক্যারজার,	চার্জার,	
ajij,	অ্জিজ,	আজিজ,	
nutan,	নুতান,	নূতন,	
monroe,	মনর্,	মনেরোর,	
shipley,	শিপলে,	শিপলে,	
chhooteer,	ছোটির,	ছুটির,	
armshtrong,	আর্মস্ট্রো,	আর্মস্ট্রং,	
totokson,	টটকসন,	ততক্ষন,	
gaichey,	গাইছে,	গাইছে,	
dishani,	দিশানী,	দিশানি,	
thailandsaho,	থাইলান্দসহ,	থাইল্যান্ডসহ,	
uporitoler,	উপরিতলের,	উপরিতলের,	
ujobekeestaner,	উজোবিকেষ্টানের,	উজবেকিস্তানের,	
nikela,	নিকেলা,	নিকেল,	
talgach,	তালগাছ,	তালগাছ,	
camerapersoner,	ক্যামেরাপারসনের,	ক্যামেরাপার্সনের,	
transformaarer,	ট্রান্সফররামের,	ট্রান্সফরমারের,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
vobobibhuti,	বববিভূতি,	ভববিভূতি,	
parkasa,	পারকাসা,	পার্কস,	
amanisa,	আমানিসা,	অমানিশা,	
literacy,	লিটারেসি,	লিটারেসি,	
farhetin,	ফারহেতিন,	ফারহেতিন,	
pravritir,	প্রাৃতির,	প্রভৃতির,	
damodar,	দামোদার,	দামদর,	
thaii,	থাই,	থাই,	
andon,	অ্যান্ডন,	আন্দোন,	
baet,	বেইট,	বাইট,	
