towraat,	তোরাট,	তওরাত,	
platform,	প্লাটফর্ম,	প্লাটফর্ম,	
diiptii,	দিপপিত,	ডেপুটি,	
syfy,	সিফি,	সাইফাই,	
anhu,	আনহু,	আনহু,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
black,	ব্ল্যাক,	ব্ল্যাক,	
ashiatic,	এ্যাসিয়াটিক,	এশিয়াটিক,	
bosano,	বসানো,	বসানো,	
doorotomo,	দররতম,	দূরতম,	
fising,	ফিসিং,	ফিসিং,	
ghumachchila,	ঘুমাচ্ছিলা,	ঘুমাচ্ছিল,	
daap,	ডাযাপ,	ড্যাপ,	
sangbadmadhyamgulote,	সংবাদমাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
anchalsaho,	আঞ্চলসাহ,	অঞ্চলসহ,	
torkarir,	তর্কারির,	তরকারীর,	
karmakarke,	কর্মকরকে,	কর্মকারকে,	
ghoor,	ঘোর,	ঘুর,	
samle,	সমলে,	সামলে,	
asiatic,	অ্যাসিয়াটিক,	এশিয়াটিক,	
bardhitansh,	বার্ধিতাশ,	বর্ধিতাংশ,	
nyeta,	নেততা,	ম্যাট,	
bhaibon,	ভাইবন,	ভাইবোন,	
rokkhonabekkhoner,	রক্ষণাবেষকনের,	রক্ষণাবেক্ষণের,	
rushad,	রুশাদ,	রুশদ,	
gaichey,	গাইছে,	গাইছে,	
foreks,	ফোরেকস,	ফরেক্স,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
bikretaara,	বিক্রেতারা,	বিক্রেতারা,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
grushko,	গ্রুশ্ক,	গ্রুশকো,	
suhayeler,	সুহায়েলের,	সুহায়েলের,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
morodeho,	মরদেহো,	মরদেহ,	
haridware,	হরিদ্বরে,	হরিদ্বারে,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
ganohotyake,	গণহত্যাকে,	গণহত্যাকে,	
khorsed,	খোরসেদ,	খোরশেদ,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
shipley,	শিপলে,	শিপলে,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
prothati,	প্রথাটি,	প্রথাটি,	
sikarder,	শিকারদের,	শিকারদের,	
lidars,	লিডারস,	লিডার্স,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
pulivendla,	পুলিভেন্ডলা,	পুলিভেন্ডলা,	
argead,	আর্জিড,	আর্জিদ,	
shiulijhra,	শিউলিঝরা,	শিউলিঝরা,	
kade,	কাদে,	কোড,	
sadbi,	সাদবি,	সাধ্বী,	
welaqama,	ওয়ালাম,	ওয়েলকাম,	
bane,	বানে,	বনে,	
niropekshtar,	নিরপেক্ষাতর,	নিরপেক্ষতার,	
thare,	থারে,	থরে,	
pachchi,	পঞ্চচি,	পাচ্ছি,	
klaud,	ক্যাউড,	ক্লাউড,	
juktorastrer,	যুক্তরস্ত্রের,	যুক্তরাষ্ট্রের,	
medilek,	মেদিলেক,	মেডিলেক,	
pharanyeta,	ফহানেয়েতা,	ফরম্যাট,	
barbadoj,	বারবাদজ,	বার্বাডোজ,	
lakshmir,	লক্ষ্মীর,	লক্ষ্মীর,	
venkates,	ভেঙ্কেটেস,	ভেঙ্কটেশ,	
drabyatah,	দ্রাব্যতঃ,	দ্রব্যতঃ,	
modhumotii,	মধুমতিই,	মধুমতী,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
shashtra,	শাস্ত্রা,	শাস্ত্র,	
awrbit,	আবরীত,	অরবিট,	
dera,	দেরা,	ডেরা,	
camerapersoner,	ক্যামেরাপারসেনের,	ক্যামেরাপার্সনের,	
vitti,	ভিত্তি,	ভিত্তিই,	
ekla,	একলা,	একলা,	
elaakaa,	এলাকা,	এলাকা,	
install,	ইনস্টাল,	ইন্সটল,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
daaktikit,	দাক্িিি,	ডাকটিকিট,	
lopjonito,	লম্পজিত,	লোপজনিত,	
kaathhmaandute,	কা্মধন্ুুতে,	কাঠমান্ডুতে,	
sangbadmadhyomgulote,	সংবাদমাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
as,	আসএস,	অস,	
ramonar,	রামনার,	রমনার,	
osamarik,	ওসামারিক,	অসামরিক,	
dajhyo,	দাঝ্য,	দাহ্য,	
chaalkee,	চালকি,	চালকে,	
rata,	রাটা,	রত,	
qonfliqt,	কনফসিক্ট,	কনফ্লিক্ট,	
kalkarkhana,	কলকারখানা,	কলকারখানা,	
spredashiita,	স্প্রেডশাইটা,	স্প্রেডশীট,	
bisheshyo,	বিষেষ্য,	বিশেষ্য,	
kolkarkhana,	কোলকারখানা,	কলকারখানা,	
gondogol,	গঙ্গডোল,	গন্ডগোল,	
spashtotai,	স্পষ্টটায়,	স্পষ্টতই,	
lagche,	লাগচে,	লাগছে,	
bikargrasta,	বিকারগ্রাত্ত,	বিকারগ্রস্ত,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
opohoron,	অপহরণ,	অপহরন,	
machhti,	মাছটি,	মাছটি,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
pray,	প্রয়,	প্রায়,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
kyatagorir,	ক্যাটাগরির,	ক্যাটাগরির,	
gazetted,	গ্যাজেটদে,	গেজেটেড,	
byabaharkareederke,	ব্যবহারকরীদেরকে,	ব্যবহারকারীদেরকে,	
katateo,	কাটাতেও,	কাটাতেও,	
disni,	ডিসনি,	ডিজনী,	
jonomukhi,	জনমুখী,	জনমুখী,	
mitrota,	মিত্রটা,	মিত্রতা,	
chalachchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
bade,	বাদে,	বাদে,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
sobrakamer,	সব্রাামের,	সবরকমের,	
concerter,	কনসার্টের,	কানসাটের,	
redcrosser,	রেডক্সরসের,	রেডক্রসের,	
chadake,	চড়াকে,	চড়াকে,	
carlos,	কার্লস,	কার্লোস,	
pitiler,	পিতিলের,	পিটিলের,	
aqram,	আক্রম,	আকরাম,	
vorkendra,	ভোরকেন্দ্র,	ভরকেন্দ্র,	
haripur,	হরিপুর,	হরিপুর,	
anusvara,	অনুষ্বররা,	অনুস্বার,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
sharif,	শারফ,	শরিফ,	
informetion,	ইনফররেশনন,	ইনফরমেশন,	
nikate,	নিকাতে,	নিকটে,	
somratra,	সম্রাত্র,	সম্রাটরা,	
prakalpoguli,	প্রকালগোগুলি,	প্রকল্পগুলি,	
palkee,	পালকি,	পাল্কি,	
chhuteer,	ছুটির,	ছুটির,	
choshon,	চসন,	চোষণ,	
akar,	আকার,	একার,	
meloonborrone,	মেলুনবর্ণে,	মেলবোর্নে,	
