goonoman,	গনোমান,	গুণমান,	
thailandsaho,	থাইলান্ডাহহ,	থাইল্যান্ডসহ,	
jacksonke,	জ্যাকশনকে,	জ্যাকসনকে,	
roopdaan,	রূপডান,	রুপদান,	
ekoirokom,	একৈরকম,	একইরকম,	
sanaktakaran,	সনক্তকরণ,	সনাক্তকরণ,	
edmiral,	এডমিরাল,	এডমিরাল,	
bisshaskey,	বিশস্্কে,	বিশ্বাসকে,	
provur,	প্রভুর,	প্রভুর,	
farhetin,	ফারহেটিন,	ফারহেতিন,	
spredshiit,	স্প্রেডশটিট,	স্প্রেডশীট,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
vodqa,	ভোদ্ডা,	ভদকা,	
mumtazer,	মুমতাজের,	মুমতাজের,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
deefinishion,	ডিফিশিন,	ডেফিনেশন,	
sudrissho,	সুদৃশ্ব,	সুদৃশ্য,	
phutonta,	ফুটনটা,	ফুটন্ত,	
harbur,	হারবুর,	হারবার,	
siramikasa,	সিরামিকাসা,	সিরামিকস,	
fatakesto,	ফাতাকেস্ত,	ফাটাকেষ্ট,	
iksaprishana,	ইক্ষপ্রিণা,	এক্সপ্রেশন,	
nodnodeer,	নদনদির,	নদনদীর,	
lidars,	লিডারস,	লিডার্স,	
romnar,	রোমনার,	রমনার,	
prasadhoner,	প্রাসাধনের,	প্রসাধনের,	
onkush,	অংকুশ,	অংকুশ,	
cheess,	চেস,	চেস,	
elaakaati,	এলাকাতি,	এলাকাটি,	
kada,	কাদা,	কোডা,	
neemitte,	নিমিত্তে,	নিমিত্তে,	
goshthiti,	গোষ্ঠীটি,	গোষ্ঠীটি,	
taunship,	তৌনশিপ,	টাউনশিপ,	
dharavassokar,	ধারাবসকার,	ধারাভাষ্যকার,	
sollallhu,	সোল্লাল্ু,	সল্লাল্লাহু,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
doobate,	দৌবাতে,	ডুবাতে,	
bade,	বাদে,	বাদে,	
jerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
bandi,	বান্দি,	বন্দী,	
ap,	এপিও,	আপ,	
amanisha,	আমানীশা,	অমানিশা,	
kachhakaachhi,	কাচাকাছি,	কাছাকাছি,	
registaner,	রেজিস্টানের,	রেগিস্তানের,	
laicenshe,	লাইশেন্সে,	লাইসেন্স,	
diibug,	দিইবুগ,	ডিবাগ,	
saria,	সারিয়া,	সরিয়া,	
shitei,	শীতেই,	শীতেই,	
nimnosakkharkari,	নিম্নসক্ষারকারী,	নিম্নস্বাক্ষরকারী,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
bbiseshyer,	বিবেশিয়ের,	বিশেষ্যের,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
orbeet,	অর্বীত,	অরবিট,	
emiratas,	এমিরাতাস,	এমিরেটাস,	
bhalobasar,	ভালোবাসার,	ভালোবাসার,	
mangolic,	ম্যাঙ্গোলিক,	মাঙ্গলিক,	
raiji,	রাইজি,	রাইজি,	
kinsa,	কিন্সা,	কিংস,	
kortona,	কর্তনা,	করতনা,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
bondira,	বন্দীরা,	বন্দীরা,	
bikromei,	বিক্রমেই,	বিক্রমেই,	
licencer,	লাইসেন্সের,	লাইসেন্সের,	
muchi,	মুচি,	মুচি,	
bashoborty,	বাশবর্তি,	বশবর্তী,	
swasthohinotay,	স্বাস্থহীনতয়া,	স্বাস্থ্যহীনতায়,	
rohasyati,	রোহস্যাতি,	রহস্যটি,	
angibhutovabe,	অঙ্গীতভাবে,	অঙ্গীভূতভাবে,	
faltu,	ফালটু,	ফালতু,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
niharkantibabu,	নিহারকান্তিবাবু,	নিহারকান্তিবাবু,	
existing,	এক্সিস্টিং,	এক্সিসটিং,	
ekoghore,	একঘরে,	একঘরে,	
towraat,	তোউরাত,	তওরাত,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
sazanor,	সাজানোর,	সাজানোর,	
tatey,	টাযাটে,	তাতে,	
spenser,	স্পেন্সের,	স্পেন্সার,	
