totokson,	তোটকসন,	ততক্ষন,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
bangulzai,	বাঙ্গুলজাই,	বঙ্গুলিজাই,	
proo,	প্রুও,	প্রো,	
srisri,	শ্রীশ্রি,	শ্রীশ্রী,	
chhutochhuti,	ছুটোছুটি,	ছুটোছুটি,	
fake,	ফাকে,	ফাকে,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
aaireshe,	আইরেশে,	আইরেসে,	
kushumba,	কুশুম্বা,	কুশুম্বা,	
dumaa,	ডুমা,	দুমা,	
boiporiityen,	বৈপরিতিয়েন,	বৈপরীত্যেন,	
metropolitan,	মেট্রোপিলাটন,	মেট্রোপলিটন,	
dorun,	দরুন,	দরুণ,	
bondishalatei,	বন্দিশালাতেই,	বন্দিশালাতেই,	
aansareer,	আনসারীর,	আনসারীর,	
jolaatonko,	জলাাতনকো,	জলাতঙ্ক,	
bandi,	বান্দি,	বন্দী,	
dabarer,	দাবারের,	দাবারের,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
aziza,	আজিজা,	আজিজা,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
cxt,	সিএসএিটি,	সিএক্সটি,	
uporitaley,	উপরিতালে,	উপরিতলে,	
koreempoor,	করিমপুর,	করিমপুর,	
bokahoke,	বোকাহোকে,	বকাহকে,	
kodorer,	কোরের,	কদরের,	
daakten,	ডাকতেন,	ডাকতেন,	
batsmanei,	বাটসমানেই,	ব্যাটসম্যানই,	
bongshokey,	বংশকে,	বংশকে,	
laishensha,	লৈশেনশা,	লাইসেন্স,	
baibosthar,	বৈবস্থার,	ব্যবস্থার,	
arasie,	আরাসি,	আরসিএ,	
madelim,	মাদেলিম,	মডেলিং,	
hevy,	হেভি,	হেভি,	
dipgulote,	ডিপগুলোতে,	দ্বীপগুলোতে,	
batikromee,	বাতিক্রমী,	ব্যতিক্রমী,	
samanwitovabe,	সমন্বিতভাবে,	সমন্বিতভাবে,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
amittrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
arsie,	আরসি,	আরসিএ,	
shlok,	শ্লোক,	শ্লোক,	
doorger,	ডার্জার,	দুর্গের,	
naubom,	নওবম,	নবম,	
grambaashi,	গ্রামবাশী,	গ্রামবাসী,	
superheroo,	সুপারহেরও,	সুপারহিরো,	
parq,	পার্ক,	পার্ক,	
mandanda,	মন্দন্ডা,	মানদণ্ড,	
biswashi,	বিশ্বাশী,	বিশ্বাসই,	
munshiji,	মুনশিজি,	মুনশীজি,	
zonsa,	জনসা,	জোন্স,	
scholastic,	স্কোলাসটিক,	স্কলাস্টিক,	
fongli,	ফোংলি,	ফংলি,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
brekthrough,	ব্রেক্র্থুচ,	ব্রেকথ্রু,	
ansarir,	আনসারীর,	আনসারীর,	
sarboporee,	সর্বপরী,	সর্বোপরী,	
naraphoka,	নারাফোকা,	নরফোক,	
saamaanya,	সামা্য,	সামান্য,	
qredita,	ক্রেডিটা,	ক্রেডিট,	
nabatarange,	নবতরঙ্গে,	নবতরঙ্গে,	
anchalo,	অঞ্চলো,	অঞ্চলও,	
panthar,	পান্থার,	পন্থার,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
subader,	সুবাদের,	সুবাদে,	
glanio,	গ্লানিও,	গ্লানিও,	
makame,	মাকামে,	মাকামে,	
shten,	স্টেন,	স্টেন,	
chire,	চিরে,	চিরে,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
jatinkey,	জাতিনকে,	যতীনকে,	
deliver,	ডেলিভার,	ডেলিভার,	
qulim,	কুলিম,	কুলিং,	
batikromi,	বাতিক্রমী,	ব্যতিক্রমী,	
balokarak,	বালোকারক,	বলকারক,	
abadamoner,	আবাদামনের,	অবদমনের,	
pitiler,	পিতিলের,	পিটিলের,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
naajii,	নাজি,	নাত্সি,	
sift,	সিফট,	শিফট,	
gaje,	গাজে,	গেজ,	
chhuti,	ছুটি,	ছুটি,	
deqe,	ডেকে,	ডেকে,	
engrejra,	এনরেজ্রা,	ইংরেজরা,	
aieesha,	আইসা,	আইএএস,	
shikhaboudi,	শিখাবৌদি,	শিখাবৌদি,	
oikhan,	ঐখান,	ঐখান,	
jonmobhumitir,	জন্মভূমিতির,	জন্মভূমিটির,	
paira,	পাইরা,	পাইরা,	
baibosthaar,	বৈবস্থার,	ব্যবস্থার,	
podotyagsongkranto,	পদত্যাসংক্রান্ত,	পদত্যাগসংক্রান্ত,	
gotihin,	গতিহীন,	গতিহীন,	
simons,	সিমোন্স,	সিমন্স,	
chikittsar,	চিকিটসার,	চিকিত্সার,	
masjidke,	মাসজিদকে,	মসজিদকে,	
bii,	বিআইআআই,	বি,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
siqhar,	সিখার,	শিকার,	
hetimganje,	হেতিমগঞ্জে,	হেতিমগঞ্জে,	
bipajjanak,	বিপাজ্জনক,	বিপজ্জনক,	
