bhenasha,	ভেনাশা,	ভেনাস,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
fising,	ফিসিং,	ফিসিং,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
generalissimo,	জেনারালিসিমিও,	জেনারেলিসিমো,	
khorsed,	খোরসেড,	খোরশেদ,	
queri,	কুয়েরি,	কোয়েরি,	
vushito,	ভুশিত,	ভূষিত,	
mahasava,	মহাসব,	মহাসভা,	
ekghare,	একঘরে,	একঘরে,	
ixprission,	এক্সপ্রিশন,	এক্সপ্রেশন,	
dibug,	দিবুগ,	ডিবাগ,	
chaanoo,	চানু,	চানু,	
probhuder,	প্রভুদের,	প্রভুদের,	
cheenja,	চিনজা,	চেঞ্জ,	
tenishe,	তেনিশে,	টেনিসে,	
bhotomulyoke,	ভোটমুল্যকে,	ভোটমূল্যকে,	
zibonnogor,	জিবননগর,	জীবননগর,	
dhaleshorii,	ধলেশরিই,	ধলেশ্বরী,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
kobutorer,	কবুতরের,	কবুতরের,	
shotodha,	শতধা,	শতধা,	
teentir,	তেনটির,	তিনটির,	
kathla,	কাথলা,	কাঠলা,	
umb,	উম্ব,	ইউএমবি,	
gyandaas,	জ্ঞানদাস,	জ্ঞানদাস,	
oncolsoho,	অঙ্কলসহ,	অঞ্চলসহ,	
farna,	ফার্না,	ফার্ন,	
jeten,	জেটেন,	জেতেন,	
daaktikit,	ডাক্তিকটি,	ডাকটিকিট,	
elakaai,	এলাকাই,	এলাকাই,	
maudelti,	মডেলটি,	মডেলটি,	
karadando,	কারাদান্দো,	কারাদণ্ড,	
samratra,	সম্রাত্র,	সম্রাটরা,	
hisaber,	হিসাবের,	হিসাবের,	
dokaanei,	দোকানেই,	দোকানেই,	
laat,	লাট্ট,	লাট,	
maradeha,	মারেদহ,	মরদেহ,	
jalarong,	জালারং,	জলরঙ,	
gore,	গোরে,	গোর,	
asaktibandhan,	অসকততিবন্ধন,	আসক্তিবন্ধন,	
dhamshrenite,	ধামশ্রেণীতে,	ধামশ্রেণীতে,	
proteemar,	প্রতিমার,	প্রতিমার,	
ghatiti,	ঘাটিটি,	ঘাঁটিটি,	
swarther,	স্বার্থের,	স্বার্থের,	
sonaicha,	সোনাইছা,	সোনাইচা,	
karir,	করির,	কারীর,	
nabayug,	নবযয়ুগ,	নবযুগ,	
taffsherer,	তাফশেরের,	তাফসীরের,	
bite,	বিটে,	বাইট,	
chakradhare,	চক্রাধরে,	চক্রধরে,	
antarvuktimulak,	অন্তর্ভুতিমূলক,	অন্তর্ভুক্তিমূলক,	
muchi,	মুচি,	মুচি,	
vagni,	ভাগনি,	ভগ্নী,	
munshiji,	মুন্িজি,	মুনশীজি,	
jotsna,	জোটস্না,	জ্যোৎস্না,	
nirgomon,	নির্গমন,	নির্গমন,	
nariderke,	নারীদেরকে,	নারিদেরকে,	
moorali,	মুরালী,	মুরলী,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
direectoratee,	ডিরেক্টরেট,	ডিরেক্টরেট,	
iraner,	ইরানের,	ইরানের,	
naobihar,	নওওবিহার,	নৌবিহার,	
anchalei,	অঞ্চলেই,	অঞ্চলেই,	
sofie,	সোফি,	সোফি,	
sharoker,	শারকের,	স্মারকের,	
rakim,	রাকিম,	রাকিম,	
shho,	শো,	শো,	
laaisensh,	লাইসেন,	লাইসেন্স,	
sqolastiq,	স্কোলাস্টিক,	স্কলাস্টিক,	
scoore,	স্কার,	স্কোর,	
armshtronj,	আর্মশ্রোনজ,	আর্মস্ট্রং,	
shrabosty,	শ্রাবস্টি,	শ্রাবস্তী,	
obdi,	অবদি,	অব্দি,	
hyaloyin,	হ্যালোয়িন,	হ্যালোইন,	
fitarsaho,	ফিতারসহ,	ফিতরসহ,	
dolu,	দোলু,	ডলু,	
apolokbhabe,	অপলকবভাবে,	অপলকভাবে,	
nirdesika,	নির্দেসিকা,	নির্দেশিকা,	
alexandar,	আলেক্সান্দার,	আলেকজান্ডার,	
neemitte,	নেমিত্তে,	নিমিত্তে,	
bojhey,	বঝঝে,	বোঝে,	
nathibhuktir,	নাঠিভুক্তির,	নথিভুক্তির,	
torkareer,	তর্করের,	তরকারীর,	
sip,	সিপ,	শিপ,	
bulichev,	বুলিচেভ,	বুলিচেভ,	
argead,	আর্জেড,	আর্জিদ,	
alraji,	আলরাজি,	আলরাজী,	
humner,	হুমেনের,	হামনার,	
marri,	মারি,	ম্যারি,	
daaktikite,	ডাক্িিটিতে,	ডাকটিকিটে,	
gotihin,	গতিহীন,	গতিহীন,	
seo,	সেও,	সেও,	
noitik,	নৈতিক,	নৈতিক,	
siima,	সিমা,	সীমা,	
poderthobid,	পদের্থবিদ,	পদার্থবিদ,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
renoo,	রেনো,	রেনো,	
juddhahato,	যুদ্ধাহাত,	যুদ্ধাহত,	
hames,	হামেস,	হোমস,	
chandanara,	চন্দনারা,	চন্দনারা,	
subade,	সুবাদে,	সুবাদে,	
suporichita,	সুপরিচিতা,	সুপরিচিত,	
pet,	পেট,	পেত,	
dojo,	দজজো,	ডোজো,	
sbajan,	স্বজন,	স্বজন,	
cheess,	চেস,	চেস,	
votarer,	ভোটারের,	ভোটারের,	
badargaji,	বাদারগাজী,	বদরগাজী,	
langhoner,	লা্ঘনের,	লংঘনের,	
hepatetisa,	হেপাটেটিসা,	হেপাটাইটিস,	
elaakaate,	এলাকাতে,	এলাকাতে,	
ishton,	ইই্তন,	স্টোন,	
koyekbare,	কয়েকবারে,	কয়েকবারে,	
beshakbar,	বেশকবার,	বেশকবার,	
nobotomo,	নবতম,	নবতম,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
vimsen,	ভিমসেন,	ভীমসেন,	
nojder,	নজদের,	নজদের,	
asamonjasyopurno,	আসামঞ্জস্যূপন্র,	অসামঞ্জস্যপূর্ণ,	
naagaalyand,	নাগল্যান্দ,	নাগাল্যান্ড,	
grotha,	গ্রোথা,	গ্রোথ,	
nanir,	নানির,	নানীর,	
mujuru,	মুজুরু,	মুজুরু,	
simons,	সিমোস্,	সিমন্স,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
prokolpoti,	প্রকল্পটি,	প্রকল্পটি,	
nirgoon,	নিরগুন,	নির্গুণ,	
dokaangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
baaik,	বাইক,	বাইক,	
abeganuvutir,	আবেগানুহূতির,	আবেগানুভূতির,	
skolarsip,	স্কোলরসিপ,	স্কলারশিপ,	
chakti,	চাকতি,	চাকতি,	
jaanar,	যানার,	জানার,	
poribahokotto,	পরিবাহকত্ব,	পরিবাহকত্ব,	
onupater,	অনুপাতের,	অনুপাতের,	
aholya,	অহল্যা,	অহল্যা,	
prarthonakokkher,	প্রার্থনাক্ষষের,	প্রার্থনাকক্ষের,	
mast,	মসস্ট,	মাস্ত,	
khargosher,	খরগোশের,	খরগোসের,	
dormroome,	ডর্োরিম,	ডর্মরুমে,	
bone,	বনে,	বনে,	
victor,	ভিক্টর,	ভিক্টর,	
olpo,	ওলপ,	অল্প,	
alaol,	আলাওল,	আলাওল,	
greep,	গ্রিপ,	গ্রিপ,	
teestar,	তেস্তার,	তিস্তার,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
shommotir,	সম্মতির,	সম্মতির,	
snehban,	স্নেহবান,	স্নেহবান,	
faase,	ফাসে,	ফাঁসে,	
dushtogone,	দুষ্টগণে,	দুষ্টগণে,	
sikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
sangosrobomukto,	সংস্রবূমকু্ত,	সংস্রবমুক্ত,	
boshoborty,	বশবর্তী,	বশবর্তী,	
debdebyr,	দেবদেবীর,	দেবদেবীর,	
musolmanera,	মুসোলমেনারা,	মুসলমানেরা,	
probeshan,	প্রবেশন,	প্রবেশন,	
antarctica,	অন্তারক্সিকা,	অ্যান্টার্কটিকা,	
bhalobaas,	ভালোবাস,	ভালোবাসা,	
hepatitis,	হেপাটাটিস,	হেপাটাইটিস,	
goolen,	গুলেন,	গুলেন,	
nabatarange,	নবতরঙ্গে,	নবতরঙ্গে,	
cn,	সিএনএ,	সিএন,	
elakatir,	এলাকাটির,	এলাকাটির,	
bhogno,	ভগ্ন,	ভগ্ন,	
iuro,	আইআরও,	ইউরো,	
byke,	বিএইকে,	বাইক,	
bhadaka,	ভাদাকা,	ভদকা,	
paner,	পানের,	পানের,	
jeebanjapon,	জীবনজাপন,	জীবনযাপন,	
oojbekistan,	ওজবেকিৎসান,	উজবেকিস্তান,	
shakankti,	শকনক্তি,	শকাঙ্কটি,	
hindutirtha,	হিন্দুতীর্থ,	হিন্দুতীর্থ,	
qredita,	ক্রেডিটা,	ক্রেডিট,	
notey,	নটে,	নোটে,	
