ganaparibahan,	গণপরিবহহ,	গণপরিবহন,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
boner,	বনের,	বনের,	
judge,	জুডজে,	জাজ,	
alpakichudin,	অল্পকিউদিদিন,	অল্পকিছুদিন,	
besirvagei,	বেসিরভাগেই,	বেশিরভাগেই,	
rasunkunchi,	রসুঙ্কুঞ্চি,	রসুনকুঁচি,	
mandanda,	মন্দন্দ,	মানদণ্ড,	
palteche,	পালটেছে,	পাল্টেছে,	
khagen,	খাগেন,	খগেন,	
jandrel,	জান্দ্রেল,	জাঁদরেল,	
ronangane,	রোনাঙ্গানে,	রণাঙ্গনে,	
uparzoner,	উপারজনের,	উপার্জনের,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
soomita,	সুমিতা,	সুমিতা,	
swairacharibirodhi,	স্বৈরেচররবিরোধী,	স্বৈরাচারীবিরোধী,	
bakhyateet,	বাখ্যাতিৎ,	ব্যাখ্যাতীত,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
goolen,	গুলেন,	গুলেন,	
maley,	ম্যালি,	মালে,	
baarnis,	বার্নিস,	বার্নিশ,	
ostad,	অস্তাদ,	ওস্তাদ,	
jhamala,	ঝামালা,	ঝামালা,	
shector,	শেক্টর,	সেক্টর,	
bhiktara,	ভিক্তারা,	ভিক্টর,	
dapadpi,	দাপদীপী,	দাপাদপি,	
jounatar,	যৌনাটার,	যৌনতার,	
muradkey,	মুরাদকে,	মুরাদকে,	
cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
footballerra,	ফুটবলাররা,	ফুটবলাররা,	
gaddaphii,	গড়্যাফি,	গাদ্দাফী,	
eshtonia,	এসতোনিয়া,	এস্তোনিয়া,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
badhamuktovabe,	বাধামুক্তভাবে,	বাধামুক্তভাবে,	
qrisenta,	ক্রিসেন্টা,	ক্রিসেন্ট,	
amar,	আমার,	আমর,	
boiporiityen,	বৈপরিহীতেন,	বৈপরীত্যেন,	
goora,	গুরা,	গোর,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
atwabishvashi,	অত্ববিশাশী,	আত্মবিশ্বাসী,	
parikha,	পরিকখা,	পরিখার,	
karir,	কারির,	কারীর,	
swatantrata,	স্বতন্ত্র্ত,	স্বতন্ত্রতা,	
average,	এভারেজ,	এভারেজ,	
prapokkey,	প্রাপক্কে,	প্রাপককে,	
benojir,	বেনোজির,	বেনজীর,	
dimbacriti,	ডিম্বার্িটি,	ডিম্বাকৃতি,	
kaalaam,	কালাম,	কালাম,	
heerani,	হিরানী,	হিরানি,	
laishensha,	লাশেনেস,	লাইসেন্স,	
angkita,	অঙকিতা,	অঙ্কিতা,	
tantubayer,	তান্তুবায়ের,	তন্তুবায়ের,	
falak,	ফালাক,	ফলক,	
kayartara,	কায়ারতারা,	কোয়ার্টার,	
loombinee,	লুম্িনি,	লুম্বিনী,	
beekaargrasta,	বেকররগ্রাস্ত,	বিকারগ্রস্ত,	
janagononar,	জানগনননার,	জনগণনার,	
nowel,	নোয়েল,	নভেল,	
durarohini,	দুরারোহিনী,	দুরারোহিণী,	
poste,	পোস্টে,	পোস্টে,	
bangalore,	ব্যাঙ্গালোর,	ব্যাঙ্গালুরে,	
kanasharabheshhana,	কনশরশেশন,	কনসারভেশন,	
haripur,	হরিপুর,	হরিপুর,	
taateo,	টাটেও,	তাতেও,	
khanonkaj,	খননককাজ,	খননকাজ,	
dinifitian,	ডিনিফিটাইন,	ডেফিনেশন,	
mumtazer,	মুমতাজের,	মুমতাজের,	
gamdan,	গমমদান,	গামদান,	
bhejaano,	ভেজানো,	ভেজানো,	
qulim,	কুলিম,	কুলিং,	
primoo,	প্রিওমু,	প্রিমো,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
selim,	সেলিম,	সেলিম,	
firozaa,	ফিরোজা,	ফিরোজা,	
qarpeta,	কারপেটা,	কার্পেট,	
sangkulaan,	সংকুলন,	সংকুলান,	
edmeeral,	এডমিরাল,	এডমিরাল,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
beshirbhaagei,	বেশিরভাগেই,	বেশিরভাগেই,	
sumeeta,	সুমিতা,	সুমিতা,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
hights,	হাইটিস,	হাইটস,	
mashtarsha,	মাষ্টরশশ,	মাস্টার্স,	
nyata,	ন্যাটা,	ম্যাট,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
gandhikey,	গাঁধধীকে,	গান্ধীকে,	
joki,	জককি,	জকি,	
somraatra,	সম্রাত্রা,	সম্রাটরা,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
musalmani,	মুসলমানি,	মুসলমানই,	
valobase,	ভালোবাসে,	ভালোবাসে,	
songkoloney,	সংকলনে,	সংকলনে,	
ponchasjon,	পঞ্চাসন,	পঞ্চাশজন,	
mele,	মেলে,	মাইল,	
dharavahiker,	ধারাভাহিকের,	ধারাবাহিকের,	
karaa,	কারা,	কারো,	
