papri,	পাপ্রি,	পাপরি,	
drissoi,	দৃশ্যই,	দৃশ্যই,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
capsule,	ক্যাপেল,	ক্যাপসুল,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
taivan,	টাইভান,	তাইওয়ান,	
bhramankale,	ভ্রামণকালে,	ভ্রমণকালে,	
kraantikaale,	ক্রান্টিকালে,	ক্রান্তিকালে,	
peoples,	পিপল্স,	পিপলস্,	
aakkaas,	আকাশ,	আককাস,	
pletoo,	প্লেটো,	প্লেটো,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
bytes,	বিইটেস,	বাইটস,	
opohoron,	অপহরণ,	অপহরন,	
evar,	আভার,	এভার,	
susamo,	সুসামো,	সুসম,	
taholei,	তহলেই,	তাহলেই,	
tale,	টলে,	তালে,	
naitikbhabey,	নাইতিকভাবে,	নৈতিকভাবে,	
batsmaner,	বাতসমেন,	ব্যাটসম্যানের,	
teenage,	টেনেগ,	টিনেজ,	
provura,	প্রভূরা,	প্রভুরা,	
uthhe,	উঠে,	উঠে,	
aalkatraa,	আলকাত্রা,	আলকাতরা,	
bhenom,	ভেমন,	ভেনম,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
jaanate,	জানাতে,	জানাতে,	
tiunar,	টিউনার,	টিউনার,	
bijito,	বিজিত,	বিজিত,	
horidbare,	হরিবরার,	হরিদ্বারে,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
shpredshiit,	স্প্রেস্টিস,	স্প্রেডশীট,	
reejur,	রিজুর,	রিজুর,	
bhaabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
patigonit,	পাতিগণিত,	পাটিগণিত,	
shoccar,	শক্চার,	সকার,	
jyakasana,	জ্যাকাশন,	জ্যাকসন,	
bhange,	ভাঙ্গে,	ভাঙ্গে,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
modelder,	মোদেলদের,	মডেলদের,	
shiropar,	শিরপার,	শিরোপার,	
traap,	ট্রাপ,	ট্রুপ,	
gitikabitar,	গীতিকাবিত,	গীতিকবিতার,	
parishromi,	পরিস্রমী,	পরিশ্রমী,	
kachhakaachhi,	কাচকাছি,	কাছাকাছি,	
gojano,	গজানও,	গজানো,	
surarop,	সুরারূপ,	সুরারোপ,	
somraatra,	সমারত্রা,	সম্রাটরা,	
dibeeta,	দিবীত,	ডিবেট,	
munsi,	মুনসী,	মুন্সি,	
granthe,	গ্রন্থে,	গ্রন্থে,	
kale,	কলে,	কালে,	
bhabanir,	ভবনীর,	ভবানীর,	
prokolpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
tukrote,	টুকরাতে,	টুকরোতে,	
shov,	সো,	শো,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
abosaney,	অবশানে,	অবসানে,	
ammor,	আমর,	আমর,	
kyathlikder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
rikondison,	রিকোন্ডিসন,	রিকন্ডিশন,	
lyaataa,	ল্যাট,	ল্যাটা,	
carlas,	কার্লস,	কার্লোস,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
naarsaari,	নার্সারী,	নার্সারি,	
zacksan,	জাকসন,	জ্যাকসন,	
pachchen,	পাচচেন,	পাচ্ছেন,	
amarjita,	অমর্জিত,	অমার্জিত,	
madraji,	মাদ্রাজী,	মাদ্রাজি,	
ester,	এস্টের,	ইস্টার,	
superheira,	সুপেহেরাইয়া,	সুপারহিরো,	
