sukkho,	শুক্ষ্,	সুক্ষ্ম,	
pholo,	ফল,	পোলো,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
chalochchitro,	চলচচিত্র,	চলচ্চিত্র,	
lettar,	লেট্টর,	লেটার,	
shiqar,	শিকার,	শিকার,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
debdeby,	দেবদাবি,	দেবদেবী,	
kooda,	কোড,	কোডা,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
byabaharkarir,	ব্যবহারকরীর,	ব্যবহারকারীর,	
ewer,	ইই়ের,	এভার,	
cocaine,	কোকেন,	কোকেইন,	
mashjid,	মাশিি,	মসজিদ,	
daaloo,	ডালু,	ডালু,	
prrajanankaal,	প্রজান্নকল,	প্রজননকাল,	
gaadhaa,	গাধধা,	গাধা,	
nagnyo,	নান্য,	নগণ্য,	
rahi,	রাহি,	রাহী,	
neutrinoo,	নেইট্রিও,	নিউট্রিনো,	
mozdoor,	মজুদর,	মজদুর,	
qlauda,	ক্লোড,	ক্লাউড,	
idaning,	এডনিং,	ইদানিং,	
gronthotike,	গ্রন্থতিকে,	গ্রন্থটিকে,	
naazii,	নাজী,	নাত্সি,	
towraat,	তোরা,	তওরাত,	
ancholsomuho,	অঞ্চমসমূহ,	অঞ্চলসমূহ,	
shtonahenja,	স্টনাহেঞ্জ,	স্টোনহেঞ্জ,	
gronthotyke,	গ্রন্থতিকে,	গ্রন্থটিকে,	
ghumato,	ঘুমত,	ঘুমাতো,	
taffsherer,	টফফ্সের,	তাফসীরের,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
chalachchitragulor,	চল্যাত্তিগগুলোর,	চলচ্চিত্রগুলোর,	
miitar,	মিটার,	মিত্র,	
shatokeo,	সতকেও,	শতকেও,	
cloud,	ক্লাড,	ক্লাউড,	
lutheran,	লুথারন,	লুথেরান,	
naubotom,	নৌবতম,	নবতম,	
ashamarthita,	অসমর্থিত,	অসমর্থিত,	
fud,	ফুড,	ফুড,	
chhani,	ছানি,	ছানি,	
postar,	পোস্টার,	পোস্টের,	
proshtutkarok,	প্রস্তুতক্রক,	প্রস্তুতকারক,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
kemaney,	কেমানে,	কেমনে,	
safi,	সফি,	সাফি,	
samanwitabhabe,	সমান্তিবাবে,	সমন্বিতভাবে,	
jomkaalo,	জমকালো,	জমকালো,	
avatara,	অভাতর,	অবতার,	
korkot,	কর্কো,	কর্কট,	
makong,	মককা,	মেকং,	
indro,	ইন্দ্র,	ইন্দ্র,	
karmajog,	কর্মজোগ,	কর্মযোগ,	
jameske,	জমেশকে,	জেমসকে,	
antarbhuktimulak,	অন্তর্মুক্তিকূল,	অন্তর্ভুক্তিমূলক,	
attar,	আত্ার,	আত্তার,	
gostike,	গোস্টিকে,	গোষ্ঠীকে,	
daltyagi,	দল্ত্যী,	দলত্যাগী,	
poojito,	পুজিত,	পুজিত,	
sahokaree,	সহকরী,	সহকারী,	
phutantoa,	ফুটন্ট,	ফুটন্ত,	
chalabe,	চলবে,	চালাবে,	
aunti,	অঁটি,	আন্টি,	
hoila,	হাইল,	হইল,	
naditei,	নদিতেই,	নদীতেই,	
patishapta,	পটিসপাত,	পাটিসাপটা,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
motabolombiira,	মোটবাল্বীর,	মতাবলম্বীরা,	
elakatikay,	এলাকাটিক,	এলাকাটিকে,	
sweety,	সিইটি,	সুইটি,	
corymb,	করিম,	করিম,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
tenise,	টেনিস,	টেনিসে,	
prakalpaguli,	প্রকাপলগুলি,	প্রকল্পগুলি,	
hurricanee,	হুরিকানে,	হ্যারিকেন,	
mosjid,	মমিিদ,	মসজিদ,	
sarboshokteeman,	সর্বস্ক্রেকশা,	সর্বশক্তিমান,	
baaraak,	বারাক,	বারাক,	
qredita,	ক্রেডিট,	ক্রেডিট,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
sollalaho,	সল্লালাহ,	সল্লাল্লাহু,	
coode,	কোড,	কোড,	
shahabike,	শাহাবিকে,	সাহাবীকে,	
taiwan,	টাইউন,	তাইওয়ান,	
dozo,	দোজ,	ডোজো,	
srichoitonyodeb,	শ্রীচ্যতদ্বেব,	শ্রীচৈতন্যদেব,	
kaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
chhutochhooti,	ছুটোঘটি,	ছুটোছুটি,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
steena,	স্টেন,	স্টেন,	
dam,	ডাম,	ডং,	
uipoka,	ইউপক,	উইপোকা,	
kuarter,	কুর্টের,	কোয়ার্টার,	
achish,	আচিষ,	আছিস,	
cooda,	কোড,	কোডা,	
shamuk,	সামুক,	শামুক,	
maile,	মেলে,	মাইলি,	
karlasa,	কার্লস,	কার্লোস,	
shhikara,	শিকারা,	শিকার,	
ekkoghore,	একগরর,	একঘরে,	
harisoner,	হরিশনের,	হ্যারিসনের,	
shikshakbrindo,	শিক্ষাক্র্ন্দ,	শিক্ষকবৃন্দ,	
gananatya,	গণনট্য,	গণনাট্য,	
nochiketa,	নচিকেট,	নচিকেতা,	
kadarer,	কাদারের,	কদরের,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
sommotir,	সম্তির,	সম্মতির,	
radhanogor,	রাধানোর,	রাধানগর,	
choudhoorio,	চৌধ্রি,	চৌধুরীও,	
prachurzer,	প্রচুর্জের,	প্রাচুর্যের,	
ajeem,	আজিম,	আজিম,	
shitei,	শিটেই,	শীতেই,	
rilayensa,	রিলেন্স,	রিলায়েন্স,	
tinej,	টিনেজ,	টিনেজ,	
telaakucha,	টেলাকুচ,	তেলাকুচা,	
azaadeer,	আজাদীর,	আজাদীর,	
showtey,	সোতে,	শোতে,	
dhojovongo,	ধোবাঙ্গ,	ধ্বজভঙ্গ,	
aakabaar,	আকাবার,	আকাবার,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
tourist,	টুরিস্ট,	টুরিস্ট,	
ship,	সিপ,	শিপ,	
maadhookori,	মাধকরি,	মাধুকরী,	
torangunj,	তরাঙ্গুজ,	তোরাবগঞ্জ,	
skyirt,	স্কারিট,	স্কার্ট,	
uporitale,	উপরিতলে,	উপরিতলে,	
byabaharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
welcome,	ভেল্ম,	ওয়েলকাম,	
badey,	বাদে,	বাদে,	
yatharthabhabe,	যাথর্থভাবে,	যথার্থভাবে,	
shangkulaan,	সংকুলন,	সংকুলান,	
faltu,	ফলতটু,	ফালতু,	
kredit,	ক্রেডিট,	ক্রেডিট,	
difinisian,	ডিফিনিশিয়ান,	ডেফিনেশন,	
ddheke,	ঢেকে,	ঢেকে,	
nirmaankaaj,	নির্মান্গল,	নির্মাণকাজ,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
bitlaser,	বিটলাসের,	বিটলসের,	
sainyasaha,	সৈন্যসহ,	সৈন্যসহ,	
ganoporibahaner,	গণপরীহাহনের,	গণপরিবহনের,	
debaag,	দেবাগ,	ডিবাগ,	
patochitra,	পটচিত্র,	পটচিত্র,	
don,	ডন,	দোন,	
gandhike,	গণ্ধিকে,	গান্ধীকে,	
mb,	এমি,	এমবি,	
juktorashtreo,	যুক্তরাষ্ট্রে,	যুক্তরাষ্ট্রেও,	
ummool,	উম্মুল,	উম্মুল,	
bisheshshyer,	বিশেষ্ের,	বিশেষ্যের,	
koieri,	কৈরী,	কোয়েরি,	
gaj,	গোজ,	গেজ,	
choudhoorider,	চৌধুরীদের,	চৌধুরীদের,	
karmokandeo,	কর্মকাণ্ডে,	কর্মকাণ্ডেও,	
prajanankal,	প্রজান্কল,	প্রজননকাল,	
armeniyana,	আর্মেনিয়ান,	আর্মেনিয়ান,	
parshwey,	পার্স্যে,	পার্শ্বে,	
olympiker,	অল্মিপুকের,	অলিম্পিকের,	
recondishon,	রেকন্ডিশন,	রিকন্ডিশন,	
vittitei,	ভিত্তিতে,	ভিত্তিতেই,	
addhatikotar,	অর্ধতিকতার,	আধ্যাত্মিকতার,	
suchorita,	সুচরিত,	সুচরিতা,	
oiteejyo,	অতিয়্য,	ঐতিহ্য,	
byabaharkarie,	ব্যবহারকরী,	ব্যবহারকারীই,	
homsher,	হোসের,	হোমসের,	
fanda,	ফান্ড,	ফান্ড,	
sharok,	শররক,	স্মারক,	
parqing,	পার্কিং,	পার্কিং,	
samanwitobhabe,	সমান্জিবাবে,	সমন্বিতভাবে,	
niranjan,	নিরাজ্ঞ,	নিরঞ্জন,	
heja,	হেজ,	হেজ,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
chomsky,	চমস্কি,	চমস্কি,	
paree,	প্যারি,	পাড়ে,	
uul,	উউল,	উল,	
eashter,	এস্টের,	ইস্টার,	
dajjho,	দাজ্য,	দাহ্য,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
masharraf,	মাশরারফ,	মশাররফ,	
bashoborty,	বাসবর্ত,	বশবর্তী,	
plena,	প্লেন,	প্লেন,	
khodeja,	খদেজা,	খোদেজা,	
agahir,	আগাহীর,	অগভীর,	
gunze,	গুঞ্জে,	গুঁজে,	
dhanni,	ধাননি,	ধন্যি,	
krok,	ক্রক,	ক্রোক,	
tyunar,	টিউনার,	টিউনার,	
simmons,	সিমমন্স,	সিমন্স,	
sahopatheeke,	সহপাথিকে,	সহপাঠীকে,	
krisenter,	ক্রিস্েটের,	ক্রিসেন্টের,	
michhilti,	মিচিলি,	মিছিলটি,	
chaakti,	চাকটি,	চাকতি,	
istara,	ইস্টার,	ইস্টার,	
jesthotar,	জেষ্থতার,	জ্যেষ্ঠতার,	
conseervation,	কনস্রেইজেশন,	কনসারভেশন,	
tafaat,	টাফাট,	তফাৎ,	
mitra,	মিত্র,	মিত্র,	
petenter,	পেটেন্টার,	পেটেন্টের,	
holding,	হোলদিং,	হোল্ডিং,	
torunra,	তরুন্রা,	তরুণরা,	
daakteekit,	দাক্তিকিত,	ডাকটিকিট,	
agomonke,	অগমনকে,	আগমনকে,	
tata,	তাটা,	তাতা,	
kale,	কলে,	কালে,	
ameerika,	অমেরিকা,	আমেরিকা,	
muscat,	মুস্কা,	মাস্কাট,	
shanstha,	সংস্থ,	সংস্থা,	
railliner,	রেলিনের,	রেললাইনের,	
ooindos,	উইন্দোস,	উইন্ডোস,	
abheegomon,	অভিজমন,	অভিগমন,	
chenja,	চেঞ্জ,	চেঞ্জ,	
qoyeri,	কোয়ারি,	কোয়েরি,	
jocqey,	জককে,	জকি,	
besharkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
gootano,	গুটানো,	গুটানো,	
siramikasa,	শিরামিকাস,	সিরামিকস,	
netherlande,	নেফ্যালেন্ডে,	নেদারল্যান্ডে,	
siddhantoi,	সিদ্ধানটি,	সিদ্ধান্তই,	
bolechi,	বলেছি,	বলেছি,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
gonna,	গণ্য,	গননা,	
fase,	ফাসে,	ফাঁসে,	
ganohotyar,	গণহত্যার,	গণহত্যার,	
gosthyti,	গস্থিতি,	গোষ্ঠীটি,	
nabyota,	নব্যতা,	নাব্যতা,	
everest,	এভেরেস্ট,	এভারেস্টে,	
jeellul,	জিলুল,	জিল্লুল,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
