pulse,	পালসে,	পালস,	
janmat,	জন্মাত,	জন্মাত,	
tottobar,	তত্ত্ববার,	তওবার,	
rajtantrake,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
komandar,	কমান্ডার,	কমাণ্ডার,	
sten,	স্টেন,	স্টেন,	
parinati,	পরিনতি,	পরিণতি,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
suma,	সুম,	সুমো,	
prodan,	প্রদান,	প্রদাণ,	
siddhantagulo,	সিদ্ধানতগুলো,	সিদ্ধান্তগুলো,	
bagdady,	বাগ্যাদি,	বাগদাদী,	
naarsari,	নার্সারী,	নার্সারি,	
serverer,	সার্ভারের,	সার্ভারের,	
prostutkarok,	প্রস্তুতকরক,	প্রস্তুতকারক,	
aoki,	আককি,	এওকি,	
fud,	ফুড,	ফুড,	
juktarashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
dormitoree,	ডরমিটরি,	ডরমিটরি,	
modeltigulo,	মদেশতিলুগু,	মডেলগুলো,	
ooeepoka,	ওপ্যকা,	উইপোকা,	
kalnir,	কলনীর,	কালনীর,	
licencedhari,	লিসেস্চারী,	লাইসেন্সধারী,	
jameske,	জমমসেকে,	জেমসকে,	
cholche,	চলছে,	চলছে,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
nuton,	নিউটন,	নূতন,	
carlo,	চারলো,	কার্লো,	
parishrami,	পরিশ্রামী,	পরিশ্রমী,	
ispredsheet,	ইস্পেরেসট,	স্প্রেডশীট,	
shreemoti,	শ্রীমতী,	শ্রীমতি,	
folokti,	ফলকটি,	ফলকটি,	
batsmanei,	বৎসম্নানে,	ব্যাটসম্যানই,	
ekok,	একক,	একক,	
lohar,	লোহর,	লোহার,	
priitii,	প্রীতি,	প্রিটি,	
hamburg,	হাম্বার্গ,	হামবুর্গ,	
udbhabony,	উদ্ভববনী,	উদ্ভাবনী,	
dhoorer,	ধরের,	ধরের,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
udvabone,	উদ্ভবনে,	উদ্ভাবনে,	
shource,	সার্স,	সোর্স,	
khatgosher,	খাটগোসের,	খরগোসের,	
diyi,	দিই,	দিই,	
dera,	দেরা,	ডেরা,	
kanar,	কানার,	কণার,	
mag,	ম্যা,	এমএজি,	
athar,	আঠার,	আতহার,	
bima,	বিমা,	বিম,	
kaansaat,	কাঁসাত,	কানসাট,	
dhyana,	ধ্যান,	ধ্যান,	
pashaner,	পাশনের,	পাষাণের,	
shipa,	শিপ,	শিপ,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
nishad,	নিশাদ,	নিষাদ,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
suresh,	সুরেশ,	সুরেশ,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
engil,	এঞ্জিল,	ইঞ্জিল,	
catholic,	চাঠলিক,	ক্যাথলিক,	
plen,	প্লেন,	প্লেন,	
tennis,	টেনিস,	টেনিস,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
baait,	বাইট,	বাইট,	
cholocchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
windows,	উইন্ডোজ,	উইন্ডোস,	
omitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
soundarjo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
akhandata,	আখন্দ্যতা,	অখণ্ডতা,	
shilvar,	সিলভার,	সিলভার,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
hoonayin,	হুনাইন,	হুনাইন,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
artharer,	অর্থারের,	আর্থারের,	
sikarder,	সিকারদের,	শিকারদের,	
canflikt,	কানফিল্ট,	কনফ্লিক্ট,	
mononitoder,	মনোনিতদের,	মনোনীতদের,	
mekong,	মেকন,	মেকং,	
riphleksha,	রিফ্লেক্স,	রিফ্লেক্স,	
dhos,	ধো,	ধস,	
madeling,	ম্যাডেলিং,	মডেলিং,	
reeno,	রিনো,	রেনো,	
cheentai,	চিন্তাই,	ছিনতাই,	
jothartho,	যথার্থ,	যথার্থ,	
koyeeri,	কয়েরি,	কোয়েরি,	
zonsa,	জনসা,	জোন্স,	
murrayir,	মুরার,	ম্যারির,	
