durgotsave,	দুর্গতভাবে,	দুর্গোৎসবে,	
laaz,	লাজ,	লাজ,	
vittiei,	ভিট্ইে,	ভিত্তিই,	
sporsher,	স্পার্সার,	স্পর্শের,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
manushgulor,	মনুষুলগুর,	মানুষগুলোর,	
ahalya,	অহল্য,	অহল্যা,	
emergenci,	এমের্জেন্সি,	এমার্জেন্সি,	
bajareo,	বাজারেও,	বাজারেও,	
damane,	ডামানে,	দমনে,	
bashite,	বাশিতে,	বাঁশিতে,	
paripakey,	পরিপাকে,	পরিপাকে,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
thaakte,	থাকতে,	থাকতে,	
bipojjonok,	বিপদজ্জনক,	বিপজ্জনক,	
oncholo,	অঞ্চল,	অঞ্চলও,	
ramonar,	রমনার,	রমনার,	
sajja,	সাজ্জা,	সজ্জা,	
dinifitian,	ডিনিফিন্যান,	ডেফিনেশন,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
sow,	সও,	শো,	
shiramiksh,	শিরামিক্ষ,	সিরামিকস,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
kreedita,	ক্রিডিট,	ক্রেডিট,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
dakticket,	ডাক্তিকেট,	ডাকটিকিট,	
pooshteer,	পুষ্টির,	পুষ্টির,	
anyarup,	অন্যারূপ,	অন্যরূপ,	
otyacharer,	অট্যাচারের,	অত্যাচারের,	
sofi,	সফি,	সোফি,	
deepan,	ডিপন,	দীপন,	
homeske,	হোমেস্কে,	হোমসকে,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
grambaasheeo,	গ্রামবাশী,	গ্রামবাসীও,	
qyanela,	ক্যানেলা,	ক্যানেল,	
shomser,	শমসের,	সমশের,	
bhortuky,	ভর্তুকী,	ভর্তুকি,	
teresha,	তেরেসা,	টেরেসা,	
krush,	ক্রাশ,	ক্রুশ,	
biharey,	বিহারে,	বিহারে,	
saahosikotar,	সাহিশীকতার,	সাহসিকতার,	
shreeshree,	শ্রীশ্রী,	শ্রীশ্রী,	
pannee,	পন্য,	পন্নী,	
roja,	রোজা,	রোযা,	
kheylechen,	খিলেছেন,	খেলেছেন,	
odhuna,	অধুনা,	অধুনা,	
rachonakal,	রচনাকাল,	রচনাকাল,	
farn,	ফরন,	ফার্ন,	
kredit,	ক্রেডিট,	ক্রেডিট,	
madhobeer,	মাধবীর,	মাধবীর,	
tenisa,	টেনিস,	টেনিস,	
gujab,	গুজাব,	গুজব,	
manabmoner,	মানবমনের,	মানবমনের,	
phirati,	ফিরাটি,	ফিরতি,	
brindabane,	বৃণ্বনানে,	বৃন্দাবনে,	
dor,	ডোর,	দোর,	
granthe,	গ্রন্থে,	গ্রন্থে,	
kas,	কাযাস,	কাস,	
shorting,	শর্টিং,	সর্টিং,	
eenameel,	ইনামেল,	এনামেল,	
puroheetke,	পুরাহটিকে,	পুরোহিতকে,	
bagda,	বাগডা,	বাগদা,	
dikpal,	দিক্লা,	দিকপাল,	
prachandota,	প্রচন্দতা,	প্রচণ্ডতা,	
kormoyi,	কর্মই,	কর্মই,	
fotanor,	ফটানোর,	ফোটানোর,	
kulo,	কুলো,	কুলো,	
chaudhurike,	চৌধুরিকে,	চৌধুরীকে,	
hishaber,	হিসাবের,	হিসাবের,	
unitshoho,	উনিশত,	ইউনিটসহ,	
sloker,	শ্লোকের,	শ্লোকের,	
besirbhagei,	বেশীরভাগই,	বেশিরভাগেই,	
charger,	চার্গের,	চার্জের,	
sampadan,	সম্পাদন,	সম্পাদন,	
parikhar,	পরীক্ষার,	পরিখার,	
transformaarer,	ত্রান্সমর্মারের,	ট্রান্সফরমারের,	
azimke,	আজিমকে,	আজিমকে,	
aqabar,	একাবার,	আকাবার,	
balbo,	বলবো,	বলবো,	
conserwation,	কনসারওশন,	কনসারভেশন,	
prottokkhovabe,	প্রত্যাখ্যাভাবে,	প্রত্যক্ষভাবে,	
bhittimul,	ভিত্তমমুল,	ভিত্তিমূল,	
formet,	ফরমেট,	ফরম্যাট,	
elakai,	এলাকাই,	এলাকাই,	
hughes,	হাইস,	হিউজেস,	
ingrezra,	ইংরেজ্রা,	ইংরেজরা,	
shulkey,	সুলকে,	শুল্কে,	
jerujalem,	জেরুজালাম,	জেরুসালেম,	
venice,	ভেনিস,	ভেনিস,	
chalochchitrake,	চলচ্চিত্রকাতে,	চলচ্চিত্রকে,	
prabhura,	প্রভূরা,	প্রভুরা,	
ketechilo,	কেটেছিল,	কেটেছিল,	
