duburyra,	দুবুরীরা,	ডুবুরিরা,	
pyore,	প্যারে,	পিওর,	
khizir,	খিজির,	খিজির,	
kanflict,	ক্যাপচিট,	কনফ্লিক্ট,	
thailandsaho,	থাইলাঞ্স,	থাইল্যান্ডসহ,	
tourist,	তুরিষ্ট,	টুরিস্ট,	
satarkokari,	সতারকারে,	সতর্ককারী,	
alubokhara,	অলোকঘারা,	আলুবোখারা,	
gyate,	গ্যতে,	গ্যেটে,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
pragreesa,	প্রোগ্রেস,	প্রগ্রেস,	
okritokarjo,	অকৃত্রভাগ,	অকৃতকার্য,	
graambaaseeo,	গ্র্মবেশি,	গ্রামবাসীও,	
apocheshta,	অপছেষ্ট,	অপচেষ্টা,	
romantiqa,	রোমান্তক,	রোমান্টিক,	
geja,	গেজ,	গেজ,	
nek,	নিক,	নেক,	
vabatarini,	ভবেতরানী,	ভবতারিণী,	
dharabahiktir,	ধারাবাচিক্র,	ধারাবাহিকটির,	
armeeniyana,	আর্মিনিয়ান,	আর্মেনিয়ান,	
reetesh,	রীটেশ,	রিতেশ,	
porissrom,	পরিষ্রাহ,	পরিশ্রম,	
engineersh,	ইঞ্জিন্দ,	ইঞ্জিনিয়ার্স,	
shringgo,	শৃর্গ,	শৃঙ্গ,	
postay,	পোস্টে,	পোস্টে,	
mesenzar,	মেসেঞ্জার,	মেসেঞ্জার,	
morathi,	মরাঠী,	মরাঠি,	
munim,	মুনিং,	মুনিম,	
firoz,	ফিরোজ,	ফিরোজ,	
wodka,	উোদকা,	ভদকা,	
byaboharkariderkey,	ব্যবহারকারী,	ব্যবহারকারীদেরকে,	
konroop,	কন্ুর,	কোনরূপ,	
carymb,	ক্রিবিস,	করিম,	
kaansaater,	কাঁসতের,	কানসাটের,	
venus,	ভেনিস,	ভেনাস,	
vezano,	ভেজানো,	ভেজানো,	
procharona,	প্রচারনা,	প্রচারণা,	
bonaa,	বোনা,	বোনা,	
saqara,	সাকারা,	সাকার,	
arifin,	আরিফিন,	আরিফিন,	
ekmot,	একমত,	একমত,	
arakaner,	আরাকনের,	আরাকানের,	
debodebi,	দেবদ্বী,	দেবদেবী,	
haajarer,	হাজারের,	হাজারের,	
gosthyti,	গো্্ষিতি,	গোষ্ঠীটি,	
ganana,	গানানা,	গননা,	
chintaikari,	চিন্তাচারে,	ছিনতাইকারী,	
arakan,	আরাকন,	আরাকান,	
nirobota,	নির্বত,	নিরবতা,	
vushi,	ভুষি,	ভুষি,	
staylish,	স্টালিস,	স্টাইলিশ,	
oedipush,	উদিপুস,	ইডিপাস,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
hazarer,	হাজারের,	হাজারের,	
arthanitir,	অর্থনীত,	অর্থনীতির,	
chalachchitratike,	চলচ্চিত্রাকী,	চলচ্চিত্রটিকে,	
sanghitar,	সংঘীতার,	সংহিতার,	
konruup,	কন্রূপ,	কোনরূপ,	
adorso,	আদর্শ,	আর্দশ,	
vagno,	ভাগ্ন,	ভগ্ন,	
shhepha,	সেফ,	শেফ,	
kanflikt,	কাপ্িক্ট,	কনফ্লিক্ট,	
churger,	চূর্গের,	চার্জের,	
ajibonoer,	অজিবনের,	আজীবনের,	
claus,	ক্লাস,	ক্লজ,	
lutharan,	লুথারণ,	লুথেরান,	
johor,	জহর,	জহর,	
resorte,	রেসর্তে,	রিসোর্টে,	
madhabi,	মাধবীবী,	মাধবী,	
mangalik,	মঙ্গলীক,	মাঙ্গলিক,	
ogrodut,	অগ্রাদুত,	অগ্রদূত,	
narsari,	নার্সারী,	নার্সারি,	
mulaadi,	মুলাদী,	মুলাদি,	
vaskor,	ভাস্কর,	ভাস্কর,	
manushtike,	মনুষ্কটি,	মানুষটিকে,	
ashshociatesh,	অ্যাসোসিকেটস,	এসোসিয়েটস,	
ingreziteo,	ইংরেজিত,	ইংরেজিতেও,	
naaneer,	নানির,	নানীর,	
saoum,	সোউম,	সাওম,	
abhidhaaner,	অভিধানের,	অভিধানের,	
nirmolotaa,	নির্মলাটা,	নির্মলতা,	
ispredsit,	স্প্রেসিটি,	স্প্রেডশীট,	
bholapuqa,	ভোলাপক,	ভোলাপুক,	
banger,	বঙ্গের,	ব্যাঙের,	
bagach,	বাগাছ,	বটগাছ,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
dharagulo,	ধারগুলো,	ধারাগুলো,	
shchalastic,	শ্লালাসিক,	স্কলাস্টিক,	
bagichaar,	বাগিছার,	বাগিচার,	
khelaphatey,	খেলাথাতে,	খেলাফতে,	
baron,	বরণ,	ব্যারন,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
rejidence,	রেজিডেন্স,	রেসিডেন্স,	
falashrutiti,	ফলস্কারটি,	ফলশ্রুতি,	
jatok,	যতক,	জাতক,	
ap,	এপি,	আপ,	
stona,	স্টন,	স্টোন,	
musalmani,	মুসানানী,	মুসলমানই,	
debdebir,	দিবেশীর,	দেবদেবীর,	
shrabostee,	শ্রবশ্ষিত,	শ্রাবস্তী,	
bagda,	বাজ্া,	বাগদা,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
neemitte,	নিমিতেতে,	নিমিত্তে,	
reejideens,	রেজিডিন,	রেসিডেন্স,	
rajtontrey,	রাজন্ত্রী,	রাজতন্ত্রে,	
besirbhaagi,	বেশীরভাগি,	বেশিরভাগই,	
vip,	ভিপ,	ভিআইপি,	
renoo,	রেনো,	রেনো,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
paakshenara,	পাক্সীনার,	পাকসেনারা,	
bhalobasen,	ভালাভেশনে,	ভালোবাসেন,	
gasthigulo,	গাস্তিগ্য,	গোষ্ঠীগুলো,	
jes,	জেস,	জেস,	
ardasha,	আর্ডস,	আর্দশ,	
divya,	দিব্য,	দিব্যা,	
hotochokito,	হতেচাকিত,	হতচকিত,	
pare,	পারে,	পাড়ে,	
elakatite,	এলাকটিতে,	এলাকাটিকে,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
heavy,	হাভি,	হেভি,	
bikaargrasta,	বিকাগ্রস্ত,	বিকারগ্রস্ত,	
poscater,	পস্াতের,	পশ্চাতের,	
