steitt,	স্টেট,	স্টেইট,	
mukhomaundoler,	মুখমন্ডলুর,	মুখমণ্ডলের,	
duplee,	ডুপলি,	ডুপ্লে,	
eekbaler,	ইকলারের,	ইকবালের,	
prakalpogulor,	প্রক্ষাগলোর,	প্রকল্পগুলোর,	
koontee,	কুন্তি,	কুন্তী,	
zackson,	জকসন,	জ্যাকসন,	
inasiyinta,	ইনসনইিট,	এনসিয়েন্ট,	
niropekkhotaar,	নিরেপক্ষতার,	নিরপেক্ষতার,	
madhoori,	মাধুরি,	মাধুরী,	
sainyo,	সৈন্য,	সৈন্য,	
bagichaar,	বাগিচার,	বাগিচার,	
barakpur,	ব্যারকপুর,	বারাকপুর,	
korkotkraantee,	কর্ককর্তনটি,	কর্কটক্রান্তি,	
hazat,	হজাত,	হজত,	
arop,	অররপ,	আরোপ,	
carpete,	কার্পাটে,	কার্পেটে,	
bhashik,	ভাষিক,	ভাষিক,	
naniir,	নানীর,	নানীর,	
markeeting,	মার্কাটিং,	মার্কেটিং,	
delibhara,	ডেলিভার,	ডেলিভার,	
agibon,	আজিবন,	আজীবন,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
antarcticar,	অন্টার্কটিকর,	অ্যান্টার্কটিকার,	
keo,	কিও,	কেও,	
spredasita,	স্পের্ডাসিট,	স্প্রেডশীট,	
zonite,	যোনিতে,	যোনীতে,	
rubi,	রুবি,	রুবি,	
hames,	হামস,	হোমস,	
anchalgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
funding,	ফানদিং,	ফান্ডিং,	
bbiseshyo,	বিশেষে,	বিশেষ্য,	
abdur,	আবুদুর,	আবদুর,	
niurolaji,	নিউরোলি,	নিউরোলজি,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
swapod,	স্বাদপ,	শ্বাপদ,	
praman,	প্রমাণ,	প্রমান,	
shnaipara,	স্পাইপার,	স্নাইপার,	
bachai,	বাঁচাই,	বাছাই,	
queery,	কুরে,	কোয়েরি,	
samaveshti,	সমাভেষ্টি,	সমাবেশটি,	
dupleex,	ডিপ্লিক্স,	ডুপ্লে,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
shulke,	সুলকে,	শুল্কে,	
daun,	ডাউন,	ডাউন,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
byabaharkariyi,	ব্যবহারকারি,	ব্যবহারকারীই,	
phakay,	ফাঁকে,	ফাকে,	
surke,	সুরকে,	সুরকে,	
shepherd,	সেফার্ড,	শেফার্ড,	
sow,	সও,	শো,	
jaj,	জ্যাজ,	জাজ,	
megh,	মেই,	মেঘ,	
dipke,	ডিপকে,	দ্বীপকে,	
homshke,	হোমকে,	হোমসকে,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
satarkabhabe,	সতরকভাবে,	সতর্কভাবে,	
moshzid,	মসজিদ,	মসজিদ,	
veenicee,	ভিনেসি,	ভেনিস,	
gunoman,	গুণমান,	গুণমান,	
edaningkale,	এডািনকালে,	ইদানীংকালে,	
wul,	উুল,	উল,	
hyaloin,	হ্যালেন,	হ্যালোইন,	
taoonship,	তানশীপ,	টাউনশিপ,	
machhe,	মাছে,	মাছে,	
battery,	ব্যাটারি,	ব্যাটারী,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
dhan,	ধন,	ধ্যান,	
arekdal,	আরেকদল,	আরেকদল,	
ustaad,	উষ্টাদ,	উস্তাদ,	
farex,	ফার্ক্স,	ফরেক্স,	
wodka,	উদকা,	ভদকা,	
porobortii,	পরবর্তী,	পরর্বতী,	
laaishesh,	লাইসেস,	লাইসেন্স,	
cholochchitraeeo,	চলচ্চিত্রেও,	চলচ্চিত্রেও,	
addabaaz,	আদ্বাবাজ,	আড্ডাবাজ,	
postake,	পোস্তাকে,	পোস্টকে,	
vogiroth,	ভগিরথ,	ভগীরথ,	
uchhoshito,	উচ্চসিত,	উচ্ছসিত,	
alimpika,	অলিম্পিকা,	অলিম্পিক,	
sqolastiq,	স্কোলাস্টিক,	স্কলাস্টিক,	
taivan,	তাইভান,	তাইওয়ান,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
sangkalaner,	সংকলনের,	সংকলনের,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
sahoocorzo,	সহারক্ষ,	সাহচর্য,	
chutochuti,	চুটোচুটি,	ছুটোছুটি,	
koordider,	কুর্দিদের,	কুর্দিদের,	
roktokhoron,	রক্তকরণ,	রক্তক্ষরণের,	
tale,	তেল,	তালে,	
advut,	অডুভূট,	অদ্ভুত,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
bandhuderke,	বাঁধুদেরকে,	বন্ধুদেরকে,	
shrichaitanyadeb,	শ্রীচৈতননযদেব,	শ্রীচৈতন্যদেব,	
koyeri,	কেয়েরি,	কোয়েরি,	
asamanno,	অসমান্য,	অসামান্য,	
