sina,	সিন,	সিনা,	
mulvitti,	মুলভীত্তি,	মূলভিত্তি,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
hugheke,	হুগেছকে,	হিউজকে,	
sphincter,	স্পিন্সের,	স্ফিংটার,	
elaakati,	এলাকাতি,	এলাকাটি,	
bbosben,	বসবেন,	বসবেন,	
olangkoron,	অলঙ্করণ,	অলঙ্করণ,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
klaud,	ক্লাড,	ক্লাউড,	
abdoor,	আবদুর,	আবদুর,	
gyandas,	জ্ঞানদস,	জ্ঞানদাস,	
barder,	বার্ডার,	বার্ডের,	
gobeshokgon,	গবেষকান,	গবেষকগণ,	
gobeshana,	গবেষণা,	গবেষনা,	
daeel,	ডাইল,	ডেইল,	
prottokhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
kadom,	কদম,	কদম,	
udbodhonee,	উদ্বধোনী,	উদ্বোধনী,	
vugten,	ভুগেন,	ভুগতেন,	
pacchen,	পাছ্ছেন,	পাচ্ছেন,	
musolmanera,	মুসলামনেরা,	মুসলমানেরা,	
dacop,	ডাকোপ,	দাকোপ,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
uindoo,	উইন্ডো,	উইন্ডো,	
sperm,	স্পার্ম,	স্পার্ম,	
eenameel,	ইনামিল,	এনামেল,	
deambakriti,	দিম্বারকতি,	ডিম্বাকৃতি,	
showte,	শোট,	শোতে,	
turishta,	তুরিশ্ট,	টুরিস্ট,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
satarko,	সতর্ক,	সতর্ক,	
raeets,	রেটস,	রাইটস,	
amor,	আমর,	আমর,	
huqa,	হুক,	হুক,	
durgandher,	দুর্গন্ধের,	দুর্গন্ধের,	
karmasansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
nogonno,	নগন্য,	নগণ্য,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
carpeet,	কার্পেট,	কার্পেট,	
beekaargrasto,	বিকর্গ্রস্ত,	বিকারগ্রস্ত,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
nyeta,	ম্যাট,	ম্যাট,	
nabyota,	নব্যতা,	নাব্যতা,	
aansarir,	আনসারির,	আনসারীর,	
bhittiteo,	ভিত্তিও,	ভিত্তিতেও,	
prakalpogulo,	প্রকালপুলো,	প্রকল্পগুলো,	
moshjidke,	মসহবিদকে,	মসজিদকে,	
antarvuktimulok,	অন্তর্মূকীতবূলক,	অন্তর্ভুক্তিমূলক,	
vogiroth,	ভগিরত,	ভগীরথ,	
engrejer,	ইংরেজের,	ইংরেজের,	
shithilatar,	শিঠিলতার,	শিথিলতার,	
disni,	ডিশনি,	ডিজনী,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
mojlish,	মজলিস,	মজলিশ,	
siddhantei,	সিদ্ধানটি,	সিদ্ধান্তেই,	
harza,	হার্জ,	হার্জ,	
manush,	মানুস,	মানুষ,	
rokibul,	রকিবুল,	রকিবুল,	
rushd,	রুশদ,	রুশদ,	
ooporostho,	অপসর্থ,	উপরস্থ,	
basano,	বাসননো,	বসানো,	
saida,	সাইড,	সাইদা,	
protijogiir,	প্রতিযোগির,	প্রতিযোগীতার,	
adhattik,	আধ্যাতিক,	আধ্যাত্মিক,	
thetcher,	থেযাচের,	থ্যাচার,	
marmader,	মার্মাদের,	মারমাদের,	
jetei,	যেটেই,	যেতেই,	
dupleks,	ডুপলেক্স,	ডুপ্লে,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
agradut,	অগ্রাদুত,	অগ্রদূত,	
zansa,	জনস,	জন্স,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
boudher,	বৌধের,	বৌদ্ধের,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
sardar,	সর্দার,	সরদার,	
chintaikaree,	চিনতাইকারী,	ছিনতাইকারী,	
anchaltikey,	আঞ্চলিতকে,	অঞ্চলটিকে,	
shreechoitonyodeb,	শ্রীচৈতনন্দ্ব,	শ্রীচৈতন্যদেব,	
