darzi,	দর্জি,	দরজি,	
danaqana,	ডানাান,	ডানকান,	
ganesh,	গেনসশ,	গণেশ,	
khilaphat,	খিলাাত,	খিলাফত,	
chitronatyakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
nochiketa,	নাকিতা,	নচিকেতা,	
sunagarik,	সুনাগরিিক,	সুনাগরিক,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
abarte,	আবরতে,	আবর্তে,	
niuroolaji,	নিউরোলজি,	নিউরোলজি,	
paite,	পাইে,	পাইতে,	
pet,	পেটট,	পেত,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
yuk,	ইউ়,	ইয়াক,	
ula,	উলা,	উল,	
laala,	লালা,	লালা,	
dorgaho,	দরগাহ,	দরগাহ,	
wolapuk,	ওলাফুক,	ভোলাপুক,	
fax,	ফ্যাক্স,	ফক্স,	
laiceensee,	লেইসেন্সি,	লাইসেন্স,	
teennis,	টেনিস,	টেনিস,	
sporsher,	স্পোর্েের,	স্পর্শের,	
dikpal,	ডিক্ল,	দিকপাল,	
chalake,	চালাকে,	চালকে,	
musalmani,	মুসলমানি,	মুসলমানই,	
maahe,	মাহে,	মাহে,	
phormat,	ফর্্টা,	ফরম্যাট,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
noveel,	নোভেল,	নভেল,	
ghamtaa,	ঘমতা,	ঘোমটা,	
jomjomat,	জম্জমত,	জমজমাট,	
surokarder,	সুরকদদদের,	সুরকারদের,	
zeebonnogor,	জীবননাগর,	জীবননগর,	
debdeby,	দেবদেবী,	দেবদেবী,	
futonto,	ফুটন্ট,	ফুটন্ত,	
udichi,	উদ্ধি,	উদীচী,	
turbiner,	টারবিনের,	টারবাইনের,	
hariken,	হারিকেন,	হ্যারিকেন,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
saatzoner,	সাটটজনের,	সাতজনের,	
sobrakamer,	সববররকমের,	সবরকমের,	
pustir,	পুস্তির,	পুষ্টির,	
gore,	গরে,	গোর,	
basuki,	বাসুকী,	বাসুকি,	
projanankaal,	প্রজননকাাল,	প্রজননকাল,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
udbodhoner,	উদ্বোনের,	উদ্বোধনের,	
kantajir,	কান্তজীর,	কান্তজির,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
mozdoor,	মজুদরর,	মজদুর,	
manohputo,	মাোসূত,	মনঃপুত,	
lohaar,	লোহার,	লোহার,	
faaj,	ফাজ,	ফাজ,	
domone,	দমনে,	দমনে,	
difinishian,	ডিফিনিশন,	ডেফিনেশন,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
daaloo,	ডালু,	ডালু,	
bajareo,	বাজারওও,	বাজারেও,	
rilayensa,	রিলেয্স,	রিলায়েন্স,	
rajballav,	রজজবললাব,	রাজবল্লভ,	
iuqyaliptasa,	ইউক্যালিপ্টসস,	ইউক্যালিপ্টাস,	
assaciates,	অ্যাসিসিয়েট,	এসোসিয়েটস,	
animated,	আনিমাতে,	এনিমেটেড,	
hotochokito,	হতোককত,	হতচকিত,	
mondopey,	মণ্ডপে,	মন্ডপে,	
parishkaran,	পরিস্কাণ,	পরিষ্করণ,	
baron,	বরণ,	ব্যারন,	
ghatleo,	ঘটলেও,	ঘটলেও,	
janomukhi,	জনমুখি,	জনমুখী,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
casper,	ক্সপপার,	ক্যাসপার,	
bharma,	ভর্ম,	ভার্মা,	
teunar,	টিউনার,	টিউনার,	
eideen,	এইডিন,	এইদিন,	
jakrit,	যকৃত,	যকৃৎ,	
manabmoner,	মানবমমের,	মানবমনের,	
masto,	মষ্্,	মাস্ত,	
falashrutite,	ফলাসূুুতে,	ফলশ্রুতিতে,	
itostatoh,	ইতসসতততথ,	ইতস্ততঃ,	
jamkalo,	জামকালো,	জমকালো,	
bhabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
shaater,	সাতের,	শ্যুটার,	
dephinesana,	ডেফিনিনন,	ডেফিনেশন,	
fal,	ফলল,	ফল,	
moshzidshoho,	মসিসসদহ,	মসজিদসহ,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
dadader,	দাদেরে,	দাদাদের,	
shikhbey,	শিখবে,	শিখবে,	
pretishta,	প্রতটিস্ট,	প্রতিষ্টা,	
jani,	জানি,	জনি,	
piora,	পিয়ার,	পিওর,	
nutan,	নুতান,	নূতন,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
konaan,	কোনন,	কোনান,	
durgotir,	দুর্গতির,	দুর্গটির,	
sthaponagulor,	স্থাননগুলরর,	স্থাপনাগুলোর,	
chalochchitratike,	চলচ্তিত্রাকিে,	চলচ্চিত্রটিকে,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
alankaran,	অলং্করণ,	অলঙ্করণ,	
asaciates,	অসযাসিস়েটেস,	এসোসিয়েটস,	
sangbadmadhyamer,	সংবাদদযযম্যের,	সংবাদমাধ্যমের,	
hood,	হোড,	হুড,	
samajeri,	সাযাজেরি,	সমাজেরই,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
boikalya,	বৈকল্য,	বৈকল্য,	
noteti,	নটটিি,	নোটটি,	
jarul,	জাুলল,	জারুল,	
brek,	ব্র্য,	ব্রেক,	
kona,	কোনা,	কোনা,	
ko,	কো,	কেও,	
gonohotyar,	গণহত্্যার,	গণহত্যার,	
perther,	পার্থার,	পার্থের,	
taaler,	টালর,	তালের,	
obosorer,	অবসরের,	অবসরের,	
cheenja,	চিঞ্জ,	চেঞ্জ,	
byatari,	ব্যাতািি,	ব্যাটারী,	
netsi,	নেটসি,	নাত্সি,	
wictor,	উইক্টর,	ভিক্টর,	
gujab,	গুজবব,	গুজব,	
ajimpur,	আজিমপুর,	আজিমপুর,	
