inapharameshana,	ইনফারসমেশন,	ইনফরমেশন,	
kar,	কার,	কর,	
setike,	সেটিকে,	সেটিকে,	
qraima,	ক্রেম,	ক্রাইম,	
chhutite,	ছুটিতে,	ছুটিতে,	
ajim,	আজিম,	আজিম,	
bheemsen,	ভীমসেন,	ভীমসেন,	
eashter,	আস্টের,	ইস্টার,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
suparahira,	সুপারহীরা,	সুপারহিরো,	
phund,	ফাউন্ড,	ফান্ড,	
shommoteer,	সম্তির,	সম্মতির,	
post,	পোস্ট,	পোষ্ট,	
patigoniter,	পাতিগণিতের,	পাটিগণিতের,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
gajee,	গাজী,	গেজ,	
fanse,	ফাঁসে,	ফাঁসে,	
bamna,	বাম্না,	বামনা,	
ishiyatika,	ইসাইটিক,	এশিয়াটিক,	
dobhar,	দোবার,	ডোভার,	
drishi,	দৃশি,	দৃশ্যই,	
volte,	ভোলটে,	ভল্ট,	
pleeto,	প্লীত,	প্লেটো,	
shiter,	সিটের,	শীতের,	
planea,	প্লানে,	প্লেনে,	
godabori,	গদাবরী,	গোদাবরী,	
claud,	ক্লাউ,	ক্লাউড,	
musalmankey,	মুসলম্নকে,	মুসলমানকে,	
sherup,	শেরুপ,	সেরুপ,	
masharraf,	মাশাররফ,	মশাররফ,	
sangkulaan,	সঙ্কুলান,	সংকুলান,	
cheerontan,	চিরন্তন,	চিরন্তন,	
gabeshona,	গবেষণা,	গবেষনা,	
attorkite,	আত্মরকিতে,	অতর্কিতে,	
umedpoor,	উইম্ডোপোর,	উমেদপুর,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
grambasee,	গ্রামবাসী,	গ্রামবাসী,	
liseens,	লাইসেন্স,	লাইসেন্স,	
moshzidti,	মশিজ্দিত,	মসজিদটি,	
udvaban,	উদ্ভাবন,	উদ্ভাবন,	
abhijojan,	অভিযোজন,	অভিযোজন,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
durgotsabe,	দুর্মৎভাবে,	দুর্গোৎসবে,	
dii,	দী,	দিই,	
dharavahiktite,	ধারাভাজিক্তিতে,	ধারাবাহিকটিতে,	
militarir,	মিলিটারির,	মিলিটারির,	
ajeemke,	আজিমকে,	আজিমকে,	
amanisha,	অমনাইস,	অমানিশা,	
eiling,	এইলিং,	ইলিং,	
siramiqasa,	সিরামিকসা,	সিরামিকস,	
machsoho,	মাচসহ,	মাছসহ,	
chirohorit,	চিরোহরিত,	চিরহরিৎ,	
pratool,	প্রতুল,	প্রতুল,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
pakhirai,	পাখিরাই,	পাখিরাই,	
mitrota,	মিত্রোতা,	মিত্রতা,	
grameroi,	গ্রামেরই,	গ্রামেরই,	
sardar,	সর্দার,	সরদার,	
aieesa,	আইএস,	আইএএস,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
pooroheetke,	পুরোহিতকে,	পুরোহিতকে,	
female,	ফেমালে,	ফিমেল,	
mulgato,	মুলগাত,	মূলগত,	
rejidence,	রেজিডেন্স,	রেসিডেন্স,	
naneer,	নানের,	নানীর,	
bouddho,	বদ্ধ,	বৌদ্ধ,	
dakteekit,	ডাক্তিকিট,	ডাকটিকিট,	
dinesh,	ডিনেস,	দীনেশ,	
konisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
janachhe,	জনাছ্যে,	জানাচ্ছে,	
laisens,	লাইসেন্স,	লাইসেন্স,	
zeans,	জেনস,	জিন্স,	
kyethalika,	ক্যাথলিক,	ক্যাথলিক,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
niropekkhotaar,	নিরপ্ষকেতরার,	নিরপেক্ষতার,	
jackshon,	জক্সন,	জ্যাকসন,	
silwer,	শিলভার,	সিলভার,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
mashajida,	মাশজিজা,	মসজিদ,	
hilser,	হিলসের,	হিলসের,	
banijyikvittite,	বানিজ্যিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
sachetan,	স্চেতন,	সচেতন,	
sachetanotamulok,	সক্তেনতামূলক,	সচেতনতামূলক,	
baireyo,	বৈরেও,	বাইরেও,	
footonto,	ফুটন্ট,	ফুটন্ত,	
phaqsa,	ফক্স,	ফক্স,	
longhaner,	লঙ্নের,	লংঘনের,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
kachakachi,	কচাকাছি,	কাছাকাছি,	
ting,	টিং,	টিং,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
phix,	ফিক্স,	ফিক্স,	
injiniyarsa,	ইন্জিনার্স,	ইঞ্জিনিয়ার্স,	
dipgulo,	দিপগুলো,	দ্বীপগুলো,	
swartha,	স্বর্থ,	স্বার্থ,	
daul,	ডাউল,	দেউল,	
dajhyo,	দৈঝ্য,	দাহ্য,	
sthapona,	স্থাপনা,	স্থাপনা,	
raagei,	রাগেই,	রাগেই,	
turqmen,	টুর্কমেন,	তুর্কমেন,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
birishirite,	বিরিসিরিতে,	বিরিশিরিতে,	
ishan,	ইসন,	ঈশান,	
pronoti,	প্রণটি,	প্রণতি,	
patiganiter,	পটিগানিতের,	পাটিগণিতের,	
homske,	হোম্কে,	হোমসকে,	
aziboner,	আজিবনের,	আজীবনের,	
dibidh,	দীবিধ,	দ্বিবিধ,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
meshenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
protishta,	প্রতিষ্ট,	প্রতিষ্টা,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
bosonte,	বসন্তে,	বসন্তে,	
stark,	স্টার্ক,	স্টার্ক,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
jalrong,	জলগর্,	জলরঙ,	
onnkita,	অঙ্কিত,	অঙ্কিতা,	
bhadaka,	ভাদাকা,	ভদকা,	
radhanogor,	রাধানগর,	রাধানগর,	
azadeer,	আজাদীর,	আজাদীর,	
kindom,	কিনদম,	কিংডম,	
jerushalema,	জেরুসলাইমা,	জেরুসালেম,	
janasamaj,	জনসামাজ,	জনসমাজ,	
soras,	সোরাস,	সরস,	
tonight,	টনিাইট,	টুনাইট,	
panchbar,	পাঁচবার,	পাঁচবার,	
arena,	আরেন,	এরিনা,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
karpeter,	কর্পেটের,	কার্পেটের,	
prothar,	প্রথার,	প্রথার,	
sattweo,	সত্ত্বেও,	সত্ত্বেও,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
karmake,	কর্মকে,	কর্মকে,	
