female,	ফেমলে,	ফিমেল,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
evereste,	এভেরস্টে,	এভারেস্টে,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
hajareebag,	হাজরীবাগ,	হাজারিবাগ,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
oporeeshodhito,	অপরিশোধিত,	অপরিশোধিত,	
bikaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
shorifpur,	শরীফুর,	শরিফপুর,	
bigepi,	বিগেপি,	বিজেপি,	
aakkash,	আকাশ,	আককাস,	
tooku,	টুকু,	টুকু,	
kokeyin,	কোকেইন,	কোকেইন,	
kooshumba,	কুষম্বা,	কুশুম্বা,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
gaadha,	গাধধ,	গাধা,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
jommoo,	জম্মো,	জম্মু,	
gaandas,	গান্ডস,	জ্ঞানদাস,	
transformerer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
khalidkay,	খালিদকে,	খালিদকে,	
minishtara,	মিনিস্টর,	মিনিস্টার,	
paripaker,	পরিপকের,	পরিপাকের,	
naabbota,	নাব্বতা,	নাব্যতা,	
parse,	পারসস,	পার্শ্বে,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
adhyatmikata,	অধ্যাম্তাতিকা,	আধ্যাত্মিকতা,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
selinar,	সেলিনার,	সেলিনার,	
titlee,	টিটলে,	টাইটেল,	
ajijur,	আজিজুর,	আজিজুর,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
jemi,	জেমি,	জেমি,	
veniser,	ভেনিসের,	ভেনিসের,	
moochi,	মুচি,	মুচি,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
sofier,	সফির,	সোফির,	
songasthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
jommu,	জমমু,	জম্মু,	
mulaadi,	মুলাদি,	মুলাদি,	
samabesh,	সমবেশ,	সমাবেশ,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
omanisa,	অমানিস,	অমানিশা,	
aamor,	আমর,	আমর,	
mache,	মাছে,	মাছে,	
sangosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
upobasher,	উপবাসের,	উপবাসের,	
satarkokari,	সতরককারী,	সতর্ককারী,	
vishnuke,	বিশ্ণুকে,	বিষ্ণুকে,	
depootee,	ডিপোটি,	ডেপুটি,	
palestinea,	পেলেস্টিন,	প্যালেস্টাইনে,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
kansat,	কনসট,	কানসাট,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
khalidke,	খালিককে,	খালিদকে,	
bites,	বিটেশ,	বাইটস,	
nirorthak,	নিরথ্ষক,	নিরর্থক,	
hajeerhatt,	হাজিরাহট,	হাজিরহাট,	
adhattik,	আধ্যাত্িক,	আধ্যাত্মিক,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
shatokeo,	শতকেও,	শতকেও,	
korkotkrantee,	কর্তকত্রন্তী,	কর্কটক্রান্তি,	
prokolpotike,	প্রকলপতিকে,	প্রকল্পটিকে,	
udvaboni,	উদ্ভবনী,	উদ্ভাবনী,	
dip,	ডিপ,	দীপ,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
esiyatika,	এসিয়েটিক,	এশিয়াটিক,	
manober,	মনোবের,	মানবের,	
ivam,	ইভাম,	ইভিএম,	
carzito,	কার্জিত,	চার্জিত,	
parswer,	পার্সবের,	পার্শ্বের,	
nadnadeer,	ননদনদীর,	নদনদীর,	
