armenan,	আর্মেনন,	আর্মেনিয়ান,	
alpokichudin,	অল্পপিকুদিন,	অল্পকিছুদিন,	
sahinsatar,	সহিন্তর,	সহিংসতার,	
gotihin,	গতিহীন,	গতিহীন,	
footballerra,	ফুটবললার,	ফুটবলাররা,	
kuntee,	কান্তি,	কুন্তী,	
parther,	পার্থের,	পার্থের,	
ishpredshhit,	স্প্রেশ্িদ,	স্প্রেডশীট,	
hurricane,	হুরিকেন,	হ্যারিকেন,	
ashocheton,	অসচেতন,	অসচেতন,	
nirvahey,	নির্বাহে,	নির্বাহে,	
myathious,	ম্যাথিস,	ম্যাথিউস,	
stonehenge,	স্ট্নেনেগ্যে,	স্টোনহেঞ্জ,	
vabnakey,	ভবনাকে,	ভাবনাকে,	
spredshiit,	স্প্রেস্টি,	স্প্রেডশীট,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
segulor,	সেগুলোর,	সেগুলোর,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
potocheetrer,	পতচিত্রের,	পটচিত্রের,	
laz,	লাজ,	লাজ,	
daver,	দেবের,	ডোভার,	
ebham,	এভাম,	ইভিএম,	
marmaraa,	মার্মার,	মারমারা,	
vange,	ভঙ্গে,	ভাঙ্গে,	
torup,	তরুপ,	ট্রুপ,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
alaoler,	আলালের,	আলাওলের,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
jomanor,	জমানোর,	জমানোর,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
keuoi,	কেও,	কেউই,	
jarusalema,	জারুসিলাম,	জেরুসালেম,	
bahyo,	বহ্য,	বাহ্য,	
fevarite,	ফেভারিতে,	ফেভারিট,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ganochin,	গণচীন,	গণচীন,	
kheylechen,	খেলেছেন,	খেলেছেন,	
chaalaabi,	চালাবি,	চালাবে,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
mokhmoley,	মখললে,	মখমলে,	
eebhiem,	ইভিম,	ইভিএম,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
venus,	ভেনাস,	ভেনাস,	
