nirmaankaj,	নির্মাঙ্জক,	নির্মাণকাজ,	
salphat,	সল্তা,	সালফেট,	
phareeksa,	ফারিক্স,	ফরেক্স,	
daaktikiter,	ডাকতিকিতের,	ডাকটিকিটের,	
dwipke,	ড্বীপকে,	দ্বীপকে,	
varpur,	ভারপুর,	ভরপুর,	
starker,	স্টার্কের,	স্টার্কের,	
turkider,	তার্কিদের,	তুর্কিদের,	
chittronatyokar,	চিত্তনাত্ত্যকার,	চিত্রনাট্যকার,	
jubokera,	যোবেকার,	যুবকেরা,	
kamiz,	কমিজ,	কামিজ,	
sikar,	সিকার,	শিকার,	
ghatol,	ঘটল,	ঘটল,	
grambashi,	গ্রমবাসী,	গ্রামবাসী,	
shuknaa,	শুক্ণা,	শুকনা,	
mozlishpoor,	মজল্পুপর,	মজলিশপুর,	
byataree,	ব্যাতারী,	ব্যাটারী,	
patochitra,	পততচিত্র,	পটচিত্র,	
songhitar,	সংঘিতার,	সংহিতার,	
trayte,	ট্রাটে,	ট্রেতে,	
noiteek,	নৈতিক,	নৈতিক,	
harbore,	হর্বরে,	হারবারে,	
manu,	মনু,	মনু,	
tenise,	টেনিসে,	টেনিসে,	
coode,	কোডে,	কোড,	
phaksa,	ফাক্স,	ফক্স,	
sbatantrota,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
patjata,	পাতাতা,	পাটজাত,	
kormoyi,	করমোই,	কর্মই,	
langhon,	লঙ্ঘন,	লংঘন,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
basatey,	বাসতে,	বাসাতে,	
teunar,	টিউনার,	টিউনার,	
ovinetar,	অভিনেতার,	অভিনেতার,	
daada,	ডাদা,	দাদা,	
heenna,	হিন্ন,	হেনা,	
uponishoder,	উপনিষদের,	উপনিষদের,	
economeeks,	একনমেস্স,	ইকোনমিকস,	
jeesa,	জেস,	জেস,	
upobashii,	উপবাপী,	উপবাসী,	
ovishangson,	অভিভাসসন,	অভিশংসন,	
chintaikaree,	চিন্তাকারী,	ছিনতাইকারী,	
addabaaz,	আদ্যাবাজ,	আড্ডাবাজ,	
skoora,	স্কোর,	স্কোর,	
emerjency,	এমের্জেন্সি,	এমার্জেন্সি,	
bojhao,	বোঝাগো,	বোঝাও,	
parqasa,	পার্কাস,	পার্কস,	
tokee,	তকী,	তকি,	
mukhmondole,	মুখন্দলে,	মুখমণ্ডলে,	
gonohottake,	গণনতত্তকে,	গণহত্যাকে,	
anchalsamuha,	অন্চাসমহূহ,	অঞ্চলসমূহ,	
kuntee,	কান্টি,	কুন্তী,	
attobishwasi,	আত্তবিব্বাসী,	আত্মবিশ্বাসী,	
reeliancee,	রেলিন্স,	রিলায়েন্স,	
arik,	আরিক,	আরিক,	
mukhomondol,	মুখমন্দল,	মুখমণ্ডল,	
basaa,	বাসা,	বাসা,	
kuarter,	কার্টের,	কোয়ার্টার,	
silbar,	সিলবার,	সিলভার,	
somoshtigoto,	সমস্তিতগত,	সমষ্টিগত,	
garjon,	গার্জন,	গর্জন,	
muldhara,	মুল্ধার,	মূলধারা,	
tukroke,	তুক্রকে,	টুকরোকে,	
themeke,	থেমেকে,	থিমকে,	
chirokoomari,	চিরকমারী,	চিরকুমারী,	
title,	তিতলে,	টাইটেল,	
shikara,	শিকার,	শিকার,	
roopdan,	রূপদান,	রুপদান,	
ahalyar,	আহল্যার,	অহল্যার,	
santani,	সন্তানী,	সনাতনী,	
ispreedsheet,	সস্প্রেদিত,	স্প্রেডশীট,	
manaber,	মানবের,	মানবের,	
chalochchitroi,	চলচচিত্রি,	চলচ্চিত্রই,	
shotokeo,	শতকে,	শতকেও,	
elaakati,	এলাকটি,	এলাকাটি,	
definitian,	ডেফেনিিয়ান,	ডেফিনেশন,	
aazaan,	আজান,	আজান,	
hillser,	হিলসের,	হিলসের,	
prakalpaguli,	প্রকাপালগুলি,	প্রকল্পগুলি,	
enamel,	এনামেল,	এনামেল,	
teenej,	টেনেজ,	টিনেজ,	
sheramiksh,	শেরমমিক্স,	সিরামিকস,	
ekok,	একক,	একক,	
chargito,	চারগিত,	চার্জিত,	
baharampoorer,	বহরামপুরের,	বহরমপুরের,	
karmajog,	কর্মজোগ,	কর্মযোগ,	
omanisa,	অমনিিস,	অমানিশা,	
nothibhukto,	নথিভুত্ত,	নথিভুক্ত,	
jamkalo,	জামকাল,	জমকালো,	
sawom,	সাম,	সাওম,	
karmojog,	কর্মজোগ,	কর্মযোগ,	
kartona,	কর্তনা,	করতনা,	
qaroo,	কারু,	কারো,	
mangalik,	মাঙ্গালিক,	মাঙ্গলিক,	
categoryr,	কেটেগররি,	ক্যাটাগরির,	
mishal,	মিশাল,	মিশাল,	
neerbaho,	নির্বহহ,	নির্বাহ,	
croak,	ক্রোক,	ক্রোক,	
highcomissione,	হাইক্মশনে,	হাইকমিশনে,	
noter,	নটের,	নোটের,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
prapoker,	প্রপাের,	প্রাপকের,	
janes,	জনেস,	জোন্স,	
choshon,	চোষণ,	চোষণ,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
parse,	পার্সে,	পার্শ্বে,	
niutrinoo,	নিউত্রী,	নিউট্রিনো,	
siramikasa,	সিরমিকাস,	সিরামিকস,	
progreess,	প্রগের্স,	প্রগ্রেস,	
antarvukto,	অন্তারভুক্ত,	অন্তর্ভুক্ত,	
carpet,	কারপেট,	কার্পেট,	
balabhadra,	বালভাদ্র,	বলভদ্র,	
sukkha,	সুক্ষা,	সুক্ষ্ম,	
shattoki,	সাত্যকি,	সাত্যকি,	
tecnokret,	টেকনের্ট,	টেকনোক্র্যাট,	
amanisa,	অমনিিস,	অমানিশা,	
bishnooke,	বিশ্ণুকে,	বিষ্ণুকে,	
yatharthabhabe,	যথথর্থভাবে,	যথার্থভাবে,	
shektara,	সেক্টার,	সেক্টর,	
foks,	ফক্স,	ফক্স,	
nopdnodir,	নপ্দদিনীর,	নদনদীর,	
abatar,	অবতার,	অবতার,	
kalengga,	কােেগ্ঞা,	কালেঙ্গা,	
nederlander,	নেদার্ডান্ডের,	নেদারল্যান্ডের,	
gunje,	জাঞ্জে,	গুঁজে,	
rena,	রেন,	রেনো,	
bhaangchoor,	ভাঙ্গুর,	ভাংচুর,	
heemi,	হিমি,	হিমি,	
sparsher,	সপপর্ষের,	স্পর্শের,	
sahabikey,	সহবাবীকে,	সাহাবীকে,	
jackshon,	জাক্ষণ,	জ্যাকসন,	
chirata,	চিরতা,	চিরতা,	
mohammadi,	মহাম্দাদী,	মুহাম্মদী,	
onnkita,	অন্কিত,	অঙ্কিতা,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
bolbo,	বলবব,	বলবো,	
moshzidtir,	মস্জিিত্রির,	মসজিদটির,	
vabnar,	ভান্ার,	ভাবনার,	
eshokol,	এশকল,	এসকল,	
chereche,	চেরেছে,	ছেড়েছে,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
alangkoron,	অলঙ্করণ,	অলঙ্করণ,	
danut,	ডানুত,	ডোনাট,	
judhahato,	যুদাহহত,	যুদ্ধাহত,	
banijyikbhittik,	বনিনিযিিত্ত্যিক,	বাণিজ্যিকভিত্তিতে,	
nikater,	নিকাতের,	নিকটের,	
aarcie,	আর্সি,	আরসিএ,	
shcholastik,	সক্সাল্তিক,	স্কলাস্টিক,	
proshadhoni,	প্রসাধানী,	প্রসাধনী,	
oorgho,	অরঘ্ঘ,	অর্ঘ্য,	
mandander,	মন্দাদের,	মানদণ্ডের,	
muscut,	মসসুত,	মাস্কাট,	
saphalyar,	সাফাল্যার,	সাফল্যের,	
koomari,	কোমারী,	কুমারী,	
charban,	চর্বণ,	চর্বন,	
chamski,	চাম্কি,	চমস্কি,	
modeeling,	মোডিলিং,	মডেলিং,	
panchasjon,	পঞ্চা্বন,	পঞ্চাশজন,	
uchhoshito,	উচ্ষিতি,	উচ্ছসিত,	
antarctika,	অন্তার্টিক্ক,	অ্যান্টার্কটিকা,	
sumeeta,	সুমিত,	সুমিতা,	
onekeryi,	অনেকারি,	অনেকেরই,	
morathee,	মরাথী,	মরাঠি,	
aaminar,	আমিনার,	আমিনার,	
horeener,	হরিনের,	হরিণের,	
vaibon,	ভাইবন,	ভাইবোন,	
oindrila,	অন্দ্রিয়াল,	ঐন্দ্রিলা,	
ajijer,	অজিজের,	আজিজের,	
keyu,	কেয়া,	কেউ,	
dharavahikti,	ধারাভাহামিক্তি,	ধারাবাহিকটি,	
sukkho,	সুক্ষ,	সুক্ষ্ম,	
shoccer,	সক্সের,	সকার,	
prakalpoguli,	প্রকাপাগ্লোী,	প্রকল্পগুলি,	
treevuj,	ত্রীভুগ,	ত্রিভূজ,	
sikhechi,	সিখেছি,	শিখেছি,	
piroojalee,	পিরোজালী,	পিরুজালী,	
shuperhero,	সুপেরের,	সুপারহিরো,	
plack,	প্লাক,	প্ল্যাক,	
dakshinangsha,	দক্ষিংশংং,	দক্ষিণাংশ,	
nishad,	নিশাদ,	নিষাদ,	
sikkhakrom,	শিক্ষাম্র,	শিক্ষাক্রম,	
samajik,	সামাজিক,	সামাজিক,	
mukharji,	মুখর্যী,	মুখার্জী,	
cholocchitroi,	চলচচিত্রি,	চলচ্চিত্রই,	
otitkaley,	অতিতকালে,	অতীতকালে,	
elakaao,	এলাকা,	এলাকাও,	
manzurul,	মন্জুরুল,	মনজুরুল,	
itostato,	ইতস্তত,	ইতস্ততঃ,	
turisht,	তুরিষ্ট,	টুরিস্ট,	
definishion,	ডেফেনিশন,	ডেফিনেশন,	
reflex,	রিফলেক,	রিফ্লেক্স,	
devolopar,	ডেভলপার,	ডেভলপার,	
ahang,	আহাং,	অহং,	
istoon,	ইস্টুন,	স্টোন,	
bondi,	বন্দি,	বন্দী,	
mittrota,	মিত্রতা,	মিত্রতা,	
hoomes,	হোমেস,	হোমস,	
chetanagoto,	চেতানগত,	চেতনাগত,	
tonoo,	তননু,	তনু,	
utshahe,	উত্বাহে,	উৎসাহে,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
pujita,	পুজিতা,	পূজিতা,	
dhas,	ধাস,	ধস,	
naajee,	নাজী,	নাত্সি,	
namo,	নামো,	নমো,	
folo,	ফল,	পোলো,	
bagicha,	বাগিছা,	বাগিচা,	
aasirbaad,	আশির্বাদ,	আশির্বাদ,	
aakkaas,	আক্াস,	আককাস,	
onkita,	অঙ্কিত,	অঙ্কিতা,	
diares,	ডারির,	ডিআরএস,	
darjeeling,	ডার্জেলিং,	দার্জিলিং,	
parpel,	পারপেল,	পার্পেল,	
sabhanetri,	সভানেত্রী,	সভানেত্রী,	
cheshsh,	চেশ্ব,	চেস,	
adbhansed,	অভ্যান্দেস,	অ্যাডভান্সড,	
bijit,	বিজিত,	বিজিত,	
augustine,	অগুস্তিনে,	অগাস্টিন,	
shaaroker,	সারকের,	স্মারকের,	
nilkuthir,	নিউক্ঠির,	নীলকুঠির,	
taims,	টাইমস,	টাইমস্,	
gayichhey,	গাইছে,	গাইছে,	
shaswata,	শাস্বতা,	শাশ্বত,	
nuhas,	নুহস,	নুহাশ,	
oppohoron,	অপহরণণ,	অপহরন,	
jees,	জিস,	জেস,	
pothnirdeshona,	পনিত্রিদেশন,	পথনির্দেশনা,	
inamila,	ইনমিল,	এনামেল,	
makang,	মাকাং,	মেকং,	
arjora,	অর্জরা,	আর্যরা,	
orgho,	অর্ঘ,	অর্ঘ্য,	
graambashi,	গ্রামবাসী,	গ্রামবাসী,	
hooldim,	হল্ডিম,	হোল্ডিং,	
model,	মোদেল,	মডেল,	
sovanetree,	সভানেত্রী,	সভানেত্রী,	
steit,	স্টেট,	স্টেইট,	
sangkalaney,	সংকালনে,	সংকলনে,	
prakalpagulo,	প্রকাপালগুলো,	প্রকল্পগুলো,	
kemoney,	কেমনে,	কেমনে,	
ghatity,	ঘটিতি,	ঘাঁটিটি,	
teemplatee,	টিম্পলিট,	টেম্পলেট,	
soinyosaho,	সন্যসসহহ,	সৈন্যসহ,	
modelder,	মডেদেের,	মডেলদের,	
suraaropeeto,	সূরারপররিত,	সুরারোপিত,	
nagorikkey,	নাগরগ্রীকে,	নাগরিককে,	
satorkovabe,	সতর্তকভাবে,	সতর্কভাবে,	
tafsherer,	তাফসেরের,	তাফসীরের,	
laiceensee,	লেকেন্সি,	লাইসেন্স,	
saurse,	সার্সে,	সোর্স,	
aairish,	আইরিশ,	আইরিস,	
oitijjher,	অতিয্যের,	ঐতিহ্যের,	
aachees,	আচিস,	আছিস,	
protistha,	প্রতিস্ঠা,	প্রতিষ্টা,	
hughke,	হুগকে,	হিউজকে,	
methaner,	মেঠানের,	মিথেনের,	
siddhantey,	সিধ্নান্তে,	সিদ্ধান্তে,	
scare,	স্কারে,	স্কোর,	
residance,	রেসিডেন্সে,	রেসিডেন্স,	
trup,	ট্রাপ,	ট্রুপ,	
gafeeloti,	গাফিলটি,	গাফিলতি,	
blogarra,	ব্গোগররা,	ব্লগাররা,	
overveu,	অভারভুর,	ওভারভিউ,	
emarjensi,	এমার্জেন্সি,	এমার্জেন্সি,	
monjushri,	মন্জুষ্রী,	মঞ্জুশ্রী,	
bosantake,	বনস্তাকে,	বসন্তকে,	
sojja,	সজ্জা,	সজ্জা,	
rushd,	রাশদ,	রুশদ,	
gara,	গারা,	গোর,	
shotoker,	শতকের,	শতকের,	
mit,	মিত,	মিট,	
aarmstrong,	আর্মস্ত্রগ,	আর্মস্ট্রং,	
durgotsave,	দুর্তসাবে,	দুর্গোৎসবে,	
bhogno,	ভগ্ন,	ভগ্ন,	
nepchuner,	নেপাউনের,	নেপচুনের,	
ohalyar,	অহল্যার,	অহল্যার,	
shit,	সিত,	শীত,	
prrajanankaal,	প্রজাননাক্লাল,	প্রজননকাল,	
dhhaabi,	ঢাববী,	ঢাবি,	
shrishree,	শৃষ্রী,	শ্রীশ্রী,	
aarke,	আর্কে,	আরকে,	
brindaboney,	ব্রিন্বাবনে,	বৃন্দাবনে,	
kalniir,	কালনীর,	কালনীর,	
mithener,	মিথেনের,	মিথেনের,	
rupantarer,	রূপন্তারের,	রুপান্তরের,	
oitijhye,	অতিঘ্যে,	ঐতিহ্যে,	
nartana,	নার্তন,	নর্টন,	
scholastic,	সক্সালস্টিক,	স্কলাস্টিক,	
poste,	পস্টে,	পোস্টে,	
torabgonj,	তরবাগগ্জ,	তোরাবগঞ্জ,	
patthkrom,	পাঠক্রম,	পাঠক্রম,	
jansa,	জন্স,	জন্স,	
folokti,	ফলককিতি,	ফলকটি,	
eporjanta,	এপরজন্্ত,	এপর্যন্ত,	
jwalbe,	জ্ববলে,	জ্বলবে,	
hitokar,	হিতকার,	হিতকর,	
kyamone,	ক্যামে,	কেমনে,	
modhyekar,	মধ্যকের,	মধ্যেকার,	
jerusalem,	জারুসমেলে,	জেরুসালেম,	
tanoo,	তননু,	তনু,	
marmaraa,	মারমারা,	মারমারা,	
pacbbar,	পাকববার,	পাঁচবার,	
ghoor,	ঘুর,	ঘুর,	
catholicder,	কাথলিকের,	ক্যাথলিকদের,	
bohudin,	বহুদিন,	বহুদিন,	
koilas,	কোলাস,	কৈলাস,	
bachhaikrito,	বাচাচ্রিত,	বাছাইকৃত,	
saaralya,	সারো্যা,	সারল্য,	
jeevjontu,	জীবন্তু,	জীবজন্তু,	
motke,	মতকে,	মতকে,	
abdun,	অব্দুন,	আবদুন,	
ebham,	এভাম,	ইভিএম,	
jolaatonko,	জলাতন্তক,	জলাতঙ্ক,	
metrapalitan,	মেত্রপালেটন,	মেট্রোপলিটন,	
pracharana,	প্রচারণ,	প্রচারণা,	
samabeshti,	সমবেষ্টি,	সমাবেশটি,	
chupi,	চূপি,	চুপি,	
karmake,	কর্মকে,	কর্মকে,	
kando,	কণ্ড,	কাণ্ড,	
temonbhabe,	তেমন্ভবে,	তেমনভাবে,	
tennish,	টেননিস,	টেনিস,	
vodqa,	ভোদকা,	ভদকা,	
rudrake,	রুদ্রকে,	রুদ্রকে,	
torunderke,	তর্ণাদ্রেকে,	তরুণদেরকে,	
engrezra,	এন্গের্জার,	ইংরেজরা,	
mahasava,	মহাসহা,	মহাসভা,	
khele,	খেলে,	খেলে,	
bishwashi,	বিশ্ববাসী,	বিশ্বাসী,	
phimeela,	ফিমেল,	ফিমেল,	
bheenasa,	ভিনাস,	ভেনাস,	
thakte,	থককেে,	থাকতে,	
babyloney,	বব্লেনে,	ব্যাবিলনে,	
ship,	শিপ,	শিপ,	
nirvachoker,	নির্ভাবকের,	নির্বাচকের,	
sosej,	সসেজ,	সসেজ,	
muktilav,	মুক্তিলভা,	মুক্তিলাভ,	
garnar,	গার্ণার,	গার্নার,	
dormitoree,	দর্মীতি,	ডরমিটরি,	
gonesh,	গনেে,	গণেশ,	
maaktume,	মাকতুমে,	মাকতুম,	
jor,	জোর,	জ্বর,	
qaro,	কারো,	কারো,	
carlas,	কার্লাস,	কার্লোস,	
ajimke,	অজিমকে,	আজিমকে,	
omarjeeto,	অমর্জিত,	অমার্জিত,	
awatara,	অভতার,	অবতার,	
paakshenara,	পাক্ষেনার,	পাকসেনারা,	
farider,	ফারিদের,	ফরিদের,	
chhilonaa,	ছিলোনা,	ছিলনা,	
fala,	ফালা,	পোলো,	
sotorkobhabey,	সততরকভাবে,	সতর্কভাবে,	
prodiper,	প্রদিপের,	প্রদীপের,	
kona,	কোনা,	কণা,	
veniser,	ভেনিসের,	ভেনিসের,	
kraim,	ক্রাইম,	ক্রাইম,	
maadhoobir,	মাধবুরী,	মাধবীর,	
emarjenshi,	এমার্জেন্সি,	এমার্জেন্সি,	
tiuning,	টিউনিং,	টিউনিং,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
besirvagei,	বেশির্গাগে,	বেশিরভাগেই,	
taali,	তালি,	তালি,	
ovidhaner,	অভিধানের,	অভিধানের,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
giitikobita,	গিতিবকিত,	গীতিকবিতা,	
oitijjo,	অতিয্য,	ঐতিহ্য,	
gandagol,	গণ্দাগল,	গন্ডগোল,	
kkunti,	কানুটি,	কুন্তী,	
ieub,	ইউব,	আইইউবি,	
bandhuderke,	বা্ধুদন্কের,	বন্ধুদেরকে,	
elgoridom,	এলোগররিড,	এলগরিদম,	
kaalniir,	কালনীর,	কালনীর,	
nartakike,	নার্তাকিকে,	নর্তকীকে,	
dey,	ডে,	ডে,	
barbadoj,	বর্ববাজ,	বার্বাডোজ,	
chatrorai,	চাত্রারই,	ছাত্ররাই,	
atak,	আতাক,	আটক,	
armstronz,	আর্মস্ত্রজজ,	আর্মস্ট্রং,	
ropto,	রপ্ত,	রপ্ত,	
phutanta,	ফুটন্ত,	ফুটন্ত,	
lokhindare,	লখিন্দারে,	লখিন্দরের,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
jeellul,	জিল্লুল,	জিল্লুল,	
kuery,	কুরি,	কোয়েরি,	
ustaad,	উস্তাদ,	উস্তাদ,	
kodguli,	কদ্গুলি,	কোডগুলি,	
deeliveer,	ডেলিবির,	ডেলিভার,	
oboshorer,	অবশরের,	অবসরের,	
asamanyo,	অসমমন্য,	অসামান্য,	
sarolyo,	সররো্য,	সারল্য,	
manushgulor,	মনসুগুলোর,	মানুষগুলোর,	
taunship,	তাউন্সিপ,	টাউনশিপ,	
graambaaseeo,	গ্রামবাসী,	গ্রামবাসীও,	
lobbyte,	লববিতে,	লবিতে,	
siddhantake,	সিধ্নন্তকে,	সিদ্ধান্তকে,	
kemaney,	কেমানে,	কেমনে,	
hijrii,	হিজ্রী,	হিজরী,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
meghachonno,	মেঘান্চন,	মেঘাচ্ছন্ন,	
soommitrar,	সমম্ত্রার,	সুমিত্রার,	
nicqel,	নিক্কেল,	নিকেল,	
ancholtike,	অন্চলতিকে,	অঞ্চলটিকে,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
petrol,	পেত্রল,	পেট্রোল,	
addhattik,	অধ্যাত্তিক,	আধ্যাত্মিক,	
shikarke,	শিকারকে,	শিকারকে,	
skara,	স্কার,	স্কোর,	
siiteyi,	সিতেই,	শীতেই,	
paschimey,	পাশ্চিমে,	পশ্চিমে,	
golpokar,	গোলপকার,	গল্পকার,	
sudden,	সুদেন,	সাডেন,	
jibnagore,	জিবন্গরে,	জীবননগর,	
taateo,	তাতেও,	তাতেও,	
kachakachi,	কাচাছাকী,	কাছাকাছি,	
soceitytey,	সসেতিতে,	সোসাইটিতে,	
sipht,	সিফ্ট,	শিফট,	
ashachetan,	অসাচেতন,	অসচেতন,	
serverti,	সার্ভারটি,	সার্ভারটি,	
baipash,	বাইপাস,	বাইপাস,	
taunasipa,	তানাসিপ,	টাউনশিপ,	
kormoke,	করমকে,	কর্মকে,	
antarbhutto,	অন্তারভূত্ত,	অন্তর্ভুক্ত,	
nathibhukto,	নথিভামুক্ত,	নথিভুক্ত,	
salafeta,	সলাফেত,	সালফেট,	
