bomkesh,	বোমকেশ,	ব্যোমকেশ,	
jothon,	যথন,	যথন,	
prottokkhovabe,	প্রত্যাক্ভাবে,	প্রত্যক্ষভাবে,	
asbab,	অসবাব,	আসবাব,	
phixing,	ফিকিং,	ফিক্সিং,	
talal,	টেলাল,	তালাল,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
deenesh,	ডেনেস,	দীনেশ,	
senabahineeow,	সেনাবাহিনী,	সেনাবাহিনীও,	
songosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
toder,	তদের,	তদের,	
aabarto,	আবর্ত,	আবর্ত,	
sachetanbhabe,	সচেতনভাবে,	সচেতনভাবে,	
barbadoz,	বর্বাডোজ,	বার্বাডোজ,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
rajpur,	রাজপুর,	রাজপুর,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
adwanced,	অ্যাডভান্ডেড,	অ্যাডভান্সড,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
thaanobhi,	ঠানভী,	থানভী,	
kaaleo,	কালেও,	কালেও,	
shorsha,	সর্ষ,	সোর্স,	
dipan,	ডিপন,	দীপন,	
touraat,	তৌরাট,	তওরাত,	
rupdan,	রূপন,	রুপদান,	
yuqeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
larshon,	লর্সন,	লারসন,	
injil,	এঞ্জিল,	ইঞ্জিল,	
amudey,	আমুদে,	আমুদে,	
machti,	ম্যাচটি,	মাছটি,	
lokeson,	লোকেশন,	লোকেশন,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
loukikata,	লুকিকাট,	লৌকিকতা,	
shombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
parking,	পার্কিং,	পার্কিং,	
chhaani,	ছানি,	ছানি,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
torkareer,	তরকারীর,	তরকারীর,	
mosjidtir,	মস্দীদটির,	মসজিদটির,	
shikkhakke,	শিক্ষককে,	শিক্ষককে,	
bhangle,	ভাঙলে,	ভাঙলে,	
ketechila,	কেটেছিল,	কেটেছিল,	
planey,	প্লেনে,	প্লেনে,	
nikote,	নিকোতে,	নিকটে,	
digreeo,	ডিগ্রীও,	ডিগ্রিও,	
turkii,	তুর্কী,	তুর্কি,	
omanisha,	অমানাস,	অমানিশা,	
samavesh,	সমাভেষ,	সমাবেশ,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
alsaara,	আলসারা,	আলসার,	
udbodhaney,	উদ্বধানে,	উদ্বোধনে,	
songasthagulo,	সং্দ্শগুলো,	সংস্থাগুলো,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
shakar,	সাকার,	সকার,	
dijeejer,	দিজিজের,	ডিজিজের,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
jerusalema,	জিরোসামেলা,	জেরুসালেম,	
zackson,	যককশন,	জ্যাকসন,	
abhidhaaneeck,	অভিনাধিক,	অভিধানিক,	
shommoteer,	সম্মটির,	সম্মতির,	
cholchhee,	চলছি,	চলছে,	
franko,	ফ্রাঙকক,	ফ্রাঙ্কো,	
koreemer,	করিমের,	করিমের,	
daankan,	দাঁকান,	ডানকান,	
aachhis,	আচিস,	আছিস,	
prochondota,	প্রচন্ডতা,	প্রচণ্ডতা,	
aashok,	আশোক,	আশোক,	
khorshed,	খোরশেদ,	খোরশেদ,	
sahinsatar,	সহিষ্ণতার,	সহিংসতার,	
trup,	ট্রুপ,	ট্রুপ,	
odure,	অদূরে,	অদুরে,	
ragei,	রাগেই,	রাগেই,	
oodoore,	ওদুরে,	অদুরে,	
cruce,	ক্রাস,	ক্রুশ,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
antarctica,	অন্টর্কটিক,	অ্যান্টার্কটিকা,	
udvabone,	উদ্ভবনে,	উদ্ভাবনে,	
leder,	লেডের,	লিডার,	
bhenkates,	ভেনকেট,	ভেঙ্কটেশ,	
skolastik,	স্কলাস্টিক,	স্কলাস্টিক,	
chef,	চেফ,	শেফ,	
hatodoridra,	হতসোদিররা,	হতদরিদ্র,	
bongram,	বাংগামাম,	বনগ্রাম,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
jamaanor,	জামানোর,	জমানোর,	
aaireesh,	আইরিশ,	আইরিস,	
cholche,	চলছে,	চলছে,	
prokalpagulo,	প্রকালগুলো,	প্রকল্পগুলো,	
boudha,	বৌঁধা,	বৌদ্ধ,	
ajouno,	অজন,	অযৌন,	
sotorkobhabey,	সতকর্ভাবে,	সতর্কভাবে,	
nirorthak,	নির্রাথক,	নিরর্থক,	
karmopantha,	কর্মপন্থা,	কর্মপন্থা,	
stationer,	স্টেশনের,	ষ্টেশনের,	
kod,	কোড,	কোড,	
deil,	দেল,	ডেইল,	
addabaaz,	আদ্াাবাজ,	আড্ডাবাজ,	
shulfate,	সুলফাত,	সালফেট,	
kaamla,	কামলা,	কামলা,	
gananatyo,	গণনাট্য,	গণনাট্য,	
laaishensh,	লাইনেস,	লাইসেন্স,	
grambaasio,	গ্রাম্বাসিও,	গ্রামবাসীও,	
agamaner,	আগামানের,	আগমনের,	
deepei,	দীপেই,	দ্বীপেই,	
raktaksharaner,	রক্তকশরণের,	রক্তক্ষরণের,	
taitela,	টাইটাল,	টাইটেল,	
ajeem,	আজিম,	আজিম,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
romantiq,	রোমান্টিক,	রোমান্টিক,	
sherup,	শেরুপ,	সেরূপ,	
favorite,	ফভরিতে,	ফেভারিট,	
chaakti,	চাকটি,	চাকতি,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
mozdoor,	মজদুর,	মজদুর,	
foxer,	ফোক্সার,	ফক্সের,	
cheettronnattokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
debdebie,	দেবদেবী,	দেবদেবী,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
ghenshe,	ঘেঁসে,	ঘেঁষে,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
firoza,	ফিরজা,	ফিরোজা,	
lumbini,	লম্বিনী,	লুম্বিনী,	
mukhabandho,	মুখান্্ধ,	মুখবন্ধ,	
shenior,	সেনিয়র,	সিনিয়র,	
enginiirs,	এন্জিনিস,	ইঞ্জিনিয়ার্স,	
letter,	ল্যাটের,	লেটার,	
sathikota,	সথীকতা,	সঠিকতা,	
nathibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
gratha,	গ্রাথ,	গ্রোথ,	
prime,	প্রাইম,	প্রাইম,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
bohal,	বহল,	বহাল,	
laisens,	লেজন্স,	লাইসেন্স,	
tat,	তাট,	তাত,	
uporostho,	উপরস্থ,	উপরস্থ,	
bashitey,	বাসিতে,	বাঁশিতে,	
ghatkey,	ঘটকে,	ঘাটকে,	
chuti,	চুটি,	ছুটি,	
natneekey,	নাটিনিকে,	নাতনীকে,	
paner,	পানের,	পানের,	
parishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
foreex,	ফরেক্স,	ফরেক্স,	
phiksim,	ফিক্সিং,	ফিক্সিং,	
zuktorastroshoho,	যুক্তরোস্রসহ,	যুক্তরাষ্ট্রসহ,	
brek,	ব্র্যাক,	ব্রেক,	
farid,	ফরীদ,	ফরিদ,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
laala,	লালা,	লালা,	
conservation,	কনস্রবরেশন,	কনসারভেশন,	
khudey,	খুদে,	ক্ষুদে,	
tep,	টেপ,	ট্যাপ,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
saaed,	সাইড,	সাইদ,	
phoxkon,	ফক্সন,	ফক্সকন,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
jyaishtha,	জৈনস্থ,	জ্যৈষ্ঠ,	
nathivukta,	নথিভূক্ত,	নথিভুক্ত,	
dharer,	ধারের,	ধরের,	
ovidhaner,	অভিধানের,	অভিধানের,	
perri,	প্যারি,	পেরি,	
mukherji,	মুখার্জি,	মুখার্জী,	
abasarer,	অবসারের,	অবসরের,	
rijur,	রিজুর,	রিজুর,	
potchitro,	পথিচির,	পটচিত্র,	
valobasar,	ভালবাসার,	ভালোবাসার,	
sqarta,	স্কার্ট,	স্কার্ট,	
ramzaner,	রমজানের,	রমযানের,	
laaisensh,	লাইনেস,	লাইসেন্স,	
sunagarik,	সুনাগরিক,	সুনাগরিক,	
yaaq,	যয়ক,	ইয়াক,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
hajartee,	হাজারটি,	হাজারটি,	
advut,	অ্যাডভাত,	অদ্ভুত,	
machhe,	মাছে,	মাছে,	
odhuna,	অধুনা,	অধুনা,	
grambaasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
hock,	হক,	হুক,	
porishrom,	পরিস্রম,	পরিশ্রম,	
jees,	জীস,	জেস,	
bihar,	বিহার,	বিহার,	
manob,	মনোব,	মানব,	
qlauda,	ক্লুড,	ক্লাউড,	
nojoder,	নজদের,	নজদের,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
sahocorrze,	সহরকর্যে,	সাহচর্যে,	
charjer,	চার্যের,	চার্জার,	
manshe,	মানসে,	মানুষে,	
parkasa,	পার্কস,	পার্কস,	
kyatagorir,	ক্যাতাগুরির,	ক্যাটাগরির,	
lettar,	লেটার,	লেটার,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
jotsna,	জত্সান,	জ্যোৎস্না,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
shhkolashtic,	স্কোলস্টিক,	স্কলাস্টিক,	
nikater,	নিকটের,	নিকটের,	
ovishangson,	অভিশাসন,	অভিশংসন,	
bolechiley,	বলেছিলে,	বলেছিলে,	
bbosben,	বসবেন,	বসবেন,	
uthhaane,	উঠানে,	উঠানে,	
chaber,	ছাবের,	চাবির,	
dembakriti,	ডেম্বাকৃতি,	ডিম্বাকৃতি,	
xpose,	এক্সপোর,	এক্সপোজ,	
jubokti,	যুবকতি,	যুবকটি,	
teentir,	তিনটির,	তিনটির,	
maudelgulo,	মণেডুলো,	মডেলগুলো,	
vittitei,	ভিটিতেই,	ভিত্তিতেই,	
nabyata,	নব্যতা,	নাব্যতা,	
tennish,	টেনিস,	টেনিস,	
madhookori,	মধধকরী,	মাধুকরী,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
torabgunj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
vabotarini,	ভববতারীণী,	ভবতারিণী,	
thailyanda,	টাইল্যান্ড,	থাইল্যান্ড,	
sbaajaner,	স্বজনের,	স্বজনের,	
shringo,	শৃঙ্গ,	শৃঙ্গ,	
parishram,	পরিস্রাম,	পরিশ্রম,	
prokolpogulor,	প্রক্লগুলোর,	প্রকল্পগুলোর,	
moochi,	মুচি,	মুচি,	
asocietes,	অ্যাসোসিট,	এসোসিয়েটস,	
selim,	সিলিম,	সেলিম,	
meghnadbadh,	মেহনাদ্ধা,	মেঘনাদবধ,	
oncoltike,	অঞ্চলিতকে,	অঞ্চলটিকে,	
gobeshona,	গবেষণা,	গবেষনা,	
ruplal,	রাপ্লাল,	রূপলাল,	
futbolarer,	ফুটবলবের,	ফুটবলারের,	
jonomukhi,	জনমুখী,	জনমুখী,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
baipash,	বাইপাস,	বাইপাস,	
depootee,	দেপুতি,	ডেপুটি,	
goreeb,	গরীব,	গরিব,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
harriser,	হ্যারিসের,	হ্যারিসের,	
moshzidti,	ম্যোসজিিটি,	মসজিদটি,	
rakibul,	রাকিবুল,	রকিবুল,	
byan,	ব্যান,	ব্যাং,	
ghatol,	ঘটাল,	ঘটল,	
degreeo,	ডিগ্রিও,	ডিগ্রিও,	
prottokhobhabe,	প্রত্যাখ্যাবা,	প্রত্যক্ষভাবে,	
shangkalonti,	সংকলানটি,	সংকলনটি,	
baysharkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
istone,	ইস্টন,	স্টোন,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
shoshoa,	শোষা,	শশা,	
udvaban,	উদ্ভবন,	উদ্ভাবন,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
rajpurohit,	রাজপুরূহিত,	রাজপুরোহিত,	
jonite,	যোনিতে,	যোনীতে,	
eshokol,	এসকল,	এসকল,	
nodnadir,	নদনাদির,	নদনদীর,	
bedke,	বিডকে,	বেদকে,	
nodiitei,	নদীতেই,	নদীতেই,	
