leta,	লত,	ল্যাটা,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
gasthigulo,	গ্ষ্যীগিলু,	গোষ্ঠীগুলো,	
goreeb,	গরিব,	গরিব,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
volte,	ওলতে,	ভল্ট,	
satan,	সতন,	শয়তান,	
chirata,	চিরতা,	চিরতা,	
shansthatir,	সংস্থটির,	সংস্থাটির,	
bhumir,	ভূমির,	ভূমির,	
idyi,	এদি,	আইডিই,	
pashchatey,	পাশচাতে,	পশ্চাতে,	
sabyastha,	সবব্যস্থ,	সাব্যস্থ,	
vushi,	ভুষী,	ভুষি,	
charchita,	চার্চিট,	চর্চিত,	
swasti,	স্বস্তি,	স্বস্তি,	
prety,	প্রেটি,	প্রিটি,	
manohar,	মনোহার,	মনোহর,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
addabaz,	আদ্দাজ,	আড্ডাবাজ,	
bohudeen,	বহুদীন,	বহুদিন,	
bike,	বিকে,	বাইক,	
korkotkraantee,	কর্কটার্তি,	কর্কটক্রান্তি,	
ala,	আলা,	আলা,	
turkey,	তুর্কে,	তুর্কি,	
hizri,	হিজরি,	হিজরী,	
vagadada,	ভাগাডা,	বাগদাদ,	
prachin,	প্রাচীন,	প্রাচীন,	
kanaflikta,	কনফলিক্ট,	কনফ্লিক্ট,	
torunderke,	তরুণ্দারকে,	তরুণদেরকে,	
pirujali,	পিরুজালি,	পিরুজালী,	
chetnagato,	ছেটনগত,	চেতনাগত,	
eoki,	ইকি,	এওকি,	
shaakaar,	শাকার,	সাকার,	
sammatitey,	সম্মাতিতে,	সম্মতিতে,	
toubaar,	টওউবার,	তওবার,	
iling,	ইলিং,	ইলিং,	
bandi,	ব্যান্ডি,	বন্দী,	
choshon,	চোষণ,	চোষণ,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
kaash,	কাশ,	কাস,	
mohajote,	মহাজতে,	মহাজোট,	
platey,	প্লেট,	প্লেটে,	
temonti,	টেমনটি,	তেমনটি,	
jacksoner,	যক্ষণের,	জ্যাকসনের,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
madhukori,	মাধুকরি,	মাধুকরী,	
notti,	নটি,	নোটটি,	
sten,	স্টেন,	স্টেন,	
ibhara,	ইভার,	এভার,	
musharraf,	মুশারাফ,	মশাররফ,	
ponjikaar,	পঞ্জিকার,	পঞ্জিকার,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
jeten,	জেতেন,	জেতেন,	
qyantana,	ক্যান্টান,	ক্যান্টন,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
bongshokey,	বংশকে,	বংশকে,	
ganonatyo,	গণত্য,	গণনাট্য,	
nathibhukto,	নথিভূক্ত,	নথিভুক্ত,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
spredashita,	স্প্রেদাশিত,	স্প্রেডশীট,	
utkhaat,	উক্ষাত,	উত্খাত,	
shoshoa,	শোষা,	শশা,	
beekaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
sqalastiqa,	স্কোস্টিক্স,	স্কলাস্টিক,	
dhanche,	ধাঁচে,	ধাঁচে,	
sachetanotamulok,	স্বাচেতামূলক,	সচেতনতামূলক,	
bangyer,	বঙ্গের,	ব্যাঙের,	
forex,	ফরেক্স,	ফরেক্স,	
rubi,	রুবি,	রুবি,	
bomkesh,	বমমেশ,	ব্যোমকেশ,	
shikshakder,	শিক্ষাদদের,	শিক্ষকদের,	
beeru,	বিরু,	বীরু,	
abhidhaneeck,	অভিধানিক্ষ,	অভিধানিক,	
shamook,	শামুক,	শামুক,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
khaamba,	খাম্বা,	খাম্বা,	
pactar,	পাটাটার,	পাঁচটার,	
praapoker,	প্রাপকের,	প্রাপকের,	
somratder,	সম্রাতদদের,	সম্রাটদের,	
stylish,	স্টাইলস,	স্টাইলিশ,	
taateo,	টাটেও,	তাতেও,	
