estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
raagei,	রাগেই,	রাগেই,	
arjora,	অর্জরা,	আর্যরা,	
shumo,	সুমো,	সুমো,	
melbourner,	মেলবুর্ণের,	মেলবোর্নের,	
indro,	ইন্দ্র,	ইন্দ্র,	
ropto,	রপ্ত,	রপ্ত,	
moldova,	মলদ্ভা,	মলদোভা,	
badana,	বাদানা,	বদনা,	
nomo,	নম,	নমো,	
patthon,	পাঠন,	পঠন,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
sotorkotar,	শতরকতার,	সতর্কতার,	
agora,	অগোরা,	আগোরা,	
deeputi,	দিপুতি,	ডেপুটি,	
grambaashio,	গ্রামবাশীয়া,	গ্রামবাসীও,	
daayitto,	দৈত্য,	দায়িত্ব,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
eporjanta,	এপর্যন্ত,	এপর্যন্ত,	
temonyi,	তেমনই,	তেমনই,	
utsahamulok,	উৎ্সামূূলক,	উৎসাহমূলক,	
lyand,	ল্যান্ড,	ল্যান্ড,	
sthaponagulor,	স্থাপানগুলোর,	স্থাপনাগুলোর,	
ghoomato,	ঘুমত,	ঘুমাতো,	
addhatikotar,	আধ্ধাতিকতার,	আধ্যাত্মিকতার,	
kibord,	কিবোর্ড,	কীবোর্ড,	
atorkite,	অতরকিতে,	অতর্কিতে,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
kormokarer,	কর্মকারের,	কর্মকারের,	
mathieu,	ম্যাথিয়া,	ম্যাথিউ,	
ceramiksh,	সেরামিক্স,	সিরামিকস,	
capsule,	ক্যাপসল,	ক্যাপসুল,	
augusteen,	আজাস্টিন,	অগাস্টিন,	
ghurtey,	ঘুর্তে,	ঘুরতে,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
pratiyogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
chittronatyokar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
bim,	বিম,	বীম,	
kakhonyoba,	কখন্োবা,	কখনওবা,	
pitth,	পিঠ,	পীঠ,	
musalmanderke,	মুসালমন্দরকে,	মুসলমানদেরকে,	
kalengga,	কলেঙ্গ,	কালেঙ্গা,	
pluse,	প্লুসে,	প্লাসে,	
pujito,	পুজিত,	পুজিত,	
ojowno,	অজন্ন,	অযৌন,	
ranangoney,	রাণাঙ্গনে,	রণাঙ্গনে,	
evil,	এভিল,	ইভিল,	
cn,	এন,	সিএন,	
concert,	কনসার্ট,	কানসাট,	
swosti,	স্বস্তি,	স্বস্তি,	
jomaanor,	জমানোর,	জমানোর,	
sqirt,	স্কার্ট,	স্কার্ট,	
stationey,	স্টেশনে,	ষ্টেশনে,	
ashanka,	অসংকা,	আশংকা,	
gabhaskaar,	গভসসকার,	গাভাস্কার,	
dhwajbhango,	ধ্বাভাঙ্গ,	ধ্বজভঙ্গ,	
proo,	প্রো,	প্রো,	
shuperheiro,	সুপারেহিয়া,	সুপারহিরো,	
bhadaqa,	ভাদকা,	ভদকা,	
ankita,	অঙ্কিত,	অঙ্কিতা,	
pushteer,	পুষ্টির,	পুষ্টির,	
choudhoorike,	চৌধুরীকে,	চৌধুরীকে,	
ramzaner,	রমজানের,	রমযানের,	
evereste,	ইভারেস্টে,	এভারেস্টে,	
forider,	ফরিদের,	ফরিদের,	
kuntee,	কুনটি,	কুন্তী,	
ustaad,	উষ্টাদ,	উস্তাদ,	
veenish,	ভিনিশ,	ভেনিস,	
prakalpagulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
neemitto,	নিমিত্য,	নিমিত্ত,	
mache,	মেচে,	মাছে,	
darada,	দারদ,	দারদা,	
plen,	প্লেন,	প্লেন,	
baarbaadoj,	বার্বাদো,	বার্বাডোজ,	
sansthatir,	সংস্ঠাটির,	সংস্থাটির,	
bongram,	বঙগ্রাম,	বনগ্রাম,	
gaddafii,	গাদ্ফাই,	গাদ্দাফী,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
arbeet,	অরবিত,	অরবিট,	
taalal,	তালাল,	তালাল,	
maudelke,	মৌদলেে,	মডেলকে,	
langhon,	লঙ্ঘন,	লংঘন,	
madhobir,	মাধবীর,	মাধবীর,	
aameenar,	আমিনার,	আমিনার,	
trans,	ট্রান্স,	ট্রান্স,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
telakoocha,	টেলককুচ,	তেলাকুচা,	
chintaikaree,	চিন্তাকারী,	ছিনতাইকারী,	
jeebjontu,	জীবজন্তু,	জীবজন্তু,	
jamjamat,	জম্জমাত,	জমজমাট,	
priimo,	প্রিম,	প্রিমো,	
vip,	ভিপ,	ভিআইপি,	
osthishondhi,	অস্থিশন্ডি,	অস্থিসন্ধি,	
sorbopori,	সর্বপরি,	সর্বোপরী,	
doobhara,	দুভারা,	ডোভার,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
perry,	পেরি,	পেরি,	
songkolonti,	সংকললনটি,	সংকলনটি,	
nischay,	নিশ্ছে,	নিশ্চয়,	
moolgoto,	মুলগত,	মূলগত,	
source,	সার্স,	সোর্স,	
crescent,	ক্রেসেক্ট,	ক্রিসেন্ট,	
monhputa,	মধপুতা,	মনঃপুত,	
ekar,	একার,	একার,	
tourist,	তুরিস্ট,	টুরিস্ট,	
dhwajbhanga,	ধ্বাভাঙ্গ,	ধ্বজভঙ্গ,	
koushalgato,	কৌসলগত,	কৌশলগত,	
pluck,	প্ল্যক,	প্ল্যাক,	
tenise,	টেনিসে,	টেনিসে,	
shomraat,	সম্রত,	সম্রাট,	
aieesa,	এইএস,	আইএএস,	
jokrito,	যকৃত,	যকৃৎ,	
mehonoti,	মেহনটি,	মেহনতি,	
chapal,	চাপাল,	চপল,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
dibidh,	দিবিধ,	দ্বিবিধ,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
moshjidke,	মসজিদে,	মসজিদকে,	
sikh,	শিক,	শিখ,	
shhcholashtik,	স্কলচার্টিক,	স্কলাস্টিক,	
niropeksh,	নিরপেক্স,	নিরপেক্ষ,	
oncolei,	অঞ্চলেই,	অঞ্চলেই,	
naobihar,	নৌবিহার,	নৌবিহার,	
jahra,	জাহরা,	যাহরা,	
karecha,	করেচা,	করেছ,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
annimated,	অন্মিতাবেদ,	এনিমেটেড,	
sombhobonao,	সম্ভাবনা,	সম্ভবনাও,	
upobaasee,	উপবাশী,	উপবাসী,	
zesh,	জেস,	জেস,	
jesthotar,	যেষ্ঠতার,	জ্যেষ্ঠতার,	
duburira,	দুবরীরা,	ডুবুরিরা,	
durg,	ডুর্গ,	দুর্গ,	
carlos,	কার্লস,	কার্লোস,	
wolapuk,	ভোলাপুক,	ভোলাপুক,	
ekghare,	একঘারে,	একঘরে,	
sotorkota,	সতরকতা,	সতর্কতা,	
ghoomachhilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
phund,	ফুন্ড,	ফান্ড,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
gaafiloti,	গ্যাফিলাটি,	গাফিলতি,	
zinsa,	জিনস,	জিন্স,	
bhezano,	ভেজানো,	ভেজানো,	
somosto,	সমস্ত,	সমস্ত,	
bedke,	বেঁকে,	বেদকে,	
mekong,	মেকং,	মেকং,	
elaakao,	এলাকাও,	এলাকাও,	
zonite,	যোনিতে,	যোনীতে,	
udbodhonee,	উদ্বধোনী,	উদ্বোধনী,	
