mukhya,	মূখ্য,	মুখ্য,	
aksathe,	একসতথে,	একসাথে,	
sanstha,	সংস্থা,	সংস্থা,	
masjidsaha,	মাশশিদহ,	মসজিদসহ,	
bachaikrito,	বাচাইকৃত,	বাছাইকৃত,	
oncholo,	অঞ্চল,	অঞ্চলও,	
ivam,	ইভাম,	ইভিএম,	
dibating,	ডিবাটিং,	ডিবেটিং,	
uinndo,	উইন্ড,	উইন্ডো,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
baffer,	বাফার,	বাফার,	
kortam,	কর্তম,	করতাম,	
ashiatic,	অসিয়াটিক,	এশিয়াটিক,	
maradeho,	মারাদেহ,	মরদেহ,	
nepchooner,	নেপুনের,	নেপচুনের,	
shhooter,	শুটের,	শ্যুটার,	
vortuki,	ভর্তুকী,	ভর্তুকি,	
meghey,	মেঘে,	মেঘে,	
antarcticar,	অন্টর্ক্যাসিকার,	অ্যান্টার্কটিকার,	
qlauda,	ক্লাড,	ক্লাউড,	
ponjikaar,	পঞ্জিকার,	পঞ্জিকার,	
ulcer,	উল্ের,	আলসার,	
torcarir,	তরকারির,	তরকারীর,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
shikha,	শিখা,	শিখ,	
olympicer,	অলিম্পাইস,	অলিম্পিকের,	
horiddare,	হরিদরে,	হরিদ্বারে,	
neptuner,	নেপুটেনের,	নেপচুনের,	
reeno,	রেন,	রেনো,	
hughke,	হুঁকে,	হিউজকে,	
jakser,	যক্ষের,	যক্ষের,	
paikgacha,	পাইকগাঁ,	পাইকগাছা,	
musalmanera,	মুসল্মমানের,	মুসলমানেরা,	
jubokera,	যুবকেরা,	যুবকেরা,	
abahon,	আবাহন,	আবাহন,	
nesanasa,	নেসননাস,	নেশনস,	
hiper,	হিপের,	হাইপার,	
mehonoti,	মেহনটি,	মেহনতি,	
jacq,	জ্যাক,	জ্যাক,	
elaakati,	এলাকাটি,	এলাকাটি,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
zeans,	জেন্স,	জিন্স,	
kreedita,	কৃরিদিত,	ক্রেডিট,	
chherechhe,	ছেরেছে,	ছেড়েছে,	
park,	পার্ক,	পার্ক,	
jibnagar,	জীবনগার,	জীবননগর,	
boorana,	বুরন,	বোরন,	
debeting,	ডেবেটিং,	ডিবেটিং,	
armshtrong,	আর্মস্ট্রং,	আর্মস্ট্রং,	
engineering,	এনজেনির,	ইঞ্জিনিয়ারিং,	
sanatani,	সননাটনি,	সনাতনী,	
romantiqa,	রোমান্টিক,	রোমান্টিক,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
itastata,	ইতাস্টেট,	ইতস্তত,	
boother,	বুথের,	বুথের,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
gadha,	গাধা,	গাধা,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারীই,	
trayte,	ট্রাইট,	ট্রেতে,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
siqhar,	শিখার,	শিকার,	
pratishthanik,	প্রতিষ্ঠানিত্ক,	প্রাতিষ্ঠানিক,	
stonehenj,	স্টনেেজেঞ্জ,	স্টোনহেঞ্জ,	
jonoika,	জননিকা,	জনৈকা,	
twoei,	তুই,	ত্বকেই,	
amantrita,	অমন্ত্রিত,	আমন্ত্রিত,	
haipara,	হাইপার,	হাইপার,	
santose,	সন্তোষে,	সন্তোষে,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
santa,	সাঁটা,	স্যান্টা,	
