vushi,	ভূষি,	ভুষি,	
formet,	ফরমেট,	ফরম্যাট,	
kaantojir,	কান্তজীর,	কান্তজির,	
pratisthar,	প্রতিস্থার,	প্রতিষ্ঠার,	
calabe,	চালাবে,	চালাবে,	
udbodhoni,	উদ্ধবোধি,	উদ্বোধনী,	
karpet,	কর্পেট,	কার্পেট,	
tookror,	টুকরর,	টুকরোর,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
dwibidho,	দ্বিবিধ্,	দ্বিবিধ,	
nirbaha,	নির্বাহ,	নির্বাহ,	
eeraner,	আইরের,	ইরানের,	
decke,	ডেকে,	ডেকে,	
carloos,	কার্লস,	কার্লোস,	
monzhoshtho,	মঞ্যস্থ,	মঞ্চস্থ,	
duma,	ডুমা,	দুমা,	
nogonno,	নগন্য,	নগণ্য,	
ponchaashjon,	পঞ্চাশন্,	পঞ্চাশজন,	
deubande,	ডিউবন্ডে,	দেওবন্দে,	
kampito,	কম্পিত,	কম্পিত,	
akar,	একর,	একার,	
abartey,	আবর্তে,	আবর্তে,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
atitkaale,	অতীতকালে,	অতীতকালে,	
maszid,	মাজিদ,	মসজিদ,	
ghumacchilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
aaziz,	আজিজ,	আজিজ,	
pabo,	পাব,	পাব,	
gosthyti,	গোষ্ঠীটি,	গোষ্ঠীটি,	
nyata,	ম্যাট,	ম্যাট,	
eparjonta,	এপার্যন্ত,	এপর্যন্ত,	
shommotite,	সম্মতিটে,	সম্মতিতে,	
kaathhmaandute,	কাঠান্ডুতে,	কাঠমান্ডুতে,	
arop,	অরপ,	আরোপ,	
keke,	কেকে,	কেকে,	
jaanalo,	জানালো,	জানালো,	
vejano,	ভেজানো,	ভেজানো,	
enamela,	এনামেল,	এনামেল,	
khudey,	খুঁদে,	ক্ষুদে,	
kalnir,	কল্নির,	কালনীর,	
samanyo,	সামান্য,	সামান্য,	
anurbor,	অনুর্বর,	অনুর্বর,	
jess,	জেস,	জেস,	
japanira,	জাপানীরা,	জাপানিরা,	
dayana,	ডায়ন,	ডায়না,	
shpredshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
phutbolarra,	ফুটলবাররা,	ফুটবলাররা,	
alpakichudin,	অল্পকিছুদ্দিন,	অল্পকিছুদিন,	
deeares,	ডিরেস,	ডিআরএস,	
