ahalya,	অহল্য,	অহল্যা,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
machher,	মাছের,	মাছের,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
daloo,	দালও,	ডালু,	
oitijjho,	ঐতিঝ্য,	ঐতিহ্য,	
bizepi,	বিজেপি,	বিজেপি,	
leetara,	লিটার,	লেটার,	
consarvation,	কনসারভেশন,	কনসারভেশন,	
bagach,	বাগ,	বটগাছ,	
obharbheeu,	অভর্ভী,	ওভারভিউ,	
nortokike,	নর্তকীকে,	নর্তকীকে,	
akritakarja,	আকৃত্বরর্য,	অকৃতকার্য,	
shuchonakal,	সূচনাকাল,	সূচনাকাল,	
lat,	লত,	লাট,	
shelinar,	সেলিনার,	সেলিনার,	
lajika,	লাজিক,	লজিক,	
youth,	ইউথ,	ইয়ুথ,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
deyl,	ডেল,	ডেইল,	
jhankaar,	ঝাঁকার,	ঝঙ্কার,	
shahoshikatar,	সহশিকতার,	সাহসিকতার,	
jahns,	জাস্স,	জন্স,	
fixing,	ফিইক্সিং,	ফিক্সিং,	
militarite,	মিলিটারীতে,	মিলিটারিতে,	
lohar,	লোহার,	লোহার,	
naditi,	নদীতি,	নদীটি,	
gaddaafee,	গাদ্দাী,	গাদ্দাফী,	
chirohorith,	চিরহরিথ,	চিরহরিৎ,	
taale,	তালে,	তালে,	
foster,	ফোস্টার,	ফস্টার,	
satyaky,	সত্যাকি,	সাত্যকি,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
nagarik,	নাগরিক,	নাগরিক,	
title,	তিটলে,	টাইটেল,	
bishwashoi,	বিশ্বাসী,	বিশ্বাসই,	
toubar,	তৌবর,	তওবার,	
stoonehenge,	স্টুনেহেগে,	স্টোনহেঞ্জ,	
ottacharer,	অত্তাচারের,	অত্যাচারের,	
prozononkal,	প্রজনকালীল,	প্রজননকাল,	
spreadshiit,	স্প্রেসেটিস,	স্প্রেডশীট,	
