juktarashtrasaha,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
karecha,	করেছা,	করেছ,	
bagdad,	বাদ্দা,	বাগদাদ,	
agomone,	আগমনে,	আগমনে,	
brinda,	ব্রিন্ড,	বৃন্দা,	
shikshakder,	শিক্ষাকদের,	শিক্ষকদের,	
oshovyo,	অশ্ব,	অসভ্য,	
bodhir,	বধধীর,	বধির,	
aairish,	আইরিশ,	আইরিস,	
mosjidkey,	মসজিিকে,	মসজিদকে,	
kanake,	কানাকে,	কণাকে,	
madhobikey,	মাধবীকে,	মাধবীকে,	
developer,	ডেভেলপার,	ডেভলপার,	
motkey,	মতকে,	মতকে,	
tobey,	তবে,	টবে,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
kolkarkhana,	কোলকর্ষণ,	কলকারখানা,	
bikretaara,	বিক্রেটারা,	বিক্রেতারা,	
daakteekiter,	ডাকতিকিতের,	ডাকটিকিটের,	
chalochchitroi,	চলচচিত্রই,	চলচ্চিত্রই,	
jorury,	জরুরি,	জরূরী,	
sbajaner,	স্বজনের,	স্বজনের,	
sayeed,	সাইয়েদ,	সাইদ,	
heepataitisa,	হেপোটেটিস,	হেপাটাইটিস,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
kathmandu,	কাঠমন্ডু,	কাঠমান্ডু,	
algorithm,	অ্যালগোরিদম,	এলগরিদম,	
chho,	ছো,	ছোঁ,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
samanno,	সামান্য,	সামান্য,	
mohasova,	মহাসাবা,	মহাসভা,	
janacche,	জানাচ্ছে,	জানাচ্ছে,	
qrita,	কৃত,	ক্রীট,	
chitranattakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
veedanta,	বিদান্ত,	বেদান্ত,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
elaaka,	এলাকা,	এলাকা,	
nodiiti,	নদীতী,	নদীটি,	
iukyaliptasa,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
mosjidtikey,	মস্জিত্তিকে,	মসজিদটিকে,	
gora,	গরা,	গোর,	
hattey,	হাততে,	হাঁটতে,	
dharabahikvabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
atyachari,	আত্যাচারী,	অত্যাচারী,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
damone,	দামনে,	দমনে,	
hoonayin,	হুনাইন,	হুনাইন,	
scall,	স্কল,	এসকল,	
jhijhi,	ঝিঝি,	ঝিঝি,	
surkey,	সুর্কে,	সুরকে,	
laaisheesh,	লাইসিস,	লাইসেন্স,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
bandhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
bhimsen,	ভিমসেন,	ভীমসেন,	
ancholtite,	আঞ্চলতিতে,	অঞ্চলটিতে,	
vabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
elakatey,	এলাকাতে,	এলাকাতে,	
samajeekotar,	সামাজিকতার,	সামাজিকতার,	
horus,	হরাস,	হোরাস,	
michiler,	মিচিলের,	মিছিলের,	
judge,	জজ,	জাজ,	
phix,	ফিক্স,	ফিক্স,	
voolapuk,	ভুলাপুক,	ভোলাপুক,	
sombhobonaao,	সম্ভবনও,	সম্ভবনাও,	
gunaman,	গুণামান,	গুণমান,	
zubokera,	যুবকেরা,	যুবকেরা,	
changee,	চ্ঙ্গে,	চেঞ্জ,	
airish,	আইরিশ,	আইরিস,	
kachhakaachhi,	কাছাকাছি,	কাছাকাছি,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
elakaasoho,	এলাকাশহ,	এলাকাসহ,	
seconde,	সেকনন্ডে,	সেকেন্ডে,	
nimitto,	নিমিত্য,	নিমিত্ত,	
rightsh,	রাইটস,	রাইটস,	
masterer,	মস্তারের,	মাস্টারের,	
lande,	ল্যান্ডে,	ল্যান্ডে,	
nadike,	নাদিকে,	নদীকে,	
shommoteer,	সম্ততির,	সম্মতির,	
whole,	ভোলে,	হোল,	
hypar,	হাইপার,	হাইপার,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
sollallhu,	সল্লাল্লু,	সল্লাল্লাহু,	
patterne,	পটার্ন,	প্যাটার্নে,	
sangbadmadhyome,	সংবাদ্মধ্যমে,	সংবাদমাধ্যমে,	
feemalee,	ফেমললী,	ফিমেল,	
doojoo,	দুজু,	ডোজো,	
tarasa,	তরাস,	টেরেসা,	
prakalpatikey,	প্রকল্পটিকে,	প্রকল্পটিকে,	
jibjantu,	জীব্জান্ত,	জীবজন্তু,	
superheiro,	সুপাহহীরা,	সুপারহিরো,	
lag,	ল্যাগ,	লগ,	
miley,	মিলে,	মাইলি,	
ghatkey,	ঘটকে,	ঘাটকে,	
huk,	হুক,	হুক,	
madhabike,	মাধবীকে,	মাধবীকে,	
beetloser,	বিটলসের,	বিটলসের,	
modeeling,	মোডেলিং,	মডেলিং,	
meetropolitan,	মেত্রপলিতান,	মেট্রোপলিটন,	
aameenar,	আমিনার,	আমিনার,	
kaaru,	কারু,	কারু,	
bhejaano,	ভেজানো,	ভেজানো,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
sangasthatike,	সংস্গাতিকে,	সংস্থাটিকে,	
harja,	হার্জ,	হার্জ,	
vangey,	ভঙ্গে,	ভাঙ্গে,	
ramonar,	রমনার,	রমনার,	
baharampoorer,	বহরামপুরের,	বহরমপুরের,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
shilpojato,	শিল্পজাত,	শিল্পজাত,	
charzara,	চার্জার,	চার্জার,	
aansaarir,	আনসারির,	আনসারীর,	
bafar,	বাফার,	বাফার,	
songbadmadhyomgulote,	সংবাদপদ্মগুলোকে,	সংবাদমাধ্যমগুলোতে,	
shukranu,	শুক্রাণু,	শুক্রানু,	
allahabade,	আল্লাহবাদে,	এলাহাবাদে,	
minishtar,	মিনিস্টার,	মিনিস্টার,	
korecho,	করেছ,	করেছ,	
debdebyr,	দেবদেবীর,	দেবদেবীর,	
