areek,	আরেক,	আরিক,	
addabaaj,	আদ্াাবাজ,	আড্ডাবাজ,	
tulechen,	তুলেছেন,	তুলেছেন,	
sperm,	স্পার্ম,	স্পার্ম,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
sqolastic,	স্কললাস্টিক,	স্কলাস্টিক,	
mitroder,	মিত্রদের,	মিত্রদের,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
eparjanta,	এপার্জন্ট,	এপর্যন্ত,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
ostheesandhi,	অস্থিষান্ধি,	অস্থিসন্ধি,	
chaalke,	চালকে,	চালকে,	
udbodhoni,	উদ্বধধনি,	উদ্বোধনী,	
nortoki,	নর্তকী,	নর্তকী,	
tafsir,	তাফসির,	তাফসীর,	
vittiti,	ভিত্তিটি,	ভিত্তিটি,	
shiqha,	শিখা,	শিখ,	
favorite,	ফাররীতে,	ফেভারিট,	
upostheet,	উপস্থিত,	উপস্থিত,	
patigoniter,	পতিগণিতের,	পাটিগণিতের,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
byataree,	ব্যাটারী,	ব্যাটারী,	
udvabane,	উদ্ভাবনে,	উদ্ভাবনে,	
seqtara,	সেক্টর,	সেক্টর,	
joubanbotii,	যৌবনবতী,	যৌবনবতী,	
chootite,	চুটিতে,	ছুটিতে,	
vor,	ভোর,	ভর,	
charban,	চারবন,	চর্বন,	
cn,	সিএনএন,	সিএন,	
sushukkhar,	শুশুক্ষর,	সুশিক্ষার,	
vangle,	ভাঙলে,	ভাঙলে,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
chef,	সেফ,	শেফ,	
hotelti,	হটেলটি,	হোটেলটি,	
ingrezraa,	ইংরেজার,	ইংরেজরা,	
somabeshti,	সমবেষ্টি,	সমাবেশটি,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
boonot,	বুনট,	বুনট,	
pratisthasaho,	প্রতিস্থাসহ,	প্রতিষ্ঠাসহ,	
scare,	স্ক্যার,	স্কোর,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
mmesenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
zoojyota,	যুজ্যতা,	যোজ্যতা,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
bbs,	বিবিস,	বিবিএস,	
laboni,	লাবনী,	লাবনী,	
hizrite,	হিজরিতে,	হিজরীতে,	
bbiseshyer,	বিশেষের,	বিশেষ্যের,	
haak,	হাযাক,	হুক,	
istoon,	স্ট্টন,	স্টোন,	
naazi,	নাজী,	নাত্সি,	
koro,	কর,	কর,	
horir,	হরির,	হরির,	
transphorm,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
dhouto,	ধুত,	ধৌত,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
tarunke,	তরুণকে,	তরুণকে,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
dhani,	ধানি,	ধানি,	
gara,	গাঢ়া,	গোর,	
keuyi,	কিউই,	কেউই,	
polashir,	পুলাসির,	পলাশীর,	
sheo,	সিও,	সেও,	
phemale,	ফেমালে,	ফিমেল,	
turky,	টুর্কী,	তুর্কি,	
gosthi,	গস্তী,	গোষ্ঠী,	
sahopathike,	সহপাঠীকে,	সহপাঠীকে,	
niropeksh,	নিরপেক্ষ,	নিরপেক্ষ,	
jackshan,	যাকসন,	জ্যাকসন,	
srisri,	শ্রীশ্রী,	শ্রীশ্রী,	
turista,	তুরিষ্ট,	টুরিস্ট,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
bauger,	বাগের,	বাগের,	
bossonto,	বসন্ত,	বসন্ত,	
baiqa,	বৈক,	বাইক,	
ciima,	সিমা,	সীমা,	
serverer,	সার্ভারের,	সার্ভারের,	
sunagarik,	সুনাগরিক,	সুনাগরিক,	
sayaneda,	সায়েন্ড,	সায়ানাইড,	
tateo,	তাটেও,	তাতেও,	
sithilota,	সিথীলতা,	শিথিলতা,	
marryir,	মেযারির,	ম্যারির,	
mast,	মোস্ট,	মাস্ত,	
sollallhu,	সোল্লাল্লু,	সল্লাল্লাহু,	
chaanu,	চানু,	চানু,	
yankee,	যানকি,	ইয়াংকি,	
prity,	প্রাইতি,	প্রিটি,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
satarkabhabe,	সত্তরকাভে,	সতর্কভাবে,	
sadhwi,	সাধ্য,	সাধ্বী,	
drishyokey,	দৃশ্যকে,	দৃশ্যকে,	
marketey,	মার্কাতে,	মার্কেটে,	
giitikobitar,	গীতিকাবতার,	গীতিকবিতার,	
laiseens,	লাইসেন্স,	লাইসেন্স,	
korimke,	করিমকে,	করিমকে,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
jahns,	জাহ্স,	জন্স,	
kor,	কোর,	কর,	
