gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
jomkalo,	জম্কালো,	জমকালো,	
bhittie,	ভিতটি,	ভিত্তিই,	
jonogononar,	জনগণনার,	জনগণনার,	
danckan,	ডাঁচন,	ডানকান,	
chamke,	চামকে,	চমকে,	
qredita,	ক্রেডিট,	ক্রেডিট,	
oindrila,	অইন্ড্রিলা,	ঐন্দ্রিলা,	
velcome,	ভেলকোমে,	ওয়েলকাম,	
phareksha,	ফারেক্স,	ফরেক্স,	
gunman,	গুণমান,	গুণমান,	
praman,	প্রমাণ,	প্রমান,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
jatinkey,	জাতিনকে,	যতীনকে,	
bhenuser,	ভেনুসের,	ভেনাসের,	
kaferderke,	কফেরদারকে,	কাফেরদেরকে,	
monoputo,	মনোপুত,	মনঃপুত,	
taholo,	তাহলো,	তাহলো,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
deelibhara,	ডিলিভার,	ডেলিভার,	
prity,	পৃত্তি,	প্রিটি,	
neutrinoo,	নিত্রিনো,	নিউট্রিনো,	
neurologi,	নিউরোলি,	নিউরোলজি,	
venkotesh,	ভেনকেটেস,	ভেঙ্কটেশ,	
ekpaase,	একপাশে,	একপাশে,	
badhano,	বাধানো,	বাঁধানো,	
footballerra,	ফুটবলারা,	ফুটবলাররা,	
pactar,	প্যাক্টার,	পাঁচটার,	
chhooteer,	ছুটির,	ছুটির,	
remacri,	রেমাক্রি,	রেমাক্রী,	
merjito,	মের্জিত,	মার্জিত,	
pest,	পেস্ট,	পেষ্ট,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
omarjito,	অমার্জিত,	অমার্জিত,	
maddhuri,	মধুরি,	মাধুরী,	
janake,	জানাকে,	জানাতে,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
debdebir,	দেবদেবীর,	দেবদেবীর,	
padarthabidder,	পদার্থবিদদের,	পদার্থবিদদের,	
hunine,	হানিনে,	হুনাইন,	
naubom,	নবম,	নবম,	
brindabaner,	বৃণ্দাবনের,	বৃন্দাবনের,	
gaiche,	গাইছে,	গাইছে,	
nogore,	নগরে,	নগরে,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
jamanor,	জামানোর,	জমানোর,	
chaanu,	চানু,	চানু,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
poorbancholer,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
prasadhaner,	প্রসাধনের,	প্রসাধনের,	
gatrey,	গাত্রে,	গাত্রে,	
krantee,	ক্রান্তি,	ক্রান্তি,	
ayadabhansada,	অ্যাডভান্ডস,	অ্যাডভান্সড,	
militaryte,	মিলিটারিতে,	মিলিটারিতে,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
dale,	দলে,	ডালে,	
saphallyar,	সফল্যার,	সাফল্যের,	
petenter,	পিটেন্টার,	পেটেন্টের,	
orthat,	অর্থাত,	অর্থাৎ,	
ogobhir,	অভোীর,	অগভীর,	
setite,	সেটিতে,	সেটিতে,	
satjoner,	সৎজনের,	সাতজনের,	
sqalastiqa,	স্কোল্টিক,	স্কলাস্টিক,	
ujbekistan,	উজবেক্স্তান,	উজবেকিস্তান,	
mozart,	মজারট,	মোজার্ট,	
taronee,	তরণণি,	তরণী,	
bibadey,	বিবাদে,	বিবাদে,	
laiseens,	লাইসেন্স,	লাইসেন্স,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
zackson,	জক্সন,	জ্যাকসন,	
soinyo,	সৈন্য,	সৈন্য,	
calabe,	চালাবে,	চালাবে,	
ancholti,	অঞ্চলটি,	অঞ্চলটি,	
modelkey,	মোদেলকে,	মডেলকে,	
ragee,	রাগে,	রাগী,	
anchalkey,	আঞ্চলকে,	অঞ্চলকে,	
gajipur,	গাজীপুর,	গাজীপুর,	
harja,	হার্জ,	হার্জ,	
uparjaner,	উপারজনের,	উপার্জনের,	
shobnom,	শব্নম,	শবনম,	
asthisandhi,	অস্থিষন্ধি,	অস্থিসন্ধি,	
khorsed,	খর্ষেদ,	খোরশেদ,	
pretty,	প্রেটি,	প্রিটি,	
goroor,	গরুর,	গরুর,	
aholyar,	অহল্র,	অহল্যার,	
lyaata,	ল্যাট,	ল্যাটা,	
ekroop,	একরুপ,	একরূপ,	
suparahiro,	সুপারাহীর,	সুপারহিরো,	
overview,	ওভারওভিয়,	ওভারভিউ,	
morathi,	মোরাঠি,	মরাঠি,	
saphalyar,	সফলল্যার,	সাফল্যের,	
madhabike,	মাধাবীকে,	মাধবীকে,	
aoki,	আকি,	এওকি,	
injil,	ইঞ্জিল,	ইঞ্জিল,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
chetnagato,	ছেটনগত,	চেতনাগত,	
ropto,	রপ্ত,	রপ্ত,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
shikha,	শিখা,	শিখ,	
asamanno,	অসমান্ন,	অসামান্য,	
marketey,	মার্কেটে,	মার্কেটে,	
bhittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
chaaka,	চাকা,	চাকা,	
rajnoiteek,	রাজনৈতিক,	রাজনৈতীক,	
towbar,	তবার,	তওবার,	
parry,	প্যারি,	পেরি,	
maszid,	মাসিদ,	মসজিদ,	
dhhaabi,	ঢাবি,	ঢাবি,	
starker,	স্তার্কের,	স্টার্কের,	
shayatana,	স্য়েটন,	শয়তান,	
irish,	আইরিশ,	আইরিস,	
sahokaree,	সহকারী,	সহকারী,	
masjidke,	মাসদিকে,	মসজিদকে,	
eastar,	ইস্টার,	ইস্টার,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
mette,	মেটে,	ম্যাট,	
sooya,	সোয়া,	সোয়া,	
keu,	কিউ,	কেউ,	
chhatta,	ছোট্ট,	ছোট্ট,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
miley,	মিলে,	মাইলে,	
janmato,	জন্মত,	জন্মাত,	
gejetade,	গেজেটেড,	গেজেটেড,	
shilabhara,	শিলভার,	সিলভার,	
hock,	হক,	হুক,	
eesosiyeetasa,	এসোসিস্টেট,	এসোসিয়েটস,	
lutheereen,	লুথিরেন,	লুথেরান,	
chaabir,	চাবির,	চাবির,	
tenisha,	টেনিস,	টেনিস,	
muhammader,	মুহাম্মদের,	মুহম্মদের,	
phastara,	ফোস্টার,	ফস্টার,	
kanflikt,	কানফ্লিক্ট,	কনফ্লিক্ট,	
nothibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
nomo,	নম,	নমো,	
varshon,	ভার্ষন,	ভারশন,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
silvi,	সিলভি,	সিলভি,	
kaaferder,	কাফেরদের,	কাফেরদের,	
shikare,	শিকারে,	শিকারে,	
bhogirath,	ভগিরাথ,	ভগীরথ,	
tukroke,	তুকরকে,	টুকরোকে,	
stanehenge,	স্তেনেঙ্গে,	স্টোনহেঞ্জ,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
suchonakal,	সূচনাকল,	সূচনাকাল,	
songkulan,	সংকুলন,	সংকুলান,	
naniir,	নানীর,	নানীর,	
hanttey,	হাঁটে,	হাঁটতে,	
bagdad,	বাজদাদ,	বাগদাদ,	
konake,	কোনকে,	কণাকে,	
ssahocorze,	সহকর্যে,	সাহচর্যে,	
tennys,	টেনিস,	টেনিস,	
milea,	মিলি,	মাইলে,	
shrabosti,	শ্রবশটি,	শ্রাবস্তী,	
mukhyo,	মুখ্য,	মুখ্য,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
shtonahenja,	স্তোহেঞ্জ,	স্টোনহেঞ্জ,	
elaakatir,	এলাকাটির,	এলাকাটির,	
aiisa,	আইস,	আইএএস,	
transapharma,	ট্রানসসফ্র,	ট্রান্সফর্ম,	
phikshim,	ফিকসিম,	ফিক্সিং,	
muhamad,	মুহমাদ,	মুহাম্মদ,	
rubidium,	রুবিডিয়াম,	রুবিডিয়াম,	
jyeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
satarkabhabey,	সতারকভাবে,	সতর্কভাবে,	
olympik,	অলিম্পিক,	অলিম্পিক,	
akkharke,	অক্ষরকে,	অক্ষরকে,	
sookkho,	সূক্ষ,	সুক্ষ্ম,	
durg,	ডার,	দুর্গ,	
oojbekistan,	উজবেতিস্তান,	উজবেকিস্তান,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
paner,	পানের,	পনের,	
saarbharti,	সার্ভরটি,	সার্ভারটি,	
asaborno,	অসবর্ন,	অসবর্ণ,	
chhanake,	ছানকে,	ছানাকে,	
smarak,	স্মরক,	স্মারক,	
nirapekkhotar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
netherlandey,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
pudinn,	পুদিন,	পুডিং,	
janosangyog,	জনসঙ্গগ,	জনসংযোগ,	
saamaanyai,	সামান্যই,	সামান্যই,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
gujober,	গুজবের,	গুজবের,	
goteehin,	গতিহীন,	গতিহীন,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
maricha,	মরিচো,	মরিচা,	
nagariker,	নাগীরের,	নাগরিকের,	
joruri,	জরুরি,	জরূরী,	
spredashiita,	স্প্রেডিস,	স্প্রেডশীট,	
vumij,	ভূমিজ,	ভূমিজ,	
azaadeer,	আযাদীর,	আজাদীর,	
breq,	ব্রেক,	ব্রেক,	
bosontey,	বসন্তে,	বসন্তে,	
makhmaley,	মাখমালে,	মখমলে,	
gitikabita,	গীতিকাবিত্,	গীতিকবিতা,	
venice,	ভেনিক,	ভেনিস,	
addabaaz,	আদ্যাবাজ,	আড্ডাবাজ,	
sthapona,	স্থাপনা,	স্থাপনা,	
gor,	গর,	গোর,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
janosanjog,	জনসঙ্জগ,	জনসংযোগ,	
ghantiti,	ঘন্টিটি,	ঘাঁটিটি,	
sparsher,	স্পার্সের,	স্পর্শের,	
bahati,	বাহাটি,	বাহাতি,	
seektara,	সেক্টার,	সেক্টর,	
ayantarqatiqa,	অ্যান্টার্টিক,	অ্যান্টার্কটিকা,	
bondikey,	বন্ডিকে,	বন্দীকে,	
jeans,	জিন্স,	জিন্স,	
pravuder,	প্রভুদের,	প্রভুদের,	
mosharroph,	মশশারফ,	মশাররফ,	
torokareer,	তরকারীর,	তরকারীর,	
saaeda,	সাইড,	সাইদা,	
neshnos,	নেশনস,	নেশনস,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
stoneeheengee,	স্তনিঙীগ্য,	স্টোনহেঞ্জ,	
nabbata,	নব্বতা,	নাব্যতা,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
vishnu,	ভিষ্ণু,	বিষ্ণু,	
nodiike,	নদীকে,	নদীকে,	
janate,	জানতে,	জানাতে,	
vaticaner,	ভাটিকানের,	ভ্যাটিকানের,	
porissrom,	পরিস্রম,	পরিশ্রম,	
gorjon,	গর্জন,	গর্জন,	
shepha,	সেফ,	শেফ,	
noiteekotabodh,	নৈতিকাবাদ,	নৈতিকতাবোধ,	
rajoshri,	রাজশ্রি,	রাজশ্রী,	
chaudhurir,	চৌধুরীর,	চৌধুরীর,	
chalachchitragulor,	চলচিচ্ত্গুরণ,	চলচ্চিত্রগুলোর,	
romonar,	রোমানার,	রমনার,	
jomjamat,	জম্জামত,	জমজমাট,	
tochnochh,	টোচনোচ,	তছনছ,	
shhikha,	শিখা,	শিখ,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
ponchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
shangkulaan,	সঙ্কুলান,	সংকুলান,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
hajartee,	হজররটি,	হাজারটি,	
lendol,	লেন্ডল,	লেন্ডল,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
daktikite,	দাক্তিকেতে,	ডাকটিকিটে,	
dwipgulo,	দ্বিগগুলো,	দ্বীপগুলো,	
madhobike,	মাধবীকে,	মাধবীকে,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
rajashri,	রাজস্রী,	রাজশ্রী,	
ivaner,	ইভানের,	ইভানের,	
blaker,	ব্লকের,	ব্ল্যাকের,	
inafarameshana,	ইনফারেশন,	ইনফরমেশন,	
patjata,	পাজজতা,	পাটজাত,	
saafi,	সফফি,	সাফি,	
ekpase,	একপাশে,	একপাশে,	
kodguli,	কোগগুলি,	কোডগুলি,	
dhorer,	ধরের,	ধরের,	
zyakasana,	জ্যাকসন,	জ্যাকসন,	
apadan,	আপদান,	অপাদান,	
kodti,	কদটি,	কোডটি,	
pothnatok,	পথঠনতক,	পথনাটক,	
lohaar,	লোহার,	লোহার,	
windo,	উইন্ডো,	উইন্ডো,	
bamoni,	বামনী,	বামনী,	
helly,	হেলি,	হিলি,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
asamanjashapurna,	অসমান্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
dienes,	ডাইনেস,	ডিএনএস,	
maase,	মাসে,	মাসে,	
devolapar,	ডেভলপার,	ডেভলপার,	
dharabahiker,	ধারাবাহীকের,	ধারাবাহিকের,	
haak,	হাক,	হুক,	
ashociatesh,	অসোসেযেট,	এসোসিয়েটস,	
kamola,	কামলা,	কামলা,	
tanight,	টানিকট,	টুনাইট,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
tep,	টেপ,	ট্যাপ,	
satarkota,	সতরতকাা,	সতর্কতা,	
trenda,	ট্রেন্ডা,	ট্রেন্ড,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
jerushalema,	জেরুসলেম,	জেরুসালেম,	
dolgulo,	দলগুলো,	দলগুলো,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
bolechile,	বলেছিলে,	বলেছিলে,	
sikarder,	শিকার্ডের,	শিকারদের,	
susamo,	সুসম,	সুসম,	
agamanke,	আগামানকে,	আগমনকে,	
shhikar,	শিকার,	শিকার,	
nikote,	নিকটে,	নিকটে,	
esiyatika,	এসিযোটিক,	এশিয়াটিক,	
durgatir,	দুর্গটির,	দুর্গটির,	
degreeke,	দিগ্রীকে,	ডিগ্রিকে,	
ashammatite,	অসামতিতে,	অসম্মতি,	
bijepi,	বিজেপি,	বিজেপি,	
bivonno,	বিভন্ন,	বিভন্ন,	
ranangane,	রণঙ্গনে,	রণাঙ্গনে,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
shaahoshikataar,	সাহসিকতার,	সাহসিকতার,	
elakatey,	এলাকাতে,	এলাকাতে,	
jemi,	জেমি,	জেমি,	
daja,	দাজা,	ডোজো,	
arbeet,	আরবিত,	অরবিট,	
baagicar,	বাজিকার,	বাগিচার,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
servere,	সারভারে,	সার্ভারে,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
dhojobhongo,	ধোভযঙ্গ,	ধ্বজভঙ্গ,	
golpokar,	গল্পকার,	গল্পকার,	
holuder,	হলুদের,	হলুদের,	
pare,	পারে,	পাড়ে,	
shiropadhari,	শিরোপাধারি,	শিরোপাধারী,	
marathi,	মারাঠি,	মরাঠি,	
samaveshke,	সমভেষকে,	সমাবেশকে,	
karlosha,	কার্লস,	কার্লোস,	
meghachonno,	মেঘাচন্ন,	মেঘাচ্ছন্ন,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
punch,	পাঁচ,	পুঞ্চ,	
batsmaner,	বৎসমনের,	ব্যাটসম্যানের,	
kommatei,	কমাতেই,	কমাতেই,	
mahasava,	মহসভা,	মহাসভা,	
masjidsaha,	মাসদিসহ,	মসজিদসহ,	
dakop,	ডাকপ,	দাকোপ,	
sorajur,	সরজার,	সরযূর,	
sainyara,	সান্যার,	সৈন্যরা,	
anciint,	অনযাসিন্ট,	এনসিয়েন্ট,	
mitar,	মিতার,	মিত্র,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
ardasha,	আর্দশ,	আর্দশ,	
bhaabaponno,	ভাবাপ্ন,	ভাবাপন্ন,	
eucalyptushh,	ইউক্লিপট,	ইউক্যালিপ্টাস,	
bard,	বর্ড,	বার্ড,	
vezano,	ভেজানো,	ভেজানো,	
swapod,	স্বপদ,	শ্বাপদ,	
janatey,	জানাতে,	জানাতে,	
lyataa,	ল্যাটা,	ল্যাটা,	
azizur,	আজিজুর,	আজিজুর,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
lojic,	লোজিক,	লজিক,	
natsi,	নাটসি,	নাত্সি,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
serup,	সেরুপ,	সেরুপ,	
bamni,	বামনী,	বামনী,	
kash,	কাশ,	কাস,	
prokolpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
protijogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
becha,	বেচা,	বেচা,	
pashchatey,	পাশ্চাতে,	পশ্চাতে,	
horidbare,	হরিদবারে,	হরিদ্বারে,	
bhittimool,	ভিত্তিমুল,	ভিত্তিমূল,	
alankorana,	অলঙ্করণা,	অলঙ্করণ,	
kemane,	কেমনে,	কেমনে,	
wool,	উল,	উল,	
russad,	রুশাদ,	রুশদ,	
naajii,	নাজি,	নাত্সি,	
creshcent,	ক্রেস্েন্ট,	ক্রিসেন্ট,	
shkolashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
pretti,	প্রেটি,	প্রিটি,	
solil,	সলিল,	সলিল,	
peterkay,	পেটারকে,	পিটারকে,	
vogini,	ভোগিনী,	ভগিনী,	
sudha,	সুধ্য,	সুধা,	
agovir,	অগভীর,	অগভীর,	
khelaphatey,	খেলাফেতে,	খেলাফতে,	
chirohorith,	চিরহির,	চিরহরিৎ,	
leder,	লেডার,	লিডার,	
jaqi,	জাকি,	জকি,	
songostha,	সংস্থা,	সংস্থা,	
juboksoho,	যুবকসহ,	যুবকসহ,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
cholochchitrotike,	চলচিত্তিতেকে,	চলচ্চিত্রটিকে,	
istone,	ইস্টনে,	স্টোন,	
eiling,	এইলিং,	ইলিং,	
show,	শ্য,	শো,	
natniike,	নাটনীকে,	নাতনীকে,	
kibord,	কিবোর্ড,	কীবোর্ড,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
qings,	কিংস,	কিংস,	
tateo,	তাটেও,	তাতেও,	
kattar,	কাট্টার,	কট্টর,	
jaygata,	জৈগত,	জায়গাটা,	
aalkaatraa,	আলকাত্রা,	আলকাতরা,	
muhu,	মুহু,	মুহু,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
joisttho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
daale,	দালে,	ডালে,	
jonee,	জোনি,	জনি,	
shithilotar,	সীথিলতার,	শিথিলতার,	
satorkovabe,	সত্রকভাবে,	সতর্কভাবে,	
aiees,	আইএএস,	আইএএস,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
gafiloti,	গফিলতি,	গাফিলতি,	
sadeena,	সাদেনা,	সাডেন,	
heemi,	হিমি,	হিমি,	
tarani,	তরণানি,	তরণী,	
banijyikvittey,	বানিজ্যিক্তে,	বাণিজ্যিকভিত্তিতে,	
texuser,	টেকসাসের,	টেক্সাসের,	
dhan,	ধান,	ধ্যান,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
longhan,	লঙ্ঘন,	লংঘন,	
bohudeen,	বহুদিন,	বহুদিন,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
prakar,	প্রকার,	প্রকার,	
chilahatee,	চিলাহিত,	চিলাহাটি,	
food,	ফুড,	ফুড,	
surokarder,	সুরকরদের,	সুরকারদের,	
tintir,	তিনটির,	তিনটির,	
vobotarini,	ভববতিনী,	ভবতারিণী,	
mugdaal,	মুগদাল,	মুগডাল,	
moomtajer,	মুমতাজের,	মুমতাজের,	
patrol,	পাত্রল,	পেট্রোল,	
carymb,	কারিম্ব,	করিম,	
risorte,	রিসর্টে,	রিসোর্টে,	
panchashjan,	পঞ্চাশজন,	পঞ্চাশজন,	
jyotsna,	জ্যস্তনা,	জ্যোৎস্না,	
jank,	যাঁক,	জাঁক,	
boudhheer,	বৌধির,	বৌদ্ধের,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
baasaake,	বাসাকে,	বাসাকে,	
sofy,	সফি,	সোফি,	
milton,	মিল্টন,	মিলটন,	
jemser,	জেমসের,	জেমসের,	
averej,	ওভেরেজ,	এভারেজ,	
tanteera,	তাঁটের,	তাঁতিরা,	
bodhirata,	বধিরতা,	বধিরতা,	
dokangoolote,	দোকাঙ্গুলোতে,	দোকানগুলোতে,	
shootar,	শূটার,	শ্যুটার,	
monhputo,	মন্পুত,	মনঃপুত,	
elaakaatike,	এলাকাতিকে,	এলাকাটিকে,	
niropekkhotaar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
tatey,	তাটে,	তাতে,	
neker,	নেকের,	নেকের,	
parswer,	পারস্বের,	পার্শ্বের,	
welcome,	ওয়েলকোম,	ওয়েলকাম,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
alpo,	আল্প,	অল্প,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
jibanta,	জীবন্তা,	জীবন্ত,	
rohosyoti,	রহহ্যটি,	রহস্যটি,	
shelinar,	সেলিনার,	সেলিনার,	
doneta,	দোনেতা,	ডোনাট,	
aairese,	আইরেসে,	আইরেসে,	
syutara,	স্যুটরা,	শ্যুটার,	
habshi,	হাবসী,	হাবশী,	
purple,	পার্পল,	পার্পেল,	
shtena,	স্টেন,	স্টেন,	
pustir,	পুষ্টির,	পুষ্টির,	
satjaner,	সৎজনের,	সাতজনের,	
trupa,	ট্রুপ,	ট্রুপ,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
arop,	আরপ,	আরোপ,	
panni,	পাননি,	পন্নী,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
tarkarir,	তরকারীর,	তরকারীর,	
dormitory,	ডর্িটটিরি,	ডরমিটরি,	
cholochchitreei,	চলচিত্রীই,	চলচ্চিত্রেই,	
hitokar,	হিতকার,	হিতকর,	
dhache,	ঢাঁছে,	ধাঁচে,	
ipl,	আইপল,	আইপিএল,	
fuda,	ফুডা,	ফুড,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
haila,	হাইল,	হইল,	
monjooshree,	মনজুসরি,	মঞ্জুশ্রী,	
soya,	সোয়া,	সোয়া,	
gaafiloti,	গাফিলাটি,	গাফিলতি,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
amstrong,	অম্স্্র,	আর্মস্ট্রং,	
moshjidtir,	মোজিদটির,	মসজিদটির,	
buffar,	বাফফার,	বাফার,	
spencer,	স্পেন্সের,	স্পেন্সার,	
puroheetra,	পুরহীত্র,	পুরোহিতরা,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
uru,	উরু,	উরু,	
rubio,	রুবিও,	রুবিও,	
tennis,	টেনিস,	টেনিস,	
bossonto,	বসন্ত,	বসন্ত,	
ruby,	রাবি,	রুবি,	
oedipus,	এডিপুস,	ইডিপাস,	
sunagorik,	সুনাগরিক,	সুনাগরিক,	
neemitte,	নিমিত্বে,	নিমিত্তে,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
tunaita,	টুনাইট,	টুনাইট,	
pudding,	পুড্ডিং,	পুডিং,	
chakti,	চাকটি,	চাকতি,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
ganosakkharata,	গণস্কারতা,	গণসাক্ষরতা,	
arke,	আর্কে,	আরকে,	
myathious,	ম্যাথিউস,	ম্যাথিউস,	
vugten,	ভুগতেন,	ভুগতেন,	
longghon,	লঙ্ঘন,	লংঘন,	
prodip,	প্রদিপ,	প্রদীপ,	
peeri,	পিরি,	পেরি,	
khilaphat,	খিলাফাত,	খিলাফত,	
chhuteer,	ছুটির,	ছুটির,	
deepan,	ডিপান,	দীপন,	
tarunra,	তরুণরা,	তরুণরা,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
ispreedshit,	সস্প্রেডিস্ট,	স্প্রেডশীট,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
chinito,	চিনিত,	চিনতো,	
gostii,	গোসটি,	গোষ্ঠীই,	
harta,	হরর্ট,	হার্ট,	
naditike,	নদীতীকে,	নদীটিকে,	
bildara,	বিল্ডার,	বিল্ডার,	
shloker,	স্লকের,	শ্লোকের,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
omanisa,	অমানিস,	অমানিশা,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
olimpyc,	অলিম্পিক,	অলিম্পিক,	
juktorashtrasaha,	যুক্তরাস্তরসহ,	যুক্তরাষ্ট্রসহ,	
dhalur,	ঢালুর,	ঢালুর,	
pitthe,	পিঠে,	পীঠে,	
iraner,	ইরানের,	ইরানের,	
kreedita,	ক্রিদিত,	ক্রেডিট,	
fooloo,	ফুলো,	পোলো,	
vittio,	ভিতিও,	ভিত্তিও,	
sirameeks,	সিরামিক্স,	সিরামিকস,	
neelfamarir,	নীলফামারির,	নীলফামারীর,	
koreempur,	করিমপুর,	করিমপুর,	
yukeliptas,	ইউকেলপ্টাস,	ইউক্যালিপ্টাস,	
choity,	চৈতি,	চৈতি,	
cena,	সেন,	সিনা,	
tigre,	টিগরে,	টাইগার,	
sachetanatamulok,	সচচতনতামূলক,	সচেতনতামূলক,	
dankaan,	ডানকান,	ডানকান,	
kranti,	ক্রান্তি,	ক্রান্তি,	
thraugh,	থ্রাঘ,	থ্রু,	
hailo,	হইলো,	হইল,	
taims,	টাইমস,	টাইমস্,	
phiqsim,	ফিকসিং,	ফিক্সিং,	
inashtyanta,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
bhejano,	ভেজানো,	ভেজানো,	
phakay,	ফাকে,	ফাকে,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
mosjidti,	মজিজটি,	মসজিদটি,	
nathibhookta,	নথিভুক্ত,	নথিভুক্ত,	
raitasa,	রাইটস,	রাইটস,	
joneetey,	যনিতে,	যোনীতে,	
casper,	ক্যাস্পার,	ক্যাসপার,	
nepchuner,	নেপচ্নের,	নেপচুনের,	
