futbolarra,	ফুটবলরারা,	ফুটবলাররা,	
heart,	হার্ট,	হার্ট,	
uponeesoder,	উপনিশদের,	উপনিষদের,	
chilahaati,	ছিলাহাটি,	চিলাহাটি,	
nomo,	নম,	নমো,	
tthela,	ঠেলা,	ঠেলা,	
plain,	প্লেইন,	প্লেন,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
teunar,	টিউনার,	টিউনার,	
sikara,	সিকার,	শিকার,	
reshidence,	রেসিডেন্সে,	রেসিডেন্স,	
advanshd,	অ্যাডভান্স,	অ্যাডভান্সড,	
zess,	জেস,	জেস,	
quoota,	কাউটা,	কোটা,	
agomoney,	আগমনে,	আগমনে,	
teknokret,	টেকনক্ররেট,	টেকনোক্র্যাট,	
ashok,	অশোক,	আশোক,	
ganonatya,	গণনাট্য,	গণনাট্য,	
dikpal,	ডিক্পল,	দিকপাল,	
hurricane,	হারিকেশন,	হ্যারিকেন,	
ralph,	রাফ,	রালফ,	
sharif,	শরীফ,	শরিফ,	
harir,	হ্যারির,	হরির,	
mosharrof,	মোশাররফ,	মশাররফ,	
sommoteer,	সম্মটির,	সম্মতির,	
nirbaho,	নির্বাহ,	নির্বাহ,	
madol,	ম্যাডল,	মাদল,	
iyanki,	ইঞ্চনকি,	ইয়াংকি,	
aasar,	আসার,	আসর,	
culing,	কুলিং,	কুলিং,	
prakalpeo,	প্রকল্পেও,	প্রকল্পেও,	
bongsho,	বংশ,	বংশ,	
anchalti,	আঞচলটি,	অঞ্চলটি,	
gostigulo,	গস্তিগুলো,	গোষ্ঠীগুলো,	
aswastikar,	অস্বাস্তিকার,	অস্বস্তিকর,	
panchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
taphaat,	টফাত,	তফাৎ,	
sirameeks,	সিরামিক্স,	সিরামিকস,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
bopoon,	বোপন,	বপন,	
cbi,	সিবি,	সিবিআই,	
abheedhaanick,	অভিধানিক,	অভিধানিক,	
maktum,	ম্যাক্টুম,	মাকতুম,	
hunayn,	হুনাইন,	হুনাইন,	
gaarnaar,	গার্নার,	গার্নার,	
antorbhukta,	অর্ন্তভুক্ত,	অন্তর্ভুক্ত,	
atarkitey,	আটার্কিতে,	অতর্কিতে,	
heights,	হাইটাস,	হাইটস,	
airish,	এইরিশ,	আইরিস,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
jerusalem,	জেরুসালেম,	জেরুসালেম,	
somoodrotote,	সমুদ্রতে,	সমুদ্রতটে,	
aunti,	অ্যান্টি,	আন্টি,	
associatees,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
jokrito,	যকৃত,	যকৃৎ,	
palestinea,	পলেস্টিনে,	প্যালেস্টাইনে,	
joruri,	জরুরি,	জরূরী,	
favourite,	ফভুরিতে,	ফেভারিট,	
faj,	ফজ,	ফাজ,	
durgo,	দুর্গ,	দুর্গ,	
debete,	দেবেতে,	ডিবেট,	
swapad,	স্বপদ,	শ্বাপদ,	
windos,	উইন্ডস,	উইন্ডোস,	
deaubande,	দেবনাদে,	দেওবন্দে,	
elakaa,	এলাকা,	এলাকা,	
kyashpar,	ক্যাশপার,	ক্যাসপার,	
thimke,	তীমকে,	থিমকে,	
zansa,	জন্স,	জন্স,	
naran,	নরযান,	নরেন,	
bheenama,	ভীনামা,	ভেনম,	
tersa,	তার্স,	টেরেসা,	
patisapta,	পতিশপ্ত,	পাটিসাপটা,	
rupantar,	রূপান্তর,	রুপান্তর,	
qirq,	কার্ক,	কার্ক,	
coode,	কোড,	কোড,	
overviu,	অভার্ভিয়,	ওভারভিউ,	
dhyaan,	ধ্যান,	ধ্যান,	
eshkol,	এসকল,	এসকল,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
taunashipa,	তান্শশিপা,	টাউনশিপ,	
shrabosti,	শ্রবস্তী,	শ্রাবস্তী,	
aalkatraa,	আলতক্রা,	আলকাতরা,	
tintike,	তিনটিকে,	তিনটিকে,	
nodiitir,	নদীতীর,	নদীটির,	
madrasakey,	মাদ্রাসকে,	মাদ্রাসাকে,	
obosorer,	অবসরের,	অবসরের,	
manzurul,	মানজুরুল,	মনজুরুল,	
asamanjashapurna,	অসমানসুপ্দর্পণ,	অসামঞ্জস্যপূর্ণ,	
russad,	রুশদ,	রুশদ,	
deejeejer,	দিজীজের,	ডিজিজের,	
inapharameshana,	ইনফরমেশন্স,	ইনফরমেশন,	
teter,	তেযাটার,	টেটের,	
kalniir,	কালনীর,	কালনীর,	
daaun,	দান,	ডাউন,	
lendl,	লেন্ডল,	লেন্ডল,	
chalchhe,	চলছে,	চলছে,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
mojdur,	মজদুর,	মজদুর,	
deeliveer,	দিলিভার,	ডেলিভার,	
debate,	দেবতে,	ডিবেট,	
hamburg,	হাম্বার্গ,	হামবুর্গ,	
troop,	ট্রুপ,	ট্রুপ,	
dephineshhana,	ডেফিনেশন,	ডেফিনেশন,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
taffsher,	তাফসের,	তাফসীর,	
jesthotar,	যেষ্ঠতার,	জ্যেষ্ঠতার,	
amarica,	অ্যারোকা,	আমেরিকা,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
dhauta,	ধাউট,	ধৌত,	
ketechila,	কেটেছিল,	কেটেছিল,	
ganona,	গণনা,	গণনা,	
shakar,	শকার,	সকার,	
armastram,	আর্মস্ট্রম,	আর্মস্ট্রং,	
kalkarkhana,	কালকর্খান,	কলকারখানা,	
transafarma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
kirk,	কার্ক,	কার্ক,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
arakan,	অরাকান,	আরাকান,	
qings,	কিং্স,	কিংস,	
refleks,	রেফল্ক্স,	রিফ্লেক্স,	
atiteo,	অতিতেও,	অতীতেও,	
jonosanjog,	জনসংযোগ,	জনসংযোগ,	
machsaho,	মাসসহ,	মাছসহ,	
bivonno,	বিভন্ন,	বিভন্ন,	
fansi,	ফাঁসি,	ফাঁসী,	
dharabahikvabey,	ধারাবিকভাবে,	ধারাবাহিকটি,	
juktorastrosoho,	যুক্তরাস্ত্রসহ,	যুক্তরাষ্ট্রসহ,	
eidin,	এদিন,	এইদিন,	
tigre,	টিগ্রে,	টাইগার,	
ateeteo,	এটিতেও,	অতীতেও,	
inziniyarim,	ইঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
niketoner,	নিকেতনের,	নিকেতনের,	
bondhubhabapanno,	বন্ধুভাবন্ন,	বন্ধুভাবাপন্ন,	
byaasalt,	ব্যাসল্ট,	ব্যাসল্ট,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
bachchan,	বাচ্চন,	বচ্চন,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
mootar,	মোটর,	মুতার,	
teksuser,	টেক্সাসের,	টেক্সাসের,	
dakteekit,	ডাক্তিকিট,	ডাকটিকিট,	
dayitta,	দৈত্য,	দায়িত্ব,	
machhti,	মাছটি,	মাছটি,	
vaabnar,	ভাবনার,	ভাবনার,	
manushe,	মানুসে,	মানুষে,	
elaakaati,	এলাকাটি,	এলাকাটি,	
rahee,	রাহি,	রাহি,	
moshzidti,	মসজিদদি,	মসজিদটি,	
foreks,	ফরেক্স,	ফরেক্স,	
zeebonto,	জীবন্ত,	জীবন্ত,	
shoshar,	শশার,	সকার,	
loombinee,	লম্বিনী,	লুম্বিনী,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
deembakriti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
jemy,	জেমি,	জেমি,	
aidin,	এদিন,	এইদিন,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
hepataitisa,	হেপোটাইটিস,	হেপাটাইটিস,	
nirantar,	নিরান্তর,	নিরন্তর,	
niurolazi,	নিউরোলাজি,	নিউরোলজি,	
gudamjat,	গুদমজজাত,	গুদামজাত,	
tofaat,	টফাত,	তফাৎ,	
teemothi,	তেমথথী,	টিমোথি,	
asamanno,	অসমান্য,	অসামান্য,	
naitikata,	নৈতিকতা,	নৈতিকতা,	
raktaksharaney,	রক্তক্ষরণে,	রক্তক্ষরণে,	
haripur,	হরিপুর,	হরিপুর,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
milekhaanek,	মাইলখখানেক,	মাইলখানেক,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
puzita,	পূঁজিত,	পূজিতা,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
pothnatok,	পথনততক,	পথনাটক,	
mitrata,	মিট্রোট,	মিত্রতা,	
shommoteete,	সম্মটিতে,	সম্মতিতে,	
neelabh,	নিলভ,	নীলাভ,	
nabotom,	নবতম,	নবতম,	
bhabaaponno,	ভবাপন্ন,	ভাবাপন্ন,	
tiunar,	টিউনার,	টিউনার,	
shcholashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
sift,	সিফট,	শিফট,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
sqolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
monoputo,	মনপুত,	মনঃপুত,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
aashtikota,	আস্তিকতা,	আস্তিকতা,	
hoomasa,	হোমাস,	হোমস,	
itostatoh,	ইত্সত্তাহ,	ইতস্ততঃ,	
