antarbhuttirmulok,	অন্তর্ভূত্ূমূলক,	অন্তর্ভুক্তিমূলক,	
ajim,	আজিম,	আজিম,	
laesensh,	লেসেন্স,	লাইসেন্স,	
adwanced,	অ্যাডন্ডেস,	অ্যাডভান্সড,	
pushtee,	পুষ্টি,	পুষ্টি,	
siramiqasa,	সিরামিকাস,	সিরামিকস,	
uroor,	উরুর,	উরুর,	
byke,	বেকে,	বাইক,	
deobonde,	দেবন্দে,	দেওবন্দে,	
artillary,	অর্টিলারি,	আর্টিলারি,	
jwar,	জোবার,	জ্বর,	
jokkho,	যক্ষ্ম,	যক্ষ,	
provritite,	প্রভৃতিতে,	প্রভৃতিতে,	
songasthati,	সংস্থাটটি,	সংস্থাটি,	
tecnokret,	টেকন্কের,	টেকনোক্র্যাট,	
gasthike,	গাস্থিকে,	গোষ্ঠীকে,	
jubokra,	যুবকরা,	যুবকরা,	
alaoul,	আলাউল,	আলাওল,	
poromartho,	পরমার্থ,	পরমার্থ,	
mohish,	মহিশ,	মহিষ,	
machhder,	মাছদের,	মাছদের,	
mane,	ম্যানি,	মানে,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
dasha,	দশা,	দোসা,	
turky,	তার্কী,	তুর্কি,	
airish,	আইরিশ,	আইরিস,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
postar,	পোস্টার,	পোস্টের,	
songkoloner,	সংকলনের,	সংকলনের,	
ekoghore,	একঘরে,	একঘরে,	
shikhechi,	শিখেছি,	শিখেছি,	
elakayi,	এলাকাই,	এলাকাই,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
shhooter,	শুটার,	শ্যুটার,	
ekoirakom,	একইরকম,	একইরকম,	
podarthobidder,	পদার্থবিদদের,	পদার্থবিদদের,	
bhejaano,	ভেজানো,	ভেজানো,	
keyboarder,	কিবোর্ডের,	কীবোর্ডের,	
bhittie,	ভিতটি,	ভিত্তিই,	
olimpyc,	অলিম্পিক,	অলিম্পিক,	
antorvukto,	অর্ন্তভূক্ত,	অন্তর্ভুক্ত,	
dephineshhana,	ডেফিন্শনশ,	ডেফিনেশন,	
rubio,	রুবিও,	রুবিও,	
rubidium,	রুবিডিং,	রুবিডিয়াম,	
spreeadsheet,	স্প্রেডওসেট,	স্প্রেডশীট,	
maroofer,	মারুফের,	মারুফের,	
zoneser,	জোনেসের,	জোন্সের,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
khizir,	ক্ষিজির,	খিজির,	
smarak,	স্মারক,	স্মারক,	
seater,	সিটার,	সিটের,	
madhuree,	মাধুরি,	মাধুরী,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
shamijir,	স্বামীজীর,	স্বামীজীর,	
piruzali,	পিরুজালি,	পিরুজালী,	
zess,	জেস,	জেস,	
chalochchitreei,	চলচিত্রেই,	চলচ্চিত্রেই,	
sikare,	শিকারে,	শিকারে,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
ispreedshiit,	ইসপ্রেদিৎ,	স্প্রেডশীট,	
lotheran,	লাঠারন,	লুথেরান,	
dharabahikti,	ধারাবাহিক্তি,	ধারাবাহিকটি,	
sahinsatar,	সাহিন্তরা,	সহিংসতার,	
amarendra,	অমরেন্দ্র,	অমরেন্দ্র,	
postac,	পোস্টক,	পোস্টকে,	
prokolpoti,	প্রকলপটি,	প্রকল্পটি,	
akatwa,	একাত্ব,	একাত্ব,	
meetar,	মিটার,	মিত্র,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
voter,	ভোটের,	ভোটার,	
chilona,	ছিলনন,	ছিলনা,	
ovarview,	অভারভীভ,	ওভারভিউ,	
omarjito,	অমর্জিত,	অমার্জিত,	
daale,	ডালে,	ডালে,	
manushera,	মানুষেরা,	মানুষেরা,	
jolrong,	জলরং,	জলরঙ,	
michilti,	মিচিলটি,	মিছিলটি,	
antarktika,	অন্তর্কটিক,	অ্যান্টার্কটিকা,	
paree,	পারি,	পাড়ে,	
nodiigulo,	নদিগুলো,	নদীগুলো,	
nowel,	নোভেল,	নভেল,	
nederlander,	নেডারল্যান্ডের,	নেদারল্যান্ডের,	
mitro,	মিত্র,	মিত্র,	
modhumoti,	মধুমতি,	মধুমতী,	
bhogini,	ভোগিনী,	ভগিনী,	
jhijhi,	ঝিঝিই,	ঝিঝি,	
achish,	অচিষ,	আছিস,	
deputee,	দিপিতি,	ডেপুটি,	
dhormee,	ধর্মী,	ধর্মী,	
kheylechen,	খেলেছেন,	খেলেছেন,	
santose,	সন্ততেষ,	সন্তোষে,	
saahosikotar,	সাহিসকিতার,	সাহসিকতার,	
keo,	কেও,	কেও,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
postke,	পোস্তকে,	পোস্টকে,	
pachhen,	পাছেন,	পাচ্ছেন,	
teemothy,	তিমথি,	টিমোথি,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
sarbharer,	সার্ভারের,	সার্ভারের,	
onodhikaar,	অনধিকার,	অনধিকার,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
myathious,	ম্যাথিউস,	ম্যাথিউস,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
tawnship,	টান্সপী,	টাউনশিপ,	
bollov,	বলল,	বল্লভ,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
syutara,	স্যুটার,	শ্যুটার,	
vabnakey,	ভান্াাকে,	ভাবনাকে,	
ameriqa,	অ্যামেরিকা,	আমেরিকা,	
ceramics,	সারামিক্স,	সিরামিকস,	
obdi,	অব্দি,	অব্দি,	
ghatir,	ঘাটির,	ঘাটির,	
parikshateo,	পরীক্ষেতেও,	পরীক্ষাতেও,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
durgatsober,	দুর্গতস্বর,	দুর্গোৎসবে,	
kuley,	কূলে,	কুলে,	
donat,	দোনাত,	ডোনাট,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
madol,	মাদলল,	মাদল,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
chhooteer,	ছুটির,	ছুটির,	
samajeekotar,	সামেজিকতার,	সামাজিকতার,	
anchalgulote,	অঞ্চালগুলোতে,	অঞ্চলগুলোতে,	
bedey,	বেদে,	বেদে,	
assastikar,	অস্বস্তিকর,	অস্বস্তিকর,	
sahojlabhbhotar,	সহজলভভতার,	সহজলভ্যতার,	
sikkhakder,	শিক্ষাদকের,	শিক্ষকদের,	
hajaribag,	হাজরিবাগ,	হাজারিবাগ,	
manshe,	মাংসে,	মানুষে,	
hukar,	হুকার,	হুকার,	
mahe,	মহে,	মাহে,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
alankorana,	অলংকরণ,	অলঙ্করণ,	
dorjee,	দর্জি,	দরজি,	
chalke,	চললে,	চালকে,	
rupdaan,	রূপদান,	রুপদান,	
avijojan,	অভিযোজন,	অভিযোজন,	
chhatke,	ছাটকে,	ছাতকে,	
matrikar,	মাত্রিকার,	মাতৃকার,	
tukrowti,	তুক্রুতি,	টুকরোটি,	
parinoti,	পরিনতি,	পরিণতি,	
heze,	হেজে,	হেজ,	
kaathhaamaandu,	কাঠমন্ডু,	কাঠমান্ডু,	
attacharito,	আত্চাচারিত,	অত্যাচারিত,	
depootee,	দেপোতি,	ডেপুটি,	
harbor,	হর্বর,	হারবার,	
karor,	কারর,	কারোর,	
shanta,	সন্ত,	সান্তা,	
potkaa,	পটকা,	পটকা,	
ogrodut,	অগ্রদুত,	অগ্রদূত,	
jeesh,	জেস,	জেস,	
groth,	গ্রথ,	গ্রোথ,	
fareksa,	ফরেক্স,	ফরেক্স,	
nebhate,	নেভাতে,	নেভাতে,	
dharavahikeo,	ধারাভাহিকেও,	ধারাবাহিকেও,	
makang,	ম্যাকাং,	মেকং,	
leadar,	লিডার,	লিডার,	
toroon,	তরুণ,	তরুন,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
gatibege,	গতিবেগে,	গতিবেগে,	
somoodrotote,	সমুদ্রতি,	সমুদ্রতটে,	
ucchosito,	উচ্চোষিত,	উচ্ছসিত,	
rajtontrokey,	রাজনত্রকে,	রাজতন্ত্রকে,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
shaartho,	সার্থ,	স্বার্থ,	
abadamaner,	অবদামনের,	অবদমনের,	
fixin,	ফিক্সিন,	ফিক্সিং,	
azimpur,	আজিমপুর,	আজিমপুর,	
asamanno,	অসমান্ন,	অসামান্য,	
ixprission,	এক্সপ্রেসন,	এক্সপ্রেশন,	
esasiyetasa,	এসেসিয়েস,	এসোসিয়েটস,	
ekpaase,	একপাশে,	একপাশে,	
jaki,	জাকি,	জকি,	
porbotmala,	পর্বতমালা,	পর্বতমালা,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
gasthii,	গাষ্ঠী,	গোষ্ঠীই,	
smaraker,	স্মরকের,	স্মারকের,	
murali,	মুরালি,	মুরলী,	
reesideensa,	রেসিডেন্স,	রেসিডেন্স,	
masjidke,	মাজজিদকে,	মসজিদকে,	
meghnabodh,	মেহন্বোধ,	মেঘনাদবধ,	
jokrito,	যকৃত,	যকৃৎ,	
siropa,	শিরপা,	শিরোপা,	
abosorer,	অবসরের,	অবসরের,	
satarkotar,	সর্তকতার,	সতর্কতার,	
ashammatite,	অসমাতিটি,	অসম্মতি,	
rajatta,	রাজত্া,	রাজত্ব,	
sattweo,	সত্তেও,	সত্ত্বেও,	
bashoborty,	বাসবরটি,	বশবর্তী,	
lajek,	লাজেক,	লজিক,	
carzar,	কার্জার,	চার্জার,	
taresa,	তরেশ,	টেরেসা,	
sikkhakke,	শিক্ষাকে,	শিক্ষককে,	
qraima,	ক্রেম,	ক্রাইম,	
aashor,	আশোর,	আসর,	
donut,	দানুত,	ডোনাট,	
faaser,	ফাসের,	ফাঁসের,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
colahol,	কলাল,	কোলাহল,	
rajotta,	রাজত্া,	রাজত্ব,	
phimeela,	ফিমেল,	ফিমেল,	
scorey,	স্করে,	স্কোরে,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
dajyo,	দাজ্য,	দাহ্য,	
bosturyi,	বস্তুরি,	বস্তুরই,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
sheat,	শীট,	সিট,	
swartho,	স্বার্থ,	স্বার্থ,	
aakaabaar,	আকাবার,	আকাবার,	
