dhonuker,	ধ্নুকের,	ধনুকের,	
agomon,	আগমন,	আগমণ,	
seekkhake,	শিক্ষাকে,	শিক্ষাকে,	
bani,	বাণি,	বানি,	
muhurter,	মুহুর্তের,	মুহুর্তের,	
shikkhakyo,	শিক্ষাক্য,	শিক্ষকও,	
sangsthasamuha,	সংস্থাসমূহ,	সংস্থাসমূহ,	
attabassyok,	আত্মাবস্যক,	অত্যাবশ্যক,	
vata,	ভাটা,	ভাতা,	
jaanao,	জানাও,	জানাও,	
kookrii,	কুক্রি,	কুকরী,	
manushya,	মনুষ্য,	মনুষ্য,	
duckota,	ডাকোটা,	ডাকোটা,	
utkonthito,	উতকন্ঠিত,	উৎকণ্ঠিত,	
vashar,	ভাষার,	ভাষার,	
zanglee,	জঙ্গলি,	জংলী,	
pike,	পিকে,	পাইক,	
blajer,	ব্লেজার,	ব্লেজার,	
bishonnotar,	বিষণ্নতার,	বিষণ্নতার,	
komar,	কোমার,	কমার,	
onoitik,	অনৈতিক,	অনৈতিক,	
britha,	বৃথা,	বৃথা,	
anuchhed,	অনুচ্ছেদ,	অনুচ্ছেদ,	
meshate,	মেশাতে,	মেশাতে,	
oncholgulo,	অঞ্চলগুলো,	অঞ্চলগুলো,	
machhdhorar,	মাচ্ধরার,	মাছধরার,	
deengee,	ডিঙ্গি,	ডিঙ্গি,	
storyir,	স্তরির,	স্টোরির,	
somraatke,	সম্রাতকে,	সম্রাটকে,	
rudro,	রুদ্র,	রুদ্র,	
oitihyagato,	ঐতিহ্যগত,	ঐতিহ্যগত,	
khal,	খাল,	খল,	
mitir,	মিটির,	এমআইটির,	
vromoner,	ভ্রমণের,	ভ্রমনের,	
folik,	ফলিক,	ফলিক,	
meqaniqala,	মেকনিকল,	মেকানিকাল,	
fisa,	ফিস,	ফিস,	
chotto,	ছট্ট,	ছোট্টো,	
ekzot,	একজত,	একজোট,	
rastaghat,	রাষ্টাঘাত,	রাস্তাঘাট,	
meyil,	মেল,	মেইল,	
eidh,	এইধ,	ইদ,	
naitrajena,	নাইট্রজেন,	নাইট্রোজেন,	
chirotoni,	চিরতনী,	চিরন্তনী,	
ghumate,	ঘুমাতে,	ঘুমাতে,	
rudra,	রুদ্রা,	রুদ্র,	
sadosyogan,	সদস্যগণ,	সদস্যগন,	
nirab,	নিরা,	নিরব,	
chale,	চলে,	চালে,	
dhormosova,	ধর্মসসা,	ধর্মসভা,	
ontu,	অন্তু,	অন্তু,	
danobeer,	দানবীর,	দানবীর,	
megheder,	মেঘেদের,	মেঘেদের,	
gronthagulor,	গ্রন্থাগুলোর,	গ্রন্থগুলোর,	
tendan,	তেন্ডন,	টেন্ডন,	
stationeery,	স্টেশনিরি,	স্টেশনারি,	
bhashari,	ভাষারি,	ভাষারই,	
velky,	ভেল্কি,	ভেলকি,	
janosomabesh,	জনসমাবেশ,	জনসমাবেশ,	
jonglee,	জঙ্গলি,	জংলী,	
aatmobiswas,	আত্মবিশ্বাস,	আত্মবিশ্বাস,	
naahole,	নাহলে,	নাহলে,	
dibya,	দিব্য,	দিব্য,	
poriniito,	পরিণীত,	পরিণীত,	
settii,	সেতি,	সেটি,	
ekotabaddho,	একতাবদ্ধ,	একতাবদ্ধ,	
surokar,	সুরকার,	সুরকার,	
jamesh,	জমেশ,	জেমস,	
akosshik,	আকস্মিক,	আকষ্মিক,	
gyaraz,	গ্যারাজ,	গ্যারাজ,	
bisheshoggo,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
traicqball,	ট্রেক্্যাল,	ট্র্যাকবল,	
bleezar,	ব্লিজার,	ব্লেজার,	
dhhaaler,	ঢালের,	ঢালের,	
cheetroroop,	চিত্ররূপ,	চিত্ররূপ,	
hajore,	হজরে,	হাজরে,	
hearter,	হার্টের,	হার্টের,	
uththapan,	উত্থাপন,	উত্থাপন,	
kodgulo,	কদগুলো,	কোডগুলো,	
transplantasion,	ট্রান্সল্টেন্নন,	ট্রান্সপ্লান্টেশন,	
agi,	আজী,	এইজ,	
bangoposagar,	বঙ্গপাসগার,	বঙ্গোপসাগর,	
dhane,	ধানে,	ধ্যানে,	
matthew,	মাঠেও,	ম্যাথু,	
sangosthasamuha,	সংস্থাসমূহ,	সংস্থাসমূহ,	
dauqee,	দাকি,	ডাউকি,	
pungas,	পাঙ্গাস,	পাঙ্গাস,	
mitroke,	মিট্রকে,	মিত্রকে,	
panthaa,	পাঁথা,	পন্থা,	
