plato,	প্লট,	প্লেটো,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
baasate,	বাসাতে,	বাসাতে,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
udbhabane,	উদ্ভবনে,	উদ্ভাবনে,	
samanyai,	সামান্যই,	সামান্যই,	
nartaki,	নার্তকি,	নর্তকী,	
choddo,	ছদ্দ,	চোদ্দো,	
chanake,	চানাকে,	ছানাকে,	
besirbhagi,	বেশীরভাগই,	বেশিরভাগই,	
kodti,	কদটি,	কোডটি,	
elakatite,	এলাকাতেতে,	এলাকাটিকে,	
jamjomat,	জম্জমত,	জমজমাট,	
omitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
noitikotabodh,	নৈতিকাবাধ,	নৈতিকতাবোধ,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
purohitke,	পুরহিতকে,	পুরোহিতকে,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
aamor,	আমর,	আমর,	
seat,	সেট,	সিট,	
chhooteete,	ছুটিতে,	ছুটিতে,	
gunman,	জানমান,	গুণমান,	
horash,	হরাস,	হোরাস,	
aazadeer,	আযাদীর,	আজাদীর,	
noditir,	নদীতির,	নদীটির,	
sampadankari,	সম্পাদকরারী,	সম্পাদনকারী,	
astikra,	অস্টিকরা,	আস্তিকতা,	
shtona,	স্টোন,	স্টোন,	
shepherd,	সেফার্ড,	শেফার্ড,	
boorana,	বোরান,	বোরন,	
rayyalati,	রিয়্যাটি,	রয়্যালটি,	
zerusalem,	জেরুসাইম,	জেরুজালেম,	
shaamiijiir,	স্বামীজীর,	স্বামীজীর,	
puzito,	পুজিত,	পুজিত,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
doojoo,	দজও,	ডোজো,	
venuser,	ভেনেসার,	ভেনাসের,	
rohosyoti,	রহস্যতি,	রহস্যটি,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
qanasarabheshana,	কনসারেশন,	কনসারভেশন,	
shringe,	শ্রিঙ্জ,	শৃঙ্গে,	
indr,	ইন্ডার,	ইন্দ্র,	
kaferder,	কাফারদের,	কাফেরদের,	
santoshpore,	সন্তঃশপর,	সন্তোষপুর,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
sourse,	সর্সে,	সোর্স,	
chinto,	চিন্ত,	চিনতো,	
shithilotar,	শিথিলতার,	শিথিলতার,	
salmaner,	স্যালম্যানের,	সালমানের,	
pashaner,	পশনের,	পাষাণের,	
dover,	ডেভের,	ডোভার,	
ivir,	আইভির,	এভার,	
patochitra,	পটচিত্র,	পটচিত্র,	
aaminar,	আমিনার,	আমিনার,	
sohinsotar,	সহিষ্ণতার,	সহিংসতার,	
mahajote,	মহাজাতে,	মহাজোট,	
sachindra,	সচিন্দ্র,	শচীন্দ্র,	
categoryr,	ক্যাতেগারীর,	ক্যাটাগরির,	
title,	টিল্ে,	টাইটেল,	
jakser,	যক্ষের,	যক্ষের,	
ishton,	ইস্টন,	স্টোন,	
artillary,	অ্যার্টিলারি,	আর্টিলারি,	
khelafate,	খেলাফাতে,	খেলাফতে,	
rubyo,	রুব্য,	রুবিও,	
lala,	লাল,	লালা,	
kiutie,	কিউটি,	কিউটি,	
parser,	পার্সের,	পার্শ্বের,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
shansthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
shansthatir,	সংস্থাটির,	সংস্থাটির,	
jolrong,	জলরঙ,	জলরঙ,	
manohputo,	মনোধপূত,	মনঃপুত,	
dhyanastha,	ধ্যানস্থ,	ধ্যানস্থ,	
ghumacchilo,	ঘুমাছছিল,	ঘুমাচ্ছিল,	
adhyattikotar,	অধ্যাত্ত্বকতার,	আধ্যাত্মিকতার,	
gazipore,	গাজীপুরে,	গাজীপুর,	
prakalpoo,	প্রকল্প,	প্রকল্পও,	
prastutkarak,	প্রস্তুতককর,	প্রস্তুতকারক,	
daoon,	ডাউন,	ডাউন,	
baasake,	বাসাকে,	বাসাকে,	
postay,	পোস্টে,	পোষ্টে,	
parqim,	পার্কিম,	পার্কিং,	
loha,	লোহ,	লোহা,	
moshzidke,	মশ্জিদকে,	মসজিদকে,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
panjikar,	পঞ্জিকার,	পঞ্জিকার,	
sahosikotar,	সহসিক্যতার,	সাহসিকতার,	
shartho,	শ্র্থ,	স্বার্থ,	
relance,	রেলেন্স,	রিলায়েন্স,	
srabosty,	শ্রবস্তি,	শ্রাবস্তী,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
shhepha,	সেফ,	শেফ,	
satarkota,	সর্তকতা,	সতর্কতা,	
hepataitisa,	হ্যাপটিটিস,	হেপাটাইটিস,	
liseens,	লিসেন্স,	লাইসেন্স,	
shitey,	সিটে,	শীতে,	
phund,	ফান্ড,	ফান্ড,	
khelechen,	খেলেছেন,	খেলেছেন,	
ghensha,	ঘেন্স,	ঘেঁষা,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
cheerota,	চিরতা,	চিরতা,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
palta,	পাল্টা,	পালটা,	
grauth,	গ্রাথ,	গ্রোথ,	
bashoborty,	বাসবর্তী,	বশবর্তী,	
vaisaho,	ভাইসহ,	ভাইসহ,	
maadhoori,	মাধুরি,	মাধুরী,	
ponera,	পনেরা,	পনের,	
moomtajer,	মমতাজের,	মুমতাজের,	
ekok,	একোক,	একক,	
shita,	শীটা,	সিট,	
pujita,	পুজিত,	পূজিতা,	
bohoodeen,	বহুদিন,	বহুদিন,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
skolastik,	স্কোলাস্টিক,	স্কলাস্টিক,	
maladoobha,	মালাদাও,	মলদোভা,	
peterer,	পেতেরের,	পিটারের,	
sossa,	সস্য,	শশা,	
isan,	আইনা,	ঈশান,	
pooroheetder,	পুরহহিদের,	পুরোহিতদের,	
tiunar,	টিউনার,	টিউনার,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
