taurat,	ট্যারাট,	তওরাত,	
hachchilo,	হাছ্ছিল,	হচ্ছিলো,	
stylish,	স্টাইলিস,	স্টাইলিশ,	
brek,	ব্র্যাক,	ব্রেক,	
lyataa,	ল্যাট,	ল্যাটা,	
jonoshongjog,	জনসংযোগ্য,	জনসংযোগ,	
phooloo,	ফুলও,	পোলো,	
samaveshti,	সমভাষেটি,	সমাবেশটি,	
thaakeni,	থাকেনি,	থাকেনি,	
gandhike,	গা্ধিকে,	গান্ধীকে,	
karu,	ক্রু,	কারো,	
anan,	অনযান,	আনান,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
veenicee,	ভেনিসি,	ভেনিস,	
murad,	মুরদ,	মুরাদ,	
gabeshonar,	গবেষণার,	গবেষনার,	
mukhya,	মূখ্য,	মুখ্য,	
pirujali,	পিরুজালি,	পিরুজালী,	
shaakaar,	শাকার,	সাকার,	
valobase,	ভালবাসে,	ভালোবাসে,	
oedipush,	ওদিপুশ,	ইডিপাস,	
cholochchitreer,	চলচিত্র্রির,	চলচ্চিত্রের,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
melobborne,	মেলববর্নে,	মেলবোর্নে,	
heepatitis,	হেপোটিটিস,	হেপাটাইটিস,	
uporostho,	উপরস্থ,	উপরস্থ,	
koruna,	করুনা,	করুণা,	
hoole,	হোল,	হোল,	
biharey,	বিহারে,	বিহারে,	
deeares,	ডিয়ের,	ডিআরএস,	
sainyasaha,	সৈন্যসহ,	সৈন্যসহ,	
siima,	সীম,	সীমা,	
nirbaha,	নির্বাহ,	নির্বাহ,	
akhando,	অখন্দ,	অখন্ড,	
fanda,	ফান্ডা,	ফান্ড,	
dalu,	ডালু,	ডালু,	
shoori,	শুরি,	সুরি,	
choiti,	চৈতি,	চৈতি,	
amarica,	মার্িিকা,	আমেরিকা,	
chirokumari,	চিরকুমারি,	চিরকুমারী,	
firoze,	ফিরোজ,	ফিরোজ,	
ramzaner,	রমজানের,	রমযানের,	
jyakashana,	জ্যাকশন,	জ্যাকসন,	
madrajer,	মাদরাজের,	মাদ্রাজের,	
phashtara,	ফোস্টার,	ফস্টার,	
salapheeta,	সালফিট,	সালফেট,	
samoshtigato,	সমস্তিতগ,	সমষ্টিগত,	
agam,	আগাম,	আগম,	
labanaktotar,	লবনাক্ততা,	লবণাক্ততার,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
sonatani,	সোনাটানি,	সনাতনী,	
zohns,	জনস,	জন্স,	
netherlandey,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
elaakaao,	এলাকাও,	এলাকাও,	
smarok,	স্মরক,	স্মারক,	
kattar,	কাটার,	কট্টর,	
ramantic,	রাম্যান্টিক,	রোমান্টিক,	
zeans,	জিন্স,	জিন্স,	
uuipoka,	উউইপক,	উইপোকা,	
saalsa,	সালস,	সালসা,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
abhijojan,	অভিযোজন,	অভিযোজন,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
phastara,	ফোস্টার,	ফস্টার,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
uporoshtho,	উপরষ্ঠ,	উপরস্থ,	
nirmankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
associetes,	অ্যাসোসিটেজ,	এসোসিয়েটস,	
venuser,	ভেনাসের,	ভেনাসের,	
chire,	চিরি,	চিরে,	
kaathhmaandute,	কাঠমান্ডুতে,	কাঠমান্ডুতে,	
nagoriker,	নাগরিকের,	নাগরিকের,	
panctaar,	প্যান্টার,	পাঁচটার,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
brinde,	ব্রিন্ডে,	বৃন্দ,	
venna,	ভেনা,	ভেন্না,	
bai,	বা,	বাঈ,	
peri,	প্যারি,	পেরি,	
bihare,	বিহারে,	বিহারে,	
traytey,	ট্রেটে,	ট্রেতে,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
augusteen,	আগউস্টিন,	অগাস্টিন,	
kanasarabhesana,	কনসারেভেশন,	কনসারভেশন,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
utsahe,	উত্সাহে,	উৎসাহে,	
anchalsaha,	আঞ্চলস,	অঞ্চলসহ,	
akabar,	আকাবার,	আকাবার,	
toroni,	তররণী,	তরণী,	
pujit,	পুজিত,	পুজিত,	
mulaadee,	মুলাদী,	মুলাদি,	
liseensee,	লিসেন্সি,	লাইসেন্স,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
falashrutite,	ফলাস্তুতিতে,	ফলশ্রুতিতে,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
akai,	একাই,	একাই,	
shasonkarta,	শাসনকার্টা,	শাসনকর্তা,	
armenan,	আরমান,	আর্মেনিয়ান,	
byabaharkareederke,	ব্যবহারকারকেরে,	ব্যবহারকারীদেরকে,	
highcommissionay,	হাইকমিশনা,	হাইকমিশনে,	
shuperhero,	সুপেরেরও,	সুপারহিরো,	
haze,	হাজে,	হেজ,	
tatey,	টাটে,	তাতে,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
sainyo,	সৈন্য,	সৈন্য,	
